UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
저축 포기한 림즈,@leem_ze,2021-08-23T01:34:06.000Z,"저축 포기한 림즈
@leem_ze
·
8월 23일","헤...산홍이 블랙 씌워주셔서 호다닥 달려가서 찍음ㅜㅠ 넘 이뻐ㅜㅠㅠ
1
2
51",😉,1,2,51,['https://pbs.twimg.com/media/E9cF405VcAAMZsP?format=jpg&name=900x900'],https://twitter.com/leem_ze/status/1429617913292414978
학생:D 커뮤계..(생일이닷 힛!),@haksang_D_C,2021-08-12T12:40:27.000Z,"학생:D 커뮤계..(생일이닷 힛!)
@haksang_D_C
·
8월 12일","수아..귀여워..창고가지마..(후회공마냥 산홍님 보기)
1
1
3",,1,1,3,['https://pbs.twimg.com/media/E8l02DrVgAMpW4X?format=png&name=small'],https://twitter.com/haksang_D_C/status/1425799342376374280
Darae,@Darae__bjd,2021-08-20T10:17:37.000Z,"Darae
@Darae__bjd
·
8월 20일","그리고 산홍… 생각 이상으로 예뻐서 데려오고싶단 생각을 했습니다 
8",🙃,,,8,['https://pbs.twimg.com/media/E9Og9DCUcAEM7r2?format=jpg&name=small'],https://twitter.com/Darae__bjd/status/1428662499377770503
학생:D 커뮤계..(생일이닷 힛!),@haksang_D_C,2021-08-12T14:54:00.000Z,"학생:D 커뮤계..(생일이닷 힛!)
@haksang_D_C
·
8월 12일","산홍님.png
2
5",,,2,5,['https://pbs.twimg.com/media/E8mTgkRVkAUYt66?format=jpg&name=small'],https://twitter.com/haksang_D_C/status/1425832948163518473
뒴,@foto_daengro,2021-08-09T15:19:32.000Z,"뒴
@foto_daengro
·
8월 10일","[191004] 리딩 산홍 커튼콜

채린 | 최미소 배우
4
2",,,4,2,"['https://pbs.twimg.com/media/E8W8jjEUYA0Hqrv?format=jpg&name=small', 'https://pbs.twimg.com/media/E8W8jjCVkAISV41?format=jpg&name=small']",https://twitter.com/foto_daengro/status/1424752210273988609
HAN,@han_bjdd,2021-08-11T08:46:54.000Z,"HAN
@han_bjdd
·
8월 11일","산홍 빨리 사고 싶다
1",,,,1,[],https://twitter.com/han_bjdd/status/1425378179519156232
(반동결) 둔두,@nun_nu_sisi,2021-08-21T02:44:00.000Z,"(반동결) 둔두
@nun_nu_sisi
·
8월 21일","1. 산홍이 출시일은 10-11월 중
2. 세한이가 쓰고 있는 장발 가발은 출시는 될 예정이나 일정은 미정
3. 솜니아 롱은 기간내에만 주문 하면 됨
4.담현C 꼭 사 진짜 무조껀 나 꼭 사
2
4
25",🍁 ⭐ ⭐ ⭐,2,4,25,[],https://twitter.com/nun_nu_sisi/status/1428910728283451396
망고냥 ,@mango_0801,2021-08-25T07:32:14.000Z,"망고냥 
@mango_0801
·
8월 25일","산홍님 도대체 무슨 커뮤를 가신거예요ㅋㅋ!!!
연산홍
@SanHong_03
 · 8월 25일
죽을게여
이 스레드 보기
1",,1,,,"['https://pbs.twimg.com/profile_images/1439646066052255745/m_eHZlx8_mini.jpg', 'https://pbs.twimg.com/media/E9mdSAUUcAMHkIN?format=jpg&name=small', 'https://pbs.twimg.com/media/E9mdSy_UUAIrNjH?format=jpg&name=small']",https://twitter.com/mango_0801/status/1430432817415004160
연산홍,@SanHong_03,2021-08-01T15:23:55.000Z,"연산홍
@SanHong_03
·
8월 2일","깜짝아 아이시떼루요ㅜ산홍ㅋ쟝인줄;
메인트 커미션 / 자연산삼
@_4n3_
 · 8월 2일
아잇 시떼루요 산홍짱 twitter.com/SanHong_03/sta…
1",💛,,1,,['https://pbs.twimg.com/profile_images/1437020238587969536/nZ0j197r_mini.jpg'],https://twitter.com/SanHong_03/status/1421854212061745162
대이 (해랑),@n1Cmw0MwfVIs7nH,2021-08-09T21:01:44.000Z,"대이 (해랑)
@n1Cmw0MwfVIs7nH
·
8월 10일","산홍님은 근데 언제 주무세요
1
1",,,1,1,[],https://twitter.com/n1Cmw0MwfVIs7nH/status/1424838329955061760
(반동결) 둔두,@nun_nu_sisi,2021-08-21T02:42:46.000Z,"(반동결) 둔두
@nun_nu_sisi
·
8월 21일","산홍이는 10-11월 중 출시 예정이래요!
1",🍁,,,1,[],https://twitter.com/nun_nu_sisi/status/1428910417934393350
✶.•* 보ྀི셀ྀི리ྀི나ྀི *•.✦,@BeauSelinaaa,2021-08-04T14:47:44.000Z,"✶.•* 보ྀི셀ྀི리ྀི나ྀི *•.✦
@BeauSelinaaa
·
8월 4일","산홍이 개예뻐ㅜㅜ
1",,,,1,[],https://twitter.com/BeauSelinaaa/status/1422932270864756744
(반동결) 둔두,@nun_nu_sisi,2021-08-21T02:42:19.000Z,"(반동결) 둔두
@nun_nu_sisi
·
8월 21일","산홍이랑 담현이랑 같이 출시 되면 나 파산할듯
3",🍁,,,3,[],https://twitter.com/nun_nu_sisi/status/1428910306521059330
크롱,@doll_krong,2021-08-02T13:43:51.000Z,"크롱
@doll_krong
·
8월 2일",산홍... 왜 예뻐...? 왜...? 각도빨인가 내눈엔 16키라랑 닮아보여....ㅠㅠㅠㅠㅠㅠ,🦕,,,,[],https://twitter.com/doll_krong/status/1422191416780857346
고기,@blue_gogi,2021-08-07T14:15:15.000Z,"고기
@blue_gogi
·
8월 7일",산홍 먼슬리는 언제부터...,🥲,,,,[],https://twitter.com/blue_gogi/status/1424011260140482562
유부,@overboilt_bnspt,2021-08-15T04:59:27.000Z,"유부
@overboilt_bnspt
·
8월 15일","대한독립만세할거면 산홍이껴줘 근데반드시정동리딩버전으로
1",,,,1,[],https://twitter.com/overboilt_bnspt/status/1426770489607917569
