UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ㄱ노미팬달콤뀨(slow),@lovemazejikook,2021-08-29T12:02:13.000Z,"ㄱ노미팬달콤뀨(slow)
@lovemazejikook
·
8월 29일","please jungkook was having fun by himself at the corner
4
278
1.6천",🪐 😂 😂,4,278,1.6천,"['https://pbs.twimg.com/media/E99PNqzVgAAwbH9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99PN-AVEAE2W2P?format=jpg&name=360x360']",https://twitter.com/lovemazejikook/status/1431950312684670976
em misses hunterdaya :(,@dayasspidey,2021-08-29T19:33:02.000Z,"em misses hunterdaya :(
@dayasspidey
·
8월 30일","zendaya at her bday party yesterday tweeting in the corner
GIF
11
272",,,11,272,['https://pbs.twimg.com/tweet_video_thumb/E9-2ZivWUAgqx9e.jpg'],https://twitter.com/dayasspidey/status/1432063763377709063
Beatrice,@ekua_beatrice,2021-08-29T06:42:08.000Z,"Beatrice
@ekua_beatrice
·
8월 29일","Good morning Pleaseeeee Eviction is at the corner and I don’t want to go home and drink koko Please vote for me okay  abeg Voting process: 
1. *711*80#
2. Enter delegate code “30” and confirm name “BEATRICE”
3. Select amount/number of votes and wait or momo prompt
3
58
118",❤ 🥺 🥺 🥺 🥺,3,58,118,['https://pbs.twimg.com/media/E98F8yLWYAUW03i?format=jpg&name=small'],https://twitter.com/ekua_beatrice/status/1431869759780540418
Gleam Davis (she/her),@GleamDavis,2021-08-29T04:09:33.000Z,"Gleam Davis (she/her)
@GleamDavis
·
8월 29일","Be sure and vote No on the recall!  You can drop your ballot off at the corner of 7th and Santa Monica by the Library.
2
6
46",,2,6,46,['https://pbs.twimg.com/media/E97jB67VEAg0weX?format=jpg&name=small'],https://twitter.com/GleamDavis/status/1431831360709140481
skooks,@skooks,2021-08-28T20:11:24.000Z,"skooks
@skooks
·
8월 29일","On the left is photo I took in 2005 of a tree downed by Hurricane Katrina at the corner of Harmony and Prytania. On the right is a photo I took today of the tree they planted there in its place.
3
5
103",,3,5,103,"['https://pbs.twimg.com/media/E951NDmWEAciPCj?format=jpg&name=small', 'https://pbs.twimg.com/media/E951Rk4XIAYbF-v?format=jpg&name=small']",https://twitter.com/skooks/status/1431711030397255681
MEEH.,@MeehlaRaquel,2021-08-30T15:19:05.000Z,"MEEH.
@MeehlaRaquel
·
8월 31일","Morgan Students/Baltimore residents. With homecoming right around the corner its the perfect time to book a makeup application. My book is open at 10skyn on N Charles st. Link is in my bio to book 
9
19",,,9,19,"['https://pbs.twimg.com/media/E-DFbhVXMAMLQpO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DFbhZWQAEv39N?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DFbhXXIBU2kf1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DFbheXIAcmXlR?format=jpg&name=360x360']",https://twitter.com/MeehlaRaquel/status/1432362244034203651
Olivia Hilton,@OliviaPLHilton,2021-08-28T20:44:06.000Z,"Olivia Hilton
@OliviaPLHilton
·
8월 29일","⁦
@PoPville
⁩ Found on the sidewalk at the corner of 28th and Woodley in Woodley Park, Saturday at 4:45pm.  Probably belongs to someone named Michelle…
1
4
12",,1,4,12,['https://pbs.twimg.com/media/E959EZqX0A0xPHU?format=jpg&name=small'],https://twitter.com/OliviaPLHilton/status/1431719259672096774
Tony Duffin,@tonyduffin,2021-08-29T09:16:38.000Z,"Tony Duffin
@tonyduffin
·
8월 29일","8 nitrous oxide whippets, for #DoingBalloons, lying on the ground on the corner of my street at 9am today.

Like kitchen foil, lemons, plastic bottles (turned into make shift crack pipes), etc. Drug Related Litter is not always what people might expect.
#IOAD2021
2
10
37",,2,10,37,"['https://pbs.twimg.com/media/E98pUBGWQAE02Yu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98pUBkWYAIOjzh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98pUBRWYAAvNlh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98pUCuXEAMWdIm?format=jpg&name=360x360']",https://twitter.com/tonyduffin/status/1431908643419656194
Genshin Impact,@GenshinImpact,2021-08-30T04:10:00.000Z,"Genshin Impact
@GenshinImpact
·
8월 30일","Paimon's Sneak Peek at Version 2.1 New Events - Phase I

Hello, Travelers~ Version 2.1 is just around the corner, is everyone ready for the new exciting events? Click the picture below for a quick overview~

#GenshinImpact
608
7.6천
4.6만",,608,7.6천,4.6만,"['https://pbs.twimg.com/media/E9zL2QFXMAMXzpU?format=jpg&name=large', 'https://pbs.twimg.com/media/E9zL51aWQAUXn0L?format=jpg&name=large', 'https://pbs.twimg.com/media/E9zL3-DXIAMCtHS?format=jpg&name=large', 'https://pbs.twimg.com/media/E9zL7MvWEAETtry?format=jpg&name=large']",https://twitter.com/GenshinImpact/status/1432193861900718081
Durham Public Schools,@DurhamPublicSch,2021-08-30T12:52:37.000Z,"Durham Public Schools
@DurhamPublicSch
·
8월 30일","#DPSAlert | We have been made aware of a major accident at the corner of Highway 98 and Mineral Springs Road that is causing major delays for Transportation Services. Buses that have to enter this area may experience delays.
4
3",,,4,3,['https://pbs.twimg.com/media/E-CkWB6XEAcBRu_?format=jpg&name=small'],https://twitter.com/DurhamPublicSch/status/1432325383060340749
