UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
김덩배,@kim_dongbae,2021-08-11T14:35:50.000Z,"김덩배
@kim_dongbae
·
8월 11일",사루카메 닭육수 먹고싶네,,,,,[],https://twitter.com/kim_dongbae/status/1425465988674252800
요쿠 ヨク,@Yoku_shunya,2021-08-12T00:17:14.000Z,"요쿠 ヨク
@Yoku_shunya
·
8월 12일","미쿠루카
쵸로오소
사요린코
메아야무
이즈마코
준슌Ya , 영힃
ㄹㄹ
@KimYoonHaBoom
 · 8월 11일
호모 역사 나열하기
이 스레드 보기",🙄,,,,['https://pbs.twimg.com/profile_images/1432667477511532544/zjqPJa9F_mini.jpg'],https://twitter.com/Yoku_shunya/status/1425612303756521477
피테크,@daewonshowcase,2021-08-01T06:29:52.000Z,"피테크
@daewonshowcase
·
8월 1일","[피테크 알림]

신제품 알림 1호점

1번 장식장

사에카노 에리리색지
여친 빌리겠습니다스트랩 사라시나 루카
우마무스메 스트랩스페셜 위크
우마무스메 스트랩메지로 멕퀸
우마무스메 스트랩나이스 네이처

가챠폰 전사NEXT SP 01 풀셋
가챠폰 전사NEXT SP 02 풀셋
가챠폰 전사NEXT SP 03 풀셋
1
2
2",🆕 📢,1,2,2,"['https://pbs.twimg.com/media/E7rxR0kVIAUoMs1?format=jpg&name=small', 'https://pbs.twimg.com/media/E7rxSc7VcAESsJ_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7rxTDuUcAAwUA9?format=jpg&name=360x360']",https://twitter.com/daewonshowcase/status/1421719813466988554
김덩배,@kim_dongbae,2021-08-11T14:25:32.000Z,"김덩배
@kim_dongbae
·
8월 11일","내일 사루카메 갈까
새로운 플레이스를 찾아 가볼까",,,,,[],https://twitter.com/kim_dongbae/status/1425463398418898949
베키 ₍⑅ᐢ. ̬.ᐢ₎♡(완전 동결),@rxbxckycky,2021-08-05T05:53:14.000Z,"베키 ₍⑅ᐢ. ̬.ᐢ₎♡(완전 동결)
@rxbxckycky
·
8월 5일","[월드컵]
프세카 최애 
http://gaeyou.com/w/?12485
────────────────────
♛ 최종우승: 텐마 사키
♚ 준우승: 아사히나 마후유
♝ 3위: 쿠사나기 네네
♞ 4위: 메구리네 루카

와아아아앙 
3",❤,,,3,[],https://twitter.com/rxbxckycky/status/1423160147220701188
호모병신녀요라,@spirit_of_silve,2021-08-09T14:00:30.000Z,"호모병신녀요라
@spirit_of_silve
·
8월 9일",사요오나라사에모 이마코이에나소오다카라데아후루카와리니카키시메테민나요,🤤 🚬,,,,[],https://twitter.com/spirit_of_silve/status/1424732320502747141
티끌모아파산,@givemecrystals,2021-08-20T08:37:17.000Z,"티끌모아파산
@givemecrystals
·
8월 20일","200연 돌릴동안 4성 이거 네개얻은게 말이된다고 생각하니 하놔.. 천장찍어서 데려온 루카는 논외
그래도 메쨩의상 예뻐서 만족임... 천 모이면 네네 사줘야지",,,,,"['https://pbs.twimg.com/media/E9OKARgVIAIT-8I?format=jpg&name=900x900', 'https://pbs.twimg.com/media/E9OKAbgUcAcGfM2?format=jpg&name=360x360']",https://twitter.com/givemecrystals/status/1428637249231482890
비,@Hr_aop,2021-08-13T05:44:31.000Z,"비
@Hr_aop
·
8월 13일","리루하피로 밴드부 보고싶다~!
보컬 하지메 기타 린 베이스 루카 드럼 사요 건반 미치카타
1
2
3",,1,2,3,[],https://twitter.com/Hr_aop/status/1426057054288965633
NU,@Nu_aoppella,2021-08-16T19:37:43.000Z,"NU
@Nu_aoppella
·
8월 17일","담력시험하면
대놓고 겁없음 : 하지메,  미츠오, 유이
대놓고 겁 많음
겁없는척하면서 속으로는 쫄기
: 린, 마이토, 
덤덤하게 웃음을머금고 뒤따라감 : 사요 후카밍, 루카

개인적으로 아사하루, 아키라는 웃고는있는데 식은땀 삐질흘리며 겁내고있으면 좋겠고
미치타카는 의외로 겁 없는편이었으면
1
5",🎼,,1,5,[],https://twitter.com/Nu_aoppella/status/1427353900479238158
みこん,@mikon3055,2021-08-23T13:10:41.000Z,"みこん
@mikon3055
·
8월 23일","저 계속 꾸준히 외치고 있는거...
학년 셔플 유닛 내놔라!!!!! 파트 노리고 나눈거잖아!

(2학년)
Top 린
2nd 하지메
3rd 마이토
4th 아사하루

(1학년)
Top 미츠오
2nd 아키라
3rd 미치타카
4th 루카

Bass 사요,유이
Per 후카밍
3
7",🐮,,3,7,[],https://twitter.com/mikon3055/status/1429793217113837571
인삼,@dlstka_,2021-08-23T17:09:01.000Z,"인삼
@dlstka_
·
8월 24일","아니 헐 헐 나 왜 기적의 노래 지금 들었어 아 미치타카 진짜 미치겠다 완전 귀여워 아니 하지메랑 루카 사요 린도 그렇고 파트 진짜 잘 나눴다 뽀뽀갈기고싶음
1
4",,1,,4,[],https://twitter.com/dlstka_/status/1429853193698091020
みこん,@mikon3055,2021-08-16T20:02:48.000Z,"みこん
@mikon3055
·
8월 17일","여름합숙 이야기 나온거 정리♪

● 아키라 아빠가 운영하는 리조트에 리루&페임 다같이 여름합숙을 하러 감.

●사요가 해변까지 전세내려고 해서 린이 필사적으로 막았다.

● 하지메랑 린은 당연하고 드물게 아사하루까지 신나보였다고 함.

● 수박깨기를 했다고 함 (루카 첫 경험)
3
5",🐮,,3,5,[],https://twitter.com/mikon3055/status/1427360211661049865
