UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
이먀,@lim24ok,2021-08-21T06:01:26.000Z,"이먀
@lim24ok
·
8월 21일",".              핸더성에 오신것을 환영해요.

.    난 마카오.

.                                     난 조마에요.
2
7.1천
7.2천",,2,7.1천,7.2천,['https://pbs.twimg.com/media/E9Sv7B9VcAASZgH?format=jpg&name=small'],https://twitter.com/lim24ok/status/1428960413492731905
심해,@DeepSea522,2021-08-17T08:33:08.000Z,"심해
@DeepSea522
·
8월 17일","191205 마카오국제영화제 영화 <선물>
#수호 #준면 #SUHO #EXO #엑소 

D - 180
134
297",,,134,297,"['https://pbs.twimg.com/media/E8-sDmjUUAohxsl?format=jpg&name=small', 'https://pbs.twimg.com/media/E8-sFNrVIAEptdI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8-sECVVoAUi3_O?format=jpg&name=small', 'https://pbs.twimg.com/media/E8-sF2NUYAINqRz?format=jpg&name=360x360']",https://twitter.com/DeepSea522/status/1427549042565808129
김윤석金倫奭,@peachsoda_momo,2021-08-23T12:07:28.000Z,"김윤석金倫奭
@peachsoda_momo
·
8월 23일","2012마카오박                  2021한신성
29
36",🍑,,29,36,"['https://pbs.twimg.com/media/E9eW3GkVkAUzDRk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9eW3SdUUAIwg5-?format=jpg&name=360x360']",https://twitter.com/peachsoda_momo/status/1429777305027563530
김츈식,@KCS_92,2021-08-11T13:18:16.000Z,"김츈식
@KCS_92
·
8월 11일","#신의탑 #ToG 

하가문 쌍둥이로 마카오 || 조마 
1
16
52",🩰,1,16,52,['https://pbs.twimg.com/media/E8gzwEfVgAIC99C?format=jpg&name=900x900'],https://twitter.com/KCS_92/status/1425446468064739328
양감기자,@_yanggam,2021-08-29T16:38:59.000Z,"양감기자
@_yanggam
·
8월 30일","마카오 카지노 브입방에서 공사치고 있을 것 같은데 이 남자
2
3",,,2,3,['https://pbs.twimg.com/media/E9-OkTEUcAcAIQQ?format=jpg&name=900x900'],https://twitter.com/_yanggam/status/1432019964844642305
해씨,@2twoszy,2021-08-27T07:34:38.000Z,"해씨
@2twoszy
·
8월 27일","너는
마카오박도되고
잠파노도되고
예니콜도되는 
그런남자야..
13
11",,,13,11,"['https://pbs.twimg.com/media/E9x-yl8VkAMPCHb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x-yl8UUAQx-2s?format=jpg&name=360x360']",https://twitter.com/2twoszy/status/1431158195163066368
미리,@miriya_00_,2021-08-30T16:09:24.000Z,"미리
@miriya_00_
·
8월 31일","왜요
마카오양애치들로 드셔볼생각은,
2
7",,,2,7,['https://pbs.twimg.com/media/E-DRYt9VcAkMqya?format=jpg&name=900x900'],https://twitter.com/miriya_00_/status/1432374907275407363
네모=^^=,@Nemmo_oh,2021-08-18T15:43:40.000Z,"네모=^^=
@Nemmo_oh
·
8월 19일","역시 마카오박.
""좆같지. 외롭고.""
GIF
주
@BEST_SuPerDuPer
 · 8월 18일
우리도 그거 하자 인용으로 좋아하는 김윤석 짤 올리기
이 스레드 보기
27
33",,,27,33,['https://pbs.twimg.com/profile_images/1441065088677416964/g4OL4uyS_mini.jpg'],https://twitter.com/Nemmo_oh/status/1428019776031322115
유고,@likemorethan,2021-08-01T01:34:47.000Z,"유고
@likemorethan
·
8월 1일","#마크한테만공개
#먹다가_해찬이_생각이나신거예요
건대 마카오도우라오 !
첫 맛집 해시 올리는 건데 그만큼 훠궈 훡워 확와는 맛있었습니다.. 무한리필이고 가게도 커서 눈치보지 않고 편하게 먹을 수 있었습니다 ~
26
9",,,26,9,"['https://pbs.twimg.com/media/E7qzF-dVoAQSHxK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7qzF-cVEAM0YvT?format=jpg&name=360x360']",https://twitter.com/likemorethan/status/1421645554627407881
김후추,@T_peireTu,2021-08-20T14:27:08.000Z,"김후추
@T_peireTu
·
8월 20일","마지막으로 한마디 하자면 저기있는 3명 중 중국인은 한명이고 핸드리랑 양양은 각각 마카오특별행정구역,대만 국적임
얘네 싸잡아서 ‘중국인’이라고 하는 니 생각이 제일 중국몽스럽고 중국과 다른 국경을 가지고 있고 심지어 여권도 다른 나라 싸잡아서 중국이라고 하는 니 생각이 젤 공산당같애
인티 The Hill
@instiz
 · 8월 20일
진지하게 우리나라 연예계 망칠 것 같은 SM.jpg https://instiz.net/pt/7017264
71
35",🏠,,71,35,"['https://pbs.twimg.com/media/E9PaE9vVgAYF7JD?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1416412661059710978/1IE9pp8e_mini.jpg', 'https://pbs.twimg.com/media/E9Owd8lUcAQCfjo?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9OweFBUUAA36kI?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9OweOLUcAALwhs?format=jpg&name=120x120']",https://twitter.com/T_peireTu/status/1428725291325693954
헤일,@inhale_out,2021-08-30T07:17:00.000Z,"헤일
@inhale_out
·
8월 30일","건대 마카오도우라오
오늘은 밍구랑 같이 오랜만에 훠궈 먹으러가따

#우리배는_식도로만_가 
#최산을_다해_먹어봐요
#송민_기가막힌맛집
10",🐺 📍 😎,,,10,['https://pbs.twimg.com/media/E-BXheeUUAIkWJ0?format=jpg&name=small'],https://twitter.com/inhale_out/status/1432240922247393281
쪼피,@I_Luv_cute_lion,2021-08-22T09:35:20.000Z,"쪼피
@I_Luv_cute_lion
·
8월 22일","현실적인 홍콩앤드마카오 바이브 좋은데... 난 십타쿠라서 세기말 사이버펑크 세계관의 디스토피아 재질 약간 가미한 인간병기 경찰 2인조가 뒷세계 마약왕 잡겠다고 클럽에서 잠복근무 뛰는 상상 풀가동하는 중
21
46",,,21,46,"['https://pbs.twimg.com/media/E9YqeBoVcAImvo2?format=jpg&name=small', 'https://pbs.twimg.com/media/E9YqeBoVEAYomYb?format=jpg&name=small']",https://twitter.com/I_Luv_cute_lion/status/1429376634348400641
Winners지민 jimtober,@jimin_6830,2021-08-26T10:49:10.000Z,"Winners지민 jimtober
@jimin_6830
·
8월 26일","마카오 공연때 제가 몸 컨디션 때문에 앉아서 공연을 하게 되었는데  그때 정말로 무대를 하고 싶었어요. 아무래도 이번 공연은 앉아서 해야 할 것 같다는 이야기를 들었을때..
엄청 졸랐거든요.
할 수 있다고..그때 많이 속상했던 기억이 나네요.
                   지민
2:19
10.1만 조회수
September ⁷
 님의
2
34
83",🐈 🥳 💜 🐨 🐹 🐱 🐿 🐥 🐻 🐰 🐥 ⛱,2,34,83,[],https://twitter.com/jimin_6830/status/1430844767147991041
목단,@mockdan_,2021-08-19T07:05:09.000Z,"목단
@mockdan_
·
8월 19일","마카오 구석에 있는 상하이라는 7층짜리 누각으로 된 중국 식당 맨꼭대기 VIP실 서빙 갈것같음.
중국어 잘하면서 못하는척 영어만 쓸거같음. 광둥어다 알아듣는데 못알아듣는척. 아예 말못하는 척도 좋음. 그래서 그런 vip 서빙은 다 용볷이가 하는거
1
5
44",🧀,1,5,44,['https://pbs.twimg.com/media/E9IrUzNVUAAcrFB?format=jpg&name=900x900'],https://twitter.com/mockdan_/status/1428251673592434690
