UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
재농,@exhaustedJN189,2021-08-30T04:12:43.000Z,"재농
@exhaustedJN189
·
8월 30일","알바하면서 맨날 속으로
Fuck you...
Fuck you too...
I spat in your coffee~
Don't flight with us again
You smell like a ball sack~
이거하고있음
1
5",,1,,5,[],https://twitter.com/exhaustedJN189/status/1432194545983246337
Astral,@Velocit31617525,2021-08-28T13:15:14.000Z,"Astral
@Velocit31617525
·
8월 28일","Good Morning Join us for coffee!
6
10
46",🌞,6,10,46,['https://pbs.twimg.com/ext_tw_video_thumb/1431606193114566660/pu/img/no3ctJbkY9CrR2tL.jpg'],https://twitter.com/Velocit31617525/status/1431606298274054148
toben,@jaeparkedt,2021-08-30T10:55:05.000Z,"toben
@jaeparkedt
·
8월 30일","HAPPY JAE DAY  

Join us in celebrating Chicken Little's 29th birthday on September 15, 2021 at Zoo Coffee Megamall!
3
72
98",🐶 🧡 💙,3,72,98,"['https://pbs.twimg.com/media/E-CJb5vVEAYjM5R?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CJb5wVEAEbfh1?format=jpg&name=small']",https://twitter.com/jaeparkedt/status/1432295806074179589
민트,@mintho1025,2021-08-30T10:14:00.000Z,"민트
@mintho1025
·
8월 30일","Seungmin’s video message to 2PM for sending the coffee truck:
“2PM hyungs! Thank you for always trusting us and supporting us. Stray Kids will have to work hard in the future too”

Seungmin included “hae-ya-hae” 
347
823",🐰 😆,,347,823,['https://pbs.twimg.com/ext_tw_video_thumb/1432285349875646468/pu/img/08g-j1S3kwHkYBL9.jpg'],https://twitter.com/mintho1025/status/1432285465919438848
Global Shin Hae Sun Fans,@shinhaesunintl,2021-08-30T13:52:51.000Z,"Global Shin Hae Sun Fans
@shinhaesunintl
·
8월 30일","Shin Hae Sun International will be doing an Instagram LIVE Event tomorrow at 1pm KST (time subject to change) direct from Seoul! Catch our Cupholder Event live at Wake-up Coffee! Join us!! 

#HappyHaeSunDay 
#HaeSunShines
#ProjectSunshine
#ShinHaeSun #ShinHyeSun #신혜선
18
50",🎂,,18,50,['https://pbs.twimg.com/media/E-CyHfiVQAAaYm9?format=jpg&name=small'],https://twitter.com/shinhaesunintl/status/1432340543778869249
Jada Coffee,@JadaCoffee,2021-08-30T06:37:23.000Z,"Jada Coffee
@JadaCoffee
·
8월 30일","Your meetings are a priority to us and that’s why you need our coffee to make you feel strong, full of energy,and able to take on the world. 

We are here to sort them out therefore make your orders and we deliver to your office/work place.

DM or call 0772580144/0705106262
1
10
21",,1,10,21,['https://pbs.twimg.com/media/E-BOdOqWEAo_Fxq?format=jpg&name=small'],https://twitter.com/JadaCoffee/status/1432230954127568896
현진이,@SZKHXUAN,2021-08-30T03:23:37.000Z,"현진이
@SZKHXUAN
·
8월 30일","Thank you for this food/coffee truck for us 2PM hyungnim!! Thanks for supporting us, we love you hyung 
2
5
5",😉 🖤,2,5,5,['https://pbs.twimg.com/media/E-AiGNlVIAA-6gB?format=jpg&name=small'],https://twitter.com/SZKHXUAN/status/1432182189416800257
Anna of Miss And Mister Gaming,@msandmrgaming,2021-08-28T07:50:55.000Z,"Anna of Miss And Mister Gaming
@msandmrgaming
·
8월 28일","Goooood morning!! Grab your coffee and a waifu and join us for our very first morning stream! Going live at 8 am ET with the cool game Bladed Fury! Yes...it's almost 4 am in the morning...heck no we haven't slept yet! Is that gonna stop us? Absolutely not! https://youtu.be/4TSt2QOvs48
3
7
13",🎀 🎀,3,7,13,['https://pbs.twimg.com/media/E93LczCXEAMzgi4?format=jpg&name=small'],https://twitter.com/msandmrgaming/status/1431524683946602500
Penance RPG #Giveaway coming up at 10k!,@PenanceRPG,2021-08-28T11:15:00.000Z,"Penance RPG #Giveaway coming up at 10k!
@PenanceRPG
·
8월 28일","Enjoy our #podcast & streams?
Support us at http://Ko-fi.com/Penancerpg
Fancy a Bard's Tale written just for you? Choose the song that this #RPGHook is based on for just the price of a coffee!
#gaming #fantasy #Comedy #DnD #DnD5e #IndieGames #TTRPG #RPG #TwitchStreamer #Twitch #KoFi
21
17",🐲,,21,17,['https://pbs.twimg.com/media/E9zsv3oXEAUm6G_?format=jpg&name=small'],https://twitter.com/PenanceRPG/status/1431576040921604096
Hospital Playlist Project Team,@HosplayProject,2021-08-30T10:50:13.000Z,"Hospital Playlist Project Team
@HosplayProject
·
8월 30일","In regards to the impossible securing a slot for the coffee truck support, we are focusing on the AD and gifts to show our gratitude the whole cast and crew of Hospital Playlist.

Together, help us achieve the goals!  The donation drive is open until September 12.
1
30
71",♥,1,30,71,['https://pbs.twimg.com/media/E-CIVOtUUAMSKDt?format=jpg&name=900x900'],https://twitter.com/HosplayProject/status/1432294582365032452
