UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
HYUKOH,@hyukohh,2020-03-09T04:08:48.000Z,"HYUKOH
@hyukohh
·
Mar 8, 2020","[놀면 뭐하니? 선공개] 다시 만난 핑크 텔레토ㅂ...   아니 혁오 밴드! 유재석과 함께 치킨브라더스 결성 ㅋㅋ https://youtu.be/-4woxvaPIiw 
@YouTube
 님이 공유
[놀면 뭐하니? 선공개] 다시 만난 핑크 텔레토ㅂ... 아니 혁오 밴드! 유재석과 함께 치킨브라더스 결성 ㅋㅋ
[놀면 뭐하니?] 토요일 저녁 6시 30분 방송!
youtube.com
5
67
208",,5,67,208,['https://pbs.twimg.com/card_img/1440993891545600020/jB64zmHj?format=jpg&name=240x240'],https://twitter.com/hyukohh/status/1236866500780109824
바오로 |||,@paolonapaul,2018-11-01T11:25:24.000Z,"바오로 |||
@paolonapaul
·
Nov 1, 2018","สั่งไก่ทอด ร้าน 치킨 브라더스 มากิน (กินคนเดียว) ราคา 15,000 วอน 
.
เกาหลีประเทศที่จำให้คุณตัวใหญ่ขึ้นโดยไม่รู้ตัว 
.
#เกาหลี #รีวิวเกาหลี
7
6",,,7,6,"['https://pbs.twimg.com/media/Dq6dw_TUcAART4J?format=jpg&name=small', 'https://pbs.twimg.com/media/Dq6dw_VVAAAA5r2?format=jpg&name=small']",https://twitter.com/paolonapaul/status/1057956771845697536
Taegyu,@che8610,2012-05-01T12:57:31.000Z,"Taegyu
@che8610
·
May 1, 2012",할 말 잃은 치킨 브라더스 ㅋㅋ,,,,,['https://pbs.twimg.com/media/Arz7R49CAAEuQ1L?format=jpg&name=small'],https://twitter.com/che8610/status/197308768457981952
황대성,@hwangdaes,2016-09-01T12:11:53.000Z,"황대성
@hwangdaes
·
Sep 1, 2016",치킨브라더스 http://fb.me/6pWOdmYXz,,,,,[],https://twitter.com/hwangdaes/status/771319665847103492
황대성,@hwangdaes,2016-04-07T11:55:28.000Z,"황대성
@hwangdaes
·
Apr 7, 2016",치킨브라더스 http://fb.me/28bNJJTi0,,,,,[],https://twitter.com/hwangdaes/status/718044517346197504
황대성,@hwangdaes,2016-09-01T12:11:51.000Z,"황대성
@hwangdaes
·
Sep 1, 2016",I'm at 치킨브라더스 https://swarmapp.com/c/7l3Npx4Cl6Z,,,,,[],https://twitter.com/hwangdaes/status/771319655755575296
MTG :: 왜 사냐건 그저 웃지ㅇ.... 으아아악!,@analoggreen,2013-03-30T11:57:30.000Z,"MTG :: 왜 사냐건 그저 웃지ㅇ.... 으아아악!
@analoggreen
·
Mar 30, 2013",슈퍼 치킨 브라더스 #명작의_제목에_치킨을_넣어보자,,,,,[],https://twitter.com/analoggreen/status/317968828443271170
삐걱,@dkswjd8282,2015-06-04T13:46:42.000Z,"삐걱
@dkswjd8282
·
Jun 4, 2015",치킨브라더스 응답하라,,,,,[],https://twitter.com/dkswjd8282/status/606457049665277953
삐걱,@dkswjd8282,2015-06-04T13:46:29.000Z,"삐걱
@dkswjd8282
·
Jun 4, 2015",소님이 gtx 760 쓰니 ... 치킨브라더스!,,,,,[],https://twitter.com/dkswjd8282/status/606456995550339072
인터파크 티켓,@InterparkTicket,2021-04-19T01:01:00.000Z,"인터파크 티켓
@InterparkTicket
·
Apr 18","[]
⋆₊˚  ꙳퍼플라벨 시즌6 치킨어택 이벤트꙳ ₊⋆ 

#퍼플라벨 시즌6 공연 중
본인이 응원하는 공연or응원하는 배우를
아래 멘션으로 남겨주세요! 

1개 공연팀을 선정해 인터파크가
BHC 3만원권 30장을 보내드립니다!
+참여자 중 10명에게도 드려요(추첨)

http://inpk.kr/rHlR
358
314
43",💜 🍗 👋 🕺,358,314,43,"['https://pbs.twimg.com/media/EzTEHIpVoAsnJdz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzTEHNOVUAUAU66?format=jpg&name=360x360']",https://twitter.com/InterparkTicket/status/1383948712901185536
물감놀이②⑧에코,@ech0reply,2021-04-26T15:01:12.000Z,"물감놀이②⑧에코
@ech0reply
·
Apr 26","파탄난 가정이 치킨으로 하나될 수 있게 도와주세요
우리 야식에 살고 있는 치킨~ 

브라더스 까라마조프 김재범 배우님을 응원합니다!
6",👉 🥺,,,6,[],https://twitter.com/ech0reply/status/1386696872631304195
