UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
~로스트ㅇr만~ 실아양,@sylian_Y_aman,2021-08-28T17:16:30.000Z,"~로스트ㅇr만~ 실아양
@sylian_Y_aman
·
8월 29일","서로 모험가와의 친분 과시하다가 친구먹는 니아와 비올레
(with.달시님께서 풀어주신 썰)
1
73
82",🐉 💕,1,73,82,"['https://pbs.twimg.com/media/E95MyhnVIAAq0iv?format=jpg&name=small', 'https://pbs.twimg.com/media/E95MzdxVgAIcN9Z?format=jpg&name=small', 'https://pbs.twimg.com/media/E95M0WiUcAEUMN1?format=jpg&name=360x360']",https://twitter.com/sylian_Y_aman/status/1431667015094136833
반쯤 얼어버린 털뭉치,@Human_nim,2021-08-27T18:09:33.000Z,"반쯤 얼어버린 털뭉치
@Human_nim
·
8월 28일","올만에 헤이글 비올레타...
2
2",,,2,2,['https://pbs.twimg.com/media/E90QHfnVEAQ-wc4?format=jpg&name=small'],https://twitter.com/Human_nim/status/1431317979904442369
엽떡마라우동투즈,@hawkinsgothic99,2021-08-21T09:56:28.000Z,"엽떡마라우동투즈
@hawkinsgothic99
·
8월 21일","#자신의_손그림_레전드를_자랑해보자

전부 틸리랑 비올레뜨
2
5",🥝 🤝,,2,5,"['https://pbs.twimg.com/media/E9TlqHaUcAIeR7V?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9TlqHbVgBEKDgk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9TlqHZVgAcIzPb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9TlqHYVEAMhjQF?format=jpg&name=small']",https://twitter.com/hawkinsgothic99/status/1429019561806819331
반동결설격,@bamkhun_03,2021-08-29T06:30:10.000Z,"반동결설격
@bamkhun_03
·
8월 29일","기도하는 비올레
#tower_of_god
3
4
10",😉 😉,3,4,10,['https://pbs.twimg.com/media/E98DOIKUYAIYPeU?format=jpg&name=small'],https://twitter.com/bamkhun_03/status/1431866750954471424
갱이,@gang_2E,2021-08-08T14:23:55.000Z,"갱이
@gang_2E
·
8월 8일","약간 이제 누가 비올레!! 거리면 가만히 좀 있어라가 자동재생됨
9
38",,,9,38,['https://pbs.twimg.com/media/E8RmRCbVIAQJW6o?format=jpg&name=medium'],https://twitter.com/gang_2E/status/1424375827421007877
ᴑ‿ゝᴑ (김푸르) ζ ‹‿ ⬬,@P_R_sobi,2021-08-16T09:31:31.000Z,"ᴑ‿ゝᴑ (김푸르) ζ ‹‿ ⬬
@P_R_sobi
·
8월 16일","비올레타보스 존내주섭고 디자인 존내맘에드는데 얼굴...랴쇼묭 모델링 그대로 가져온것같아서 맘아픔
1",,,,1,['https://pbs.twimg.com/media/E85wDvXVgAMzVmv?format=jpg&name=240x240'],https://twitter.com/P_R_sobi/status/1427201343450599425
류하,@RyuHa_owo,2021-08-23T12:34:00.000Z,"류하
@RyuHa_owo
·
8월 23일","비올레 호감도 밀고싶다구..ㅠㅠㅠㅠ
요 말랑콩떡... 최고의 아베스타가 되는 그날까지...
1",,,,1,['https://pbs.twimg.com/media/E9ec5fDUYAUN9JB?format=jpg&name=small'],https://twitter.com/RyuHa_owo/status/1429783982875373574
laris,@jennirubys,2021-08-21T17:32:33.000Z,"laris
@jennirubys
·
8월 22일","넌 나의 비올레타
나에게 다
넌 나의 비올레타
모든 게 다
넌 나의 비올레타
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/E9VOGoWWYAIl6aZ.jpg'],https://twitter.com/jennirubys/status/1429134339435028489
김크롱,@sickshade,2021-08-23T10:44:10.000Z,"김크롱
@sickshade
·
8월 23일","비올레 향수에 제비꽃 넣는 생각
1
3",,,1,3,[],https://twitter.com/sickshade/status/1429756345276764160
찬미굴비버그좀고쳐,@DongGeul99,2021-08-25T02:34:08.000Z,"찬미굴비버그좀고쳐
@DongGeul99
·
8월 25일","별안간 우는 여성 됨 
비올레 생존의 서 반응 머냐고..
머냐고.......
1
4",,,1,4,"['https://pbs.twimg.com/media/E9mmxOzVoAMArhM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9mmzc3VUAU1UH2?format=jpg&name=small']",https://twitter.com/DongGeul99/status/1430357797632286724
,@iloveyoudy_04,2021-08-22T00:47:34.000Z,"@iloveyoudy_04
·
8월 22일","아이즈원 굿즈 양도합니다 각 0.1~0.4

여러개, 쿨거 - 에눌

Sell

장원영 사쿠라 조유리 최예나 안유진 나코 권은비 강혜원 히토미 김채원 김민주 이채연 라비앙로즈 비올레타 피에스타 환상동화 파노라마 ar포카 생사진 아이즈원 아이즈원교환 아이즈원양도
4
2",💖 ⭕ ⭕,4,,2,"['https://pbs.twimg.com/media/E9WxndsVUAESdGl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9WxqDOUcAUxBe4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Wxoq5UYAIHKIJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9WxrSXVoAcnhZX?format=jpg&name=360x360']",https://twitter.com/iloveyoudy_04/status/1429243817912258560
미츠야 여자친구 유청화 エプル,@HSA3328000,2021-08-28T19:50:24.000Z,"미츠야 여자친구 유청화 エプル
@HSA3328000
·
8월 29일","제 5인격 게임 요약.. 멍같은 게임!;!;!!
(제 5인격-감시자 거미(비올레타))
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1431705487418871811/pu/img/pbXAps3C7sL6HrWA.jpg'],https://twitter.com/HSA3328000/status/1431705747507716096
