UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
오로라의 공상,@mDW8gRsObxvDDWf,2021-08-25T12:49:02.000Z,"오로라의 공상
@mDW8gRsObxvDDWf
·
8월 25일","이곳이 바로 탈레반이 제대로 장악하지 못해 북부로 진입하지 못하는 주요 간선도로인 살랑패스(Salang Pass)임. 탈레반이 초반에 장악했다가 곧바로 저항군에게 패퇴해서 지금까지도 되찾지 못하는 동네임.
5
89
136",,5,89,136,['https://pbs.twimg.com/media/E9oy5KGVUAM3x4l?format=png&name=small'],https://twitter.com/mDW8gRsObxvDDWf/status/1430512542711902209
환타,@nocider,2021-08-29T04:17:08.000Z,"환타
@nocider
·
8월 29일","아니 진짜 성대가 어떻게 이래

스피커 뚫는 딴딴한 고음에서 바로
 살랑간질 I love you so mumumumuch
132
323",⁉ ▶,,132,323,['https://pbs.twimg.com/ext_tw_video_thumb/1431833141455441923/pu/img/S1P_YHewG7MFL2Cf.jpg'],https://twitter.com/nocider/status/1431833270291890177
다쿠단거재고통판~9.30.,@darksweetdanger,2021-08-21T10:43:48.000Z,"다쿠단거재고통판~9.30.
@darksweetdanger
·
8월 21일","정욕은 일을 그르친다던 냉혹미남 회귀자는 사랑도 하고 결혼도 하고 애도 있었는데
꼬리 살랑대고 다니는, 엉덩이 가벼워보이는 미인은 소개팅 한번 안해본 자만추 샌님
90
204",🐹 🍕,,90,204,['https://pbs.twimg.com/media/E9Twi9vVoAk06Du?format=jpg&name=small'],https://twitter.com/darksweetdanger/status/1429031475870003200
Hell,@cravecat2345,2021-08-26T15:07:02.000Z,"Hell
@cravecat2345
·
8월 27일","옴마 다리베고 꼬리 살랑 귀 쫑긋. 봄:)
1
17
79",,1,17,79,['https://pbs.twimg.com/ext_tw_video_thumb/1430909605148692483/pu/img/FBrmYvml8O7_PGI8.jpg'],https://twitter.com/cravecat2345/status/1430909659498487808
𝐍𝐀𝐑𝐀,@jcw_nara,2021-08-17T14:43:40.000Z,"𝐍𝐀𝐑𝐀
@jcw_nara
·
8월 17일","내린시선,바람에 살랑이는 머리카락,손목뼈... 
청순 청초가 지나침

https://drive.google.com/uc?export=view&id=1EIutssfriPme4-Za9bTYLKhZXVU90Nqy…
GIF
21
75",🌷 🌿 🌱 🌱 💜,,21,75,['https://pbs.twimg.com/tweet_video_thumb/E9AA_8cWUA05KGb.jpg'],https://twitter.com/jcw_nara/status/1427642288444948484
플립,@PYML95,2021-08-22T04:38:55.000Z,"플립
@PYML95
·
8월 22일","태형이 손 위에 살포시 올라가있는 연탄이 발 무게랑 느낌을 상상하면 너무 행복해짐••••. 아침 햇살의 무게 민들레 홀씨의 무게 보들보들 사랑살랑 눈은 간식에 고정 용맹
15
76",,,15,76,['https://pbs.twimg.com/media/E9XmoLUVIBIAhWl?format=jpg&name=small'],https://twitter.com/PYML95/status/1429302036818841604
하리,@chopinday,2021-08-21T17:24:38.000Z,"하리
@chopinday
·
8월 22일","12월의 크리스마스 주를 표현한 곡이지만 지금의 난 이 곡을 들으면 봄바람에 살랑거리는 꽃들 옆에서 춤을 추는 것 같은 느낌이 들어  물론 크리스마스를 앞둔 주에 이 곡을 들으면 다르겠지만 말이야.. 기분, 분위기에 따라 곡에 대한 느낌이 다르게 와닿는다는 게 신기해
7
21",,,7,21,['https://pbs.twimg.com/ext_tw_video_thumb/1429132204299350021/pu/img/AFMCcWaD8xoO91g7.jpg'],https://twitter.com/chopinday/status/1429132348591804423
또예,@_kongdaeak__,2021-08-21T12:17:59.000Z,"또예
@_kongdaeak__
·
8월 21일","#멜로디_트친소 #비투비_트친소 
오랜만에 트친소 열어욤 ㅎㅎ 
20대 육수니지만 올수니에요 
성인분들만 받을게요!! 나이기재 없으시면 어려울것 같아요 ㅠ 
트친님들 인알해주시면 살랑이죠
1
21
32",💙 🦊 🦊 🦊 🦊 💙,1,21,32,['https://pbs.twimg.com/media/E9UGHASVEAgVV38?format=jpg&name=900x900'],https://twitter.com/_kongdaeak__/status/1429055176862621700
이스,@ymbxss,2021-08-18T16:48:19.000Z,"이스
@ymbxss
·
8월 19일","고우림왕자님 노래하는영상 !
문화유산으로 지정해야하는영상 !
2:25 고음파트하는 클보고 씨익웃는거..
속눈썹살랑... 눈썹찡긋... 아무튼 꼭 봐야함
https://youtu.be/t0YtKOIkKlk
27
52",,,27,52,"['https://pbs.twimg.com/media/E9FnNoDUYAAZjku?format=jpg&name=small', 'https://pbs.twimg.com/media/E9FnNoCUUAEqAn9?format=jpg&name=small']",https://twitter.com/ymbxss/status/1428036045703057415
이그드라실,@igdrasil_flower,2021-08-17T23:31:58.000Z,"이그드라실
@igdrasil_flower
·
8월 18일","<8/18 #오늘의_꽃말> 풍접초: 시기질투
열대아메리카 원산으로 풍접초과에 속하는 꽃이에요. 나비가 바람에 살랑거리는 모습과 닮았다하여 이런 이름이 붙었어요. 스웨덴에서는 낙원화(paradisblomster)라는 멋진 이름으로 부른답니다.
32
23",,,32,23,"['https://pbs.twimg.com/media/E9B6AErVcAIeBOX?format=jpg&name=small', 'https://pbs.twimg.com/media/E9B6AgJUYAYZk0H?format=jpg&name=small']",https://twitter.com/igdrasil_flower/status/1427775241057488902
