UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
세현,@__Sehyun,2021-08-20T10:05:11.000Z,"세현
@__Sehyun
·
8월 20일","아직 못산애들,,, 담달 꼬옥 하나는 사기,,,
2
6",,2,,6,"['https://pbs.twimg.com/media/E9OeH7uVoAEeklf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9OeH7vUcAMawUb?format=jpg&name=360x360']",https://twitter.com/__Sehyun/status/1428659370447933447
헹,@reine_52,2021-08-10T11:24:43.000Z,"헹
@reine_52
·
8월 10일",예이 경장 산애들 일단 데려가봤다 근대 보이스가 나오는애들있고 아닌애들 있는대 기준 아는사람,❣,,,,"['https://pbs.twimg.com/media/E8bQaoAVoAAbqbg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8bQbH2VkAAG9k4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8bQa28VUAAQPmo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8bQbbJVkAgfJra?format=jpg&name=360x360']",https://twitter.com/reine_52/status/1425055504133279748
Ivory,@ivory_avoria,2021-08-01T03:30:33.000Z,"Ivory
@ivory_avoria
·
8월 1일","이거봐 내말맞지 
막산애들은 점돌이 지지한다니까 
경제적으로 잘살고 못살고 이야기가 아녀 
걍 도덕적으로 둔한것들 말이다!!
2
4
5",💙 🦁,2,4,5,[],https://twitter.com/ivory_avoria/status/1421674688376279044
일반인,@iwannabyourasap,2021-08-23T07:24:42.000Z,"일반인
@iwannabyourasap
·
8월 23일",얼마전에 앨범산애들아,,,,,[],https://twitter.com/iwannabyourasap/status/1429706147057999874
키위,@michikiske37,2021-08-05T14:41:23.000Z,"키위
@michikiske37
·
8월 5일",두산애들은 같이 뭉쳐 있을때 잘하는데,,,,,[],https://twitter.com/michikiske37/status/1423293058284625928
현재,@_hyeonjae,2021-08-23T06:23:02.000Z,"현재
@_hyeonjae
·
8월 23일","하지만저게맞아
등선하는거보고싶어
그치만화산애들이
하지만등선한번쯤은해봐야
아니
1
3",,,1,3,[],https://twitter.com/_hyeonjae/status/1429690628762259460
초록,@chorok126,2021-08-07T07:19:55.000Z,"초록
@chorok126
·
8월 7일",두산애들 얼굴 까먹음 하도 안본지 오래되섴ㅋㅋㅋㅋㅋㅋ,🥬,,,,[],https://twitter.com/chorok126/status/1423906734330966018
박아지,@Rip_off_00,2021-08-18T11:57:55.000Z,"박아지
@Rip_off_00
·
8월 18일","부적 산애들은 안타깝네 귀신이 준 부적이라니~
2",,,,2,[],https://twitter.com/Rip_off_00/status/1427962963718152201
김카노,@knmg2323,2021-08-15T08:01:39.000Z,"김카노
@knmg2323
·
8월 15일",흐아악 플립은 근데 멀사도 이뻐 내 주변. 플립산애들꺼 다 색다른데 라벤더랑 블랙 다 이뻤다...,,,,,[],https://twitter.com/knmg2323/status/1426816340807995395
모자,@moz_ablook,2021-08-12T01:54:26.000Z,"모자
@moz_ablook
·
8월 12일",집산애들은 집이나 있지 나는 살아만 있는데 돈을 뭐 이따구로 써서,,,,,[],https://twitter.com/moz_ablook/status/1425636764299890694
금금,@go1deni,2021-08-21T16:23:43.000Z,"금금
@go1deni
·
8월 22일","한숨님 넘웃겨요ㅠㅠㅠㅠ ㅠㅠ 
루조나산애들 필사적인거랑 로가 막 찾아다니는거 넘 귀여워요.... 최고ㅠㅠㅠㅋㅋㅋ ㅋㅋ ㅋ ㅋㅋ
1",,1,,,[],https://twitter.com/go1deni/status/1429117016523239433
춘버드,@Chun_seh,2021-08-06T14:43:36.000Z,"춘버드
@Chun_seh
·
8월 6일","즉출하같은거 풀리고 멜칼에 ㅈㄴ 플미붙어서 이삼천엔에 올라오는건 빡치긴함 근데 그거산애들은 예뻐서산게아니라 걍ㅋㅌㅋ인기있는장르라 플미붙이려고 애초에 산거지 콘서트티켓암표상처럼
1
2",,1,,2,[],https://twitter.com/Chun_seh/status/1423656005368385540
김폴,@falltofly_saber,2021-08-01T10:15:06.000Z,"김폴
@falltofly_saber
·
8월 1일","나는...영생을살았다던지 몇백년몇천년산애들은 좀...사느라 힘들었으니 쉬라는 차원에서 죽어도 괜찮다고생각해...... 아니면 더이상 영생못살고 인간으로 늙어죽을거라는 결말도 좋아함
1
5",❄,1,,5,[],https://twitter.com/falltofly_saber/status/1421776497279262727
춘버드,@Chun_seh,2021-08-06T14:45:30.000Z,"춘버드
@Chun_seh
·
8월 6일","예뻐서산애들을 싸불하고 년년취급할게아니라고ㅋㅋㅌㅋㅋ
2",,,,2,[],https://twitter.com/Chun_seh/status/1423656482130726918
쌈무,@fightradish,2021-08-08T02:52:09.000Z,"쌈무
@fightradish
·
8월 8일","오늘..........다너무귀엽고대견하고 거의 다른사람들이보면 내가화산애들키움,,..
1",,,,1,[],https://twitter.com/fightradish/status/1424201738265907201
금표,@mmmc_g_S2,2021-08-05T15:10:44.000Z,"금표
@mmmc_g_S2
·
8월 6일","아니마.조에 인생억울하고슬프게산애들이 한둘이아니긴하지마는 그중에서도 효도장은정말...정말.로......
1",,,,1,[],https://twitter.com/mmmc_g_S2/status/1423300443510214660
토끼,@tokkipgb,2021-08-03T09:29:07.000Z,"토끼
@tokkipgb
·
8월 3일","나 지금 두산애들한테 낯가려...
1",,,,1,[],https://twitter.com/tokkipgb/status/1422489700112076806
동글동글,@sunwoo_omg,2021-08-14T15:13:39.000Z,"동글동글
@sunwoo_omg
·
8월 15일",제발 산애들이라도 살려요,,,,,[],https://twitter.com/sunwoo_omg/status/1426562670879076366
당신 장르 덕질합니다. 뉴비입니다. 놀라지마세요,@apu_you,2021-08-05T13:10:39.000Z,"당신 장르 덕질합니다. 뉴비입니다. 놀라지마세요
@apu_you
·
8월 5일","15살 애들은 무슨 몇백년 산애들이랑 엮어먹는지
아퓨어 취향 참 소나무야",,,,,[],https://twitter.com/apu_you/status/1423270224795635713
𝒰𝑒𝓊𝓃⚘,@A_saeha,2021-08-28T10:59:50.000Z,"𝒰𝑒𝓊𝓃⚘
@A_saeha
·
8월 28일","아니안그래도스타크루젊은층산애들이폴나레프랑죠타로밖에없는데폴나레프그렇게되가지고죠타로가보면얼마나슬프겠냐고애들헤어질때둘다눈물글썽인것도너무찡한데헤어졌다겨우겨우십여며만에다시보는건데애가애가눈다리잃어서갇혀서그러고있으면죠타로심정진짜어떻겠냐고요내가이걸아무한테도못털고나만
1
1",,1,,1,[],https://twitter.com/A_saeha/status/1431572224192827400
호형유료분스포 때양,@ssBARKHAN_,2021-08-07T05:30:36.000Z,"호형유료분스포 때양
@ssBARKHAN_
·
8월 7일",아ㅠㅠㅠ흰산애들이랑 추이 다시 볼 수 있을까ㅠㅠㅠㅠㅠㅠㅠ겁나 큰 아재랑 애기들 너무 사랑스러운데ㅠㅠㅠ엉엉ㅠㅠㅠㅠㅠㅠ,🐅 🐅,,,,[],https://twitter.com/ssBARKHAN_/status/1423879227842072576
치자피즈,@aedievahon,2021-08-04T08:02:56.000Z,"치자피즈
@aedievahon
·
8월 4일",운몽이랑 기산애들 진짜 ㅋㅋㅋㅋㅋ다혈질임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ=͟͟͞͞개=͟͟͞͞웃=͟͟͞͞겨,,,,,[],https://twitter.com/aedievahon/status/1422830400116707330
프초석 삐삐쳐주기 핥,@loh_jm_halt,2021-08-25T16:52:04.000Z,"프초석 삐삐쳐주기 핥
@loh_jm_halt
·
8월 26일","...비앙카 사야만함
아직 산애들 영웅의 길도 안 끝냈지만
사야함",,,,,[],https://twitter.com/loh_jm_halt/status/1430573705361453061
모뀨,@oppositecolds,2021-08-27T12:43:58.000Z,"모뀨
@oppositecolds
·
8월 27일","경상도사투리도 할매식경상도사투리가 진짜촌빨날리고웃킴
아렷을때 할모니랑같이산애들
2",,,,2,[],https://twitter.com/oppositecolds/status/1431236043106177033
여기리스 그거 DADAK,@Carbo_commu,2021-08-27T18:57:42.000Z,"여기리스 그거 DADAK
@Carbo_commu
·
8월 28일","흑흑100인대신산애들왤케...왤케임 김밥마는상상
1",🌂 🌂,,,1,[],https://twitter.com/Carbo_commu/status/1431330094920843264
톢기가톢기를 다꼬,@sssssss_sss____,2021-08-16T05:55:22.000Z,"톢기가톢기를 다꼬
@sssssss_sss____
·
8월 16일","아 실종자랑은 금지인데 
산애들하고는 할수잇잔아요
ㅋ
ㅋ
ㅋ

ㅋ
ㅋ
ㅋ

ㅋ
3",,,,3,[],https://twitter.com/sssssss_sss____/status/1427146951196217351
우가우가공갈챙프z,@switj_1209,2021-08-12T07:02:19.000Z,"우가우가공갈챙프z
@switj_1209
·
8월 12일","괜찮아 너는 썸다를 샀어 어 그거못사도 어 괜찮다 그거  못산애들많다 그거 못산다고해서 뒤지는거아니다 ㅎ하.....
1",,,,1,[],https://twitter.com/switj_1209/status/1425714246290079747
쫑끼리,@pyungzzong,2021-08-06T10:53:40.000Z,"쫑끼리
@pyungzzong
·
8월 6일","근데큐알로해서 이시국에 남이만진거 안사게한다는 취지는 좋은데...
봉제인형만큼은 주문보다 직접보고 얼굴고르는 나는. 확챠스런 애들말고 랜덤 많이타는애들은 나중에살듯..
지금산애들이야뭐.
다확챠지.",,,,,[],https://twitter.com/pyungzzong/status/1423598139999625218
엽,@CHE0NG_YE0P__,2021-08-14T14:15:26.000Z,"엽
@CHE0NG_YE0P__
·
8월 14일","근데나 의자 일부러 빼놓고자는 청명이 진짜보고싶은데
하...그렇다고 현대에유에서까지 애들을 죽일순없잖아 장문사형이랑 청진이랑 나머지화산애들한테 무슨죄가있냐고
1
2",,,1,2,[],https://twitter.com/CHE0NG_YE0P__/status/1426548020766674951
저 새끼의 부인,@1cheo_Nbuje,2021-08-19T13:07:21.000Z,"저 새끼의 부인
@1cheo_Nbuje
·
8월 19일","근데 얘들아 죽지않는다는건 정말 짱인것같애
영생캐는진짜
뭐랄까
아니일단 죽긴해도
존나 오래산캐들은
그냥 꼴려
늙은새끼들말고 젊고잘생긴채로 오래산애들말하는거다
하여튼시발.....
좋음.....
잘먹을게요
1",,,,1,[],https://twitter.com/1cheo_Nbuje/status/1428342823577862145
