UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
요미요미국민러,@3TIlLewiiV5CvZN,2021-08-26T13:35:55.000Z,"요미요미국민러
@3TIlLewiiV5CvZN
·
8월 26일","하,,,,,,진짜 앓을게 천지삐까리인 박지민 얼빡♡♡♡♡♡♡♡♡♡?
2",💜,,,2,['https://pbs.twimg.com/media/E9uH5MyVEAIB_ex?format=jpg&name=900x900'],https://twitter.com/3TIlLewiiV5CvZN/status/1430886728412241920
반동결 뿌리,@iam_bboori,2021-08-26T11:10:40.000Z,"반동결 뿌리
@iam_bboori
·
8월 26일","#멘션한_트친에게_해준다 
168명 중에 아직 말 안해본 선생님들이 천지삐까리 ..**      맘찍이나 멘션해조요..이참에 말해봅세
37
37",❄ ❄ 🌱 🌱,37,,37,['https://pbs.twimg.com/media/E9tmOt8VoAE5huh?format=png&name=small'],https://twitter.com/iam_bboori/status/1430850175862403075
괄허,@heopuppy,2021-08-14T12:59:02.000Z,"괄허
@heopuppy
·
8월 14일","삐까리 돈 눈 개미쳤ㄷ ㄷ
4",,,,4,['https://pbs.twimg.com/media/E8wMX3pVkAULFMt?format=jpg&name=small'],https://twitter.com/heopuppy/status/1426528792638464000
하이네,@juniba_love,2021-08-30T06:01:44.000Z,"하이네
@juniba_love
·
8월 30일","꺄아아아악 너무웃겨 
>>ES 아이돌은 천지삐까리<<
6",,,,6,['https://pbs.twimg.com/media/E-BGTZaVQAEUnaS?format=jpg&name=small'],https://twitter.com/juniba_love/status/1432221983144509444
갬쟈,@Phoooooooooody,2021-08-24T05:16:04.000Z,"갬쟈
@Phoooooooooody
·
8월 24일","#탐라에_계신_분들_과캐디_보여주세요

내 인생... 최대 과캐디
그 이후로는 전부 흑발흑안천지삐까리
5
4",,5,,4,['https://pbs.twimg.com/media/E9iCJpZVcAEW2VH?format=jpg&name=small'],https://twitter.com/Phoooooooooody/status/1430036160294768642
와사비,@wasab2_,2021-08-02T14:14:32.000Z,"와사비
@wasab2_
·
8월 2일",이마에 총알 장식 해주고 싶은 사람 천지삐까리인 요즘,,,,,['https://pbs.twimg.com/media/E7yqkwxVUAI9mvG?format=jpg&name=small'],https://twitter.com/wasab2_/status/1422199137940873222
KeyStone,@MindPoverty,2021-08-07T10:19:46.000Z,"KeyStone
@MindPoverty
·
8월 7일","""소속·이름 안 대던 202경비단 달라졌네요"" [청와대 앞 사람들] | 다음뉴스 https://news.v.daum.net/v/20210807104500702… 

경직법 안지키는게 여기만 그러는게 아님 파출소 순경새끼들도 소속이름 요구하면 필요한만큼 대게 되어 있는데 대충 얼버무리면서 안하는 새끼들이 천지삐까리

나라가 선진국? 조까세요. 어디서
""소속·이름 안 대던 202경비단 달라졌네요"" [청와대 앞 사람들]
""(저에게)질문하기 전에 누구라고 얘기를 하더라구요. 어디 근무하고 있는 누구다, 잠깐 성함만 여쭤도 되겠냐고 묻고, 시위 참여 목적으로 오셨느냐고 하더라구요."" 지난 6일 오전 청와대 앞 분수대광장에서 '드루킹 댓글조작 관련 문재인 대통령 입장 표명 촉구' 릴레이1인시위를 하던 국민의당 소속 50대 남성은 청와대 앞을 지키는 서울경찰청 202경비단의 업
news.v.daum.net
3
1",,,3,1,['https://pbs.twimg.com/card_img/1439745633661882368/fALXZVcA?format=jpg&name=small'],https://twitter.com/MindPoverty/status/1423951995472252933
추락천,@Ken10981193,2021-08-02T12:08:19.000Z,"추락천
@Ken10981193
·
8월 2일","공수처가 무슨 미제사건 전담수사반도 아니고 수사할 것들이 천지삐까리인데 뭐하고 자빠졌는지.

.
21
38",↗,,21,38,[],https://twitter.com/Ken10981193/status/1422167373713268736
상식이통하는세상!,@song8395,2021-08-28T12:55:57.000Z,"상식이통하는세상!
@song8395
·
8월 28일","ㅆㅂ새끼가 손모가지를 추리삐까!!!
닭대가리 따까리들이!!!!!
꺼지라 씨발새끼야!!!!

""문재인 한마디에 사라진 것들.. K방역‧일자리‧소득 그리고 다음엔 언론"" | 다음 뉴스
""문재인 한마디에 사라진 것들.. K방역‧일자리‧소득 그리고 다음엔 언론""
[쿠키뉴스] 이영수 기자 = “문재인 한마디에 사라진 것들... K방역 잘하고 있습니다--->백신이 사라짐, 일자리 상황판으로 일자리 챙기겠습니다--->일자리가 사라짐, 소득주도 성장 하겠습니다--->소득이 사라짐… PS 앞으로 사라질 것들. 언론중재법으로 언론개혁합니다--->특종이 사라짐” 야권의 유일한 호남 출신 장성민 국민의힘 대선 예비후보는 28일
news.v.daum.net",,,,,['https://pbs.twimg.com/card_img/1441773736282423296/WMujRvxk?format=jpg&name=small'],https://twitter.com/song8395/status/1431601447435571203
오.냉,@cucumber_soup__,2021-08-09T18:08:32.000Z,"오.냉
@cucumber_soup__
·
8월 10일","혹시나해서 말씀 드리지만 저는 어디까지나 야매지
전문가는...아닙니다.,.
그냥 제가 그리면서 느꼈던 것을 짧게..이미지로 정리해봤는데
도움이 되셨다면 다행이지만..
안되셨다면 죄송
틀렸을 수도잇어요 정설로 삼지마세요
저는 사람도 못그려요
그냥 저는...야매삐까리예요
오.냉
@cucumber_soup__
 · 8월 10일
안녕하세요~~저두 그렇게 잘 그리는 편은 아니지만 좋게 봐주셔서 감사하네요  

#Peing #質問箱 https://peing.net/ja/qs/1023520499…
12
27",,,12,27,"['https://pbs.twimg.com/media/E8Xiq3iVUAMtWUf?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1430760975427276803/n3RosE3J_mini.jpg']",https://twitter.com/cucumber_soup__/status/1424794743507099650
