UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
당근,@owonnne,2021-08-07T14:21:20.000Z,"당근
@owonnne
·
Aug 7","로우필름 카페앤갤러리

그나마 여유롭게 앉아 있다가 갔던 곳인데 너무너무 좋았어요!! 넓어서 더 좋았습니다 ㅎㅎ 럭키드로우 뽑았는데 5등 포카 한 개도 안 겹침... 대박... 영훈이에 대한 애정이 그득한 공간이어서 시간만 됐다면 한 번 더 갔을 거예요...

#영훈아_생일_베일제스트로_축하해
5
7",❤,,5,7,"['https://pbs.twimg.com/media/E8McE4-UYAMLS1x?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8McE5KVEAAxgfd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8McE4-VIAkSn4_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8McE6LVEAMExGO?format=jpg&name=360x360']",https://twitter.com/owonnne/status/1424012790847578114
김우석 마이너 갤러리,@KWSgall,2021-08-18T17:31:30.000Z,"김우석 마이너 갤러리
@KWSgall
·
Aug 18","-`𝐓𝐡𝐞 𝐋𝐨𝐯𝐞𝐥𝐲 𝐃𝐚𝐲 ♡¸.•*

𝟤𝟢𝟤𝟣 𝖧𝖠𝖯𝖯𝖸 𝖶𝖮𝖮𝖲𝖤𝖮𝖪 𝖣𝖠𝖸
생일 서포트 모금 안내

우석이의 생일을 축하하기 위해 김우석 마이너 갤러리에서 모금을 진행합니다. 많은 참여 부탁드립니다.

 특전폼
 https://naver.me/xyUqUVCm
 서포트카페
 https://cafe.daum.net/kws2021HBDsupport…
311
367",💙 🔗 💙 🔗,,311,367,"['https://pbs.twimg.com/media/E9FwjsmVIAQvOtR?format=jpg&name=small', 'https://pbs.twimg.com/media/E9FwlHlVoAAzA6g?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9FwlH8VcAAC-x2?format=jpg&name=360x360']",https://twitter.com/KWSgall/status/1428046911622111236
윙치키,@reply19990529,2021-08-30T13:12:44.000Z,"윙치키
@reply19990529
·
Aug 30","그나저나 메이3기는 무슨건물이려나
카페도좋구 갤러리도 좋구  나~중엔 모아모아 박지훈메이 마을 만들수있을만큼 많아지겠지
2
127
198",🤔 😆 😆 ❤ 🥰,2,127,198,"['https://pbs.twimg.com/media/E-Co8WYUYAsKJoP?format=jpg&name=small', 'https://pbs.twimg.com/media/E-Co8vqVEAAK8FH?format=jpg&name=small']",https://twitter.com/reply19990529/status/1432330445950111750
이승윤 생일카페 이벤트,@HBD_LSY,2021-08-19T11:21:07.000Z,"이승윤 생일카페 이벤트
@HBD_LSY
·
Aug 19","D-1
카페 와디즈 303 갤러리 관련 공지 입니다
공지 필독 해주시고 내일부터 시작되는 이벤트 많은관심 부탁드립니다 
1
73
86",🌙 ❕ ✨,1,73,86,"['https://pbs.twimg.com/media/E9Jl6arVUAYcmqt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Jl6auUcAI0rMO?format=jpg&name=360x360']",https://twitter.com/HBD_LSY/status/1428316091638419462
니킥곰도리,@TCz5x08IdCIXwT5,2021-08-15T00:25:02.000Z,"니킥곰도리
@TCz5x08IdCIXwT5
·
Aug 14","2차 카페 방문&갤러리 관람ㅎㅎ
@jy_win_bw
 지영쌤 아가들로~~~기분은 제가 냈어요ㅋㅋㅋ 행복~~
#여전히_왓타인과_함께
2
23
62",🤍 💚,2,23,62,"['https://pbs.twimg.com/media/E8ypWZDVoAEZa7H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ypXvGVcAsFTWb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ypXIJVoAANAN9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ypYkuVgAEp9M0?format=jpg&name=360x360']",https://twitter.com/TCz5x08IdCIXwT5/status/1426701430975434757
ʕ • ﻌ •˙ʔ,@721baekho,2021-08-28T07:49:12.000Z,"ʕ • ﻌ •˙ʔ
@721baekho
·
Aug 28","홍대 갤러리카페 바이아스 

덕질 5년차에 호거트도 처음 만들어보고 완전 힐링하고 가요
이벤트 카페 감사합니다! 
@Mr_Baekho_Beard
 

#동호야_너라서_좋아해
#여름바다_태양처럼_눈부신_동호
18
46",💛 💛,,18,46,"['https://pbs.twimg.com/media/E93LrGTVUAIFL3J?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93LtBFVUAMQ4QI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93LsMnVcAcolw9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93Lt5HUcAcf-c3?format=jpg&name=360x360']",https://twitter.com/721baekho/status/1431524249513050120
빵크,@hooni_p1nk,2021-08-07T14:32:33.000Z,"빵크
@hooni_p1nk
·
Aug 7","그리고 여기 카페앤갤러리 진짜 내 취향임 영훈이 사진 굉장히 천사같았음 사실 나 지금 너무 떨려서 뭐라도 해야할것 같애서 이럼 너무 떨림
7",,,,7,['https://pbs.twimg.com/media/E8MeptEVEAEj9qc?format=jpg&name=small'],https://twitter.com/hooni_p1nk/status/1424015613224128521
감동대장님,@milddom,2021-08-03T03:18:00.000Z,"감동대장님
@milddom
·
Aug 2","휴가 5일째.절친과 밥먹고 카페에 왔습니다.
남자 둘이서 겁나게 이쁜 갤러리 카페에 왔어요! 이런 경험 생소한데 나름 좋네요(?)~^^;;
0:09
370 views
3
13",,3,,13,['https://pbs.twimg.com/ext_tw_video_thumb/1422396224167038982/pu/img/kQdRcvMGfhw-5_wX.jpg'],https://twitter.com/milddom/status/1422396304219525126
𝐊𝐲𝐞𝐨𝐦:𝐀𝐭𝐡𝐮𝐫,@dk_xcalibur,2021-08-03T11:54:06.000Z,"𝐊𝐲𝐞𝐨𝐦:𝐀𝐭𝐡𝐮𝐫
@dk_xcalibur
·
Aug 3"," 𝐊𝐲𝐞𝐨𝐦 𝐀𝐫𝐭𝐡𝐮𝐫: 𝐓𝐡𝐞 𝐨𝐟 𝐋𝐞𝐠𝐞𝐧𝐝 
  -
  다시 만난 우리의 겸아더를 응원하기 위해
 서울 / 부산 카페 컵홀더 이벤트를 
 진행합니다.

서울 :  케익갤러리 /  부산 : 카페모멘트
  
자세한 내용은 아래 사진을 참고해주세요.

#theoflegend_keyomathur
2
650
324",⚔ 📍,2,650,324,"['https://pbs.twimg.com/media/E73T860UUAQIUKC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73T-43VcAMwbah?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73UAa_UYAIBDP0?format=jpg&name=360x360']",https://twitter.com/dk_xcalibur/status/1422526184718360584
블루덕,@blueduck00,2021-08-07T02:13:14.000Z,"블루덕
@blueduck00
·
Aug 6"," 전시 시작인 오늘, 갤러리 근처 카페에 있을것 같습니다. 오시는 분들은 dm주셔요!!
1
9
14",🐠 🌊 🌊 🌊 🌊 🌊 🌊,1,9,14,['https://pbs.twimg.com/media/E8J1bgdVoAE4Sm-?format=jpg&name=900x900'],https://twitter.com/blueduck00/status/1423829556692066304
