UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
잼,@jam_babybun,2021-08-01T01:16:11.000Z,"잼
@jam_babybun
·
8월 1일","우빈시~ 곰두리야 오늘도 쫀하루 보냉
17",💜 💜,,,17,['https://pbs.twimg.com/media/E7qu1t7VoAAH3sR?format=jpg&name=small'],https://twitter.com/jam_babybun/status/1421640873587081219
도류,@kookgiID,2021-08-21T16:13:09.000Z,"도류
@kookgiID
·
8월 22일","이거 완전 지정 싸움……. 꾹이잖아…
이제 너 신경 안 쓸거니까 알아서 해
…!
형님ㅠㅠㅠ 잘못해써요ㅠㅠ 후햏훟햏ㅎㅠㅎ
너 어디야
두리번두리번 모르게써요ㅜㅠㅜㅠㅠㅠㅠ 여기 어딘지 모르게쏘여ㅠㅠㅠㅠ
GIF
45
145",,,45,145,['https://pbs.twimg.com/tweet_video_thumb/E9U768RVUAMK7BV.jpg'],https://twitter.com/kookgiID/status/1429114357162512385
치코✩⡱,@bearO1O1,2021-08-29T06:38:28.000Z,"치코✩⡱
@bearO1O1
·
8월 29일","아아아아아아아악
니가 너무 좋다 곰두리야
아아아아아아아악
GIF
2
6",,,2,6,['https://pbs.twimg.com/tweet_video_thumb/E98FDLSUUA44Kqr.jpg'],https://twitter.com/bearO1O1/status/1431868836974772224
두리눈나,@mungtaengbul,2021-08-23T00:34:58.000Z,"두리눈나
@mungtaengbul
·
8월 23일","두리야 누나 생일인데 뽀뽀 좀 해됴바
1
6",,1,,6,['https://pbs.twimg.com/media/E9b4X2rVgAMh85Z?format=jpg&name=small'],https://twitter.com/mungtaengbul/status/1429603031268564995
,@marronkkk,2021-08-02T12:58:05.000Z,"@marronkkk
·
8월 2일","두리번쿵야
2
1",🌰,,2,1,['https://pbs.twimg.com/ext_tw_video_thumb/1422179864954634243/pu/img/NjUVAws7SnnwwbxB.jpg'],https://twitter.com/marronkkk/status/1422179897372405765
하모니카,@harmolipca,2021-08-11T03:18:57.000Z,"하모니카
@harmolipca
·
8월 11일","따사로운 햇빛에 기지개 피며 일어났는데 생각해보니 우리집 채광이 이렇게 좋을리가 없어 심지어 속옷차림이네 ㅈ됐다 주변 둘러보는데 아무도 없고 기억도 없지 여기가 어디야 머리 부여잡고 두리번 거리는데 눈에 띄는 국어교과서 저거 우리 학교건데 생각하자마자 달칵 열리는 문
GIF
1
16
34",,1,16,34,['https://pbs.twimg.com/tweet_video_thumb/E8eqzKHVEBA2Nqd.jpg'],https://twitter.com/harmolipca/status/1425295646387437568
아켠,@Nuk__yeon,2021-08-30T10:36:12.000Z,"아켠
@Nuk__yeon
·
8월 30일","젠장 두리야……….. 나 기절할래….
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2
1",,,2,1,[],https://twitter.com/Nuk__yeon/status/1432291055202799617
짱러,@wwYeal_y,2021-08-20T11:43:53.000Z,"짱러
@wwYeal_y
·
8월 20일","또 두리번야러… 근데 인자한 웃음을 곁들인 ◠‿◠ 

#왕야러 #王雅乐 #wangyale #ワン·ヤーラ
0:01
211 조회수
6
11",,,6,11,[],https://twitter.com/wwYeal_y/status/1428684208113799172
리치,@li_chi92,2021-08-01T11:34:06.000Z,"리치
@li_chi92
·
8월 1일","에어팟 없어진 줄 알고 주머니 움켜쥐고 한바퀴 뱅그르 돌면서 주위 두리번 거리다 가방 쪼물딱 그리고 다시 주머니 확인했는데 에어팟이 귀에서 뿅! 너무 귀엽자나 바부 메추리야ㅠㅠㅠ
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
105
210",🐬 💛,1,105,210,[],https://twitter.com/li_chi92/status/1421796378070568967
치코✩⡱,@bearO1O1,2021-08-26T16:02:38.000Z,"치코✩⡱
@bearO1O1
·
8월 27일","곰두리야... 아직 안 자면 버블로 이모티콘 하나만 보내줄 수 있겠니... 내가 실수해서 피 같은 버블 횟수를 날려버렸어... 제발... plz (•̩̩̩̩＿•̩̩̩̩)
GIF
3",,,,3,['https://pbs.twimg.com/tweet_video_thumb/E9upLnnVcAU4C8S.jpg'],https://twitter.com/bearO1O1/status/1430923650291560451
