UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
집시,@nomorekpopgirl,2021-08-15T04:04:18.000Z,"집시
@nomorekpopgirl
·
Aug 14","다시 봐도 치킨 레알 킹받게 생김
321
529",🍔,,321,529,['https://pbs.twimg.com/media/E8zbkssVEAMlVYt?format=jpg&name=small'],https://twitter.com/nomorekpopgirl/status/1426756609582141444
𝙃𝙖𝙥𝙥𝙮 𝘾𝙝𝙤𝙃𝙪𝙣 𝘿𝙖𝙮,@HBD_Chohun,2021-08-01T14:00:14.000Z,"𝙃𝙖𝙥𝙥𝙮 𝘾𝙝𝙤𝙃𝙪𝙣 𝘿𝙖𝙮
@HBD_Chohun
·
Aug 1","𝙃𝙖𝙥𝙥𝙮 𝘾𝙝𝙤𝙃𝙪𝙣 𝘿𝙖𝙮 

 홈스테드 8/11~8/22
 하이제씨 8/15~8/28

RT 해주신 두분을 뽑아 각각 치킨 기프티콘과 당일 특전인 필모 마스킹 테이프를 드립니다.

자세한 건 공지 이미지 참고 부탁드립니다. 

#참_조훈_데이
#소문이_돌아_훈이_생일이라고
2
205
7",👑 👑 👑 👑 📌 📌,2,205,7,"['https://pbs.twimg.com/media/E7tdtmcUcAUNtCp?format=jpg&name=small', 'https://pbs.twimg.com/media/E7tds-YVcAkofhy?format=jpg&name=small']",https://twitter.com/HBD_Chohun/status/1421833151777710082
-ㅅ-,@asoxoea,2021-08-29T21:47:44.000Z,"-ㅅ-
@asoxoea
·
Aug 29","연하공이 킹랑스러운점
치킨텐더 양보가능한개수로 귀여움어필ㅆㄱㄴ
이게바로연하공의특권
개귀여움걍쪽쪽빨아묵고싶음
https://twitter.com/mylovenxnstop/status/1405423407949258752/video/1…
17
19",,,17,19,[],https://twitter.com/asoxoea/status/1432097663822954496
뿌일이,@bboo1bboo1,2021-08-15T14:26:45.000Z,"뿌일이
@bboo1bboo1
·
Aug 15","존나 킹받아서 rt이벤트 엶
이미희 조선아 둘중 한명이라도 나오면 치킨 깊티 드려요 나오는 날 당발함
아그리고트친한정임
팔로워한정아니니까괜히쌉소리하는계정팔로하지마세여ㅋㅋㅋㄹㅃㅃ
11
1",💛 💛 💛 💛,,11,1,['https://pbs.twimg.com/media/E81qCo5VgAgH_5t?format=jpg&name=small'],https://twitter.com/bboo1bboo1/status/1426913255025377283
(삐삐플필옾챗)팡,@VeriteTruth0428,2021-08-22T11:33:37.000Z,"(삐삐플필옾챗)팡
@VeriteTruth0428
·
Aug 22","마돈크 퇴장음악으로 킹아더 퇴장음악이 나왔다는 소식을 전해듣고 깅뎌뽕이 차서 서동요 전법을 써보려고 합니다 올해 말은 아니겠지만 무튼 킹아더 재연 오면 트칭구 한명 안트칭구 한명 총 두 분께 치킨깊콘 쏠게여 
어깨팝핀이 절로 나오는 대가송 함만 듣고 가세여 알티이벵맞아여
(삐삐플필옾챗)팡
@VeriteTruth0428
 · Aug 22
올해말...킹아더....헤헤.....
1
250
21",👉 🏏 🌫 ⛓ 🥀 🥳 👉 🏏 🌫 ⛓ 🥀 ☺,1,250,21,"['https://pbs.twimg.com/ext_tw_video_thumb/1429406134872330243/pu/img/69YWpi4bwgap0sbJ.jpg', 'https://pbs.twimg.com/profile_images/1416944617451184129/D3CtID2C_mini.jpg']",https://twitter.com/VeriteTruth0428/status/1429406399381925894
문채선,@MooN_ChaE_SuN,2021-08-23T11:53:09.000Z,"문채선
@MooN_ChaE_SuN
·
Aug 23","~브레이킹 배드 보는중~

첫인상 : 고객을 위해 일할 줄 아는 치킨집 사장님

현인상 : ◐.◐;;;;;;;;
1",🌒 🌥,,,1,['https://pbs.twimg.com/media/E9eTmuRVEBEAxiT?format=jpg&name=small'],https://twitter.com/MooN_ChaE_SuN/status/1429773702040756233
소소,@soxo_BTOB_ing,2021-08-27T03:02:33.000Z,"소소
@soxo_BTOB_ing
·
Aug 26","킹받음. 지옥에서 끓인 닭날개치킨됨.
2
2",😽 😽,2,,2,['https://pbs.twimg.com/media/E9xAhS_VIAA_3Kx?format=jpg&name=small'],https://twitter.com/soxo_BTOB_ing/status/1431089725742272513
하늉,@HaNUu104,2021-08-15T15:11:54.000Z,"하늉
@HaNUu104
·
Aug 15","간장 치킨은 bhc맛쵸킹콤보
6",🍒,,,6,[],https://twitter.com/HaNUu104/status/1426924619261300738
𝘛𝘈𝘌_𝘏𝘈𝘔,@TAE_HAM_0309,2021-08-29T16:43:32.000Z,"𝘛𝘈𝘌_𝘏𝘈𝘔
@TAE_HAM_0309
·
Aug 29","리얼인데 통으로 정육된 부위쓰는거 다 단종되고 갈아서 혼합육인거만 남앗음... 그나마 킹치킨패티가 ㄱㅊ은데 킹치킨버거 종류는 노맛이구... 몬베 ㄱㅊ을지도 모르겟네요...
루링
@R_uin1
 · Aug 29
거짓말이지......
버거킹 시키지말라고 그러는거아니죠 twitter.com/TAE_HAM_0309/s…
1",,,,1,['https://pbs.twimg.com/profile_images/1436953739844210691/ORHkTxMH_mini.jpg'],https://twitter.com/TAE_HAM_0309/status/1432021106274168834
친절한헬창,@kindmanss,2021-08-01T15:36:36.000Z,"친절한헬창
@kindmanss
·
Aug 1","비비큐 레드착착 &찐킹소스
60계치킨 호랑이치킨
굽네고추바사삭
교촌 반반스틱…

진짜 언제 함 날 잡아서 조질꺼야 ㅠㅠ
다이어트 중이니 한달만 참자!
The following media includes potentially sensitive content. Change settings
View
1
3",,1,,3,[],https://twitter.com/kindmanss/status/1421857404145209345
예림,@STAYC_LOVE,2021-08-22T06:20:21.000Z,"예림
@STAYC_LOVE
·
Aug 21","바...삭...매콤...치킨...소떡...소떡...도그...킹치즈 메모
slow김메밀
@Memilinojsh
 · Aug 21
@STAYC_LOVE
지에스 바삭매콤치킨 진짜 존맛탱 저게 제일 마싯어 그리구 소떡소떡도 마싯서... 그치만 내 최애는 도그킹치즈 저건 진짜 꼭 먹어야 대 가끔 펩시 같이 주는 이벤트도 하는데 그 때 먹어바! 콜라는 펩시지
Show this thread
1
1",,1,,1,['https://pbs.twimg.com/profile_images/1431112000285724674/s-0vqKmi_mini.jpg'],https://twitter.com/STAYC_LOVE/status/1429327562715504644
집시,@nomorekpopgirl,2021-08-08T14:56:07.000Z,"집시
@nomorekpopgirl
·
Aug 8","이 치킨탈 눈썹 존나 킹받게 생김 ㅠ
7
24",🍔,,7,24,['https://pbs.twimg.com/media/E8RtogiVgAMjQnZ?format=jpg&name=small'],https://twitter.com/nomorekpopgirl/status/1424383929243475973
냥엔,@nyang_en_,2021-08-15T19:06:05.000Z,"냥엔
@nyang_en_
·
Aug 15","하이브 킹받아 2년만에 한강 왓다는 애를 혼자 치킨 먹게 하는 것도 모자라서 야외취침 뭐냐고요 아ㅜㅜㅋㅋㅋㅜㅠㅠ
7",,,,7,['https://pbs.twimg.com/media/E82p-fTUYAEx5PS?format=jpg&name=small'],https://twitter.com/nyang_en_/status/1426983550373416960
일공,@dlf_rhd,2021-08-05T15:40:27.000Z,"일공
@dlf_rhd
·
Aug 5","범프오브치킨 내한해줘
킹 누 내한해줘
히게단디즘 내한해줘
1",,,,1,[],https://twitter.com/dlf_rhd/status/1423307925368438785
네이비ネイビー,@navyou77,2021-08-28T10:56:50.000Z,"네이비ネイビー
@navyou77
·
Aug 28","아니 히로킹 마이크를 치킨먹다 콜라컵잡은것처럼
2",💐,,,2,[],https://twitter.com/navyou77/status/1431571470652624897
𝒚𝒆𝒐𝒏,@moontanwithyou,2021-08-27T04:13:51.000Z,"𝒚𝒆𝒐𝒏
@moontanwithyou
·
Aug 26","✔︎ 요즘 넘 가보고싶은 곳
쏘리 에스프레소 바
효도 치킨 광화문점
사모님 돈까스
킹수제만두
2
1
37",,2,1,37,[],https://twitter.com/moontanwithyou/status/1431107666332450816
라무,@lamu_city20,2021-08-09T12:30:59.000Z,"라무
@lamu_city20
·
Aug 9",킹연경 치킨 먹게 집에 보내줘라,,,,,[],https://twitter.com/lamu_city20/status/1424709794544246785
미주,@mijooh7,2021-08-28T16:02:27.000Z,"미주
@mijooh7
·
Aug 28",난 치킨중에 골드킹?그거랑 뿌링클 밖에안먹어,,,,,[],https://twitter.com/mijooh7/status/1431648379319193609
만두,@Mando_0_0,2021-08-28T14:31:15.000Z,"만두
@Mando_0_0
·
Aug 28","#당신의_취향 
카레vs커리 : 같은거 아냐..?
김치전vs파전 : 김치전
쌀떡볶이vs밀떡볶이 : 밀떡~!!
당면사리vs라면사리 : 라면사리
흐물감튀vs바삭감튀 : 바삭
토마토vs크림vs로제 : 까르보나ㅏㄹ
후라이드vs양념 : 치킨은 둘다 킹정이지~
녹차vs초코 : 둘 다
짜장vs짬뽕 : 짬뽕
물냉vs비냉 : 물냉
1
2",,1,,2,[],https://twitter.com/Mando_0_0/status/1431625430730100738
가난시름털쥐,@maily_maily_U,2021-08-03T04:31:22.000Z,"가난시름털쥐
@maily_maily_U
·
Aug 2","수프림킹은.. 약간 치킨 이름 같고 맛있어 보여서 패왕 두글자의 간지가 안 담기는게 아쉬움
2",,,,2,[],https://twitter.com/maily_maily_U/status/1422414769785475080
소금맛소금,@Choi_Salt_0929,2021-08-24T17:29:05.000Z,"소금맛소금
@Choi_Salt_0929
·
Aug 24","첫인상 : 인싸기문님!
현인상 : 에로치킨문!
특징 : 에로치킨문!
생각나는 동물 : 여우!
진입장벽 : 다 받아주시는 분! 킹치킨문!!
어울리는 색 : 연한 주황색!
이사람한테 했던 오해 : 아저씨인 줄 알았는데 에로치킨문이셨음!!
탐라에 두는 이유 : 기문님이기 때문이죠!
기문
@KIMOON_RiNe
 · Aug 24
#모두가_인용으로_해준다  
첫인상 : 
현인상 : 
특징 : 
생각나는 동물 : 
진입장벽 : 
어울리는 색 : 
이사람한테 했던 오해 : 
탐라에 두는 이유 : 

얼마나해줄까..처음해보는건데
7",,,,7,"['https://pbs.twimg.com/profile_images/1439629958058446849/RA_afKIZ_mini.jpg', 'https://pbs.twimg.com/media/E9km1FKVoAAvWRV?format=jpg&name=small']",https://twitter.com/Choi_Salt_0929/status/1430220632562667526
참치,@TUNA_nsr,2021-08-24T07:36:36.000Z,"참치
@TUNA_nsr
·
Aug 24",오늘은 치킨 알리킹이랑 치킨 커틀릿 실습함 근데 미친 닭이 존나 질척하고 끈질겨,🐋 🐋,,,,[],https://twitter.com/TUNA_nsr/status/1430071530357071872
𝐂𝐎𝐂𝐎,@coco_ahpuh,2021-08-10T15:27:10.000Z,"𝐂𝐎𝐂𝐎
@coco_ahpuh
·
Aug 10"," 최애의 선톡
──────────────────
리무스 루핀: 치킨 사들고 갈게.
https://gaeyou.com/t/?21721

아 이건 킹정이지.. 고추바사삭순살
4",🐜,,,4,[],https://twitter.com/coco_ahpuh/status/1425116518442889218
LK,@watch__u,2021-08-06T11:32:42.000Z,"LK
@watch__u
·
Aug 6","종인아, 걸작떡볶이에서 떡볶이와 치킨을 한 큐에 해결하도록 해... 숯불킹떡볶이야,, 기억해줘...
LK
@watch__u
 · Aug 6
와씨 대박 미쳤다 #종인아잘먹을게
Show this thread
1",,,,1,"['https://pbs.twimg.com/profile_images/1436875781192359940/Fz7KuOgE_mini.jpg', 'https://pbs.twimg.com/media/E8GqB-lUcAMiz7F?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GqB-mVIAADWI2?format=jpg&name=360x360']",https://twitter.com/watch__u/status/1423607962686214148
티몬파이튼의 성배,@holy_grailno1,2021-08-09T12:30:34.000Z,"티몬파이튼의 성배
@holy_grailno1
·
Aug 9","아놔 ㅋㅋㅋㅋ 연경킹 향후계획 물어보니까
집가서 씻고 치킨시켜 먹을거라고",,,,,[],https://twitter.com/holy_grailno1/status/1424709690286505987
보냐,@poooyoo312,2021-08-15T10:51:39.000Z,"보냐
@poooyoo312
·
Aug 15","아이고...엄마가 깊티 받아서 맵소킹 치킨 시켰는데 한입먹고나서 매워서 딸꾹질 나옴ㅋㅋㅋㅋㅋㄱㄱㄱㅋㅋㄱ이제 좀 어릴때 보단 매운거 잘먹는다 생각했는뎈ㄱㅋㅋ내 착각이었구낰ㅋㅋㄱ
1
1",,1,,1,[],https://twitter.com/poooyoo312/status/1426859124633919489
padas♡,@nosalvationever,2021-08-26T11:55:23.000Z,"padas♡
@nosalvationever
·
Aug 26",치킨은 질리지만 회복이 빠름 코리엔탈깻잎두마리치킨 치즈킹 리얼 네입 먹으면 질리는데 한시간 뒤에 다시 땡김,,,,,[],https://twitter.com/nosalvationever/status/1430861430987771905
운영,@uuun_yeong,2021-08-04T15:04:40.000Z,"운영
@uuun_yeong
·
Aug 4","말복보고 말랑말랑복숭아라는 생각을못한 한국인
냅다 치킨뜯는 희진킹있을거라생각함
말랑복숭아였구나,,
나는 말복이라 삼계탕먹는거,, 생각했찌,,,",🔥 🏐,,,,[],https://twitter.com/uuun_yeong/status/1422936531732373504
John Austin,@j0hnaust1n,2021-08-26T18:35:28.000Z,"John Austin
@j0hnaust1n
·
Aug 26",우리 bgm으로 지저스 이즈 킹도 틀자 기괴컨셉 코리안 bbq 치킨으로 미슐랭 따는 거지,,,,,[],https://twitter.com/j0hnaust1n/status/1430962114592579585
ᴅᴀʀᴀɴɢ_다랑,@darang_onair,2021-08-05T17:19:09.000Z,"ᴅᴀʀᴀɴɢ_다랑
@darang_onair
·
Aug 5","그리고 골드킹 나 진짜 골드킹킬러인데,, 걍 퇴근하고 치킨먹고싶다? 골드킹인데 무조건 아 진짜 지금 이주넘게 밀가루 못먹은것에 대한 분노가",,,,,[],https://twitter.com/darang_onair/status/1423332761377513473
ZADO @相互フォロバ 맞팔 F4F followback 100%,ZADO @相互フォロバ 맞팔 F4F followback 100%,2021-08-18T22:43:05.000Z,"ZADO @相互フォロバ 맞팔 F4F followback 100%
@fotipuvute
·
Aug 18","광주개봉 의왕렌탈업 광산전원카페 사하실내화가방 쇼캅 시습 벼과 메요 도도 망자 굴젖 리사 료마 고소 경기화성삼성명함제작 장천면업소용가구판매 루페 코팅지 치킨매장 쿠킹클래스 쓰레기통설치 하객메이크업샵
광고전문
백링크광고
언택트마케팅
맞팔",,,,,[],https://twitter.com/fotipuvute/status/1428125327247781890
이다 slow,@myed1aa,2021-08-05T04:52:30.000Z,"이다 slow
@myed1aa
·
Aug 4","일어나자마자. 치킨 시킬거야.
뿌링클이랑 골드킹 중에 머 먹지,,",🤔,,,,[],https://twitter.com/myed1aa/status/1423144860249325571
5,@1ldanhyuk44,2021-08-14T13:50:35.000Z,"5
@1ldanhyuk44
·
Aug 14","그치.. 치킨하고 나따샤는 킹정이지.. 어쩔 수 없었던 걸로
1",,,,1,[],https://twitter.com/1ldanhyuk44/status/1426541767004856322
|세이|,@_say_0602_,2021-08-13T03:18:17.000Z,"|세이|
@_say_0602_
·
Aug 12",킹받아서 치킨시킴 이제 오늘점심저녁내일점심까지 책임질것,💛 🦌,,,,[],https://twitter.com/_say_0602_/status/1426020254019248130
SLOW콩알탄,@Hone2_115,2021-08-30T23:44:58.000Z,"SLOW콩알탄
@Hone2_115
·
Aug 30",오늘 저녁에 치킨 시켜 먹을까...? 골드킹이 땡기네,,,,,[],https://twitter.com/Hone2_115/status/1432489551788797952
와이구야,@guya___,2021-08-02T16:22:58.000Z,"와이구야
@guya___
·
Aug 2","반반 저거
반반이지 뭐 응 해놓고
치킨도 반반이 맛잇다고 한 게 좀 (혼자킹받기
3",,,,3,[],https://twitter.com/guya___/status/1422231460174467072
냐즈,@Ny4SZ,2021-08-10T05:16:33.000Z,"냐즈
@Ny4SZ
·
Aug 9","오늘 말복이라 저녁에 엄마랑 같이 치킨먹을라고 오빠가 나 주겟다던 치킨 깊티를 받았는데 비에이치씨 골드킹 이거 허콤이랑 비슷한건가
2",🍓,,,2,[],https://twitter.com/Ny4SZ/status/1424962852796846085
동수,@mozadongsu,2021-08-25T15:49:56.000Z,"동수
@mozadongsu
·
Aug 25","근데이거 치킨은순살이죠<진짜 개말라나 할수잇는말이라 킹받음
호롯히
@horothi
 · Jul 25
아이돌 같이 생겨서는 처갓집 치킨이 맛잇다는 얘기 하는 중
1",,,,1,"['https://pbs.twimg.com/profile_images/1438651165542010888/-5mDydkd_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1419402751600070657/pu/img/vDdY1OXxkUyzHx4i.jpg']",https://twitter.com/mozadongsu/status/1430558069700710410
litmus* / Ester,@litmus_music,2021-08-22T13:37:36.000Z,"litmus* / Ester
@litmus_music
·
Aug 22","녹두로 점프킹하는거 보면서 치킨이랑 맥주 먹은게 아직도 소화가 안된다
2",,,,2,[],https://twitter.com/litmus_music/status/1429437601312776192
광제아,@tlswocnd,2021-08-15T10:13:05.000Z,"광제아
@tlswocnd
·
Aug 15",치킨 맛있긴한데 콜라 작은거 준거 아직도 킹받네,,,,,[],https://twitter.com/tlswocnd/status/1426849416384704515
조랑말,@poneeeeeeee,2021-08-17T17:26:10.000Z,"조랑말
@poneeeeeeee
·
Aug 17","#성양 성훉이 세상 처연한 표정으로 눈 내리깔고 졍웑이랑 치킨 먹을지 피자 먹을지 고민할 것 같아서 킹 받음 집에서 기다리고 있는 졍웑이 배만 점점 고파지고,,,
1",,,,1,[],https://twitter.com/poneeeeeeee/status/1427683184766947332
êĺîň,@_Wkwmdsk,2021-08-14T10:52:06.000Z,"êĺîň
@_Wkwmdsk
·
Aug 14","둘다각자만의매력이잇디만,
치킨은음.쓰가나온다는점에서조금킹받음
피자는한판그자리에서순삭하면 종이박스만치우면되므로연비ㅅㅌㅊ",,,,,[],https://twitter.com/_Wkwmdsk/status/1426496850421436416
£유키of「인생」,@2ststf1nal,2021-08-24T21:30:06.000Z,"£유키of「인생」
@2ststf1nal
·
Aug 24","근데이사하고나서는제일먼저해야되는거 
동네배달맛집뚫기인거같애 
지치고힘든와중에치킨시켰는데말라비틀어진거오면개킹받잖아
1",,,,1,[],https://twitter.com/2ststf1nal/status/1430281286430597121
RIA,@jikenbo_tantei,2021-08-24T01:32:06.000Z,"RIA
@jikenbo_tantei
·
Aug 23","크리스마스 파티 하는 명왕성 직원들 보고싶다.
루돌프 복장과 산타클로스 복장을 한 말단 직원들과 SIR.카론이 사온 켄터키 치킨과 3달전부터 예약해놓은 킹하데스의 단골 유명 제과점에 케이크 찾아온 케르베로스와 오늘을 위한 '로마네 꽁띠'를 주섬주섬 꺼내들어 축사 후 건배하는 킹하데스님
1",🌷 🌷,1,,,[],https://twitter.com/jikenbo_tantei/status/1429979800374968322
토끼,@erurirure,2021-08-29T12:24:47.000Z,"토끼
@erurirure
·
Aug 29","아 ㅡㅡ 니트가 되도않는 선물이나 저녁식사 치킨무 삐뚤삐뚤 하트로 데코해놔도 리바이 감동받을 것 같아서 갑자기 킹받어
1
6",,1,,6,[],https://twitter.com/erurirure/status/1431955992527327234
우사수사,@eattt_USA,2021-08-03T09:23:23.000Z,"우사수사
@eattt_USA
·
Aug 3","오늘 먼가 치킨 먹고싶어서 친다넴이 추천한 골드킹 시켯다
1",‼ ❓,,,1,[],https://twitter.com/eattt_USA/status/1422488254322855937
