UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
에이,@A_to_TY,2021-08-23T15:22:13.000Z,"에이
@A_to_TY
·
8월 24일","이 식물 이름은 도꼬마리? 같은데 실제 도꼬마리는 갈고리 모양의 가시 때문에 스티커처럼 다른 곳에 한번 붙으면 잘 안 떨어지는 식물이래요 뭔가 스티커랑 연관있는 힌트를 계속 주는 중...
476
355",,,476,355,['https://pbs.twimg.com/media/E9fDdDQVIAEQScw?format=jpg&name=small'],https://twitter.com/A_to_TY/status/1429826318925844485
포구,@poet_9nine,2021-08-11T16:51:15.000Z,"포구
@poet_9nine
·
8월 12일","아기예민도꼬마리군
1
2",,,1,2,"['https://pbs.twimg.com/media/E8hkwRzVcAYUEo1?format=jpg&name=small', 'https://pbs.twimg.com/media/E8hkwSTVgAsdwAt?format=jpg&name=360x360']",https://twitter.com/poet_9nine/status/1425500068350550019
김빈칸,@blank_after_you,2021-08-23T15:39:54.000Z,"김빈칸
@blank_after_you
·
8월 24일","도꼬마리와 끈끈이주걱의 중간쯤 되는 색감과 형상을 했네요 이번에 단단히 컨셉 작정했구나
10
36",,,10,36,"['https://pbs.twimg.com/media/E9fHf__VkAgptH8?format=jpg&name=small', 'https://pbs.twimg.com/media/E9fHf__UcAE24Dq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9fHf_-VkAMIaKu?format=jpg&name=360x360']",https://twitter.com/blank_after_you/status/1429830765345263621
2차 각성자 (숙성기간),@sem_0210,2021-08-21T17:26:05.000Z,"2차 각성자 (숙성기간)
@sem_0210
·
8월 22일","도꼬마리탄 잔다 어어
2
3",,,2,3,"['https://pbs.twimg.com/media/E9VMna7UcAAeU9-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9VMnboUUAEFNM4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9VMnc6VUAEIedK?format=jpg&name=360x360']",https://twitter.com/sem_0210/status/1429132711285825546
달,@hityard,2021-08-11T14:44:22.000Z,"달
@hityard
·
8월 11일","엔펫 정수기 설치! 도꼬마리네가 보고 삼..연수놈... 물마셔...
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
1",,1,,1,[],https://twitter.com/hityard/status/1425468136501833730
 똝추빡추색기,@Hurens0hn_Oreo,2021-08-11T18:00:27.000Z," 똝추빡추색기
@Hurens0hn_Oreo
·
8월 12일",도꼬마리 이난리,,,,,[],https://twitter.com/Hurens0hn_Oreo/status/1425517484820492291
10/19복귀??,@BcrLNw5BUt6G7zx,2021-08-17T14:39:29.000Z,"10/19복귀??
@BcrLNw5BUt6G7zx
·
8월 17일",맨 밑에 도꼬마리도 이니고,,,,,[],https://twitter.com/BcrLNw5BUt6G7zx/status/1427641235062366221
꽃말 봇,@sayflower_bot,2021-08-17T21:40:58.000Z,"꽃말 봇
@sayflower_bot
·
8월 18일","도꼬마리 - 고집, 애교.",,,,,[],https://twitter.com/sayflower_bot/status/1427747306707709954
버딸녀,@skrud2353,2021-08-21T11:55:10.000Z,"버딸녀
@skrud2353
·
8월 21일","도꼬마리
동굴..산어쩌구 넣어서
ㄹㅇ 잡탕으로 끓이는데
나맨날
약재를 마시고 잇던 것은어닌지
공백 불가능하다 당신의 이름
@Terion_Blade
 · 8월 21일
사실 하루에 물2리터마시는 인간
물이 싫다면 대체가능한 차라도 마시는게 좋읍니다
갑자기 분위기 건강강좌
이 스레드 보기",,,,,"['https://pbs.twimg.com/profile_images/1438599902196604937/pp1wzMZI_mini.jpg', 'https://pbs.twimg.com/media/E9TPYBdUUAkxzbW?format=png&name=small']",https://twitter.com/skrud2353/status/1429049435254792201
한시,@haannssii,2021-08-23T21:43:08.000Z,"한시
@haannssii
·
8월 24일","그런데 저 도꼬마리 이미지 어디 끈적한 약물에 담근 외계인 키메라 샘플 같은 것만 생각나.
1
1",,1,1,,[],https://twitter.com/haannssii/status/1429922175700504586
