UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
뜽모,@XD_DM00,2021-08-04T15:32:02.000Z,"뜽모
@XD_DM00
·
Aug 4","남들 센가물 먹을때 저렴 밍승캐해
광란의 2002월드컵때 국뽕에 빠질 수 없는 한국인 밍승 둘 다 축구 1도 모르면서 친구들 따라 빨간옷 챙겨입고 길거리에서 페이스 페인팅 받고 할건 다 함 그리고 저녁에 어느 호프집에서 만나 같이 지리게 응원하고 눈맞아서 다음날 같은 침대에서 눈뜨는 그런거
5
22",,,5,22,"['https://pbs.twimg.com/media/E79PfbyVUAUloJJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E79PfbyVcAE1Pxl?format=jpg&name=360x360']",https://twitter.com/XD_DM00/status/1422943419479908360
소보로,@my_j_kyk,2021-08-28T05:50:40.000Z,"소보로
@my_j_kyk
·
Aug 27","친구들이랑 술게임하다 걸려서 내가 언니 좋아하는 거 다 아는 친구들이 벌칙으로 당장 언니한테 전화 걸어서 고백하라고 함 차라리 이 호프집의 맥주를 거덜내는 게 낫겠다고 제발 그것만은 좀 봐달라고 기겁했는데도 해보고나 말하라고 요지부동임 그래서 하는 수 없이 전화를 걸었음
1
31
157",,1,31,157,[],https://twitter.com/my_j_kyk/status/1431494422819074053
B,@ROLLCAK3,2021-08-18T05:16:40.000Z,"B
@ROLLCAK3
·
Aug 17","오타쿠 친구들이랑 호프집 문 닫을때까지 술마시고 놀고싶다
1",💙 ❤ 💗 🖤,,1,,[],https://twitter.com/ROLLCAK3/status/1427861984800772099
마죠,@sexykinghamster,2021-08-03T12:16:00.000Z,"마죠
@sexykinghamster
·
Aug 3","호프집에서 술처먹고 후퐁퐁온 칼민언니
구멍뚫린 기본안주 손가락에 끼우고 윉정이랑 커플링이라고 해
테이블벨 딩동딩ㅇ동딛ㅇ동누르고 직원달려오면 저...김윉정 좀 주세요 해
멀쩡히 길가던 커플 사이 비집고 지나가서 친구들이 대신 죄송합니다죄송핮니다;;;하게해라고!!!ㅠ
16
59",,,16,59,[],https://twitter.com/sexykinghamster/status/1422531698365894660
Sweety,@Sweety_FF14,2021-08-30T14:48:39.000Z,"Sweety
@Sweety_FF14
·
Aug 30","아 코로나얼른끝낫으면 좋겟어... 친구들이랑 호프집에 늦게까지앉아서 맥주에 먹태 하나 청양마요간장소스에 팍팍 찍어먹고싶어
1
3",,1,,3,[],https://twitter.com/Sweety_FF14/status/1432354585717329922
익산바빌론,@sonofiksan,2021-08-11T10:02:06.000Z,"익산바빌론
@sonofiksan
·
Aug 11","겨울에 또 그 검정패딩에 지오다노115흰면티+조거팬츠입고 터덜터덜 양쪽주머니손넣고 나와서 크라운호프 창가 똑똑 (누나친구들한테 ㅁㅓ리만 꾸벅대충인사하고 추워서 동동거림) 두드리는생…

다음은 질문 상자에
익산바빌론..의 질문함입니다
질문/답변은 여기
peing.net
24
17",,,24,17,['https://pbs.twimg.com/card_img/1441007665476300800/fcr4WTqz?format=jpg&name=small'],https://twitter.com/sonofiksan/status/1425397103996461064
,@strawberryratte,2021-08-04T02:55:08.000Z,"@strawberryratte
·
Aug 3","하 호프집 가서 치킨에 생맥 마시면서 친구들이랑 같이 바야대는데 !!!!!!!!!! 망할 코로롱 !!!!!!!!!!!!!
2",🍓,,,2,[],https://twitter.com/strawberryratte/status/1422752939441983488
한울,@raindrop_6112,2021-08-26T12:46:56.000Z,"한울
@raindrop_6112
·
Aug 26","근데 사실 술은 호프집에서 친구들이랑 모여서 먹는게 최곤데
1
3",,1,,3,[],https://twitter.com/raindrop_6112/status/1430874402451640322
+GAMJA NONGSAKUN+ Official ➐,@Mara_Beer_0,2021-08-26T04:27:29.000Z,"+GAMJA NONGSAKUN+ Official ➐
@Mara_Beer_0
·
Aug 25","나 소원이 있어 친구들끼리 학교 앞 호프집에서 맥주잔 들고 이 노래 부르면서 짠하기
+GAMJA NONGSAKUN+ Official ➐
@Mara_Beer_0
 · Aug 25
진짜 힘들때 들으면 눈물 주륵주륵 흘리면서 그래 가보자고 외치게 되는 곡
1",,,,1,"['https://pbs.twimg.com/profile_images/1440683315632033804/gdY_Mmwg_mini.jpg', 'https://pbs.twimg.com/media/E9sKBY0UYAY8kKX?format=jpg&name=900x900']",https://twitter.com/Mara_Beer_0/status/1430748710930051072
차차라차니,@Sul_din,2021-08-15T06:12:32.000Z,"차차라차니
@Sul_din
·
Aug 14","어제 꿨던 꿈들이 갑자기 기억났다
1. 옛날 같이 놀던 친구들이랑 롤하는 꿈
확실히 기억나는게 준이랑 호프쟝이였어..보고싶다
2. 벌들이 많은 꽃밭을 지나가는 꿈
벌이 나오면 내게는 악몽임
3. 어... 좀 거시기한 꿈
1",,,,1,[],https://twitter.com/Sul_din/status/1426788883442716674
