UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Snitty,@RrobertaLleona,2021-08-14T14:29:32.000Z,"Snitty
@RrobertaLleona
·
8월 14일","#DrinkCelebsOrBands

Roseanne Barfly
2
2",,,2,2,"['https://pbs.twimg.com/media/E8wg2daWUAo-Yi2?format=png&name=360x360', 'https://pbs.twimg.com/media/E8whDqLX0AI2nOu?format=png&name=360x360']",https://twitter.com/RrobertaLleona/status/1426551566014763008
Jupiter Spurlock,@JupiterSpurlock,2021-08-26T23:34:24.000Z,"Jupiter Spurlock
@JupiterSpurlock
·
8월 27일","Mickey Rourke and director Barbet Schroeder (#BOTD) on the set of ""Barfly"" (1987). The screenplay, written by Charles Bukowski, was commissioned by Schroeder.
6
13",,,6,13,['https://pbs.twimg.com/media/E9wPeL7UcAIxdTM?format=png&name=small'],https://twitter.com/JupiterSpurlock/status/1431037342903459841
The Cannon Film Guide,@CannonFilmGuide,2021-08-11T17:48:32.000Z,"The Cannon Film Guide
@CannonFilmGuide
·
8월 12일","Charles Bukowski sharing a colorful story with David Lynch and Isabella Rossellini on a visit to the set of Barfly (1987).
6
34",,,6,34,['https://pbs.twimg.com/media/E8hwspNXoAEcqDW?format=jpg&name=small'],https://twitter.com/CannonFilmGuide/status/1425514482441277450
Courtenay S. Gray,@courtenaywrites,2021-08-28T18:26:29.000Z,"Courtenay S. Gray
@courtenaywrites
·
8월 29일","I’m watching Barfly.
7",,,,7,['https://pbs.twimg.com/media/E95dkxfXIAMKlb_?format=jpg&name=small'],https://twitter.com/courtenaywrites/status/1431684628700610560
Mªjosé Aroca,@mj_aroqa,2021-08-22T19:12:14.000Z,"Mªjosé Aroca
@mj_aroqa
·
8월 23일","Amy Winehouse en The Barfly Club 

Camden, 2004

 Rob Watkins
1
1
11",📸,1,1,11,"['https://pbs.twimg.com/media/E9augE5X0AIFA4_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9augqAWEAA0jxM?format=jpg&name=360x360']",https://twitter.com/mj_aroqa/status/1429521814452117509
New Beverly Cinema,@newbeverly,2021-08-26T21:00:06.000Z,"New Beverly Cinema
@newbeverly
·
8월 27일","Born on this day in 1941: Barbet Schroeder, director of Barfly (1987), Reversal of Fortune (1990), Single White Female (1992), and more.
2
8
52",,2,8,52,['https://pbs.twimg.com/media/E9vtj3yWYAEVwNA?format=jpg&name=small'],https://twitter.com/newbeverly/status/1430998511252869123
BFast61,@BAPF61,2021-08-28T17:02:27.000Z,"BFast61
@BAPF61
·
8월 29일","#barfly but I’m not stopping ! #lepetitzinc #lesuquet It used to be run by a fantastic mother/daughter combo who would stay opened well into the night, I used to call it “Le Bar des Rebelles” Sadly they’ve vanished without a trace, and so have the #misfits
4",,,,4,['https://pbs.twimg.com/media/E95KVsLXEAA_0_g?format=jpg&name=small'],https://twitter.com/BAPF61/status/1431663479484817420
monsterdefiner,@monsterdefiner2,2021-08-06T18:33:11.000Z,"monsterdefiner
@monsterdefiner2
·
8월 7일","And how I love these two movies because of Bukowski. He himself appears in Barfly. And Factotum's soundtrack... oh I love it!
1
2",👹,1,,2,"['https://pbs.twimg.com/media/E8ILr-bXsAE1wpl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ILr-0XMAIJ6hw?format=jpg&name=small']",https://twitter.com/monsterdefiner2/status/1423713781092339713
Matt Oswalt,@MattOswaltVA,2021-08-16T02:49:40.000Z,"Matt Oswalt
@MattOswaltVA
·
8월 16일","Sunset on Skid Row.
Been on a Robby Müller kick lately. Between Repo Man, Barfly, & To Live and Die in LA no cinematographer pulled out the aesthetic beauty in even the bleakest parts of LA like him. 
http://MattOswaltPhoto.com
https://instagram.com/mattoswaltva/
26
38
646",,26,38,646,['https://pbs.twimg.com/media/E84Sd5aVgAIqsoc?format=jpg&name=small'],https://twitter.com/MattOswaltVA/status/1427100217690656771
Neil Burns,@foreverantrim,2021-08-21T06:02:00.000Z,"Neil Burns
@foreverantrim
·
8월 21일","As a former drinker, and 'barfly', which led me to damage my liver, due to the copious amount of alcohol I was tipping down my throat, this Will Self novel, 'Liver', piqued my reading interest. (Currently rotating a couple of books in my reading life) -
3",,,,3,['https://pbs.twimg.com/media/E9SwDS8WQAU9XWJ?format=jpg&name=small'],https://twitter.com/foreverantrim/status/1428960560025063427
