UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
G hyun,@geetraum,2021-08-29T13:05:26.000Z,"G hyun
@geetraum
·
Aug 29","청주에 장애아동 특수학교가 들어선다는 소식에 청주 모 아파트 카페 반응. 
교육과 문화의 도시 청주주민들 클라쓰.
17
9K
6.7K",,17,9K,6.7K,"['https://pbs.twimg.com/media/E99dsCdVgAc35Dq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99dsCbVQAQXiNH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99dsCcVUAgqqC9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99dsCdVEAYmyo9?format=jpg&name=360x360']",https://twitter.com/geetraum/status/1431966222145372170
Winter Garden International,@wingarsupport,2021-08-08T07:18:57.000Z,"Winter Garden International
@wingarsupport
·
Aug 8"," 현재 모금액이 280만원을 넘었습니다. 참여해주신 모든분들께 감사합니다! 입금자 분들은 겨울정원 서포트 카페에 가입해주세요.

Due to your overflowing love for WinterGarden, we’ve successfully collected a total amount of 2.8 million won 

We hope for your continuous support!
86
217",🎉 🥳,,86,217,['https://pbs.twimg.com/media/E8QE_x8UUAAHezi?format=jpg&name=small'],https://twitter.com/wingarsupport/status/1424268880151662594
투모로우바이투게더 음원총공팀,@TXT_STREAM,2021-08-01T12:00:54.000Z,"투모로우바이투게더 음원총공팀
@TXT_STREAM
·
Aug 1","ℍ𝔼𝕃ℙ 급구!

ᜊ 8월 컴백카페 or 생일카페 운영하시는 모아분들을 찾습니다 ᜊ

🅆🄷🄰🅃  ▸ ▸  음총팀과 함께 오프라인에서 모아들에게 스밍 홍보하기 ⸝⸝ ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝
🄶🄸🄵🅃  ▸ ▸  공식 스밍리스트가 인쇄된 포토카드 200/500장[all무료 제공!]

♡예시사진 아래로♡
1
339
405",🚨 ✨ ✨ 〽 〽 🃏 ❣,1,339,405,['https://pbs.twimg.com/media/E7tCZOuVcA0nv-k?format=jpg&name=900x900'],https://twitter.com/TXT_STREAM/status/1421803120544292865
오육대,@205_6dae,2021-08-13T03:26:05.000Z,"오육대
@205_6dae
·
Aug 12","#휴_닝카이_생일_아직안지났네
겨우겨우 시간 내서 온 카페꼬모
아기자기한 휴닝이들 귀여움에 한 반 치이고 액자 보면서 눙물 삼리터 흘렸어요,,⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝
삼성님 특전 진짜 너무너무 애쁘고 휴닝카롱도 ㅠㅅㅠ 귀엽구 맛있더욤
다들 카페 꼬모 오세요 후회 안 합니다ㅠ
2
5",🤍 😋,,2,5,"['https://pbs.twimg.com/media/E8o_hotVgAQHRUl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8o_hoxVIAIKjxm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8o_ho2UcAcV4Ti?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8o_howUYAItMF-?format=jpg&name=360x360']",https://twitter.com/205_6dae/status/1426022217100324870
한지심체요절,@yozerhanji,2021-08-12T13:29:03.000Z,"한지심체요절
@yozerhanji
·
Aug 12","예전에 살던 동네가 학교나 회사 목이 별로 없어서 ㅋㄹㄴ 타격을 직격타로 입던 곳인데 맨날 티비 보고 뒤돌아있는 사장님들이나 카페로 모여서 어쩌지 어쩌지 하고 있던 이웃가게 사장님들 보면서 진심 우울증왔었음..삶이 너무 이상했어..
1
6
29",,1,6,29,[],https://twitter.com/yozerhanji/status/1425811570609639430
mani,@mani_tododo,2021-08-02T05:08:37.000Z,"mani
@mani_tododo
·
Aug 1","카페에서 무료나눔 했던 모동숲 그림들!
시간나면 트친분들 주대도 그려보고 싶어요 ( •̀ .̫ •́)✧
5
21",🌿,5,,21,"['https://pbs.twimg.com/media/E7wte0LVkAMfcYb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wte0lVcAAjPWV?format=jpg&name=360x360']",https://twitter.com/mani_tododo/status/1422061754721341442
方外人,@LanLan_2021,2021-08-16T13:14:43.000Z,"方外人
@LanLan_2021
·
Aug 16","진짜 어이없는 기획

#공기업 #취업준비생 대상으로
#김제동 온라인 고민 상담 추진

출판사 #문학동네 측은 지난 10일 네이버 카페 ‘공기업을 준비하는 사람들의 모임’(공준모)에 공지글을 올려 ‘김제동의 랜선 고민상담소’ 진행 방침을 밝혔다.
""김제동이 취업 고민 상담? 뭘 아는데요"" 취준생들 뿔났다
“이 사람이 취업에 대해 뭘 아는데요?” 방송인 김제동(47)씨를 내세워 공기업 취업 준비생들을 위한 온라인 고민상담소를 진행하려던 시도가 큰 반발에 직면했다. 출판사 문학동네 측은 지난 10일 네이버 카페 ‘공기업을 준비하는 사람들의 모임’(공준모)에 공지글을 올려 ‘김제동의 랜선 고민상담소’ 진행 방침을 밝혔다. 선착순 100명을 모집해 시험 합격에 대
news.v.daum.net
4
2",🍊,,4,2,['https://pbs.twimg.com/card_img/1442799036474408960/kt6Tm62b?format=jpg&name=small'],https://twitter.com/LanLan_2021/status/1427257516371574788
면제,@2myunZ__,2021-08-22T06:46:27.000Z,"면제
@2myunZ__
·
Aug 21","아니 7n, 6n년생들이 블로그니 카페만들고 모여서 아들뻘 아이돌 욕하면서 xx들끼리 제생각도 그래요 울님들~ 이지랄하는 거 진짜 너무 개역겹다고ㅠ;
울엄마 컴터로 뭐 하는 거 잘 못하셔서 나한테 부탁할 때 가끔 답답했는데 저런 패악중년보면.. 울엄마 컴터업무 내가 평생 봐드려도 됨 오히려 좋아
50
186",,,50,186,[],https://twitter.com/2myunZ__/status/1429334131771539463
베키,@talkingabtmy,2021-08-03T13:42:21.000Z,"베키
@talkingabtmy
·
Aug 3","진짜 너무너무 걱정댄다 8ㅁ8 .. 변경 전 카페로 가실까바 .. 모쪼록 헛걸음 하시는 분들이 없으셧으면 
2
13",🥲 🥲 🥲 🥲 🥲,,2,13,[],https://twitter.com/talkingabtmy/status/1422553427188539394
소수,@sosu_nogame,2021-08-30T07:01:28.000Z,"소수
@sosu_nogame
·
Aug 30","요즘 같은 스타일은 아니고 다음 카페에서 주로 모의전이란 이름 달고 글쓰기 커뮤니티가 한창 흥했을 때 스탭도 하고 그랬는데 모의전은 진짜루 글 커뮤니티인데도 다들 태그나 이런 비주얼적인 거에 엄청 집착하긴 했음
1
5",,1,,5,[],https://twitter.com/sosu_nogame/status/1432237014552776706
