UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
사 양맹,@hollow_sa_yang,2021-08-18T08:11:24.000Z,"사 양맹
@hollow_sa_yang
·
8월 18일","맛있는 허니브레드,,,
#HollowKnight
1
192
320",🐝 🍯,1,192,320,['https://pbs.twimg.com/media/E9Dw5dTVkAInpro?format=jpg&name=900x900'],https://twitter.com/hollow_sa_yang/status/1427905957867126785
꼰데레할배행복증진위원회,@Inspirasyeon,2021-08-27T06:29:07.000Z,"꼰데레할배행복증진위원회
@Inspirasyeon
·
8월 27일","헐 새로 들어온 신상제품 왜 V브레드인가 싶었더니 비건머핀이라 그런가봄
2
122
98",,2,122,98,"['https://pbs.twimg.com/media/E9xvyUxVgAQw2TK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xvy5uVcAESbFq?format=jpg&name=360x360']",https://twitter.com/Inspirasyeon/status/1431141710583648257
김여행,@_travelkim,2021-08-23T07:56:06.000Z,"김여행
@_travelkim
·
8월 23일","브와롱 프룻 바스켓 팝업
8월 20일부터 2주간 세드라/트릴로지/해피해피케이크/레종데트르/브레드바이 에서 프랑스 퓨레 브랜드 브와롱과 협업하여 기간한정 디저트를 판매하신다고.
궁금한 마음에 얼른 다녀왔는데… 2주만 판매하시는데 이렇게 맛있으면 어떡해요...
2
502
546",🥲,2,502,546,"['https://pbs.twimg.com/media/E9ddV05UcAAcIXr?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ddV5cVIAIwzAt?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ddV1aVcAAiXOK?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ddV7mVgAEw4zp?format=jpg&name=small']",https://twitter.com/_travelkim/status/1429714047650340865
,@zkxdkf,2021-08-19T12:21:14.000Z,"@zkxdkf
·
8월 19일","옥수 펑키플로어
스리라차버터, 초리조와 함께 요리된 관자와 그릴드 로메인, 삭힌고추하리사소스를 곁들인 흑돼지요리, 머쉬룸브레드소스로 버무린 육회! 함께한 와인도 너무 맛있었다. 두번째 병도 와인으로 하고 싶었는데 음식을 거의 먹어서 사워비어로 했는데 이것도 참 좋았다.
1
225
419",🍻 🥂,1,225,419,"['https://pbs.twimg.com/media/E9Jzn_ZVEAUPweY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Jzp-FUYAAjbhC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9JzpBvVkAEJ9P9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9JzrHMVcAAE3Sv?format=jpg&name=360x360']",https://twitter.com/zkxdkf/status/1428331220186800128
이르,@Irr__oo,2021-08-25T10:32:48.000Z,"이르
@Irr__oo
·
8월 25일","이젠 걍 우유부운식빵이 되어버림
안돼내 휘핑크림 허니브레드의 꿈이
3
1
4",,3,1,4,['https://pbs.twimg.com/media/E9oUZWeVcAET-j4?format=jpg&name=small'],https://twitter.com/Irr__oo/status/1430478260178063363
전구 (사망꾼),@qlnq_mol6,2021-08-25T06:25:41.000Z,"전구 (사망꾼)
@qlnq_mol6
·
8월 25일","나는 만들 것이다 메이크 브레드
1
15",,1,,15,['https://pbs.twimg.com/media/E9nb1OvVkAEpiOQ?format=jpg&name=small'],https://twitter.com/qlnq_mol6/status/1430416070012071938
린에,@rine_aeo,2021-08-21T06:00:03.000Z,"린에
@rine_aeo
·
8월 21일","허니브레드 너무조아
1
9",,,1,9,['https://pbs.twimg.com/media/E9SvmYmUcAIpUuz?format=jpg&name=small'],https://twitter.com/rine_aeo/status/1428960068746104834
Loki Liesmith,@Karaghiozis,2021-08-20T13:16:54.000Z,"Loki Liesmith
@Karaghiozis
·
8월 20일","더브레드블루의 '카레에 빠진 모닝빵'이 너무나 사고싶은데...근데 막상 사놓으면 깨작깨작 먹을 듯
1
16",🌹 ☂,,1,16,['https://pbs.twimg.com/media/E9PKAAtVgAIgxPq?format=jpg&name=small'],https://twitter.com/Karaghiozis/status/1428707614897053699
아야 음식계,@S2jje_nyami,2021-08-05T16:39:44.000Z,"아야 음식계
@S2jje_nyami
·
8월 6일","학원에서 만든 풀먼식빵으로 피치 얼그레이 크림치즈 브레드 만들기 (이름 너무 길어)
4
7",🍴,,4,7,"['https://pbs.twimg.com/media/E8CogfMVcAAPfgV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8CoggzUUAQzq9E?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Cogz1VkAgOKb6?format=jpg&name=360x360']",https://twitter.com/S2jje_nyami/status/1423322842972581891
Loui,@freewill_9,2021-08-29T12:13:10.000Z,"Loui
@freewill_9
·
8월 29일","<파르바나: 아프가니스탄의 눈물> 여성들의 억압된 일상과 공포를 생생하게 실감했다. 장면마다 참혹했으나, 가족과 친구에게 보석같은 이야기를 들려주며 용기를 잃지 않는 주인공 파르바나를 응원하게 된다. 원작은 데보라 엘리스의 동화 <브레드 위너>.
https://netflix.com/title/80217121?s=i&trkid=13747225&t=twt…
7
10",,,7,10,"['https://pbs.twimg.com/media/E99RuS8VEAYk-1a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99RuTJVkAwfxnC?format=jpg&name=360x360']",https://twitter.com/freewill_9/status/1431953066404683781
