UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
잳온리,@JD_is_ing,2021-08-13T16:48:04.000Z,"잳온리
@JD_is_ing
·
8월 14일","2021 재도의 해 정리해왔습니다

1월 부끄러워마요, 서포트, 자컨 (타래)
2월 , 인스타, 연하 생일 (타래), 릴캠 
3월 일본 비하인드 Un Cut, 자컨 JD가 뭐야
4월 슬애 커플화보, 토끼와 러브
5월 열정적인 사람 서로 지목
6월 브이앱 화장실, 포카리, 쇼챔 비하인드
7월 첫공 서포트
8월 갤러리아
1
589
539",👀 🍎,1,589,539,['https://pbs.twimg.com/media/E8r3MtvUUAUBobQ?format=jpg&name=small'],https://twitter.com/JD_is_ing/status/1426224044966236169
담소/슬롯,@damso_2018,2021-08-05T14:10:47.000Z,"담소/슬롯
@damso_2018
·
8월 5일","[RT]Marigold Round : 메리고라운드 SD
회전목마8월 6일(금)일~8일(일) 3일동안 신청 슬롯 열어 놓습니다.
달콤한 아이스크림을 뒤집어 쓴 토끼와 회전목마가 함께하는 토끼페어SD 타입입니다. 

타래의 간단양식 작성 후, 메일 로 신청받습니다.
(작업기간은~세달!) 개인 굿즈 사용 허용!
1
449
164",🌙 ❌ 🎠 🎠 💕 🦄 ❗ ❗,1,449,164,['https://pbs.twimg.com/media/E8CGe4dVIAkQ4m7?format=jpg&name=small'],https://twitter.com/damso_2018/status/1423285357613752326
담소/슬롯,@damso_2018,2021-08-14T10:20:20.000Z,"담소/슬롯
@damso_2018
·
8월 14일","[RT이벤트]썸머토끼SD X클로버 SD 
미니 SD 타입 총 2버전을 08월 15일(일요일)오후 7시의 신청 슬롯이 열립니다.
여름이 끝나가는 이벤트로 9/10일에 RT 추첨을 통하여 각각 7분/7분 썸머토끼와 클로버SD 타입을 그려드립니다

타래의 간단양식 작성 후,메일로 신청받습니다. (작업기간 :3달)
3
1.4천
222",🌙 ❌ 🌊 🍀 ❣ ❣,3,1.4천,222,"['https://pbs.twimg.com/media/E8vjg6tVoAIWUOk?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vjkRAVUAE4gEc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8vlGFYVIAEFUaf?format=jpg&name=360x360']",https://twitter.com/damso_2018/status/1426488855834742788
에프어쩌곰,@FV__F,2021-08-27T13:53:51.000Z,"에프어쩌곰
@FV__F
·
8월 27일","헐.... 모종의초능력적이유로 걔빼고 모두 3월의토끼가되어버린 시추에이션보고싶다(걔는출장가서없다는세계관)
1",,,,1,[],https://twitter.com/FV__F/status/1431253632184291330
메이블썰에 태그되실분 직멘이나 디엠주세요 마이너 콜렉터 림프,,2021-08-22T03:31:02.000Z,"메이블썰에 태그되실분 직멘이나 디엠주세요 마이너 콜렉터 림프
·
8월 22일","이상한나라의 앨리스 au 정보팀
앨리스 메이블
흰토끼 세드릭
3월토끼 윤후
트럼프 병사들 그 외 사무직
2",🍥,,,2,[],https://twitter.com/Lymph_Intp/status/1429284953364127745
영원한 희망 자동봇,@EC_Broadcasting,2021-08-29T10:43:51.000Z,"영원한 희망 자동봇
@EC_Broadcasting
·
8월 29일","3월의 시계 토끼는 자신의 방식이 잘못 되었다는 것을 알고 있습니다.

-3월의 시계 토끼, 하멜른의 피리 부는 사나이 제압
1",,,,1,[],https://twitter.com/EC_Broadcasting/status/1431930592535269377
빠랑,@kkanemongS2,2021-08-26T12:09:33.000Z,"빠랑
@kkanemongS2
·
8월 26일","이상한나라의 오하마....
칸에몽 앨리스(사심캐스팅
쿠쿠치 하얀 여왕
사부로 모자장수
타케야 3월토끼
라이조 도마우스....
사실 티파티하는 5로가 보고싶어
1
1",◻ ◻,1,,1,[],https://twitter.com/kkanemongS2/status/1430864994531381253
まて@くも,まて@くも,2021-08-30T09:29:21.000Z,"まて@くも
@Black_Mate_
·
8월 30일","아직 쐐기벌레, 공작부인, 3월의 토끼, 모자장수 등등 엄청 남았는데...
まて@くも
@Black_Mate_
 · 8월 30일
내 맘대로
보프 = 앨리스
피코 = 시계토끼
걸프 = 하트여왕
이렇게 가야지

이제 다른 애들 어떡하지
2",,,,2,['https://pbs.twimg.com/profile_images/1438107390038085650/kspMLp5E_mini.jpg'],https://twitter.com/Black_Mate_/status/1432274231610462213
파송송,@parsong613,2021-08-07T07:58:37.000Z,"파송송
@parsong613
·
8월 7일","3월 토끼라고 하면 또 이상한 나라의 앨리스au가 보고 싶은데
1
1
9",,1,1,9,[],https://twitter.com/parsong613/status/1423916477409685507
나비/로 뒷사람 종이날개,@softpaperwings,2021-08-13T10:13:25.000Z,"나비/로 뒷사람 종이날개
@softpaperwings
·
8월 13일","이상한 나라의 앨리스에 시계토끼가 있고 3월토끼가 있고 둘은 다른애들인데 (심지어 영어로는 한쪽은 rabbit 다른쪽은 hare임) 둘이 섞인것같은 느낌을 받으면 나는 슬프다
1",,1,,,[],https://twitter.com/softpaperwings/status/1426124724216602627
