UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ris ✶ 빈혁,@binanamilk,2021-08-27T07:18:37.000Z,"ris ✶ 빈혁
@binanamilk
·
Aug 27","Moonbin apparently has a schedule today  He'll be featuring in JTBC's Differential Class (차이나는 클라스 - 질문 있습니다) soon !
2
440
1.3K",😮,2,440,1.3K,"['https://pbs.twimg.com/media/E9x7FrnUUAE0wZe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x7FrnVgAAbORc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x7FrpVkAExHq9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x7FrnVEAMI7Fd?format=jpg&name=360x360']",https://twitter.com/binanamilk/status/1431154164927655937
링링,@bean_ko_ng,2021-08-27T07:47:13.000Z,"링링
@bean_ko_ng
·
Aug 27","210827 문빈 기사사진
JTBC 차이나는 클라스 출근
1
205
747",,1,205,747,"['https://pbs.twimg.com/media/E9yBpn2UUAQcwFY?format=jpg&name=small', 'https://pbs.twimg.com/media/E9yBqgsVIAghkp6?format=jpg&name=small', 'https://pbs.twimg.com/media/E9yBqIZVcAEJ-f8?format=jpg&name=small', 'https://pbs.twimg.com/media/E9yBq42UUAELVO5?format=jpg&name=small']",https://twitter.com/bean_ko_ng/status/1431161362294603777
링링,@bean_ko_ng,2021-08-27T08:01:09.000Z,"링링
@bean_ko_ng
·
Aug 27","빈이 찍는 거 이건가보다
9월 19일 6시 40분 JTBC  첫방송
'차이나는 클라스-인생수업'

#문빈
1
164
325",😁,1,164,325,['https://pbs.twimg.com/media/E9yE2wKVkAM1Usm?format=jpg&name=900x900'],https://twitter.com/bean_ko_ng/status/1431164870490136576
ASTROALIVE아스트로,@Astro_EW330,2021-08-27T07:14:55.000Z,"ASTROALIVE아스트로
@Astro_EW330
·
Aug 27","#ASTRO #Moonbin on the way to JTBC Ilsan Studio for '차이나는 클라스 - 질문 있습니다 (Differential Class)' 210827
https://newsen.com/news_view.php?uid=202108271605071410…
http://youtu.be/RpBxkxXqGfg 
#아스트로 #문빈 #ムンビン #文彬 #มุนบิน
3
737
1.8K",🌟 💜 🔗 ▶,3,737,1.8K,['https://pbs.twimg.com/media/E9x597dVkAg2Ujf?format=jpg&name=small'],https://twitter.com/Astro_EW330/status/1431153235360768000
청묘,@silkroadcat,2021-08-25T01:56:15.000Z,"청묘
@silkroadcat
·
Aug 24","며칠 전, ‘차이나는 클라스’ 프로그램에서 이런 이야기를 들었습니다.

중국의 법은 ‘네거티브’ 입니다. 즉, 이건 안되, 근데 그 이외 것들은 다 되.

이에 반해 한국의 법은 ‘포지티브’ 입니다. 즉, 이건 되, 근데 그렇다고 그 이외 것들도 되는건 아니야.

...??
알쏭달쏭한 한국의 스탠스입니다.
GIF
1
2
11",,1,2,11,['https://pbs.twimg.com/tweet_video_thumb/E9meKaLVkAM-XWw.jpg'],https://twitter.com/silkroadcat/status/1430348266110001152
빈이미소,@moonbin_smile98,2021-08-27T07:24:21.000Z,"빈이미소
@moonbin_smile98
·
Aug 27","우리 빈이 차이나는 클라스 가는구나^^ 매일매일 요즘 너무 좋다♡ #문빈 #Moonbin
빈이 하트 4종♡
1
11",,1,,11,"['https://pbs.twimg.com/media/E9x8bC7VIAMQzrm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x8bnGVgAUgWYO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x8bVQVkAIG-sd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x8cCiVcAEnbsD?format=jpg&name=360x360']",https://twitter.com/moonbin_smile98/status/1431155607961178115
LiveHappily0126,@LiveHappily1004,2021-08-27T07:23:01.000Z,"LiveHappily0126
@LiveHappily1004
·
Aug 27","'차이나는 클라스' 출근길 하트 4종
사랑둥이~~~
1
2",🥰 ☺ 😍,,1,2,"['https://pbs.twimg.com/media/E9x8IUFUYAIyzB6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x8Iq7UUAQBp9Z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x8IgEUUAYHEqt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9x8I4XVIAE7h3O?format=jpg&name=360x360']",https://twitter.com/LiveHappily1004/status/1431155275667365891
랄라(우로하),@astralla0126,2021-08-27T08:05:12.000Z,"랄라(우로하)
@astralla0126
·
Aug 27","윙크에 하트에

차이나는 클라스 꼭 본다!!
#문빈 #아스트로 #차이나는클라스
3",😃 💜 💜,,,3,['https://pbs.twimg.com/media/E9yFyUfUYAE_vjQ?format=jpg&name=small'],https://twitter.com/astralla0126/status/1431165888254803971
델타,@dr__delta,2021-08-13T14:12:11.000Z,"델타
@dr__delta
·
Aug 13","나도 앞자리 박사님한테 추천받아서 보게되었고 고등학교 친구들에게도 꼭 보라고 추천한 차이나는 클라스의 30분 분량의 짧은 기후위기 관련 영상인데 트친분들도 시간나면 꼭 한번 보길 추천드립니다.
[차클 마스터클라스] ""지구가 인간을 버릴 수도 있어요""
기후변화로 죽어가는 지구, 살릴 시간 얼마나 남았나?조천호｜대기과학자02:00 기후변화의 파괴력05:30 지구의 온도상승, 기후위기11:05 온도상승의 결과20:58 기후위기 대응#마스터클라스 #조천호 #기후변화[JTBC인사이트] 구독하기☞ http://asq.kr/r6n...
youtube.com
2
6",🌏,,2,6,['https://pbs.twimg.com/card_img/1441204931801665539/ErXdeWYg?format=jpg&name=240x240'],https://twitter.com/dr__delta/status/1426184814000934919
포스텍 박태준학술정보관,@postechlibrary,2021-08-26T23:19:05.000Z,"포스텍 박태준학술정보관
@postechlibrary
·
Aug 26",[신착] 차이나는 클라스 : 국제정치 편 : 역사분쟁·무역 전쟁·이념 갈등 / #POSTECH http://feedproxy.google.com/~r/ALL/postech/~3/iyvgluOsE84/dlSearch.do…,,,,,[],https://twitter.com/postechlibrary/status/1431033489474740232
