UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
잔디,@january_doh,2019-09-03T13:05:29.000Z,"잔디
@january_doh
·
2019년 9월 3일","예전에 올영 갔을 때 엇 괜괜이선인장(?)이네 하고 눈으로 찜꽁해놨던 거 세일해서 샀다^~^ 회사 책상에 올려둬야징
3
8",🌹,,3,8,['https://pbs.twimg.com/media/EDireCnU4AU15P2?format=jpg&name=small'],https://twitter.com/january_doh/status/1168872643451207686
✿세상 어디에도 없는 착한여자✿,@PeeKa0218,2013-01-12T06:57:32.000Z,"✿세상 어디에도 없는 착한여자✿
@PeeKa0218
·
2013년 1월 12일","벽화 이뻐영
장소는 본성4 주차장 뚱이네찜",,,,,['https://pbs.twimg.com/media/BAY_4lrCUAAthl-?format=jpg&name=small'],https://twitter.com/PeeKa0218/status/289989467425624065
윤풀,@rlathdbs_,2021-09-03T17:49:30.000Z,"윤풀
@rlathdbs_
·
9월 4일","찜만해놨당 이제사 보게되신디!!
틴바헌(틴에이지바운티헌터스)
내가 어떵 이제사 이드라마를 알게되신지 또 무사 영 몰앙 봐신지… 너무 아쉽고 ㅠㅠㅠㅠㅠ 차라리 몰랐던 때로 돌아가고싶은 마음이 들어부난 심란한 밤이네이. 
사랑해 스털링ㅠㅠㅠㅠ",,,,,['https://pbs.twimg.com/media/E-YOp1sVQAE_xHh?format=jpg&name=small'],https://twitter.com/rlathdbs_/status/1433849648146358274
성우 공부하는 Ritsuka,@notcoler,2017-07-27T05:17:27.000Z,"성우 공부하는 Ritsuka
@notcoler
·
2017년 7월 27일","목소리가 좋다는 얘기 뿐이네.
마지막에 몰입감이 좋다는 것도 결국, 연기가 아니라 목소리.
더이상 까고 싶은 맘도 없는 발연출 더빙이지만, 연기보단 목소리 좋으면 장땡이라는 느낌이라 영 찜찜하다.",,,,,['https://pbs.twimg.com/media/DFt7VepUQAAPtl5?format=jpg&name=small'],https://twitter.com/notcoler/status/890440979211198464
조선녆북공화국,@nbisjjin,2020-05-01T16:35:54.000Z,"조선녆북공화국
@nbisjjin
·
2020년 5월 2일","그래서 갔는데...

"".....여긴...""

산부인과잖아

이런 미친 윤닥터 돌팔이새끼
부하놈들 안데리고 와서 다행이네 
라며 돌아서려던 종연
근데 영 찜찜하다
혹시모르니..검사나...진짜 검사나해보자 했는데

""임신이네요""
1
3",,1,,3,[],https://twitter.com/nbisjjin/status/1256261072115425280
청절,@starbollday,2021-04-12T05:38:24.000Z,"청절
@starbollday
·
4월 12일","흑흑 봐주세요
2
1",,2,,1,['https://pbs.twimg.com/media/EywCYh1UUAAFmLw?format=jpg&name=900x900'],https://twitter.com/starbollday/status/1381481810593423361
달콤한독버섯,@joo2o2o,2021-04-12T13:50:29.000Z,"달콤한독버섯
@joo2o2o
·
4월 12일","헉 넷플이네영? 일단 찜ㅋㅋ
1",,1,,,[],https://twitter.com/joo2o2o/status/1381605644361375757
먹짱이도마도,@day6tomato,2020-07-31T03:25:46.000Z,"먹짱이도마도
@day6tomato
·
2020년 7월 31일",영이네찜 plz,,,,,[],https://twitter.com/day6tomato/status/1289039523192569857
자신이 믿는 정의를 향해,@4_my_justice,2021-01-26T14:18:46.000Z,"자신이 믿는 정의를 향해
@4_my_justice
·
1월 26일","@4_my_justice
 님에게 보내는 답글
""대체 왜 그랬대요? 다쳤는지 다리도 절던데.""

""몰라요~ 한창 예민할 때잖아요. 가족들이랑 싸웠나 보지, 뭐...""

""돌아오자마자 죄송하다고 사과하는데 잘 풀렸나봐요. 잘 된 일이죠.""
1",,1,,,[],https://twitter.com/4_my_justice/status/1354071284968165376
자신이 믿는 정의를 향해,@4_my_justice,2021-01-26T14:18:47.000Z,"자신이 믿는 정의를 향해
@4_my_justice
·
1월 26일","""다행이네요. 그 애 표정이 없는게 영 찜찜하긴 하지만...""",,,,,[],https://twitter.com/4_my_justice/status/1354071287728119809
