UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@goodstained,2021-09-17T10:54:49.000Z,"@goodstained
·
Sep 17","오빠가 쭈꾸쭈꾸 사줬어 (❁´ω`❁)
13",🥂,,,13,"['https://pbs.twimg.com/media/E_e1-gHVEAItMNY?format=jpg&name=small', 'https://pbs.twimg.com/media/E_e1_ZiVQAMBOey?format=jpg&name=360x360']",https://twitter.com/goodstained/status/1438818718193119232
ㅌㅊㅅ 다몌,@handam_hye_0843,2021-09-23T23:42:01.000Z,"ㅌㅊㅅ 다몌
@handam_hye_0843
·
Sep 23","아니 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 색칠 하나 햇다고 와방 기여워졋더요 ㅜㅜ ㅜㅜ ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ미치겟다...쭈꾸쭈꾸 ㅜㅜ ㅜㅜ
ㅠ구독아님ㅠ 맞팔하세요 트친소 형형
@0Hyeong
 · Sep 23
쭈꾸..쭈꾸 이러면서 저한테 말거는데요?? ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ  twitter.com/handam_hye_084…
1
2",,,1,2,"['https://pbs.twimg.com/profile_images/1440585994139406345/B8pFKyIg_mini.jpg', 'https://pbs.twimg.com/media/E_-m_ntUUAUHp3Y?format=jpg&name=small']",https://twitter.com/handam_hye_0843/status/1441186120444755968
로코츠,@LAWcc_Tech,2021-09-25T01:07:45.000Z,"로코츠
@LAWcc_Tech
·
7h",쭈꾸쭈꾸 체리체리봄,,,,,[],https://twitter.com/LAWcc_Tech/status/1441570082694389763
메인트 타래 많이 알티 부탁해요 가좍님들,@SN_0w0,2021-09-17T08:44:16.000Z,"메인트 타래 많이 알티 부탁해요 가좍님들
@SN_0w0
·
Sep 17","쭈꾸미먹구싶다 쭈꾸미 쭈꾸쭈꾸쭈꾸
1",,1,,,[],https://twitter.com/SN_0w0/status/1438785865124175877
메인트 타래 많이 알티 부탁해요 가좍님들,@SN_0w0,2021-09-17T09:09:02.000Z,"메인트 타래 많이 알티 부탁해요 가좍님들
@SN_0w0
·
Sep 17","쭈꾸쭈꾸
쭈꾸쭈꾸",,,,,[],https://twitter.com/SN_0w0/status/1438792100909178886
메인트 타래 많이 알티 부탁해요 가좍님들,@SN_0w0,2021-09-17T08:44:26.000Z,"메인트 타래 많이 알티 부탁해요 가좍님들
@SN_0w0
·
Sep 17",쭈꾸쭈꾸,,,,,[],https://twitter.com/SN_0w0/status/1438785906295459842
메인트 타래 많이 알티 부탁해요 가좍님들,@SN_0w0,2021-09-17T10:34:12.000Z,"메인트 타래 많이 알티 부탁해요 가좍님들
@SN_0w0
·
Sep 17",쭈꾸쭈꾸 먹고올게~~~~~~~~~~~~~,,,,,[],https://twitter.com/SN_0w0/status/1438813530107498496
레옹베타 3100 아드,@adeu31,2021-09-23T19:04:43.000Z,"레옹베타 3100 아드
@adeu31
·
Sep 23","좀 많이 뜬금없는데... 요즘 왜 자꾸 쵸우를 막 안아주고 싶지?
아드님 언젠 안 그런적 있었어요?
조용히해보세요
나 우리 애기나비 막 안아서 쓰담쓰담 쭈꾸쭈꾸 해주고 싶은데 자작캬라 녀석은 그게 안 돼 이 바보 멍청이
1
2
1",💙 💙,1,2,1,['https://pbs.twimg.com/media/E__fmg4VkAcmsl6?format=png&name=small'],https://twitter.com/adeu31/status/1441116333538639884
나비,@Crystar_new,2021-09-25T07:59:35.000Z,"나비
@Crystar_new
·
35m",치키치키차카차카 쭈꾸쭈꾸chu~~~,💫,,,,[],https://twitter.com/Crystar_new/status/1441673722495074307
모르가나 뒤 단사,@DanSSa_9,2021-09-20T18:50:48.000Z,"모르가나 뒤 단사
@DanSSa_9
·
Sep 20","Replying to 
@mulmul105
물님이 좋으시다니 다행이라구요 쭈꾸쭈꾸 그치만 귀여운걸 귀여워하는것 뿐인걸요 ㅠㅠㅠㅠㅠㅠㅠ.
1",,1,,,[],https://twitter.com/DanSSa_9/status/1440025666955534336
