UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
mai ◡̈,@seonprise,2021-08-30T10:15:13.000Z,"mai ◡̈
@seonprise
·
Aug 30","hoping that dusik and seonho will have more opportunities to be the ㅊ in 차차차

#KimSeonHo #김선호 #HongDuSik #홍두식 
 #갯마을차차차 #HometownChaChaCha
32
130",🌊,,32,130,"['https://pbs.twimg.com/media/E-CAUGyVEA0dqyS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CAUheVcAgdG2i?format=jpg&name=360x360']",https://twitter.com/seonprise/status/1432285774129467401
nik,@seonpaws,2021-08-30T09:10:44.000Z,"nik
@seonpaws
·
Aug 30","It just dawned on me that homcha is produced by studio dragon. Most of my favorite drama are produced by them. They set the quality standard so high that everything else pale in comparison. 

고향 차차차— https://netflix.com/us/title/81473182?s=i&trkid=13747225&vlang=en&clip=81494493… 

#HometownChaChaCha
4",🤍,,,4,"['https://pbs.twimg.com/media/E-BxjpqVEAEg4tu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BxjpuVUAI-x1D?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BxjptVUAMVWjf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BxjptUUAI_fy6?format=jpg&name=360x360']",https://twitter.com/seonpaws/status/1432269546853847040
차차,@monbeelight,2021-08-29T21:12:03.000Z,"차차
@monbeelight
·
Aug 29","User 차차 selcaday a thread
2
2
7",,2,2,7,[],https://twitter.com/monbeelight/status/1432088681142276099
ria / 0926大阪,@machinators,2021-08-29T10:40:49.000Z,"ria / 0926大阪
@machinators
·
Aug 29","갯마을 차차차 is finally out & i just watched ep 1. cute......good vibes too.....hoping for a healing & less-stressful drama because i can't continue 도깨비 jskds

gotta say tho, all these odd-jobs feel like something seonho would work to avoid in 1n2d lol
GIF
1",🌝 🕊,1,,,['https://pbs.twimg.com/tweet_video_thumb/E988kDcVUAsd2zg.jpg'],https://twitter.com/machinators/status/1431929827997536261
아!서노를선호해◡̈,@sunseon508,2021-08-30T14:49:03.000Z,"아!서노를선호해◡̈
@sunseon508
·
Aug 30","갯마을차차차 넷플 월드순위 12위
동남아 4개국 1위   #김선호 #갯마을차차차
45
127",🥳,,45,127,['https://pbs.twimg.com/media/E-C-_PGUYAQGb3t?format=jpg&name=large'],https://twitter.com/sunseon508/status/1432354684690337799
돋을볕,@Melody_starB,2021-08-30T13:42:43.000Z,"돋을볕
@Melody_starB
·
Aug 30","갯마을차차차 Ep.02
윤혜진 신민아 홍두식 김선호

https://bit.ly/3zv8Zik
 - (c;) https://bit.ly/3mIcrmb
GIF
67
106",,,67,106,['https://pbs.twimg.com/tweet_video_thumb/E-CvlF1VEAgv9t3.jpg'],https://twitter.com/Melody_starB/status/1432337990617948170
부추,@boochu0,2021-08-29T10:15:23.000Z,"부추
@boochu0
·
Aug 29"," 갯마을차차차 가자~!
0:01
934 views
30
19",💛,,30,19,[],https://twitter.com/boochu0/status/1431923428143943680
,@wave_dsc,2021-08-29T14:56:42.000Z,"@wave_dsc
·
Aug 29","차차                                             뚜뚜

빙빙                                             윈윈
26
32",,,26,32,"['https://pbs.twimg.com/media/E993J6IVIAACwN1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E993J8VUUAc87Zs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E993J7HUUAcC9KI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E993J8VUcAId_dK?format=jpg&name=small']",https://twitter.com/wave_dsc/status/1431994223436304387
Life Fansub,@lifefansub,2021-08-29T23:12:19.000Z,"Life Fansub
@lifefansub
·
Aug 29","HOMETOWN CHA-CHA-CHA (2021)

EPISÓDIO 02

Título nativo: 갯마을 차차차
Gêneros: Comédia , Romance
Episódios: 16
Rede Original: tvN
Duração: 1 hora 10 min.

► ASSISTA AQUI : https://lifefansub.com/dramas/hometown-cha-cha-cha/…

► (PAYPAL) http://bit.ly/3mmy4Wy
► (PIX): lifefansub1@gmail.com
3
39",,,3,39,['https://pbs.twimg.com/media/E9_oi8sXEAEuY6w?format=png&name=small'],https://twitter.com/lifefansub/status/1432118947315335177
김떡조 ◡̈,@tteokjo__kim,2021-08-30T02:02:58.000Z,"김떡조 ◡̈
@tteokjo__kim
·
Aug 29","'갯마을차차차' 신민아-김선호, 풋풋 티키타카 ""최고 7.7%""
http://m.hankooki.com/m_sp_view.php?m=&WM=sp&WEB_GSNO=6959000&s_ref=nv…

한편, ‘갯마을 차차차’ 2회 시청률은 수도권 가구 기준 평균 6.7%, 최고 7.6%, 전국 가구 기준 평균 6.7%, 최고 7.7%를 나타냈다.
1
13
31",🔗,1,13,31,['https://pbs.twimg.com/media/E-APpi8VcAI5Hex?format=jpg&name=900x900'],https://twitter.com/tteokjo__kim/status/1432161894484246532
