UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
N,@N_istanbull,2021-08-07T22:00:36.000Z,"N
@N_istanbull
·
8월 8일","Dem’de Devran’da senindir!.
Adın, namın ovalara düzlüklere taşsın.
Tüm Cihan kudretin kimde olduğunu görsün..
Sen yürü ki, ardın sıra dağlar taşlar yürüsün... 
Aşk ile yürü, 
YA HAKK...
 #ErdoğanTürkiyedir 
9
28
223",,9,28,223,['https://pbs.twimg.com/media/E8OFM1AWQBE4NUO?format=jpg&name=small'],https://twitter.com/N_istanbull/status/1424128367444611073
Vedat AKBAŞ,@VedatAkbs,2021-08-04T17:55:47.000Z,"Vedat AKBAŞ
@VedatAkbs
·
8월 5일","O vakit yürü Başkanım!

Dem de devran da senindir! 

Yürü ki ardın sıra dağlar, ardın sıra çağlar yürüsün

Bizler herdaim yanındayız Reis!
@RTErdogan
D E V A M 
12
30",,,12,30,['https://pbs.twimg.com/media/E79wZZrXsA0yXvv?format=jpg&name=small'],https://twitter.com/VedatAkbs/status/1422979593707864064
Nehir,@nehiryildizli,2021-08-13T22:13:17.000Z,"Nehir
@nehiryildizli
·
8월 14일","Böyle miydi benim sana dileğim?
Sen gel de ki ardın sıra geleyim,
Akarsu'yum ben her zaman böyleyim…
1
1
43",,1,1,43,[],https://twitter.com/nehiryildizli/status/1426305886050476035
La Minute Tourisme,@laminutetourism,2021-08-07T07:41:03.000Z,"La Minute Tourisme
@laminutetourism
·
8월 7일","Autour de chez moi. 
Ça pavoise aussi dans les rues d’Ardin.
La vie paisible à la campagne. 

Église Romane Notre-Dame
Ardin, 
17.07.2021

#laminutetourisme #ardin #valdegatine #paysdegatine #landscape #countryside #architecture #architecturephotog… https://instagr.am/p/CSQ56aFrFbg/
1",🚩 📍,,,1,['https://pbs.twimg.com/media/E8LAeDNXIAEr85K?format=jpg&name=small'],https://twitter.com/laminutetourism/status/1423912056076517376
PolîtîkAzad,@PolitikAzad,2021-08-11T08:06:06.000Z,"PolîtîkAzad
@PolitikAzad
·
8월 11일","Fîlozof behsa daran dikin

Belgefilma “Axavtina derbarê daran de” behsa çar sînemavanên Sûdanî dike, çar heval û hogirên ku ji sînemayê gelekî hez dikin. 

Nivîsa Ardîn Dîren

https://kurmanci.ozgurpolitika.com/nuceya-filozof-behsa-daran-dikin-152749…

Lînka alternatîf: https://justpaste.it/4hek7
1",🎞,,,1,['https://pbs.twimg.com/media/E8fsFjiWUAAWEBv?format=jpg&name=small'],https://twitter.com/PolitikAzad/status/1425367910374072323
L'Agence Tourisme (BOT),@TourismeBot,2021-08-27T12:47:19.000Z,"L'Agence Tourisme (BOT)
@TourismeBot
·
8월 27일",François Hollande nous parle de son plat préféré à Castelgaillard-sur-Ardin (Corse) : ''Quel délice que le porc à l'huile!''.,,,,,[],https://twitter.com/TourismeBot/status/1431236888426385410
#MambaOut,@sedmos,2021-08-14T13:25:53.000Z,"#MambaOut
@sedmos
·
8월 14일","Le j ardin d Ianna a 2 salles de fête. On est arrivé tot le matin et on a installé la piste au mauvais mariage. Heureusement qu on n avait pas encore posé le vinyl. 
1
4",😭 😭 😭,1,,4,[],https://twitter.com/sedmos/status/1426535549444182021
Bo Hogrelius,@Hogrelius,2021-08-22T08:53:21.000Z,"Bo Hogrelius
@Hogrelius
·
8월 22일","Jag ansluter mig också till de trötta. Så trött på oförmågan från de rödgröna. Så trött på kriminalitet. Så trött på Aftonbladets trams. Så trött på alla dessa hycklare och gycklare. De som stryker islamisterna medhårs,fy! Lögnarna likt Ardin och hennes falska kristna.
6",,,,6,[],https://twitter.com/Hogrelius/status/1429366065679720450
Leyla BJK,@leyla_1903bjk,2021-08-04T18:10:17.000Z,"Leyla BJK
@leyla_1903bjk
·
8월 5일","Git beni bırak ardın da
Nasılsa biri var aklın da
Sil anıları bir kalem de
Ben avunurum hayallerle.
20",⚫ ⚪,,,20,[],https://twitter.com/leyla_1903bjk/status/1422983243574489097
Serhat Önüç,@serhat_onuc88,2021-08-28T18:33:34.000Z,"Serhat Önüç
@serhat_onuc88
·
8월 29일","Türkiye'nin %40'ını Z kuşağı oluşturuyor. Adam sırf Z kuşağını bastırabilmek için ilkten Suriyeli mültecileri alıyor ardın da 6 milyon Afgan alıyor. Bu eylemleri gerçekleştirirken de gündem değişsin diye farklı farklı şeyler yapıyor ve yurdum insanı da ne yapsın yine uyuyoorr :))
4",,,,4,[],https://twitter.com/serhat_onuc88/status/1431686411686748169
