UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
✧.* 베비세니 ·˚✧,@kiwiteukie,2021-08-24T13:32:43.000Z,"✧.* 베비세니 ·˚✧
@kiwiteukie
·
8월 24일","비비밥 
90
84",🍚,,90,84,"['https://pbs.twimg.com/media/E9jz-qEWUAMKyuP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jz-qFWEBEiPB0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jz-qNXoAU7YZo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jz-qiXEAIADkf?format=jpg&name=360x360']",https://twitter.com/kiwiteukie/status/1430161146598809611
파랑,@paa_raang,2021-08-22T02:13:21.000Z,"파랑
@paa_raang
·
8월 22일","눈누난느 기내식 먹고 있는디 갑자기 

Zㅓ기여~
네에...?
뭐드세요?
저...비비밥....
맛있어요?
?네
쓰읍..하.. 고기먹고 싶은데...중얼중얼
스테이크도 맛있어요 여기...
아 그래요? 

요런 무드
1",🐝 🐝 🐝 🐝 🐝,,,1,['https://pbs.twimg.com/media/E9XFTr5UcAA7Xo8?format=jpg&name=small'],https://twitter.com/paa_raang/status/1429265403805528069
망치키치,@kim_ChzkiwiLych,2021-08-24T14:06:50.000Z,"망치키치
@kim_ChzkiwiLych
·
8월 24일",비비밥 그냥 그랬음. 그나마 저 물렁한 김치라도 있어서 밥에 반찬 먹는 기분으로 먹었는데 비빔밥 고추장에 식초를 왜 넣냐....좀 짜증났음...후..,🥭 🧀 🥝,,,,['https://pbs.twimg.com/media/E9j7xRPWUAkTCEz?format=jpg&name=small'],https://twitter.com/kim_ChzkiwiLych/status/1430169735082266637
내가 죽을 푸릇!,@F_Fin_,2021-08-06T04:54:06.000Z,"내가 죽을 푸릇!
@F_Fin_
·
8월 6일","비비밥케밥
1",💙 💜,,,1,[],https://twitter.com/F_Fin_/status/1423507651703361537
【나물할때 없는】홍챠롱챠롤챠,@I7oFYhi2Vb5nfH9,2021-08-06T04:53:58.000Z,"【나물할때 없는】홍챠롱챠롤챠
@I7oFYhi2Vb5nfH9
·
8월 6일","키스랑 비비였으면 키스 이미 비비밥됐음
1",🌿,,,1,[],https://twitter.com/I7oFYhi2Vb5nfH9/status/1423507617939300353
건강찾는보석바,@skftoa403,2021-08-14T13:41:57.000Z,"건강찾는보석바
@skftoa403
·
8월 14일","파프리카 다보고 카우보비비밥을 틀엇다
1",🎗,,,1,[],https://twitter.com/skftoa403/status/1426539594242134019
종,@mnn_g00,2021-08-04T13:56:09.000Z,"종
@mnn_g00
·
8월 4일","비설도구멍숭숭둟려서
ㅂ...비비.밥,비비.. 비! 비..비설!!! 이케생겻어요
4",,,,4,[],https://twitter.com/mnn_g00/status/1422919287824556043
비비,@bebeloveskitty,2021-08-01T10:52:51.000Z,"비비
@bebeloveskitty
·
8월 1일","#비비밥 비프카르파치오 피자랑 대파크림파스타
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1",😋 🍽,,,1,[],https://twitter.com/bebeloveskitty/status/1421785996509679624
엔터,@ViVisalgoo,2021-08-22T06:16:18.000Z,"엔터
@ViVisalgoo
·
8월 22일","비비의 스불재인데 자기가 챙겨주는 다정함... 역시 스윗하네요 현서야 #결혼해줘....비비 밥 못먹을때 계속 혀 괜찮아지면 이것도 먹으러 가고 저것도 먹으러 가고 어쩌구저쩌구 하면서 맛집 탐방 계획 세울 것 같아요 그리고 현서를 끌고다니는
맨꽁
@BndUv5
 · 8월 22일
옆에서 슬쩍보다가 죽도 만들어주고 다독여주면서 고생했다고 토닥토닥 안아파지면 맛있는거먹자고 할것같아요 twitter.com/ViVisalgoo/sta…
1",,,1,,['https://pbs.twimg.com/profile_images/1429814790222848004/awnVMfXI_mini.jpg'],https://twitter.com/ViVisalgoo/status/1429326544472723457
우즈,@dontlookmenaaa,2021-08-27T12:28:44.000Z,"우즈
@dontlookmenaaa
·
8월 27일","나는 비비 밥 먹는 사각사각 오독오독 소리가 너무 좋아…
네시간에 한번씩 우유먹이고 불린 사료 먹던 애가
처음으로 건사료 먹고 오도독 오도독 소리 났을때 얼마나 기뻤는지 몰라…ㅠㅠ내 생에 잊지 못 할 순간 탑텐임
1
5",,1,,5,[],https://twitter.com/dontlookmenaaa/status/1431232210384814084
화솔,@pinuett,2021-08-18T23:58:04.000Z,"화솔
@pinuett
·
8월 19일","비비… 밥먹으면서 3화까지 마쳤는데 몹시 좋다. 이거 보는 이야기가 왜 내 탐라에는 하나도 안 보였지
2
1
5",,2,1,5,[],https://twitter.com/pinuett/status/1428144196255322113
58,@doll__58,2021-08-25T08:42:01.000Z,"58
@doll__58
·
8월 25일","헐 카우보비비밥 본즈서만든거라고?! 내가 사랑하는 강연만든곳아냐 갑자기 신뢰감이쑥쑥
흑의계약자도 급보고싶네
1",,,,1,[],https://twitter.com/doll__58/status/1430450376990355457
