UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
대한민국역사박물관,@much_korea,2021-08-20T06:43:46.000Z,"대한민국역사박물관
@much_korea
·
Aug 19","[역사책방 북토크]인구는 어떻게 정치의 문제가 되었을까? 

도서<가족과 통치>의 저자 소현숙 작가와 함께 인구특별전과 연계한 북토크를 진해하니, 많은 시청 부탁드립니다!‍

참여안내
일시 : 2021.8.21(토) 14시
*유튜브 생중계 링크 : https://youtu.be/aNeZEcRBKCk
4
8",🙏 💓 ✅,,4,8,"['https://pbs.twimg.com/media/E9Nv_JJVkAQV66V?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Nv_JKVgAAc3fB?format=jpg&name=360x360']",https://twitter.com/much_korea/status/1428608679733981188
인뉴애,@lvthmall_mx,2021-08-25T12:55:43.000Z,"인뉴애
@lvthmall_mx
·
Aug 25","갤러리 정리하면서 생각하는 건데 기현 약간 요런 초록~계통 색일때 확 진해지는 느낌이라 좋은거 알지 ,, 진초록일때는 확 남자같고 좀더 맑은 초록일때는 푸릇푸릇해서 좋음.. 저번에 그 풀배경으로 찍은 셀카도 좋앗고,, 그린기현은 설레는 조합이에
167
363",,,167,363,"['https://pbs.twimg.com/media/E9o1FWHUUAEpJd7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9o1GKbVoAIs9uZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9o1FlYVgAck6n3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9o1GouUcAAvgKs?format=jpg&name=360x360']",https://twitter.com/lvthmall_mx/status/1430514223134642186
양모,@sheepmo000,2021-08-26T22:37:39.000Z,"양모
@sheepmo000
·
Aug 26","아 신 일러 코디 괜찮아보이는 이유 알았다 초록색이 거의 검정임 각님은 흑금 정장으로 보이고 룡님도 밸런스 맞춰짐 덕님 옷 색 뚜렷하게 나뉘고 션님 바지 진해짐 그림에서 색이 얼마나 중요한지 깨닫게 해주는 그런...
27
173",,,27,173,['https://pbs.twimg.com/media/E9wD4-lVoAIm74e?format=jpg&name=small'],https://twitter.com/sheepmo000/status/1431023060962877443
우징이,@wz_vobo_1122,2021-08-27T14:31:54.000Z,"우징이
@wz_vobo_1122
·
Aug 27","아기지후니 눈썹 점점 진해지는 거 짱귀여움ㅠㅠㅠㅠㅠㅠ
16
57",❤ ❤,,16,57,"['https://pbs.twimg.com/media/E9zeTJEUYAARBwF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zeTJDUYA4AKzf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zeTJDVIA8CXOL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zeTJDUYAwvkic?format=jpg&name=360x360']",https://twitter.com/wz_vobo_1122/status/1431263206450679808
이숲,@dans_la_foret,2021-08-27T09:26:40.000Z,"이숲
@dans_la_foret
·
Aug 27","비오는 날 더 진해보이는 수채화고무나무
6
27",😎,,6,27,['https://pbs.twimg.com/media/E9yYbwhVgAAyZhr?format=jpg&name=small'],https://twitter.com/dans_la_foret/status/1431186391270977538
히라농,@hiranongS2,2021-08-26T01:37:15.000Z,"히라농
@hiranongS2
·
Aug 25","다들 추억여행 하시나요
7년 전 스샷 찾아봤는데 지금이랑 다를게 없네요...
라데카 지향에서 진이웨카로 바껴서 파랑색이 더 진해졌을 뿐
1
1
5",,1,1,5,['https://pbs.twimg.com/media/E9rjM22VkAcyPDb?format=jpg&name=small'],https://twitter.com/hiranongS2/status/1430705869138784259
이름은 비워둘 수 없습니다,@__renr,2021-08-29T13:23:31.000Z,"이름은 비워둘 수 없습니다
@__renr
·
Aug 29","만월회 스틱 얼려서 우유 타먹기
마실수록 더 진해져
10
9",😋,,10,9,"['https://pbs.twimg.com/media/E99hqmTVkAApjRc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99hrV0VEAUfCF9?format=jpg&name=360x360']",https://twitter.com/__renr/status/1431970774114443271
랑이,@myoungdeer,2021-08-19T09:02:22.000Z,"랑이
@myoungdeer
·
Aug 19","약간 궁예 해보자면
시어머니 생신 주간이라 지녕이 진해 내려온거 같음 ...
(녕긔네 누나 스토리에요!!)
1
8
8",,1,8,8,['https://pbs.twimg.com/media/E9JGJwgVoAcH-_U?format=jpg&name=900x900'],https://twitter.com/myoungdeer/status/1428281173038436355
후시딘,@purrpurrjbjy,2021-08-27T15:25:31.000Z,"후시딘
@purrpurrjbjy
·
Aug 27","휴 나 지금 박지녕 업고 진해까지 뛸 수 잇을 것 같음
9
22",,,9,22,['https://pbs.twimg.com/media/E9zqkXBUYAYeFfH?format=jpg&name=small'],https://twitter.com/purrpurrjbjy/status/1431276698419404802
𝐬𝐮𝐧𝐥𝐢𝐧,@ssunwooo_0412,2021-08-20T09:45:43.000Z,"𝐬𝐮𝐧𝐥𝐢𝐧
@ssunwooo_0412
·
Aug 20","티존 에바적 진해 ㅠㅠ
1
1
7",,1,1,7,['https://pbs.twimg.com/media/E9OZqyNVoAoA71B?format=jpg&name=small'],https://twitter.com/ssunwooo_0412/status/1428654471408615433
