UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ちゅっぽ,@Ao6uH,2021-08-12T19:04:51.000Z,"ちゅっぽ
@Ao6uH
·
Aug 12",아 ㅅㅂ 이게 뭐지? 햇는데 원지우랑 왓챠파티 하던 날 말복이라 치킨 시킨 거였음 개웃긴 건 세 조각 먹고 나머지 오빠한테 잔반 처리함 ㅡㅡ,,,,,['https://pbs.twimg.com/media/E8nM6o1UcAogSAg?format=jpg&name=small'],https://twitter.com/Ao6uH/status/1425896078231044096
민트퀸,@MintQueen_S2,2021-08-12T09:22:42.000Z,"민트퀸
@MintQueen_S2
·
Aug 12","치킨은 가슴이 시킨다
.
.
.
머리는 아니라고 살찐다고 하는데
이미 시켜버린 것..
The following media includes potentially sensitive content. Change settings
View
8
53",,8,,53,[],https://twitter.com/MintQueen_S2/status/1425749576804302849
푸란쓰,@Pulanlan_V,2021-08-09T09:07:36.000Z,"푸란쓰
@Pulanlan_V
·
Aug 9","혈육이 치킨시킨데
1",☕ 🍓,1,,,[],https://twitter.com/Pulanlan_V/status/1424658611083481090
이불 속 뭐시기,@gong3zero,2021-08-17T17:23:47.000Z,"이불 속 뭐시기
@gong3zero
·
Aug 17",다른데는 모르겄는디 특히 왜 난 치킨시킨데 마다 별로인지모르겠네 별로인 치킨이 더 싱기할따름이지만,,,,,[],https://twitter.com/gong3zero/status/1427682581613486084
세레나 엘리 뒷사람 백연,@04white_lotus,2021-08-29T12:25:55.000Z,"세레나 엘리 뒷사람 백연
@04white_lotus
·
Aug 29",아니 치킨 시킨거까지는 좋은데.. 10분 안에 도착이 가능 하려나 모르겠네.... 40분 도착이라는데......,,,,,[],https://twitter.com/04white_lotus/status/1431956278759280640
란시에라,@_Prancy,2021-08-05T14:20:05.000Z,"란시에라
@_Prancy
·
Aug 5",들어오는데 동생이 시킨 치킨 배달기사님이랑 마주쳐가지고... 근데 우리집 가는줄 모르고 잇다가 현관문 앞에서 아... 저 주세여... 함,,,,,[],https://twitter.com/_Prancy/status/1423287700845596690
뵤,@abyocado_,2021-08-28T05:29:18.000Z,"뵤
@abyocado_
·
Aug 27","공차에서 뭐 얼마 안 시킨 것 같은데 치킨값이 나와부럿네
1",🌲,,,1,[],https://twitter.com/abyocado_/status/1431489042646900739
탱,@dmadkrkim,2021-08-21T08:17:15.000Z,"탱
@dmadkrkim
·
Aug 21",치킨시킨지 10분도 안돼서 비가 오는데.. 하... 이거 너무 미안한 마음... 시발 .. 주문은 들어갔으니 뭐 ... 어찌할 길은 없고.. 시벌 ㅠ 비나 퍼붓지 마소ㅠ,🌞,,,,[],https://twitter.com/dmadkrkim/status/1428994594650214409
지이,@tokkitaku,2021-08-01T16:07:51.000Z,"지이
@tokkitaku
·
Aug 1","섷낫 동거 잘 어울리지 않나.. 
일단 사ᩚ니ᩚ 취향이 아기자기해서 
먼저 일어나거나 하면 메모지에  
일어나면 라면 먹지말고 냉장고에 반찬있으니까 꺼내먹어!! 하고 식탁 위에 두는데 
정작 성꙼̈화꙼̈는 치킨 배달시킨 거 받아서 식탁에 둘때 발견할듯..
1
6
12",,1,6,12,[],https://twitter.com/tokkitaku/status/1421865269891239938
렛,@LET__TS,2021-08-10T11:23:17.000Z,"렛
@LET__TS
·
Aug 10",치킨 시킨지 .. 80분이 넘엇는데 아직도 감감무소식 ..,,,,,[],https://twitter.com/LET__TS/status/1425055143477661705
