UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
희차경북대점,@heekcaa_knu,2021-08-18T07:43:28.000Z,"희차경북대점
@heekcaa_knu
·
8월 18일","#로스트아크아이디팝니다
#로스트아크아이디팝니다
#로스트아크아이디팝니다
#onstove아이디팝니다
#onstove아이디팝니다
#onstove아이디팝니다
문의주세요 yu9166

f8jcq",,,,,[],https://twitter.com/heekcaa_knu/status/1427898930189070338
MAMEAWKUNG (แคปทวิตคิด 5 พัน),@Mameaw1806,2021-08-07T15:27:40.000Z,"MAMEAWKUNG (แคปทวิตคิด 5 พัน)
@Mameaw1806
·
8월 8일","อยากกินชาชีสของ Heekcaa
1",💫 🪐,1,,,[],https://twitter.com/Mameaw1806/status/1424029481610579971
pia,@ruphxa,2021-08-16T04:15:36.000Z,"pia
@ruphxa
·
8월 16일","ewan ko pero ang sarap sa heekcaa
1",,,,1,[],https://twitter.com/ruphxa/status/1427121842720968705
milkbread,@misfor__,2021-08-22T06:57:16.000Z,"milkbread
@misfor__
·
8월 22일",ลืมรสชีสของ heekcaa ไปละ แต่ชีส TPteaก็โอนะ,☁ 🍞 🥛 ❄,,,,[],https://twitter.com/misfor__/status/1429336854025830402
มอนอ,@badbequte,2021-08-02T17:45:20.000Z,"มอนอ
@badbequte
·
8월 3일",ชีสที่ดีที่สุดคือชีสบนชาไทย heekcaa ,🎲 😭,,,,[],https://twitter.com/badbequte/status/1422252189976698886
Ania,@Aynahssnrmrz,2021-08-18T10:16:32.000Z,"Ania
@Aynahssnrmrz
·
8월 18일","mia mag milktea sa heekcaa oy huhuhu
1",,,,1,[],https://twitter.com/Aynahssnrmrz/status/1427937450098192385
晓云มิโนโทมังก้า (slow),@ZhXiaoYun,2021-08-09T05:44:35.000Z,"晓云มิโนโทมังก้า (slow)
@ZhXiaoYun
·
8월 9일",อยากกินheekcaa ทำไมต้องปิดไปแล้ว แงง ชาชีสเดอะเบสในใจ,⛅ 🥝,,,,[],https://twitter.com/ZhXiaoYun/status/1424607522497785858
𝐭𝐨𝐲,@mytoyyy,2021-08-21T10:56:40.000Z,"𝐭𝐨𝐲
@mytoyyy
·
8월 21일",ตั้งแต่ heekcaa เจ๊งไปไม่รู้จะไปหากินชาชีสที่ไหนอร่อยๆเลยอะ อยากกิน เส้าอ่า,🌷,,,,[],https://twitter.com/mytoyyy/status/1429034713881071622
PStar,@ChryDaf,2021-08-07T13:07:00.000Z,"PStar
@ChryDaf
·
8월 7일",น้ำ HEEKCAA อร่อยมากกกกก เสียดายในไทยปิดไปแล้วทั้ง 2 สาขาเลย ㅠㅠ,🙊 ⭐,,,,[],https://twitter.com/ChryDaf/status/1423994080724283400
ᐧ༚̮ᐧ moho ᐧ༚̮ᐧ,@yellowharib0,2021-08-04T06:45:59.000Z,"ᐧ༚̮ᐧ moho ᐧ༚̮ᐧ
@yellowharib0
·
8월 4일","ตอนปีก่อนชั้นแส้วไป1 เพราะ heekcaa ปิด ชาชีสที่ไม่ใช่ตำนานแต่เป็นตำแหน่ง
1",,,1,,[],https://twitter.com/yellowharib0/status/1422811032733446144
Jan,@jajanniee,2021-08-01T14:25:47.000Z,"Jan
@jajanniee
·
8월 1일","ไม่ได้ไปกินนาน ขออย่างเดียวคือ gaga ห้ามเจ๊งเด็ดขาด เข็ดมากกับการที่ร้านชานมที่ชอบเจ๊ง ทั้ง Heekcaa ทั้ง Ditto ครีมชีสชั้นสูงทั้งคู่ เค้าลาแร้วว เค้าไม่กลับมาแล้ว 
1",🥨 🥲,1,,,[],https://twitter.com/jajanniee/status/1421839583151460353
