UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@ILYSan1000,2021-08-10T08:10:01.000Z,"@ILYSan1000
·
8월 10일","바다랑 산이 최고지
0:04
54 조회수
4
9",⭐ 👍 ❤,,4,9,['https://pbs.twimg.com/ext_tw_video_thumb/1425006481187901440/pu/img/RxXIb7OebffoMNWP.jpg'],https://twitter.com/ILYSan1000/status/1425006507297439745
백현이 기다리기,@bobohu20210507,2021-08-22T11:16:47.000Z,"백현이 기다리기
@bobohu20210507
·
8월 22일","#백현아_오늘은

오늘도 날씨.너무너무 좋았지!!!!
산이랑 바다랑 하늘 봐!!!  오늘 산 탔다!!!
집에 돌아가기 싫은 날씨 
D-532
@B_hundred_Hyun",😂,,,,"['https://pbs.twimg.com/media/E9ZBqzOUUAEgzsa?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ZBryFVUAAAc8U?format=jpg&name=360x360']",https://twitter.com/bobohu20210507/status/1429402163269210116
행인3,@ykhjjo,2021-08-14T01:14:01.000Z,"행인3
@ykhjjo
·
8월 14일","여행가고 싶어진다.
바다랑 산이 본지 10만년 지난 것 같아ㅠ
1",,,,1,['https://pbs.twimg.com/media/E8trAeNUcAAnZs0?format=jpg&name=small'],https://twitter.com/ykhjjo/status/1426351370311925761
머루,@matchindex_,2021-08-22T15:09:55.000Z,"머루
@matchindex_
·
8월 23일","색조합이 산이랑 바다가 생각나긴 한데
물론 산은 산이가 아니고 그냥 산이긴 한데
이런거 아무 상관없겠지.. 그렇겠지..",,,,,['https://pbs.twimg.com/media/E9Z3DOgUYAco8LI?format=jpg&name=small'],https://twitter.com/matchindex_/status/1429460832224567302
mon,@level23sanmon,2021-08-12T03:35:06.000Z,"mon
@level23sanmon
·
8월 12일","역사상 최대의 난제!!
여름휴양지로는 산 vs 바다

저는 산이랑 바다를 동시에 갈수있는
에이티즈X김종국 의 바다보러갈래 듣고 
새 역사를 써보겠습니다!",,,,,['https://pbs.twimg.com/media/E8j4HqwVoAM6qbb?format=jpg&name=small'],https://twitter.com/level23sanmon/status/1425662100299423748
,@rjforpekt,2021-08-25T07:27:52.000Z,"@rjforpekt
·
8월 25일","에이티즈 바다보러갈래 포카 교환 혹은 양도 합니다 교환은 산이 타래 포카나 우영이 모두랑 가능!! 

에이티즈 김종국 써머송 시즌송 교환 양도
hello82 헬로팔이 포카 홍중 성화 윤호 여상 산 최산 민기 우영 종호
1",😅,1,,,['https://pbs.twimg.com/media/E9nqEJTVUAAeu9y?format=jpg&name=900x900'],https://twitter.com/rjforpekt/status/1430431717454532611
필연,@aan_qp,2021-08-03T23:04:53.000Z,"필연
@aan_qp
·
8월 4일","산깅이한테.. 산이랑 바다 중 뭐가 더 좋냐고 물어보고 싶다ㅋㅋㅋㅌㅋㅋㅋㅋ
2",🔥,,,2,[],https://twitter.com/aan_qp/status/1422694992028438529
00150,@00150_,2021-08-29T09:14:07.000Z,"00150
@00150_
·
8월 29일","먼 바다랑, 이어진 산이랑, 낙엽 덮힌 길이랑.",,,,,[],https://twitter.com/00150_/status/1431908009119080456
섀ㅁ아,@SHmA__NP,2021-08-23T11:23:44.000Z,"섀ㅁ아
@SHmA__NP
·
8월 23일","산이랑 바다...
네네 저 산 책장 들고 바다 처치했어요
씨발 종나힘들엇어요",😷,,,,[],https://twitter.com/SHmA__NP/status/1429766298615963655
돕,@Dob_luna,2021-08-14T04:14:04.000Z,"돕
@Dob_luna
·
8월 14일",산이랑 바다 형제는 대체 뭔 사정이길래 둘이 같이 안보고 사는걸까,,,,,[],https://twitter.com/Dob_luna/status/1426396680979582977
Nanain Project Melons,@nanain_melons,2021-08-04T17:28:27.000Z,"Nanain Project Melons
@nanain_melons
·
8월 5일",슈코는 바다랑 어울리고 사에는 산이랑 더 어울리는 듯한? 느낌적 느낌,,,,,[],https://twitter.com/nanain_melons/status/1422972716236230661
🅽,@chttan_LC,2021-08-26T03:55:04.000Z,"🅽
@chttan_LC
·
8월 26일","산이랑 바다만 보면 눈물이 이렇게 나냐 나도 아트북..
1",,,,1,[],https://twitter.com/chttan_LC/status/1430740555634397187
.,@YQnnn4tpsSLOsSn,2021-08-28T13:03:48.000Z,".
@YQnnn4tpsSLOsSn
·
8월 28일","에이티즈 포카 양도해요
바다보러갈래는 성화유닛포카랑 교환도 받아요
양도는 제시 주세요!

Ateez atz 홍중 성화 윤호 여상 산이 민기 우영 종호 불놀이야 포카 포토카드 판매 구매 분철 sell buy photocard poca 앤써 원더랜드 피버 시즌송 해적왕 일루젼 웨이브 여름 엠디 생일 에이티니 2기
1
4",,1,,4,"['https://pbs.twimg.com/media/E94TttQUYAo5agr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94TttQVIAcPZok?format=jpg&name=360x360']",https://twitter.com/YQnnn4tpsSLOsSn/status/1431603423493771266
