UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
자취밥,@cutekoto_,2021-08-27T13:07:43.000Z,"자취밥
@cutekoto_
·
8월 27일","도원향 이부분 너무 좋아서 주기적으로 다시 읽어줌...마코토의 이 경험자적 모먼트가 좋음 ㅠ
1
27
48",,1,27,48,"['https://pbs.twimg.com/media/E9zK4ENVkAEDpya?format=jpg&name=small', 'https://pbs.twimg.com/media/E9zK6pyVkAM854e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zK7sLVkAc53wA?format=png&name=360x360']",https://twitter.com/cutekoto_/status/1431242020547227651
민토,@hello__minto,2021-08-21T14:39:06.000Z,"민토
@hello__minto
·
8월 21일","#犬夜叉 #이누야샤
#31. 카고메(#かごめ)_불쥐의 옷 착장 진심 좋아!!
역발의 유라 편
도원향의 밤 편
나락의 부활 편
34
117",📌 📌 📌,,34,117,['https://pbs.twimg.com/media/E9UmZ1tUcAA4XH1?format=jpg&name=small'],https://twitter.com/hello__minto/status/1429090688486973445
짱튜!,@ztyugaki,2021-08-25T05:38:29.000Z,"짱튜!
@ztyugaki
·
8월 25일","도원향의 에일리언에서 제일 좋아하는 가사
""오늘의 테마는 권선징악이야""
완전 해결사 그 자체 ㅠ
GIF
32
104",,,32,104,['https://pbs.twimg.com/tweet_video_thumb/E9nQ_eaUUAAO3XR.jpg'],https://twitter.com/ztyugaki/status/1430404193257345024
꿀단지,@honey_comv,2021-08-24T16:41:34.000Z,"꿀단지
@honey_comv
·
8월 25일","낙원, 무릉도원, 도원향 부르는 이름만 수만수천개. 그곳에는 하나를 먹으면 천년을 더 산다는 서왕모의 복숭아밭을 지키는 복숭아 동자가 있음. 뽀둥하고 말랑한 .. 인간 복숭아 아닐리 X
1
1
11",,1,1,11,['https://pbs.twimg.com/media/E9kfNB-VoAMhqYM?format=jpg&name=small'],https://twitter.com/honey_comv/status/1430208673524056065
JEJE,@daily_jeje,2021-08-30T10:12:39.000Z,"JEJE
@daily_jeje
·
8월 30일","엊그저께 상품함 정리하는데 도원향?낙원? 아무튼 세트인거 한세트 진남진녀 입혀봣는데 노취향이어서 화룡만 하는 린주술이 입혀봣는데 머야 니옷이네;;;; 바로 입혀줌ㅋㅋㅋㅋㅋㅋㅋㅋ 휴 내새끼 옙브다 (도치맘
1",,,,1,['https://pbs.twimg.com/media/E-B_QvwVcAAhgup?format=jpg&name=small'],https://twitter.com/daily_jeje/status/1432285126382145537
MTRT판다판다(팟-쨩),@JJj_242229,2021-08-17T00:50:25.000Z,"MTRT판다판다(팟-쨩)
@JJj_242229
·
8월 17일","앙스타 시작..제가 도원향부터 참가했으니까.. 아마 인랑이나 핫리밋쯤 시작했을걸요...
1
1",🙏 🙏,1,,1,['https://pbs.twimg.com/media/E89CYOHVoAAqY7Q?format=jpg&name=small'],https://twitter.com/JJj_242229/status/1427432593033633792
나쓰 ナス,@Ginlover1010,2021-08-14T12:42:52.000Z,"나쓰 ナス
@Ginlover1010
·
8월 14일","도원향 에일리언 긴토키 너무 좋아서 움짤만듦
GIF
1
1
4",,1,1,4,['https://pbs.twimg.com/tweet_video_thumb/E8wIk-AVgAA7S6A.jpg'],https://twitter.com/Ginlover1010/status/1426524724255805446
솔님,@soleb4ct,2021-08-19T12:56:15.000Z,"솔님
@soleb4ct
·
8월 19일","제가 처음 말한건 아닐텐데
넥도 다음 투어가 도원향이잖아요
뮤비의상 실장할때 마꼬 안경..벗길까요??
좋은데싫어아니좋아근데싫어아니근데으아악
1
5",,1,,5,['https://pbs.twimg.com/media/E9J7sIHVIAcsZ6U?format=jpg&name=900x900'],https://twitter.com/soleb4ct/status/1428340032604016655
링,@WtoE_S,2021-08-11T14:45:11.000Z,"링
@WtoE_S
·
8월 11일","아 도원향 음험한 상인
3",,,,3,[],https://twitter.com/WtoE_S/status/1425468340991000586
쾌남디테,@Afro_dite4,2021-08-12T10:40:35.000Z,"쾌남디테
@Afro_dite4
·
8월 12일","와씨 방금 볼륨 만땅으로 에어팟 낀 채로 도원향 에일리언 들었는데 고막 파열된 거 같아
1
4",,1,,4,[],https://twitter.com/Afro_dite4/status/1425769175281070081
전기수,@JeonGisuuuu,2021-08-12T15:52:40.000Z,"전기수
@JeonGisuuuu
·
8월 13일","뜬금인데 도원향 첫인상 현인상표 언젠간 만들어볼까... 혹시 만드는데 써도 되는분 있으실까용??
4
6",,4,,6,[],https://twitter.com/JeonGisuuuu/status/1425847713598377984
기럭,@ESiggrak__U3U,2021-08-08T17:49:12.000Z,"기럭
@ESiggrak__U3U
·
8월 9일","뉴우우비라 도원향 마코토 못딴게 너무 한이되어버린
1",,,,1,[],https://twitter.com/ESiggrak__U3U/status/1424427489691009035
김도끼,@d0kk2_kim,2021-08-27T12:45:58.000Z,"김도끼
@d0kk2_kim
·
8월 27일","은혼 완결 낫지만 어디선가 한마리와 세명이 도원향 에일리언 찍고 있을 것 같고
8",,,,8,[],https://twitter.com/d0kk2_kim/status/1431236545953079296
sya (사무라이너),@hoesyaone,2021-08-12T01:02:54.000Z,"sya (사무라이너)
@hoesyaone
·
8월 12일","도원향 에일리언 부를 때 핫 아소레 해주는 친구가 있다는 것...
인생이 헛되지 않았다는 것...
4
19",,,4,19,[],https://twitter.com/hoesyaone/status/1425623797000900617
딱풀,@DDACK_PUL,2021-08-03T15:09:25.000Z,"딱풀
@DDACK_PUL
·
8월 4일","도원향 읽고싶지만 다이아 존버때문에 잉잉우는 딱풀
3",,,,3,[],https://twitter.com/DDACK_PUL/status/1422575340413546497
백구,@back_9__,2021-08-24T16:19:42.000Z,"백구
@back_9__
·
8월 25일","나도 도원향 스토리 읽고싶다.
나도.. 만두머리 토리.....나도.......나도 실눈캐같이 눈뜨면 세계가 멸망할것같은 눈웃음을 짓고잇는 유즈루....
2",,,,2,[],https://twitter.com/back_9__/status/1430203171226329096
No context Strawberry,@dptci_18766,2021-08-19T14:40:49.000Z,"No context Strawberry
@dptci_18766
·
8월 19일","와... 얼굴이 도원향이네
2",,,,2,[],https://twitter.com/dptci_18766/status/1428366345402392587
명왕성,@Ynotplanet,2021-08-23T01:20:47.000Z,"명왕성
@Ynotplanet
·
8월 23일","맠다 아는 건 이 정도... 
제 타입 아닌데요 -핫태진
마교(그것이..알고 싶다.. ㅠ)
바다의 밤 -알베르선명 
로블로 - 미인공미남수 
도원향가 -미인공미남..수 인성..수 문란수 황제수 알오버스
용호상정 - 떡대수부흥회 아노르이실
1
2",,,1,2,[],https://twitter.com/Ynotplanet/status/1429614563834548224
새색시,@gintoki_wife_,2021-08-28T11:35:19.000Z,"새색시
@gintoki_wife_
·
8월 28일","근데 은혼.. 오프닝엔딩만 보고 오열해본적 많음 
담천..
시그널...
도원향 에일리언..
사무라이하트...
레츠고아웃..
벚꽃만월..
뷰티풀데이즈..
글로리어스데이..
노우노우노우..
아치무이테..
카게로우..
하나이치몬메..
아워너비..
빛증명론..
1
1",,1,,1,[],https://twitter.com/gintoki_wife_/status/1431581155451568129
𝟛𝟝,@Tenshouin35,2021-08-30T23:38:24.000Z,"𝟛𝟝
@Tenshouin35
·
8월 31일","악 도원향 에이치 •ू(༎ຶ۝༎ຶ`•ू) )੭ु⁾⁾
1",🍒,,,1,[],https://twitter.com/Tenshouin35/status/1432487900713668612
땃지 ❼,@aodsia_snv,2021-08-30T11:19:02.000Z,"땃지 ❼
@aodsia_snv
·
8월 30일","# 자캐의_분위기는_섹시_큐트_퇴폐_온화

섹시
큐트 빈카...?
퇴폐 도원향 멜 웅식권
온화 라우리

번외 메니머니 (염병)
3",,,,3,[],https://twitter.com/aodsia_snv/status/1432301834681470978
도망치면안돼오브,@offfff_2d,2021-08-03T05:03:24.000Z,"도망치면안돼오브
@offfff_2d
·
8월 3일","난 사무라이하트죤나조아했삼
도원향에일리언이랑
히니더잇는데기억안남,
2",,,,2,[],https://twitter.com/offfff_2d/status/1422422827257327616
슈퍼맛뱅가리파워,@smp_1128,2021-08-22T13:46:36.000Z,"슈퍼맛뱅가리파워
@smp_1128
·
8월 22일","프록시마,,,
명예아르카디아인 (특:본래도원향출신) 
집도아르카디아에잇음
본가는도원향에잇지만,,,
1",,,,1,[],https://twitter.com/smp_1128/status/1429439864483684352
D-5 遊木반마,@MaKoTo_0430___,2021-08-30T13:46:36.000Z,"D-5 遊木반마
@MaKoTo_0430___
·
8월 30일",여나저거약간 마코토도원향이랑 포즈가비슷한거같길래 어~레ㅋㅋ이게무슨굿즈? 이러고잇다가 순간표정심각해짐,,,,,[],https://twitter.com/MaKoTo_0430___/status/1432338969425969152
동백,@Camellia_Em,2021-08-02T12:08:00.000Z,"동백
@Camellia_Em
·
8월 2일","마꼬 누이 도원향 옷이랑 모자를 만들어주고 싶은데 천을 사러 갈 시간이 없어
6",💦 💦,,,6,[],https://twitter.com/Camellia_Em/status/1422167296986869765
김세이,@ppangyya__,2021-08-05T14:33:06.000Z,"김세이
@ppangyya__
·
8월 5일","그거 이미 봣지
실은 친구들이랑 수라도 보고 i wanna be도 듣고 도원향도 보고
1",,,,1,[],https://twitter.com/ppangyya__/status/1423290973967196169
탕,@tangsu6f,2021-08-11T04:38:32.000Z,"탕
@tangsu6f
·
8월 11일","VS랑 도원향 담천 수라 사쿠라미미츠키 사무라이하트 들으면 가슴뜀 ㄹㅇ...
1",,,,1,[],https://twitter.com/tangsu6f/status/1425315676000899073
혁,@hyuk_0810,2021-08-06T14:02:52.000Z,"혁
@hyuk_0810
·
8월 6일","배구경기 때 도원향 에일리언 트는 상상
핫 아소레! 핫 핫 아소레!
1",,,,1,[],https://twitter.com/hyuk_0810/status/1423645754325749767
왜놈전직관 세이즈,@Th1s2ShallPass,2021-08-11T18:21:11.000Z,"왜놈전직관 세이즈
@Th1s2ShallPass
·
8월 12일","몽고습래 대기브금... 고심끝에 도원향 에일리언도 깔앗음
1
2",,,1,2,[],https://twitter.com/Th1s2ShallPass/status/1425522700865347590
,@verysad4321,2021-08-20T16:28:36.000Z,"@verysad4321
·
8월 21일","갑자기 해보는 요즘 추천 10선
마귀
미온의 연인
킬러비트 
빌런의 연애
달콤한 회색의 봄 위긴스 
… 10개도 안되네 

다리사이에 아귀가 있다 
그래비티 
불건전한 사내연애
도원향 
누가도로시를 죽였을까 
해피튜스데이 

이정도
6
6",😭,,6,6,[],https://twitter.com/verysad4321/status/1428755857861275651
미리내,@Te__quiero__,2021-08-28T16:04:07.000Z,"미리내
@Te__quiero__
·
8월 29일","#앤캐가_같이_자자고_해놓고_진짜로_꿀잠잔다면_자캐는

에일린 : (이미 결혼했음)
도원향 : '그랬구나~ 피곤했구나~^^'하면서 토닥토닥해줌
정도희 : 얘가 먼저 잠들듯 사위 지못미..
신시아 : 잘 잔다니 다행이다ㅎㅎ로 끝

뭐야 우리집애들
1
3",🙃,,1,3,[],https://twitter.com/Te__quiero__/status/1431648799898832899
콜삼,@call3ok,2021-08-20T11:47:11.000Z,"콜삼
@call3ok
·
8월 20일","ㅠㅠㄹㅇ
도원향이 젤 은혼다워서 조아해...
4",,,,4,[],https://twitter.com/call3ok/status/1428685040322453510
3,@39_1622,2021-08-23T15:08:07.000Z,"3
@39_1622
·
8월 24일","트릭스타 하코가 술~렁 거려서 올리는
트릭스타 이벤트 5성 목록

신성단★빛나는 BIGBANG! 
아케호시 스바루 5성 (하코)

「SS」편 / 1st Stage 새틀라이트
히다카 호쿠토 5성 (투어)

은막사투의 / 도원향 우상권
유우키 마코토 5성 (투어)

이사라 마오 (미정, 트릭스타 이벤트 5성 X)
6
3",,,6,3,[],https://twitter.com/39_1622/status/1429822769529716740
은시,@Gintama1010_hg,2021-08-04T18:32:02.000Z,"은시
@Gintama1010_hg
·
8월 5일","이젠도원향이야?미치겠다...ㅠㅠㅠㅠㅠㅠㅠㅜㅜㅜㅜㅠㅜㅜㅜㅠㅠㅠㅠㅠㅠㅠ이제 다음엔 사무라이하튼ㄷ가?
은시
@Gintama1010_hg
 · 8월 5일
휴대폰 용량이 부족하다길래 노래를 정리하는중인데....아니...나자신 은혼노래 개 많이 다운로드 해놨네..아니..별안간 새벽에 용량정리하다 우는 여성..아니근데요제가과몰입이아니라담천이랑데바이데이글로어스데이랑마이소울막모아놓는데제가어쩌냐고요더파생각나서미칠것같고하화난다은혼은자해다
1",🚬 🍓 🚬 🍓,,,1,['https://pbs.twimg.com/profile_images/1377639101407457288/M6OdEUUJ_mini.jpg'],https://twitter.com/Gintama1010_hg/status/1422988716532928513
최아기,@saite_baby,2021-08-20T11:29:50.000Z,"최아기
@saite_baby
·
8월 20일","내가 도원향 에일리언을 제일 조아하는 이유임ㅜㅜㅜㅠㅠㅜ 노래도 은혼이고 영상도 은혼 그자체임ㅠㅜㅜㅜㅠ 초반에 애들 똑같이 웃는것만봐도 걍 눈물줄줄이라고ㅠㅜㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠ
짱튜!
@ztyugaki
 · 8월 20일
1분30초만에 은혼 설명하는 법
3",,,,3,"['https://pbs.twimg.com/profile_images/1437750026046885893/PJ9Efzjb_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1310235729130217472/pu/img/vF3V2Se-OFADAHa8.jpg']",https://twitter.com/saite_baby/status/1428680670138671107
유월혜,@Yuwolhye__,2021-08-12T06:53:04.000Z,"유월혜
@Yuwolhye__
·
8월 12일","이벤은... 그래도 와타루는 1차 하코 템페 5성이었구 유즈루 투어 도원향 5성 에이치 2차 하코 프리마베라 5성 있으니 토리봇쨩 아닐까요 토리는 브랑코 5성이었어서 피네로서의 이벤 5성은 없어용...
상큼레몬
@lolo010519
 · 8월 12일
ㅋ
ㅋ
ㅋ 아 ㅜ ㅜ ㅠ ㅜ 피네 SS는 토리일지 와타루일지 twitter.com/Yuwolhye__/sta…
1
1",🌸 🌸,,1,1,['https://pbs.twimg.com/profile_images/1437073352200388611/STYWcvnx_mini.png'],https://twitter.com/Yuwolhye__/status/1425711917432119297
