UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
랑하는NY별 (B.star아니고 저 별은 NㅏYㅢ별),@I_the_love_live,2021-08-19T13:43:57.000Z,"랑하는NY별 (B.star아니고 저 별은 NㅏYㅢ별)
@I_the_love_live
·
8월 19일","전날 먹은 떡볶이가 매워서 울었냐 이 악귀야
7
161
128",,7,161,128,['https://pbs.twimg.com/media/E9KGmx6VcBIhboi?format=jpg&name=900x900'],https://twitter.com/I_the_love_live/status/1428352035187949576
OM™NY,@only_the_moon_,2021-08-26T05:36:00.000Z,"OM™NY
@only_the_moon_
·
8월 26일","얼마나 구린게 많으면...
모든게 불투명하고 음습해...
가서 떡볶이 먹방이나 하거라...
이재명, 연차 비공개 논란에 ""국회는 지자체 사무에 감사권한 없어"" | 다음 뉴스
이재명, 연차 비공개 논란에 ""국회는 지자체 사무에 감사권한 없어""
기사내용 요약 ""국가위임사무가 아니라서 국회가 공개 요구하면 안돼"" [서울=뉴시스] 김형섭 권지원 기자 = 더불어민주당 유력 대선주자인 이재명 경기지사는 26일 국회의 17개 시·도지사 연가 사용 내역 제출 요구를 '사생활'이라는 이유로 혼자서만 유일하게 거부했다는 언론보도와 관련해 ""기본적으로 국회는 지방자치단체의 사무에 감사 권한이 없다""고 반박했다.
news.v.daum.net
8
111
82",💎 💎 🤨,8,111,82,['https://pbs.twimg.com/card_img/1440903636964499456/65FFTSsm?format=jpg&name=small'],https://twitter.com/only_the_moon_/status/1430765953315315716
세월호7주기_호랑이형님,@the_Tiger_Bro,2021-08-21T12:20:03.000Z,"세월호7주기_호랑이형님
@the_Tiger_Bro
·
8월 21일","니가 사과해야했던건.. 니가 처먹은 떡볶이가 아니라 쿠팡화재로 운명하신 노동자와 소방관이였다.
지가 뭔 잘못을 했는지 아직도 모르네
21
19",,,21,19,['https://pbs.twimg.com/media/E9UGlWJVoAAeQDS?format=jpg&name=small'],https://twitter.com/the_Tiger_Bro/status/1429055697723924487
부끄부끄,@msy9333,2021-08-18T12:56:55.000Z,"부끄부끄
@msy9333
·
8월 18일","떡볶이 야식타임! I vote #BTS + #BTSARMY + #BTSGMK #DynamiteBTS + #ButterBTS at the #BreakTudoAwards 2021 (
@BTS_twt
)
13
99
97",👍 🤠 💜,13,99,97,['https://pbs.twimg.com/media/E9EyPrZVoAEMLYq?format=jpg&name=small'],https://twitter.com/msy9333/status/1427977811634003968
ray,@M4RKULTS,2021-08-13T04:08:00.000Z,"ray
@M4RKULTS
·
8월 13일","OMGGGG THE KOREAN FOOD WAS AMAZINGGG  we got the 떡볶이, 비빔밥, 불고기, 반반치킨 & 밥 it was so goodddd man
2
1
1",🤤,2,1,1,[],https://twitter.com/M4RKULTS/status/1426032764688601098
what_the,@what______the,2021-08-11T01:13:39.000Z,"what_the
@what______the
·
8월 11일","울임아 짜파게티랑 떡볶이 좀 먹어. 얼굴 왜 이렇게 조막만해진거야. 이러다 울임이 없어져
2",🔮,,,2,['https://pbs.twimg.com/media/E8eOKAGVEAcRLxA?format=jpg&name=small'],https://twitter.com/what______the/status/1425264113932898308
oriana⁷♚,@orianabellucci,2021-08-14T15:26:26.000Z,"oriana⁷♚
@orianabellucci
·
8월 15일","i want the 떡볶이 chips . i want them so bad
1
1",,1,,1,[],https://twitter.com/orianabellucci/status/1426565885834186753
,@Tadang1231,2021-08-15T08:28:50.000Z,"@Tadang1231
·
8월 15일","떡볶이 맛있구만

I followed 
@965TDY
 and I'm voting for 
@BTS_twt
 as the #ArtistoftheSummer
1
3
1",🧨,1,3,1,['https://pbs.twimg.com/media/E80YHy0UcAQInmF?format=jpg&name=900x900'],https://twitter.com/Tadang1231/status/1426823181357129732
김산,@jookgosipda18,2021-08-06T23:20:22.000Z,"김산
@jookgosipda18
·
8월 7일","야사이텐동이냐 떡볶이냐 그것이 the question
2",😷 🎗,2,,,[],https://twitter.com/jookgosipda18/status/1423786052146274305
낭만환자,@i_wannabe_uu,2021-08-17T14:06:52.000Z,"낭만환자
@i_wannabe_uu
·
8월 17일","아 ㅈㄴ 피곤헌디

(똥꼬충/궁중떡볶이/호모련 등등
게이&트랜스포머에 대한 각종
혐오발언은 삼가 해주세요
#WE_ARE_THE_SAME)
1
1
2",🟥 🟥 🥺 🙏,1,1,2,[],https://twitter.com/i_wannabe_uu/status/1427633027547533317
