UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
루,@moonmizu4,2021-08-29T07:57:39.000Z,"루
@moonmizu4
·
Aug 29","#일상계_트친소
채도가 높지 않은 사진들을 좋아하는 일상계 초보입니다 감성 일상계에요 저 말랑하니까 다들 저랑 트친합시다요₍˄·͈༝·͈˄₎◞ ̑̑ෆ⃛
4
111",,,4,111,"['https://pbs.twimg.com/media/E98XOF5VgAkOC6b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98XOJsUUAEtHTa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98XORqVIAUgXeZ?format=jpg&name=360x360']",https://twitter.com/moonmizu4/status/1431888765836881920
교집합(交集合),@intersectionYnI,2021-08-29T13:07:19.000Z,"교집합(交集合)
@intersectionYnI
·
Aug 29"," 청화백자 시리즈 (1) 

진주장식의 동정, 짙고 채도높은 푸른색으로 깃과 커프스에 포인트가 들어간 저고리. 전단후장형의 각기 기장이 다른 오간자 장식이 속치마로 구성되었습니다
1
365
701",🔹 🔹,1,365,701,"['https://pbs.twimg.com/media/E99eHPCVIAUY6KN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99eHPkUcAYkR6h?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99eHR8VEAQYBFF?format=jpg&name=360x360']",https://twitter.com/intersectionYnI/status/1431966694977642499
니니,@nanini0115,2021-08-22T21:26:02.000Z,"니니
@nanini0115
·
Aug 22","#꿀채
달다구리한 꿀채도 조와
1
10
35",🐥 🐥,1,10,35,"['https://pbs.twimg.com/media/E9bNIflVoAIUZ6z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9bNI7UVcAASt3_?format=jpg&name=360x360']",https://twitter.com/nanini0115/status/1429555487964467205
파문전사,@ORA0RA0RA0RA0RA,2021-08-24T13:30:37.000Z,"파문전사
@ORA0RA0RA0RA0RA
·
Aug 24","#프리죠죠_포스트죠죠
채도같은걸 빼앗긴듯....
111
340",,,111,340,"['https://pbs.twimg.com/media/E9jzfY6WUAUwgi5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jzf5mWYAg4xQG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jzfq3XMAgBoP1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jzgL3XEAkPxTh?format=jpg&name=360x360']",https://twitter.com/ORA0RA0RA0RA0RA/status/1430160620117135361
쁘니룸,@2eiii2,2021-08-28T14:26:34.000Z,"쁘니룸
@2eiii2
·
Aug 28"," 카와이이 실사 • 배송 • 재고 판매 공지 타래 

블랙 점보와 화이트 2단 같은 경우도 에폭시로 제작이 되어서 말랑말랑한 젤리 질감으로 훨씬 예쁘게 제작이 나왔습니다  ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ ♡ 기존 제품의 살짝 흐렸던 채도가 한 톤 정도 진하게 제작이 되어 나왔습니다!
1
82
48",🍧 🍧,1,82,48,"['https://pbs.twimg.com/media/E94mqZqVUAYQnZX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94mqZqVcAAKnkU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94mqZpVIAAw7_1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94mqbeVIA0uSkC?format=jpg&name=360x360']",https://twitter.com/2eiii2/status/1431624249387614215
단디,@dandi_11_,2021-08-28T12:34:00.000Z,"단디
@dandi_11_
·
Aug 28","고려청자+청화백자 섞인 것도 진짜 예쁜 것 같아요... 볼수록 색이 마음에 듭니다 사진보다는 채도가 낮은 느낌인데 음... 차분하고 우아해요 흐름이 엄~청 좋은 건 아닌 것 같지만 무난하게 쓸 수 있을 듯합니다
1
8
39",😌 ✨,1,8,39,['https://pbs.twimg.com/media/E94Mf93VcAgkMn-?format=jpg&name=900x900'],https://twitter.com/dandi_11_/status/1431595924464160768
작,@026zak,2021-08-26T16:03:48.000Z,"작
@026zak
·
Aug 26","오브제로 쓰인 붉은색도 맠은 채도높고 밝은데 동혘이는 변색되고 상해가는 느낌인게 미치겠음 
누가봐도 속 즐거운 빌런과 안이 다 문드러진 히어로로 섞어먹으란거지이건
1
33
87",,1,33,87,"['https://pbs.twimg.com/media/E9upuoKUUAEaN4s?format=jpg&name=small', 'https://pbs.twimg.com/media/E9upvpBVkAsJYoY?format=jpg&name=small']",https://twitter.com/026zak/status/1430923945667022852
알략,@Alryak_Ten,2021-08-27T10:58:25.000Z,"알략
@Alryak_Ten
·
Aug 27","샹 깨달았다 중년 윤석이 좌우반전 한 다음에 밝기채도 낮추고 수염 달고 안광 조금 죽이면 카경장이라는 걸
19",,,,19,['https://pbs.twimg.com/media/E9ytQqgUUAQzLTP?format=jpg&name=small'],https://twitter.com/Alryak_Ten/status/1431209480658685954
사NIわ인 레이엘,@rayel_token,2021-08-26T11:13:48.000Z,"사NIわ인 레이엘
@rayel_token
·
Aug 26","시즈카는 채도 때문인지 좀 더 도드라져 보이네요
찬란해 보인다
1
13",,,1,13,['https://pbs.twimg.com/media/E9tnSe-VgAkeSIw?format=jpg&name=small'],https://twitter.com/rayel_token/status/1430850964139905024
초 이이 시고토쟝덴비라비,@zazapa_,2021-08-23T06:36:46.000Z,"초 이이 시고토쟝덴비라비
@zazapa_
·
Aug 22","뭐야??????????
고백하는거면 멘서ㅏㄴ으로 쏘시지그러셧어요
♡♡♡탐라주목♡♡♡
2년 전 엔딩난 페스티벌렌트 
카시어스레이너랑 채도성 사귄다 그럼이만
1
1
5",⚡,1,1,5,['https://pbs.twimg.com/media/E9dLMRvVIAEcXh2?format=jpg&name=small'],https://twitter.com/zazapa_/status/1429694083019132929
