UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
개랑 사는견우,@dabih261,2021-08-25T06:18:15.000Z,"개랑 사는견우
@dabih261
·
Aug 24","ㅋㅋㅋ지금 산책나가려다 천둥치고 비쏟아져서 급히 취소ㅋㅋㅋㅋ 비 맞는거 싫다고 (천둥소리도 싫어함) 다들 데크에서 한발자국도 안움직임...

개들이 아주 언짢아하고 있다ㅋㅋㅋ 이건 제가 해결해드릴수가 없다고요ㅠㅠ
1
7
54",🌈,1,7,54,['https://pbs.twimg.com/media/E9naIbkVcAMN6Dr?format=jpg&name=small'],https://twitter.com/dabih261/status/1430414199549616135
볼드,@boldlove_,2021-08-26T13:50:49.000Z,"볼드
@boldlove_
·
Aug 26","제발 천둥소리에 겁 먹은 아기병아리빵 보고 갈 사람 제발
58
74",,,58,74,['https://pbs.twimg.com/ext_tw_video_thumb/1430890442728505351/pu/img/st_4Ojw_b7_l-IN0.jpg'],https://twitter.com/boldlove_/status/1430890479382523910
가을빛 가을이,@fallrkdmf,2021-08-29T07:11:57.000Z,"가을빛 가을이
@fallrkdmf
·
Aug 29","천둥소리에 쫄아든 멍멍이 표정
1
6
29",,1,6,29,['https://pbs.twimg.com/media/E98MyABVIAAbOMv?format=jpg&name=900x900'],https://twitter.com/fallrkdmf/status/1431877266078777345
진구,@no_jing_n9,2021-08-17T09:16:41.000Z,"진구
@no_jing_n9
·
Aug 17","천둥소리에 쫄아서 계속 사람옆에 붙어다녀 ㅋㅋ
1
36
73",,1,36,73,['https://pbs.twimg.com/media/E8-2QHmVgAUie_l?format=jpg&name=small'],https://twitter.com/no_jing_n9/status/1427560000688328715
쫌미 쪼꾸미,@jindo0204,2021-08-18T08:33:03.000Z,"쫌미 쪼꾸미
@jindo0204
·
Aug 18","천둥소리가 무서운건가...  산책나가자고 그러는건가..  잘 모르겠어 ㅜㅜ
1
13",,,1,13,"['https://pbs.twimg.com/media/E9D12OkVEAkYcOq?format=jpg&name=small', 'https://pbs.twimg.com/media/E9D123bVUAYzZvb?format=jpg&name=small']",https://twitter.com/jindo0204/status/1427911408025440257
말도,@MalDoKim,2021-08-28T06:30:25.000Z,"말도
@MalDoKim
·
Aug 27","천둥소리가~~~ 더 크게 들려와~~~~
  ㄴ 어우 시끄러워 조용히 좀 하세요
2",,,,2,['https://pbs.twimg.com/media/E925r8gVcAM6ovm?format=jpg&name=small'],https://twitter.com/MalDoKim/status/1431504423142903814
Ocean~,@being_ocean_,2021-08-17T22:10:20.000Z,"Ocean~
@being_ocean_
·
Aug 17","오늘의 #VRChat !
이틀간 쉬었던 월드 탐방 재개!
오늘은 특히나 배경음악이 잘 들리지 않을 정도로 비와 천둥소리가 커서 깜짝 놀랐답니다
맛있어 보이는 음식 월드를 많이 돌아다녀 배가 너무 고프니 고기를 먹어야겠어요♪
9",⛈,,,9,"['https://pbs.twimg.com/media/E9BjUHaVkAIXqr1?format=jpg&name=small', 'https://pbs.twimg.com/media/E9BjVn4VgAAROnc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9BjWgGVEAkREhz?format=jpg&name=360x360']",https://twitter.com/being_ocean_/status/1427754694697385988
화언,@Under_the_see_e,2021-08-29T01:07:37.000Z,"화언
@Under_the_see_e
·
Aug 28","천둥소리에 깨버린 아침이지만,,좋은 아침이에요~!
GIF
19",,,,19,[],https://twitter.com/Under_the_see_e/status/1431785575728644100
라블 / 7월 완료!,@SDRB_UL,2021-08-19T07:12:04.000Z,"라블 / 7월 완료!
@SDRB_UL
·
Aug 19","고양이 놀랐어요
천둥소리가 개 컸기 때문이예요
물론 인간도 같이 놀랐어요
2",🐙,,,2,['https://pbs.twimg.com/media/E9Is6GfVkAIsE-I?format=jpg&name=medium'],https://twitter.com/SDRB_UL/status/1428253417097482241
왈왈 🆅,@goodwalwar1,2021-08-30T14:02:57.000Z,"왈왈 🆅
@goodwalwar1
·
Aug 30","아니진짜 이거 베리베리이야기.
한복 한벌 주세요..
사람은 일곱인데 배에서 천둥소리나고.
근데 막내 한명 앞으로 내밀면서 얘 입힐 한복. 이쁜걸로 주세요..
34
7",,,34,7,['https://pbs.twimg.com/media/E-C0cUvVQAEniYD?format=jpg&name=small'],https://twitter.com/goodwalwar1/status/1432343084025585666
로렌,@lauren_0914,2021-08-24T01:27:24.000Z,"로렌
@lauren_0914
·
Aug 23","근데 진짜 쟨하 2막 천둥소리는 알고도 매번 놀라서... 객석에서 누가 비명질러도 그럴수있지하게됨
4
4
51",,4,4,51,[],https://twitter.com/lauren_0914/status/1429978615161135122
민선우,@_SUN_W__Antique,2021-08-24T01:09:40.000Z,"민선우
@_SUN_W__Antique
·
Aug 23",".... 와 천둥소리가.
2
4",,2,,4,[],https://twitter.com/_SUN_W__Antique/status/1429974154187403265
스키즈 총공 1,@skz_gunball1,2021-08-23T08:35:49.000Z,"스키즈 총공 1
@skz_gunball1
·
Aug 23","우르르르르르르쾅쾅천둥소리꾼
#스트레이키즈_소리꾼
할말을내뱉지퉤퉤퉤소리꾼
#StrayKids_Thunderous
맨암낫쏘리암더리우르르르쾅쾅
#StrayKidsNOEASY
천둥소리꾼스트레이키즈만괂부
4
5",👽,,4,5,[],https://twitter.com/skz_gunball1/status/1429724041095442451
!!Live2D 커미션 문의 디엠!! 비류,@APEX_BiRyu,2021-08-28T23:39:57.000Z,"!!Live2D 커미션 문의 디엠!! 비류
@APEX_BiRyu
·
Aug 28","천둥소리 시끄러워
4",,,,4,[],https://twitter.com/APEX_BiRyu/status/1431763514465538048
천사님 모시는 치즈크림,@Cheese_cream_5,2021-08-25T08:42:48.000Z,"천사님 모시는 치즈크림
@Cheese_cream_5
·
Aug 25","와.. 천둥소리 봐봐..
5",🧀 🧀,,,5,[],https://twitter.com/Cheese_cream_5/status/1430450576748269571
초록,@grnchrkvrt,2021-08-27T21:12:48.000Z,"초록
@grnchrkvrt
·
Aug 27","와 천둥소리 미쳤는데..?
1
4",,1,,4,[],https://twitter.com/grnchrkvrt/status/1431364095790489612
납젤리,@Pb_327,2021-08-26T07:41:50.000Z,"납젤리
@Pb_327
·
Aug 26","켈냥이 천둥소리에 놀라서 ""뺙웅"" 소리내기.
3
16",🍋 🍋,,3,16,[],https://twitter.com/Pb_327/status/1430797619496841219
엄마,@SCE_mulsu,2021-08-23T15:06:22.000Z,"엄마
@SCE_mulsu
·
Aug 23","부산에천둥소리 개커요 하늘이빵꾸남
1
4",,,1,4,[],https://twitter.com/SCE_mulsu/status/1429822326057541635
비케!,@BiKe1201,2021-08-23T14:43:20.000Z,"비케!
@BiKe1201
·
Aug 23","오오 천둥소리 겁나크네
1
6",,1,,6,[],https://twitter.com/BiKe1201/status/1429816531026776064
새링,@babsae_ring,2021-08-25T08:00:57.000Z,"새링
@babsae_ring
·
Aug 25","부산 비 후기 한마디로 알려드림
비가 너무 쎄서 빗소리랑 천둥소리가 구별 안 됨
13
6",,,13,6,[],https://twitter.com/babsae_ring/status/1430440042472755209
올챙이,@rak_ji_,2021-08-23T15:14:41.000Z,"올챙이
@rak_ji_
·
Aug 23","@부산에 거인엑스포 열림? 천둥소리 존니남

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
1
31
8",,1,31,8,[],https://twitter.com/rak_ji_/status/1429824419489226755
새벽,@Dawn__613,2021-08-23T23:10:16.000Z,"새벽
@Dawn__613
·
Aug 23","천둥소리 뭐고 뭔 일이고
2
31",,2,,31,[],https://twitter.com/Dawn__613/status/1429944105866457090
방탄꽃바람⁷pʇd,@bbangsuni77,2021-08-23T14:38:48.000Z,"방탄꽃바람⁷pʇd
@bbangsuni77
·
Aug 23","흐미 천둥소리 후덜
1
5",💃,1,,5,[],https://twitter.com/bbangsuni77/status/1429815392654946307
K.,@midnight_in_BLU,2021-08-19T08:53:12.000Z,"K.
@midnight_in_BLU
·
Aug 19","우왓, 천둥소리 장난 아닌데?
4",,,,4,[],https://twitter.com/midnight_in_BLU/status/1428278866670325761
패빗,@skzjyp_pabbit,2021-08-20T15:23:09.000Z,"패빗
@skzjyp_pabbit
·
Aug 20","걍 서짱빈 소리=천둥소리
너무 잘어울림
우리 아기 우뢰
하나
@scbbabo
 · Aug 20
나 이부분 듣고 기대감 97188162826% 상승함
246 views
0:00 / 0:03
4",,,,4,['https://pbs.twimg.com/profile_images/1420985602212655105/B46-gwFq_mini.jpg'],https://twitter.com/skzjyp_pabbit/status/1428739387735560193
【公式】 메이,@bulldozermei,2021-08-23T15:15:21.000Z,"【公式】 메이
@bulldozermei
·
Aug 23","우리 집 창문 때리는 비랑 천둥소리 때문에 동영상 소리도 안 들림ㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠ아놔
릭귱
@line_9876
 · Aug 23
지금 부산 천둥번개 미쳤음
3",,,,3,"['https://pbs.twimg.com/profile_images/1377628333446414337/O-S2wVhP_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1429823513930526725/pu/img/qi8IMQtzgsBTlsrm.jpg']",https://twitter.com/bulldozermei/status/1429824587815026692
ㅎr루,@hr_ru2104,2021-08-21T03:47:16.000Z,"ㅎr루
@hr_ru2104
·
Aug 20","거기서 나와 거기있다고 천둥소리 안들리는 건 아니야
2",😑 😓,,,2,['https://pbs.twimg.com/media/E9SRN7jVEAMaOZe?format=jpg&name=900x900'],https://twitter.com/hr_ru2104/status/1428926653187592192
Azem,@FOR_LASTM0MENT_,2021-08-17T09:22:46.000Z,"Azem
@FOR_LASTM0MENT_
·
Aug 17","(천둥소리에 매우 굳어버린 사람.)
1
11",🌹,1,,11,[],https://twitter.com/FOR_LASTM0MENT_/status/1427561529352753156
총공계,@ssssn33333,2021-08-23T14:52:23.000Z,"총공계
@ssssn33333
·
Aug 23","지금 전쟁나도 모를듯 천둥소리 미쳤냐 #페미니즘_위협받는_대한민국_마땅한가
5
7",,,5,7,[],https://twitter.com/ssssn33333/status/1429818807460122628
02,@ddoddoe_,2021-08-23T02:19:29.000Z,"02
@ddoddoe_
·
Aug 22","공포와 어둠 잠들 수 없는 바암
천둥소리가아 더 크게 들려와앙
거친 비바람 다가오고 있어
귀 기울여봐 넌 내가 필요해앵
9
25",,,9,25,[],https://twitter.com/ddoddoe_/status/1429629333631475714
