UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BC Men's Soccer,@BC_MSoccer,2021-08-30T23:38:22.000Z,"BC Men's Soccer
@BC_MSoccer
·
8월 31일","EAGLES WIN!
0:04
2.9천 조회수
8
42",,,8,42,['https://pbs.twimg.com/amplify_video_thumb/1430988196528021505/img/AjYTlb1FJRFuhpi-.jpg'],https://twitter.com/BC_MSoccer/status/1432487893835005962
cia,@realitytv2003,2021-08-30T23:57:10.000Z,"cia
@realitytv2003
·
8월 31일","claire: azah said frenchie has the most sway, and i believe that bc i dont fuckin know what he did to big D

this is so funny omg #bb23
1
55
688",,1,55,688,['https://pbs.twimg.com/ext_tw_video_thumb/1432491730721464323/pu/img/pXAV_oHm2rG5E9z3.jpg'],https://twitter.com/realitytv2003/status/1432492625261735939
Kemi Marie,@kemimarie,2021-08-30T23:41:48.000Z,"Kemi Marie
@kemimarie
·
8월 31일","you NEED to have boundaries. i mean NEED to have boundaries. bc there will be a person that will come along and if you do not have boundaries, they will fuck your shit up. ESPECIALLY if you “have” more than them. connections can be ones of elevation or deprivation. you choose
13
2.3천
9.7천",,13,2.3천,9.7천,[],https://twitter.com/kemimarie/status/1432488757035372552
jillian ↯,@glitterdotdal,2021-08-30T23:54:19.000Z,"jillian ↯
@glitterdotdal
·
8월 31일","nah bc this is the spectrum of how gay people dress, tag urself
7
4
93",,7,4,93,['https://pbs.twimg.com/media/E-E7y_RXMAIRh48?format=jpg&name=small'],https://twitter.com/glitterdotdal/status/1432491908216070144
ploppymeep (DELTARUNE SPOILERS),@ploppymeep,2021-08-30T23:59:18.000Z,"ploppymeep (DELTARUNE SPOILERS)
@ploppymeep
·
8월 31일","no bc my little hisoka was everything i miss him
7
35
178",🫀 💔 💔 💔 💔,7,35,178,"['https://pbs.twimg.com/media/E-E874fWYAQtN8T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E874hXMAMlhp3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E874hWYAgMXez?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E874fXMAgSh8Y?format=jpg&name=360x360']",https://twitter.com/ploppymeep/status/1432493160538726406
bumble bee,@icecoldchorus,2021-08-30T23:58:38.000Z,"bumble bee
@icecoldchorus
·
8월 31일","no bc this is exactly how i read academic research journals
2
2
19",🍂,2,2,19,['https://pbs.twimg.com/ext_tw_video_thumb/1432492951704379399/pu/img/kHStvX1VdGThZX7p.jpg'],https://twitter.com/icecoldchorus/status/1432492992401715202
maia,@monstertooths,2021-08-30T23:59:25.000Z,"maia
@monstertooths
·
8월 31일","Jumping on this bc it's getting late and I'm bored :)
2
3
29",,2,3,29,['https://pbs.twimg.com/media/E-E89u3XEAEcF_6?format=jpg&name=small'],https://twitter.com/monstertooths/status/1432493189638787074
BC Emergency Health Services,@BC_EHS,2021-08-30T23:40:43.000Z,"BC Emergency Health Services
@BC_EHS
·
8월 31일","Two weeks after getting her #paramedic licence she responded to her first overdose. Read Michelle's story here:
http://ow.ly/hmD450G17UT
#StopOverdose
8
28",,,8,28,['https://pbs.twimg.com/media/E-E4ro4WEAIEV9N?format=jpg&name=small'],https://twitter.com/BC_EHS/status/1432488481658392579
유이,@euikillu,2021-08-30T23:52:37.000Z,"유이
@euikillu
·
8월 31일","WRONG chrollo prob smells stinky like sweat bc he doesnt wash his forehead bandages
3
5
29",,3,5,29,['https://pbs.twimg.com/media/E-E7aGPWEAgx55B?format=jpg&name=small'],https://twitter.com/euikillu/status/1432491478773899265
,@giveintomestan,2021-08-30T23:52:33.000Z,"@giveintomestan
·
8월 31일","It will always be wild to me how while people killed Disco bc or racism and homophobia and they wanted to push the “Rock agenda” and now y’all want white artist to push their synth pop music as the disco revival all while missing the two key factors: black gays
2
6
28",,2,6,28,['https://pbs.twimg.com/media/E-E7ZLAUcAIKiRQ?format=jpg&name=small'],https://twitter.com/giveintomestan/status/1432491462848126977
