UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
아야(雅若)@이세계탐방중,@이세계탐방중,2021-08-09T08:45:16.000Z,"아야(雅若)@이세계탐방중
@arfwiras01
·
8월 9일","겁나 오래된 게임. 우리나라에 두번째로 정발된 여성향 게임으로 기억함. 이거 일본판은 성우진 진짜 빵빵. 플레이어캐는 총 셋. 디아나, 실피스, 메이. 실피스 성우 이시다 아키라, 메이 성우 사카모토 마아야, 디아나 성우 사야마 리코.
1
3",🌸 🌸 🤗,1,,3,"['https://pbs.twimg.com/media/E8ViTVLVcAExbii?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ViUznVcAU4hzr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ViUFVUUAAtMHY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ViVegUYAIMUg_?format=jpg&name=360x360']",https://twitter.com/arfwiras01/status/1424652990464495618
망구니_ᴄʜɪᴄʜɪ,@uheej__,2021-08-15T14:41:29.000Z,"망구니_ᴄʜɪᴄʜɪ
@uheej__
·
8월 15일","으음....
밤이에요.. 밤.. 

오래된거 말구
뉴 살색짤이 생각 나는밤

갤러리 털어주실 쓰앵님
GIF
3
2
16",👑 🙈 🤗 🤗 🤗,3,2,16,['https://pbs.twimg.com/tweet_video_thumb/E81tY_FVgAgWWWw.jpg'],https://twitter.com/uheej__/status/1426916961087197186
토기,@KQftATDLk7CRLdD,2021-08-05T04:22:05.000Z,"토기
@KQftATDLk7CRLdD
·
8월 5일","<일본 정창원 소장품>

-719년(養老 3년) 오른쪽 여밈 제도로 고치기 이전의 오래된 형식임
-겨드랑이 아래부터 부채꼴로 넓어지는 모양이 희귀함

 복식에 관심이 많은 분들은 이 모양을 되게 한국적이라 느끼실거같음.

왼-https://shosoin.kunaicho.go.jp/treasures/?id=0000015042&index=82…
오른-https://shosoin.kunaicho.go.jp/treasures/?id=0000015083&index=89…
9
13",,,9,13,"['https://pbs.twimg.com/media/E7_7JItVIAAnCFv?format=jpg&name=small', 'https://pbs.twimg.com/media/E7_7Jf9VkAAn4XQ?format=jpg&name=small']",https://twitter.com/KQftATDLk7CRLdD/status/1423137208911863809
수마,@suuuumaaaaa,2021-08-08T06:34:05.000Z,"수마
@suuuumaaaaa
·
8월 8일",창ㅁㅣ니 나중에 사진에 좀 더 관심 커지면 막 필름 냉동실?에 넣어놓고 그럴 거 같아 지금도 오래된 필름으로 찍은@거 조아할 듯 ..,,,,,[],https://twitter.com/suuuumaaaaa/status/1424257588959404038
문작 ★la vie est ailleurs,@mo0nzak,2021-08-10T15:20:48.000Z,"문작 ★la vie est ailleurs
@mo0nzak
·
8월 11일","엄마가 왔다가셨고.
고기도 사주고 청소도 해주심. 제발그냥좀있으랬는데 계속 걸레들고 왔다갔다하더니 오래된 마룻바닥이 반들반들해졌다.
돈은 안받을거고 괜히 고생만 시킨거같아서 몰래 화애락 한박스 보냄. 그랬더니 또 쓸데없이 돈썼다고 난리난리. 내가 몇살쯤되면 엄마가 맘을 놓으실까.
1
2",,,1,2,[],https://twitter.com/mo0nzak/status/1425114918315909129
mabasa,@9979x9999,2021-08-09T04:42:39.000Z,"mabasa
@9979x9999
·
8월 9일",아... 교도소장이 좀비공장장인 동생이랑 짜고 오래된 교도소에서 돈벌이하는거 아냐 아무것도 모르는 사람들 잡아다가 넣어놓고 CCTV설치해가지고 생중계하고 필요할때마다 제어실에서 문열어주고..,,,,,[],https://twitter.com/9979x9999/status/1424591934874476549
집가고싶은 리알,@AUOtheLOVE,2021-08-10T07:23:15.000Z,"집가고싶은 리알
@AUOtheLOVE
·
8월 10일","에바엿나... 오래된 장르되니까 팬들의 연령대 상승을 고려하여 ........ 로봇청소기 굿즈 나오는거.... 부러웟음... 실은... 페이트...도 나오길 기대하고 있음...
로청이나..안마의자.... .... .
6",,,,6,[],https://twitter.com/AUOtheLOVE/status/1424994738390720516
 오후,@aft_idv,2021-08-03T15:11:57.000Z," 오후
@aft_idv
·
8월 4일",나 미리내라고 부르면 진짜진짜 오래된 트친인건데 이 계정 새로판거라 예전 계정에서부터 트친이었던분 아니면 절대모르실듯,,,,,[],https://twitter.com/aft_idv/status/1422575977062756356
리스포크 re:spoke,@Re_Spoke,2021-08-14T12:12:16.000Z,"리스포크 re:spoke
@Re_Spoke
·
8월 14일","ㅋㅋㅋㅋㅋㅋㅋ 아마 제일 오래된 글을 나이프에서 찾아보셔도 못 찾으실 거예요… 첫 날 연성했던 거 나중에 리메이크 했거든요! 아무튼 퀴즈는 가벼운 테스트라서 중요하지 않습니다 중요…

다음은 질문 상자에
리스포크 re:spoke의 질문함입니다
질문/답변은 여기
peing.net
3",,,,3,['https://pbs.twimg.com/card_img/1441171784821182465/I6xLdsZW?format=jpg&name=small'],https://twitter.com/Re_Spoke/status/1426517021743738885
힐라,@hilla_krbot,2021-08-15T09:10:29.000Z,"힐라
@hilla_krbot
·
8월 15일","아아,물론...제 말을 단박에 믿어주실 거라고는 생각하지 않았어요. 하지만 진실은 밝혀지는법. 지금부터,에레브의 많은 사람들이 잊은 오래된 이야기를 하고자 한답니다. 검은 마법사가 메이플 월드를 지배하던 그 당시의 황제, 아리아에 대해...",,,,,[],https://twitter.com/hilla_krbot/status/1426833662876676098
