UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@scent_with_snow,2021-08-04T11:23:14.000Z,"@scent_with_snow
·
Aug 4","#ㅌㅇㅌㅇㅈ
한국이 정말 자랑스럽고 덕분에 입이 즐거운 날(?)
합정 최강금돈까스, 이몸이만든빵
망원 써니쌘드, 소금집
1
10",❄ 🌸,,1,10,"['https://pbs.twimg.com/media/E78WiH3UYAcY0B9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E78Wi70VcAE5Lhr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E78WifJVIAEJPZD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E78WjWzVcAEfYQh?format=jpg&name=360x360']",https://twitter.com/scent_with_snow/status/1422880806742020101
G-bam,@ssesin,2021-08-17T08:00:02.000Z,"G-bam
@ssesin
·
Aug 17","잠심에 사진은 최강금돈까스 간판만 올려놓고 먹은 걸 빼먹었네… 가게는 합정의 다른 족발&순대 집(…)
3",,,,3,"['https://pbs.twimg.com/media/E8-ksnJVoAEIJNL?format=jpg&name=small', 'https://pbs.twimg.com/media/E8-ksnIVoAIdANg?format=jpg&name=small']",https://twitter.com/ssesin/status/1427540709511360512
하루,@jiminjung_S2,2021-08-22T07:37:11.000Z,"하루
@jiminjung_S2
·
Aug 22","합정 최강금 돈까스 !! 

안심먹구싶었는데 재료소진이래ㅠㅠ
안심먹을라면 빨리가서 먹어야되나바... 
근데 등심도 맛있다 
#지구젤리버블 #유지민은봐라 #겨울이버블 #닝깅이에게 #이맛집은신이에요 #지구에서여기가젤루맛있어 #윈터의_맛집을_입력해주세요
3
6",😋,,3,6,"['https://pbs.twimg.com/media/E9YPZ06VkAEADJd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9YPZ05VgAIBVTV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9YPZ05VkAEllmF?format=jpg&name=360x360']",https://twitter.com/jiminjung_S2/status/1429346899836821506
모하낭,@hanang_mo,2021-08-19T03:16:15.000Z,"모하낭
@hanang_mo
·
Aug 18","최강금돈까스/합정

여기 일본식돈까스 안먹어봤다? 그럼 아직 돈까스 안먹어본거임 ㅠ 지리산흑돼지 지리산어짜구 다양한 재료들이 다 지리산
7
11",,,7,11,"['https://pbs.twimg.com/media/E9H27mIVoAcum54?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9H27mIVIAUdJ9X?format=jpg&name=360x360']",https://twitter.com/hanang_mo/status/1428194069923000323
깡정,@kkang_jung1,2021-08-27T02:56:22.000Z,"깡정
@kkang_jung1
·
Aug 26","커츠돈까스,,, 최강금돈까스,,, 가보기
1",,,,1,[],https://twitter.com/kkang_jung1/status/1431088167956803590
서니,@eatafig,2021-08-15T07:47:39.000Z,"서니
@eatafig
·
Aug 15","㋃, ㋄ 섬광 | 코스트코 | PRNT | 탈영역우정국 | 도프레코드 | 호핀치 | 최강금돈까스

….어휴 꾸준히좀 써라
㋃, ㋄ 섬광 | 코스트코 | PRNT | 탈영역우정국 | 도프레코드 | 호핀치 | 최강금돈까스
일사댁이랑 을지로에서 점심약속 갑자기 이 날 뭔 바람이 불었는지 고민하던 수영도 다시 등록하고 식물도 ...
m.blog.naver.com",,,,,[],https://twitter.com/eatafig/status/1426812818326659081
alpha,@aphex2,2021-08-17T01:51:41.000Z,"alpha
@aphex2
·
Aug 16","최강금 돈까스 앞이네.
집 주인분 이불 널어놓고 털면서 떠드는 사람들 한테 여기서 떠들지 말라고 그러시던데. 젊은 사람들이 서서 기다리는 장소라 많이 시끄러울거 같긴 함.
Busan aesthetics
@AestheticsBusan
 · Jul 15
#seoulaesthetics #합정동
4
1",,,4,1,"['https://pbs.twimg.com/profile_images/1258283199978852352/hiBMkpxV_mini.jpg', 'https://pbs.twimg.com/media/E6Yok0_UcAAXPyj?format=jpg&name=small']",https://twitter.com/aphex2/status/1427448012591177732
펭귄군_,@bpenguins_,2021-08-12T03:18:42.000Z,"펭귄군_
@bpenguins_
·
Aug 11","최강금 돈까스 맛있긴한데 이정도 기다리면서까지? 먹기엔 좀 아닌것같음...
2",,,2,,[],https://twitter.com/bpenguins_/status/1425657969648173059
김영기,@kimlongki,2021-08-21T07:51:34.000Z,"김영기
@kimlongki
·
Aug 21","점심으로 최강금돈까스 먹고 
카페에서 비오는거 구경하면서 가만히 시간 보내고싶다
1",,,,1,[],https://twitter.com/kimlongki/status/1428988131181617157
나비,@_everyday365,2021-08-30T12:16:37.000Z,"나비
@_everyday365
·
Aug 30","지방 부분이 넘 맛있었던 #최강금돈까스
같이 나오는 된장국도 맛있고 후식 오미자요거트는 입가심 하기에 딱 좋았다
#EVERYWHERE_TAMONG
2",🍓 😋,,,2,['https://pbs.twimg.com/media/E-CcB1yUUAQmVve?format=jpg&name=small'],https://twitter.com/_everyday365/status/1432316324370272258
야천,@kimyaten,2021-08-27T02:48:38.000Z,"야천
@kimyaten
·
Aug 26","안심 추가 (@ 최강금돈까스 in 마포구, 서울특별시) https://swarmapp.com/c/cyYmmHH1fbw",,,,,['https://pbs.twimg.com/media/E9w9VZ-XIAAtIqR?format=jpg&name=small'],https://twitter.com/kimyaten/status/1431086221502070785
