UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
공,@H_O712,2021-08-14T18:55:39.000Z,"공
@H_O712
·
8월 15일","오늘 새벽 산책은 쉼표와 함께 .ᐟ
1
3",,1,,3,"['https://pbs.twimg.com/media/E8xd_QMVgAQU6N2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xd_QMUYAIy9Mt?format=jpg&name=360x360']",https://twitter.com/H_O712/status/1426618536391188481
세포빈,@babyin_0325,2021-08-10T14:58:25.000Z,"세포빈
@babyin_0325
·
8월 10일","항상멋진랩해줘서쉼표좋은노래만들어줘서
#OurprideChangbinDay
달콤하게노래불러줘서우아하게춤춰줘서
#창빈이의_여름에_스테이
잘생겨줘서귀여워줘서사랑스러워줘서고마워
#HappyChangbinDay
오늘은진짜제대로쉬자사랑해빈아땨땨땨
9
11",,,9,11,[],https://twitter.com/babyin_0325/status/1425109285319725060
달보드레,@rhoswlsdk12,2021-08-05T22:15:41.000Z,"달보드레
@rhoswlsdk12
·
8월 6일","청원운동13일
오늘은 쉼표입니다 .
이제 여러분의 차례입니다.
행복한 하루 되시길 바랍니다.

https://twitter.com/rhoswlsdk12/status/1419241402286755840?s=19… 

https://www1.president.go.kr/petitions/600121…
달보드레
@rhoswlsdk12
 · 7월 25일
https://www1.president.go.kr/petitions/Temp/m3d84Z… 
한국의 모든 작가를 보호할 의무와 저작권 보호를 강화하라!
★청원참여완료인증+구매인증(최소 두개 작품이상 아무나)+해시태그+알티를 하신 한분께 5만원상품권을 드려요.★
#불법사이트_단절 #작가님의_저작권을_보호하라 #작가님_꽃길만_걷자  #올바른_합법_독자가_되자
이 스레드 보기
3",,,,3,"['https://pbs.twimg.com/profile_images/1438506724365725704/3JMvB2Wq_mini.jpg', 'https://pbs.twimg.com/media/E7Ioh4XVcAU9o6B?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7Ioh_2VUAErRzM?format=jpg&name=360x360']",https://twitter.com/rhoswlsdk12/status/1423407386950209538
이재환 jehoan lee,@fan732,2021-08-12T21:53:16.000Z,"이재환 jehoan lee
@fan732
·
8월 13일","[철망 앞에서] 벌써 금요일 정신 없이 한 주가 간 것 같다. 중간 중간 쉼표가 있어서 다행이다. 철망은 남북에만 있는 게 아니다. 오늘도 내안에 있는 편견이란 철망을 넘어 보자.
[YB] 윤도현밴드 - 철망 앞에서 kpop 韓國歌謠
[YB] 윤도현밴드 - 철망 앞에서 kpop 韓國歌謠내 맘에 흐르는 시넷물 미움의 골짜기로물살을 가르는 물고기떼 물위로 차 오느네냇물은 흐르네 철망을 헤집고싱그런 꿈들을 품엔 안고 흘려 구비쳐 가네저 건너 들에 핀 풀꽃들 꽃내움도 향긋해거기 서 있는 그대 숨소리 들리는 듯도해이렇게...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1442027203110309888/B8x0wV8d?format=jpg&name=240x240'],https://twitter.com/fan732/status/1425938459336658945
쏠라데이,@S_O_L_A_D_A_Y,2021-08-03T13:25:05.000Z,"쏠라데이
@S_O_L_A_D_A_Y
·
8월 3일",오늘은 쉼표,,,,,[],https://twitter.com/S_O_L_A_D_A_Y/status/1422549080455081987
김검구,@GG_1103_00,2021-08-05T06:35:10.000Z,"김검구
@GG_1103_00
·
8월 5일",오늘은 에바 쉼표 머리 화이트 있는지 확인하고 바로 친구들이랑 이터널 리턴 좀 하다가 냥터 보이스 드라마 봐야지,,,,,[],https://twitter.com/GG_1103_00/status/1423170700760608772
오후,@lucesalis,2021-08-02T19:00:32.000Z,"오후
@lucesalis
·
8월 3일","뭐랄까. 지금은 계정을 여러번 삭제하고 다시 만들어서 이 계정에 흔적은 없지만서도. 황현산 선생님의 트윗은 트위터 중에서 쉼표 같은 존재였다.
왁자하게 떠들고 웃고 방탕하다가도, 선생님의 인장이 보이면 오늘은 어떤 말씀을 하셨지 기대하면서 보게 되었었거든.
1
1",,1,,1,[],https://twitter.com/lucesalis/status/1422271112746979332
내가 바로 이 탐라의 존잘,@Alpha_2160,2021-08-12T10:24:21.000Z,"내가 바로 이 탐라의 존잘
@Alpha_2160
·
8월 12일",오늘은 귀찮음이 이유로 대충 그리겠습니다 내일 쉼표머리 토드로 보답하도록 하죠,,,,,[],https://twitter.com/Alpha_2160/status/1425765088426823683
Adam Kim,@vivaceth2,2021-08-10T00:05:30.000Z,"Adam Kim
@vivaceth2
·
8월 10일","인생은 쉼표없는 악보와 같기때문에
연주자가 필요할때마다 스스로 쉼표를
매겨가며 연주해야만 한다.

 ""류시화, 새는 날아가면서 뒤돌아 보지않는다. 中""
....^^*...
말복인 오늘 삼계탕.아이스커피로
마지막 더위 보내세요...
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",🎵,,,,[],https://twitter.com/vivaceth2/status/1424884576598446082
치리네 장모 에페기ㅡエペギ,@epegyee_priss,2021-08-09T08:02:38.000Z,"치리네 장모 에페기ㅡエペギ
@epegyee_priss
·
8월 9일","1. 물웅덩이는 "" 맑은 눈으로 나를 바라보았다 "".
2. 저 애는 "" 상당히 졸려 보여 "".
3. 오늘의 나는 "" 괴로움에도 살아간다 "".
4. 약간은 "" 삶의 사이에 쉼표를 찍어넣어도 괜찮지 않을까 "".
인간찬가 (𝒉𝒖𝒎𝒂𝒏, 𝑨𝒓𝒆 𝒚𝒐𝒖 𝒄𝒐𝒍𝒅?)
@sodanoccha
 · 8월 9일
얘들아 심리테스트하자
다음 단어들의 뒤에 글을 적어서 문장을 완성해보세요.

1. 물웅덩이는 ""   "".
2. 저 애는 ""    "".
3. 오늘의 나는 ""    "".
4. 약간은 ""   "".
이 스레드 보기
1
2",,1,,2,['https://pbs.twimg.com/profile_images/1438459798995947528/GeN7nG75_mini.jpg'],https://twitter.com/epegyee_priss/status/1424642263695638530
