UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
선이,@sunrain_02,2021-08-26T00:56:16.000Z,"선이
@sunrain_02
·
8월 26일","데이브레이크!!!
3
8",,,3,8,['https://pbs.twimg.com/media/E9raBr3VcAETC8f?format=jpg&name=900x900'],https://twitter.com/sunrain_02/status/1430695556985229316
회,@L1VETHEMOMENT,2021-08-06T02:34:58.000Z,"회
@L1VETHEMOMENT
·
8월 6일","라이즈선샤인이고 데이브레이크호라이즌이고
5
3",🦭,,5,3,"['https://pbs.twimg.com/media/E8Ew0VjVUAMI7Th?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ew0kSVkAI0UbT?format=jpg&name=360x360']",https://twitter.com/L1VETHEMOMENT/status/1423472639645937668
사람사는세상 노무현재단,@RohFoundation,2021-08-20T04:23:03.000Z,"사람사는세상 노무현재단
@RohFoundation
·
8월 20일","2021 봉하음악회가 오는 28일(토) 오후 7시 재단 유튜브 채널을 통해 깨시민 여러분의 안방으로 찾아갑니다. 장필순, 기프트, 알리, 데이브레이크의 멋진 공연과 유시민, 양정철, 최민희, 황희두의 사랑채 라이브까지 봉하마을의 여름을 함께 여행해 봅니다
20
201
385",🎸 💛,20,201,385,['https://pbs.twimg.com/media/E9NPu5NVEAM83i3?format=jpg&name=small'],https://twitter.com/RohFoundation/status/1428573270077427714
요뎡 K,@yodyeongK,2021-08-11T10:41:48.000Z,"요뎡 K
@yodyeongK
·
8월 11일","델타 한정 데이브레이크 
27",💜 🌙,,,27,"['https://pbs.twimg.com/media/E8gQMRJVoAEGCjU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8gQMSMVcAQbsUQ?format=jpg&name=360x360']",https://twitter.com/yodyeongK/status/1425407091481530373
Method Metal,@methodmetal,2021-08-26T04:54:23.000Z,"Method Metal
@methodmetal
·
8월 26일","#PENTAPORT2021 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ .
#펜타포트 1차 라인업
10/9 (SAT) #메써드(Method) 출연 

#펜타포트 #펜타포트2021 #메써드 #매써드 #윤상 #정홍일 #이날치 #데이브레이크 #너드커넥션 #아도이 #십센치 #이승환 #적재 #더발룬티어스 #엔플라잉 #김사월 #실리카겔
8
11",🤘 🤘 🔥,,8,11,"['https://pbs.twimg.com/media/E9sQhjtVUAAvr8K?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9sQhjuVcAAfZxI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9sQhjuUUAUTqOW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9sQhjuUYAQAOnn?format=jpg&name=360x360']",https://twitter.com/methodmetal/status/1430755482742910979
커뮤ing) 성덕 주주의 진정한 트친 버섯마녀,@jey0113,2021-08-14T15:39:16.000Z,"커뮤ing) 성덕 주주의 진정한 트친 버섯마녀
@jey0113
·
8월 15일","#크리스토퍼의_사랑을_응원해
#밤과_새벽과_아침
#따악_가슴_한번만_만지자
#원서머나잇_데이브레이크
#파티장은_무도장이_아니야
#썸나잇_천생연분_응원해

문란퀸 이 구역 최강자 카를로타 오너입미다
흔적 남겨주심 무멘팔 가요~!!
1
7",⭐,,1,7,"['https://pbs.twimg.com/media/E8wxClbUcAcYQkE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wxCvlUcAAJ-zD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wxDJNUcAEwRfM?format=jpg&name=small']",https://twitter.com/jey0113/status/1426569114831646720
키만,@kinokomandu,2021-08-19T08:06:12.000Z,"키만
@kinokomandu
·
8월 19일","얘들아 
투디리치모드
데이브레이크가 기절할 만큼 맛있다고
왜 아무도
안알려준거냐(ㅈㄴ
1
2",🍄 🥟 🌹 ☂ 🎗,1,,2,"['https://pbs.twimg.com/media/E9I5SgzUUAQAOyz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9I5TFeVIAQx6JG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9I5SxtVcAEWZOi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9I5TYAVoAQt_Qb?format=jpg&name=360x360']",https://twitter.com/kinokomandu/status/1428267039467053059
누누,@noonooisme_,2021-08-13T07:13:33.000Z,"누누
@noonooisme_
·
8월 13일","클 신발 대충보고 나이키 데이브레이크 서밋화이튼줄 알고 나이키도 클이 신으니까 명품같다 했는데 루이비통이었구나 ㅋㅋㅋㅋ 재력까지 가진 클 멋져....
1",🌲 🌟 💌 🌼,,,1,['https://pbs.twimg.com/media/E8pztFfUYAAP2eO?format=jpg&name=small'],https://twitter.com/noonooisme_/status/1426079461879861248
라이크,@realy_like_,2021-08-21T13:17:46.000Z,"라이크
@realy_like_
·
8월 21일","존나 행복해 데이브레이크 
1",😘 😘 😘,,,1,"['https://pbs.twimg.com/media/E9UTyDsUUAETyZ8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UTyDvVcAAZED5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UTyDsUcAQfjYM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UTyDtVoAIw6G7?format=jpg&name=360x360']",https://twitter.com/realy_like_/status/1429070221621358599
TR 쥬쥬,@YJ_ranger,2021-08-17T12:29:21.000Z,"TR 쥬쥬
@YJ_ranger
·
8월 17일","~ 2021. 08. 04.

『기계가 부르는 최후의 사랑을』
w. Lucete / gm. 쥬쥬

분과회 『새벽이 밝아오는 모형정원의 정적』
PC1 「정적의 눈발은 세상을 뒤덮고,」 위그드라실
PC2 「어반 데이브레이크」 클라이드
PC3 「모형정원에 피는 일륜」 크림힐트 T 베리타스",,,,,['https://pbs.twimg.com/media/E8_iV4kVcAY_859?format=jpg&name=small'],https://twitter.com/YJ_ranger/status/1427608484804059136
사람사는세상 노무현재단,@RohFoundation,2021-08-26T05:26:16.000Z,"사람사는세상 노무현재단
@RohFoundation
·
8월 26일","이번주 토요일 잊지 않으셨죠? 2021 봉하음악회가 오는 28일(토) 오후 7시 재단 유튜브 채널을 통해 깨시민 여러분의 안방으로 찾아갑니다. 장필순, 기프트, 알리, 데이브레이크의 멋진 공연과 유시민, 양정철, 최민희, 황희두의 사랑채 라이브까지 봉하마을의 여름을 함께 여행해 봅니다
17
139
281",🎸 💛,17,139,281,['https://pbs.twimg.com/media/E9sXxvWUYAIK6Jy?format=jpg&name=900x900'],https://twitter.com/RohFoundation/status/1430763505964122112
Method Metal,@methodmetal,2021-08-26T02:40:26.000Z,"Method Metal
@methodmetal
·
8월 26일","#PENTAPORT2021 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ .
#펜타포트 1차 라인업이 공개 되였습니다!
10/9 (SAT) #메써드(Method) 출연 확정 !

#펜타포트 #펜타포트2021 #메써드 #매써드 #윤상 #정홍일 #이날치 #데이브레이크 #너드커넥션 #아도이
2
9",🤘 🤘 🔥 🔥,,2,9,['https://pbs.twimg.com/media/E9rx3AbVcAovqKI?format=jpg&name=900x900'],https://twitter.com/methodmetal/status/1430721769883594758
Mr.Hong,@qlrvkdlqlrvkdl,2021-08-23T06:23:27.000Z,"Mr.Hong
@qlrvkdlqlrvkdl
·
8월 23일","2021봉하음악회 '사랑채 라이브' 8/28(토) 저녁 7시
https://youtu.be/-6NHfbiPhoY 
장필순, 기프트, 알리, 데이브레이크
13
7",,,13,7,['https://pbs.twimg.com/ext_tw_video_thumb/1429690418342494210/pu/img/cffpRkZyUelM1eKt.jpg'],https://twitter.com/qlrvkdlqlrvkdl/status/1429690732240007169
또리나,@ddd_orina,2021-08-06T12:01:46.000Z,"또리나
@ddd_orina
·
8월 6일","세일러 델타한정잉크 데이브레이크 진짜 이쁘다..왜 내맘에 들면 다 한정이셔요
요뎡 K
@yodyeongK
 · 6월 12일
델타한정 데이브레이크 DayBreak

자연광에 보라색 색분리 잉크 최고 너무 예뻐서 이거는 살 수 있다면 사고싶다
3",❄ 😳 🥺 💜 ✨,,,3,"['https://pbs.twimg.com/profile_images/1377647531052527616/-H0E61Bh_mini.jpg', 'https://pbs.twimg.com/media/E3qpVNIVIAIVdVy?format=jpg&name=small']",https://twitter.com/ddd_orina/status/1423615279565742080
₲rock,@Grock174,2021-08-15T02:31:47.000Z,"₲rock
@Grock174
·
8월 15일","오랜만에 듣고 있는 내 노래
데이브레이크 프론트라인
₲rock
@Grock174
 · 2020년 10월 1일
2020.10.01 Upload

Orangestar - Daybreak frontline
( Mwk Remix )

太陽の強烈さを
태양의 강렬함을
思い出しながら歌います。
기억하며 노래합니다.

Y :: https://youtu.be/-2dDbiF5ucY

#신곡_홍보
#녹음러_트친소
#목소리가_취항이면_RT
#歌い手さんMIX師さん絵師さん動画師さんPさんと繋がりたい
이 스레드 보기
1",,,,1,"['https://pbs.twimg.com/profile_images/1439337113221091328/DZX2I4_b_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1311616006536663041/pu/img/hcomB_ArDjmW0Rr0.jpg']",https://twitter.com/Grock174/status/1426733329471078402
mt 쥬디,@m3ll1flu0u5,2021-08-14T04:40:33.000Z,"mt 쥬디
@m3ll1flu0u5
·
8월 14일","데이브레이크나 쏜애플 제이래빗 새소년 1415
2",,,,2,[],https://twitter.com/m3ll1flu0u5/status/1426403343455297537
파랑,@rang_helios,2021-08-21T13:07:34.000Z,"파랑
@rang_helios
·
8월 21일","주기적으로 데이브레이크 호라이즌 듣고 우는 사령
1
10",,1,,10,[],https://twitter.com/rang_helios/status/1429067655269392873
전국매일신문,@Jeonkukmaeil,2021-08-26T07:36:03.000Z,"전국매일신문
@Jeonkukmaeil
·
8월 26일","[축제 171] ‘2021 인천펜타포트 음악축제’ 개최 http://jeonmae.co.kr/news/articleView.html?idxno=852696… 

인천시와 인천관광공사는 코로나19 위기에서도 음악축제 명성을 이어온 대한민국 대표 음악축제 ‘인천펜타포트
#축제 #인천펜타포트 #음악축제 #개최 #전국매일신문 #이승환 #윤상 #십센치 #데이브레이크 #적재 #아도이
[축제 171] ‘2021 인천펜타포트 음악축제’ 개최 - 전국매일신문 - 전국의 생생한 뉴스를 ‘한눈에’
[전국은 지금 - 축제 174]인천펜타포트 음악축제인천시와 인천관광공사는 코로나19 위기에서도 음악축제 명성을 이어온 대한민국 대표 음악축제 ‘인천펜타포트 음악축제’를 작년에 이어 올해에도 이달말부터 10...
jeonmae.co.kr
2
2",,,2,2,['https://pbs.twimg.com/card_img/1441163724547850240/be7fu82f?format=jpg&name=240x240'],https://twitter.com/Jeonkukmaeil/status/1430796167411949568
사람사는세상 노무현재단,@RohFoundation,2021-08-27T02:47:24.000Z,"사람사는세상 노무현재단
@RohFoundation
·
8월 27일","노무현 대통령 탄생을 기념하는 늦은 여름밤의 문화축제, ‘봉하음악회’의 열두 번째 무대가 2021년 8월 28일(토) 오후 7시 재단 유튜브 채널에서 열립니다. 
- 음악 : 장필순, 기프트, 알리, 데이브레이크 
- 이야기 : 유시민, 양정철, 최민희, 황희두
32
100
219",,32,100,219,['https://pbs.twimg.com/ext_tw_video_thumb/1431085715907956736/pu/img/1F796zHFOnvoQ5fm.jpg'],https://twitter.com/RohFoundation/status/1431085910863454210
