UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
말차,@BliuIg,2021-08-22T09:38:16.000Z,"말차
@BliuIg
·
8월 22일","채형웒 착한 줄 알았는데..
몽뵈뵈 외면하고
혼자 좋은 거 가져가네..
10
54",,,10,54,"['https://pbs.twimg.com/media/E9YrI8jVIAAbS9Y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9YrI9dUcAMiX9k?format=jpg&name=small']",https://twitter.com/BliuIg/status/1429377369601503240
˗ˋˏ 미나코ˎˊ˗,@M2nako_Wildcats,2021-08-15T11:13:06.000Z,"˗ˋˏ 미나코ˎˊ˗
@M2nako_Wildcats
·
8월 15일","우뵈뵈..
1
1
5",,1,1,5,['https://pbs.twimg.com/media/E809tXOVcAU86RU?format=jpg&name=900x900'],https://twitter.com/M2nako_Wildcats/status/1426864520249573380
马太福音(마태복음 Matthew),@bwkim2,2021-08-20T04:38:40.000Z,"马太福音(마태복음 Matthew)
@bwkim2
·
8월 20일","(1) (오묘한)
    꽃 일일큐티 
1 사도바울의 支持者(지지자)
  - 뵈뵈 Phoebe 
2 겐그레아 교회
Cf 롬 16",,,,,['https://pbs.twimg.com/media/E9NTYpsVEAcr0Dy?format=png&name=small'],https://twitter.com/bwkim2/status/1428577197187469313
감느,@kkgamnue,2021-08-11T14:32:44.000Z,"감느
@kkgamnue
·
8월 11일","우뵈뵈 국민 사귐 우뵈뵈
1",,,,1,['https://pbs.twimg.com/media/E8hFDBoUYA4GqRS?format=jpg&name=small'],https://twitter.com/kkgamnue/status/1425465208768634893
파랑,@plztakemyblue,2021-08-07T06:02:05.000Z,"파랑
@plztakemyblue
·
8월 7일","느아아악,,, 바쁘다 몬뵈뵈",,,,,[],https://twitter.com/plztakemyblue/status/1423887148214718465
140이현,@MBBHXUN,2021-08-18T13:43:28.000Z,"140이현
@MBBHXUN
·
8월 18일","아~ 몭뵈뵈 다 금손이야? 난 끼지도못하
1
3",,1,,3,[],https://twitter.com/MBBHXUN/status/1427989525964283906
방꿔,@ruleftyj,2021-08-18T15:17:16.000Z,"방꿔
@ruleftyj
·
8월 19일","탐라 몬뵈뵈 가좍들아 너네 알페스 메이저 뭐야?
1",😎,1,,,[],https://twitter.com/ruleftyj/status/1428013129905041413
slow ONE채,@ONEDINGDING,2021-08-27T23:26:04.000Z,"slow ONE채
@ONEDINGDING
·
8월 28일","#팔로워창안보고생각나는트친
퐁당 히다 뵈뵈 온화 해삐 강한콩 챙챙 우냐 꿍디 베몽 K-crazy할미 
ㄴ요정도,,, 제 맘 알죠,,,?
7
1
1",,7,1,1,[],https://twitter.com/ONEDINGDING/status/1431397632023269379
회색감시자 이상한 인간,@nomoralpp,2021-08-14T07:24:49.000Z,"회색감시자 이상한 인간
@nomoralpp
·
8월 14일","이거 테마영상인데 갑툭튀??? 좀 무서울수잇는데 뵈뵈
저렇게 달려와서 낚아챌거라 생각하면 걍 복종말림 하아...
Fiddlesticks: Terror in Demacia | Champion Update Trailer - League of...
An ancient fear awakens.League of Legends Sign Up & Downloadhttps://signup.leagueoflegends.com/
youtube.com
2
3",,,2,3,['https://pbs.twimg.com/card_img/1439141879594033153/WQ3-AW1B?format=jpg&name=240x240'],https://twitter.com/nomoralpp/status/1426444686063927298
SLOW 히다,@hihida_126,2021-08-27T14:43:13.000Z,"SLOW 히다
@hihida_126
·
8월 27일","#팔로워창_안보고_기억나는_트친
몬_희 강한콩 해삐 꿍인데요? 뵈뵈 퐁당 온화 빈스 멍멍 Me0 옘 인 단비 ONE채 채지마 채뷰기채 온유 베몽 부이 누삼 뭉치 꿍님 
ㄴ 이 정도면 꽤 많이 기억했다...?ㅎ 사랑해
10
3",,10,,3,[],https://twitter.com/hihida_126/status/1431266053460348928
✞. 𝕐 𝐄 ℝ 𝐈 .✞,@yooleft,2021-08-06T06:41:09.000Z,"✞. 𝕐 𝐄 ℝ 𝐈 .✞
@yooleft
·
8월 6일","몬뵈뵈괴담
어디에도 없는데 어디에나 있음
1
1",,,1,1,[],https://twitter.com/yooleft/status/1423534590946283521
말차,@BliuIg,2021-08-17T03:15:06.000Z,"말차
@BliuIg
·
8월 17일","트이타 해시태그 이벤트 서치하다가
어떤 몽뵈뵈 프로필에 잇는 
포스타입 링크 눌러서
어쩌다 민쵱 포타 읽은 채형언..
이런 거 보고 싶은 12시 14분
1
27
115",,1,27,115,[],https://twitter.com/BliuIg/status/1427469004340224005
씹둥이,@brainbalgi,2021-08-24T07:09:32.000Z,"씹둥이
@brainbalgi
·
8월 24일","우뵈뵈 던던댄스 던던댄스 던던댄스
우웅~ 제비게미게빕ㅁ겝ㅂㅁ",,,,,[],https://twitter.com/brainbalgi/status/1430064718782156804
솔의눈,@hip_n_thigh,2021-08-03T12:26:04.000Z,"솔의눈
@hip_n_thigh
·
8월 3일","나랑 전장르에서 몽뵈뵈 같이 온 사람들
사이좋게 최애 나눠가짐
1",,,,1,[],https://twitter.com/hip_n_thigh/status/1422534231230599174
유리,@xxx_yuurii,2021-08-28T08:37:10.000Z,"유리
@xxx_yuurii
·
8월 28일","제복 주세요
하네스 주세요
바디체인 주세요
초커 주세요

라고 과거 몬뵈뵈였던 유리가 말했습니다.
꾼
@zeuschauer
 · 8월 9일
피에스타내맘에
교복마린룩반바지페도라시스루쓰리피스수트멜빵베레모니삭스경찰제복항공제복파자마군밤모자앙고라니트야구복테크웨어점프수트뿔테안경청자켓유도복올드스쿨하네스토끼머리띠크롭티바디체인실크셔츠한복가죽바지헤어밴드파스텔스웨터초커오버핏후드롱부츠이어커프민소매
꾹삼킨채
1
14",,1,,14,"['https://pbs.twimg.com/profile_images/1438643565224022017/QWlP3cCF_mini.jpg', 'https://pbs.twimg.com/media/E8T_B_LVoAMzePy?format=jpg&name=small']",https://twitter.com/xxx_yuurii/status/1431536321315569664
여름,@sumx2ertime,2021-08-04T07:34:27.000Z,"여름
@sumx2ertime
·
8월 4일","우뵈뵈
1",,,1,,[],https://twitter.com/sumx2ertime/status/1422823229228404736
˗ˋˏ 미나코ˎˊ˗,@M2nako_Wildcats,2021-08-07T07:14:01.000Z,"˗ˋˏ 미나코ˎˊ˗
@M2nako_Wildcats
·
8월 7일",국민의우뵈뵈,,,,,[],https://twitter.com/M2nako_Wildcats/status/1423905250742730754
뵈보,@bakawoo,2021-08-26T02:50:13.000Z,"뵈보
@bakawoo
·
8월 26일","바보 오타나서 배보
배보
서치않되서 뵈
로 바꿈 
우뵈뵈",,,,,[],https://twitter.com/bakawoo/status/1430724231453569024
감느,@kkgamnue,2021-08-09T11:26:18.000Z,"감느
@kkgamnue
·
8월 9일","빡쳤다가 브이앱 소식이랑 타락천사때문에 개저됨우뵈뵈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2",,,,2,[],https://twitter.com/kkgamnue/status/1424693516421058567
보라돌이,@99ungp,2021-08-29T11:24:38.000Z,"보라돌이
@99ungp
·
8월 29일",돈없는묑뵈뵈... 이번 기회에 앨범깡이나 해보려구... 할인 할 때를 노리는 팬이 되었어요,,,,,[],https://twitter.com/99ungp/status/1431940852482330625
slow 휘휭,@hAms_1x2,2021-08-18T13:35:56.000Z,"slow 휘휭
@hAms_1x2
·
8월 18일",아니 몽뵈뵈 어쩜 저엏게 덤덤해,,,,,[],https://twitter.com/hAms_1x2/status/1427987631833448452
