UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Blue,@Rnathrdldpdy,2021-08-17T12:03:20.000Z,"Blue
@Rnathrdldpdy
·
8월 17일","나타샤 발레하는 폼 보고 마담지리가 바로 쟤 러시아앤거 알았으면 좋겟다 .. ^^
Blue
@Rnathrdldpdy
 · 2020년 4월 11일
님들.. 오유에서 나오는 발레도 현대의 러시아 발레 특성(무리한 다리사용)을 피하고 1880년대 스타일로 고증한거래... 발레 스커트랑 튀튀도 1880년대 고증이고(드가 스타일)
이 스레드 보기
2",,,,2,['https://pbs.twimg.com/profile_images/1377636948165095428/lYl3mabq_mini.jpg'],https://twitter.com/Rnathrdldpdy/status/1427601937805963274
Rosa Vollmond(로자 폴몬트),@RosaVollmond,2021-08-02T18:36:14.000Z,"Rosa Vollmond(로자 폴몬트)
@RosaVollmond
·
8월 3일","그냥 훈련소 8시간 속성훈련 이런걸로 땡쳐주면 안되나... 주변의 눈이 신경쓰여서 그런다면 2박3일 동1훈련 이런걸로 대체 해줘도 되잖아. 특사까지 보내면서.. 
마, 기브앤테이크 모리나! (아마도 주어 없음
3
2
43",,3,2,43,[],https://twitter.com/RosaVollmond/status/1422264998567501824
밤식빵,@intothesunshine,2021-08-28T10:00:58.000Z,"밤식빵
@intothesunshine
·
8월 28일","나빼고 석민진 얘기하지마
나빼고 앤메리 얘기하지마
나빼고 석앤 얘기하지마
1
2
2",💉,1,2,2,[],https://twitter.com/intothesunshine/status/1431557411257536516
장첸오너(구라임),@choewoom_commu,2021-08-24T13:51:40.000Z,"장첸오너(구라임)
@choewoom_commu
·
8월 24일","교류 많앗는데 뭔가 안맞은거면 전자

교류도없엇고그냥대화자체가별로앖엇으면후자

근데개인적으로나는다불편해나를.떠나지마앤오(떠나셔도됩니다)
김사나
@S2L0V
 · 7월 19일
보통 앤관 같은 거 정리 당할 때 앤오님이 따로 디엠 찾아오셔서 이별통보 받고 정리하는 게 편한가요 아님 블블당하심 앤관 정리된 거라고 생각해주세요~ < 이런 트윗 메인트로 올려둔 거 보고 블블당해서 앤관 정리하는 게 편한가요?
님이 앤관 정리 당하는 입장이라고 생각할 때 말이에요
이 투표 표시하기
1",,,,1,['https://pbs.twimg.com/profile_images/1420720269476253704/cyRyW3uR_mini.jpg'],https://twitter.com/choewoom_commu/status/1430165918047514628
자수정,@Amethyst_Star0,2021-08-13T05:52:17.000Z,"자수정
@Amethyst_Star0
·
8월 13일","벨제르-혐관캐: 형씨..나 무서워, 하지 마…
앤관캐:..내가 미안해.
자캐 해시태그 전달자
@HSTG_OC
 · 8월 13일
#혐관캐가_어느날_갑자기_자캐에게_친절하게_대한다면_자캐는
#앤관캐가_어느날_갑자기_자캐에게_차갑게_대한다면_자캐는

• 익명의 제보입니다.",👾 👻 👻 👾,,,,['https://pbs.twimg.com/profile_images/1429402004300857345/urJpIPr4_mini.jpg'],https://twitter.com/Amethyst_Star0/status/1426059007928586240
퓡,@ppungx10,2021-08-28T10:05:28.000Z,"퓡
@ppungx10
·
8월 28일","나랑 앤오 하지마 ㄱ=
1
4",,,1,4,[],https://twitter.com/ppungx10/status/1431558544998887427
보레,@BORE6718,2021-08-29T07:43:25.000Z,"보레
@BORE6718
·
8월 29일","공공재앤오박하루 이런발언하지마까
하지만 일단 나랑 멈머의 앤오는 맞잖아
1
2",😷 🎗,,1,2,[],https://twitter.com/BORE6718/status/1431885182647214081
이세계꾀돌헌터(5.5),@dark_hokage14,2021-08-05T08:28:57.000Z,"이세계꾀돌헌터(5.5)
@dark_hokage14
·
8월 5일","#이_직업_하면_생각나는_지인
암:셈님지짘님
건:디원앤
전:첼로롱상 추밭상
나:긜로상
백:길동상 일독상 디원앤
학:동사개님
점:마도야상
용:모두의 부직
몽:포김상지짘상
닌:이로
사:없어
음:맹상
기:파파
무:모두의 부직2
적:여영상 닐브레님
흑:여영상
솬:크로님
채작:맥갈님
좁은 지인풀
5",,,,5,[],https://twitter.com/dark_hokage14/status/1423199333650878468
와이트.txt,@wighttxt,2021-08-19T15:30:03.000Z,"와이트.txt
@wighttxt
·
8월 20일",") 오빠 공차에서 초코쿠앤크스무디에다가 심재영 추가해 달라고 했더니 펄 추가해 줬어요. 진짜입니다. 믿어줘요.
W) 진짜로? 진짜로? 진짜로? 믿어도 돼? 진짜로? 날 아시는 분인가? 진짜로? 그럴 리 없잖아... 거짓말하지 마... 나 이런 거 믿는단 말야.
1
29
38",💡,1,29,38,[],https://twitter.com/wighttxt/status/1428378736437596168
유리세레 대주주jin sun𓂀,@yjc3584,2021-08-12T19:57:11.000Z,"유리세레 대주주jin sun𓂀
@yjc3584
·
8월 13일","#보면_복붙하기 
장르 :연극&뮤지컬
돌잡이 :라만차 광고 짘슈 관람
현최애 :메리 리드
외모 취향캐 :글린다,마젠타,앨리스 러셀,에스메랄다
서사 취향캐 :앤 보니,메리 리드,
아이다,마리퀴리
성격 취향캐 :아델라,모린 존슨,조시아나 
가치관 취향캐 :암네리스,마그리드
최애커플 : 앨리지,앤메리
1",🎗 💜 💙,,,1,[],https://twitter.com/yjc3584/status/1425909246718201856
