UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Adina de Souzy,@AdeSouzy,2021-08-06T09:31:32.000Z,"Adina de Souzy
@AdeSouzy
·
8월 6일","Fromages maison, beurre maison, yaourt maison, omelette, tomates, concombre du jardin, jus de pommes-raisins maison, confiture de fraises des bois et miel maison, thé, café dans un décor et une atmosphère idylliques (juste les émanations macroniennes gâchent ces moments magiques)
32
27
213",,32,27,213,"['https://pbs.twimg.com/media/E8GP7XSWQAEddMB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GP7YjXIAADUH-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GP7Y6WQAEBh0n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GP7ZMWQAQY0jQ?format=jpg&name=360x360']",https://twitter.com/AdeSouzy/status/1423577472449368070
汁なし担々麺 しろくま,@1109shirokuma,2021-08-08T08:29:13.000Z,"汁なし担々麺 しろくま
@1109shirokuma
·
8월 8일","石橋のしろくまです

今日もありがとうございました

明日　8/9〜8/12迄　お盆休みを頂きます。

ご予定のお客様には大変申し訳ありませんが宜しくお願い致します。

仕事終わりにMaison de kokoさんでcafeたいむ　

めーっちゃめちゃ美味しいかった
今日のコーヒー撮り忘れ
3
22",😊 ❤ ☕ 😭,,3,22,"['https://pbs.twimg.com/media/E8QVDdzVUAIr8oW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QVDdyVoAIVZTK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QVDdzVIAA7wnz?format=jpg&name=360x360']",https://twitter.com/1109shirokuma/status/1424286564763324416
Alfredo Masin,@MasinAlfredo,2021-08-18T14:38:56.000Z,"Alfredo Masin
@MasinAlfredo
·
8월 18일","Travailler de la maison égale boire mon café dans ma tasse Alien 
Working from home means having my coffee in my Alien cup 
2",🥰 🥰,,,2,['https://pbs.twimg.com/media/E9FJmcwXMAEj-ko?format=jpg&name=small'],https://twitter.com/MasinAlfredo/status/1428003484213862405
Princesse Ada,@AdamaSMaga1,2021-08-27T16:13:39.000Z,"Princesse Ada
@AdamaSMaga1
·
8월 28일","À l'instant à la maison de presse ce  tient le Café Citoyen de 
@AjcadMali
.
Un espace convivial de débat:
S'exprimer, échanger, écouter et proposer. 
@AjcadMali
 
@AssoBlogMali
3
9",🥀 👑 🖤,,3,9,['https://pbs.twimg.com/media/E9z1jZvWEAEyUJP?format=jpg&name=small'],https://twitter.com/AdamaSMaga1/status/1431288813767249922
Jamalia | Kelly,@SpoonyJamalia,2021-08-23T12:21:38.000Z,"Jamalia | Kelly
@SpoonyJamalia
·
8월 23일","On a plus de café à la maison pour bosser.
GIF
2",,,,2,['https://pbs.twimg.com/tweet_video_thumb/E9eaH0GWEAQCIuO.jpg'],https://twitter.com/SpoonyJamalia/status/1429780872639700994
Le jour viendra où le peuple vaincra,@NaphtalineLeBon,2021-08-08T13:25:54.000Z,"Le jour viendra où le peuple vaincra
@NaphtalineLeBon
·
8월 8일","Macron veut transformer
les cafés en
maison de paSS.
26
134
359",😎 😎 😎,26,134,359,[],https://twitter.com/NaphtalineLeBon/status/1424361226751127557
Rockeuse de diamants,@1ngelbn_,2021-08-08T14:12:30.000Z,"Rockeuse de diamants
@1ngelbn_
·
8월 8일","J'ai fait un café glacé maison avec un peu de chantilly 
1
1",🥰,1,,1,['https://pbs.twimg.com/media/E8Rjp1EXEAUmCW4?format=jpg&name=medium'],https://twitter.com/1ngelbn_/status/1424372954964578313
𝕻𝖆𝖘 𝕯𝖔𝖒𝖕𝖙𝖆𝖇𝖑𝖊,@Pas_Domptable_,2021-08-09T15:20:46.000Z,"𝕻𝖆𝖘 𝕯𝖔𝖒𝖕𝖙𝖆𝖇𝖑𝖊
@Pas_Domptable_
·
8월 10일","11h20 et je commence mon deuxième café 

La maison est remplis de silence, les 2 plus jeunes dorment encore et la plus vieille est couchée elle aussi mais dans la tente dehors avec une amie.

L'action devrait arriver bientôt, en attendant on prend ça relaxe encore 
19",☕,,,19,['https://pbs.twimg.com/media/E8W83mVXoAIOYke?format=jpg&name=medium'],https://twitter.com/Pas_Domptable_/status/1424752522456190977
ladouceurenpersonne,@evamarie0,2021-08-11T19:38:03.000Z,"ladouceurenpersonne
@evamarie0
·
8월 12일","Le jet café fait les meilleurs pains perdus je veux rien entendre ! La brioche est bien imbibée et moelleuse. Par dessus un caramel beurre salé maison de la muerte  le contraste avec le chaud de la brioche et le froid de la glace. Et le petit croustillant à côté 
2
28",☺ ❤ ✨ 😩,,2,28,['https://pbs.twimg.com/media/E8iK7ZmX0AkzqNS?format=jpg&name=small'],https://twitter.com/evamarie0/status/1425542045209354243
NAT'LY,@NATLY12533573,2021-08-11T18:34:32.000Z,"NAT'LY
@NATLY12533573
·
8월 12일","Ce soir crudités bio avec crevettes roses bio taboulé fait maison face à notre terrasse puis avec le café dégustation de macarons  
Nous ne craquons pas
Bonne soirée à tous les manifestants 
2
1
7",☕ 🍪 😘 👍 🍽 🍷,2,1,7,['https://pbs.twimg.com/media/E8h8ZZuXIAIgGPR?format=jpg&name=small'],https://twitter.com/NATLY12533573/status/1425526061023080453
Jhade Montpetit,@jhademontpetit,2021-08-28T11:01:56.000Z,"Jhade Montpetit
@jhademontpetit
·
8월 28일","Matin de fête.
J’ai enfin revu ma maman, mon papa, ma sœur, mon neveu et ma nièce. 
Une première depuis décembre 2019.

Ce matin, tout ce beau monde faisait dodo quand j’ai quitté la maison.
Et y’avait ça, sur la machine à café 

                         -43-
5
40",🥺 ❤,5,,40,"['https://pbs.twimg.com/media/E9330vSXIAUksvz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9330vQWUAgeC4y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9330vUXoAQCDdr?format=jpg&name=360x360']",https://twitter.com/jhademontpetit/status/1431572751836499969
