UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
그냥현수,@just_hyun_soo,2021-08-01T20:24:24.000Z,"그냥현수
@just_hyun_soo
·
8월 2일","아아..오소이..
1
2",,1,,2,['https://pbs.twimg.com/media/E7u1pOUVkAI4uOd?format=jpg&name=small'],https://twitter.com/just_hyun_soo/status/1421929830317051905
양,@Yaang_2,2021-08-13T16:54:55.000Z,"양
@Yaang_2
·
8월 14일","오소이
양
@Yaang_2
 · 8월 14일
‘ 느려 ’
이 스레드 보기
9",,,,9,"['https://pbs.twimg.com/media/E8r4xkRVgAEVToP?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1424685154333720576/EAuIA4UI_mini.jpg', 'https://pbs.twimg.com/media/E8r4QJLVoAQhkwP?format=jpg&name=240x240']",https://twitter.com/Yaang_2/status/1426225766023368705
똥침고수,@rockganzi,2021-08-02T07:49:53.000Z,"똥침고수
@rockganzi
·
8월 2일",오소이,,,,,['https://pbs.twimg.com/media/E7xSicGVUAoJ3fr?format=jpg&name=small'],https://twitter.com/rockganzi/status/1422102337556938760
랄라,@Lalla_YD,2021-08-12T17:01:36.000Z,"랄라
@Lalla_YD
·
8월 13일","오소이가 느려맞나? 아무튼
서우내~~~ 
5
9",💜 😥 😥 😥 😥,,5,9,['https://pbs.twimg.com/ext_tw_video_thumb/1425865009511354369/pu/img/ljDyG4BbVztRnRuj.jpg'],https://twitter.com/Lalla_YD/status/1425865061160034306
반동결 청사하,@chung_saha,2021-08-07T15:43:08.000Z,"반동결 청사하
@chung_saha
·
8월 8일","오소이.
1
1",❄,1,,1,['https://pbs.twimg.com/media/E8MuzrfVcAA1ZMt?format=jpg&name=small'],https://twitter.com/chung_saha/status/1424033374457327625
감자,@DA1GU9AM,2021-08-14T14:27:06.000Z,"감자
@DA1GU9AM
·
8월 14일","오소마츠 상 회지 팔아요

총 85권~ 최대한 싸게 올렸는데 더 싸게도 드립니다 연락 주세요 ^_^b

커플링 목록: 수륙오소/아츠토도/오소른/오소오소/오소쵸로/오소카라/이치른/이치오소/이치카라/장형쵸로/쵸로오소/카라른/카라오소/카라이치

회지 목록, 가격 링크 : https://docs.google.com/spreadsheets/d/1QJXm1dtXdRI8OpYQVrQnB5thRs9kWd0rvzCm3X9SUBY/edit#gid=0…
4
6
1",,4,6,1,['https://pbs.twimg.com/media/E8wgVrOUUAEnKfS?format=png&name=small'],https://twitter.com/DA1GU9AM/status/1426550956456484871
와갓,@IWAGOD_HQ,2021-08-13T16:54:06.000Z,"와갓
@IWAGOD_HQ
·
8월 14일","오소이!
5",,,,5,[],https://twitter.com/IWAGOD_HQ/status/1426225560296951812
김한달(Techno's wife),@Amonth_tb,2021-08-10T15:41:58.000Z,"김한달(Techno's wife)
@Amonth_tb
·
8월 11일","「오소이」
➋➌
@qcupgRytP77zV4E
 · 8월 11일
그렇게?됐습니다?  twitter.com/Amonth_tb/stat…
1",,,1,,"['https://pbs.twimg.com/profile_images/1423285526740623369/vvw9q2QG_mini.jpg', 'https://pbs.twimg.com/media/E8cLBK0VcAE88Lx?format=jpg&name=small']",https://twitter.com/Amonth_tb/status/1425120242955526149
Georgia 영우,@Edel_Delfanium,2021-08-07T17:03:32.000Z,"Georgia 영우
@Edel_Delfanium
·
8월 8일","오소이요
1",,,,1,[],https://twitter.com/Edel_Delfanium/status/1424053610279624704
유니,@pic_uni,2021-08-01T08:31:39.000Z,"유니
@pic_uni
·
8월 1일",오소.이..오소..????????,🎨 🍦,,,,[],https://twitter.com/pic_uni/status/1421750462189957123
