UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
마딩,@mydeary__,2021-08-20T07:07:11.000Z,"마딩
@mydeary__
·
8월 20일","립이가 간 카페 <신사 커피휘엘>
38
64",,,38,64,"['https://pbs.twimg.com/media/E9N1YHVVoAMjGZs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9N1YHYVkAAK99y?format=jpg&name=360x360']",https://twitter.com/mydeary__/status/1428614572835962888
김민경,@aSdgQg44MZdlfzX,2021-08-08T16:23:58.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 9일",New post (엘가커피 핵심 리뷰 많은 정보) has been published on 정보마스터 - http://telrb.xyz/%ec%97%98%ea%b0%80%ec%bb%a4%ed%94%bc-%ed%95%b5%ec%8b%ac-%eb%a6%ac%eb%b7%b0-%eb%a7%8e%ec%9d%80-%ec%a0%95%eb%b3%b4/…,,,,,['https://pbs.twimg.com/media/E8SBvo5UUAU-HNZ?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1424406040347430921
가갸,@Gagya_0305,2021-08-13T04:53:16.000Z,"가갸
@Gagya_0305
·
8월 13일","샤로수길 카페미엘 #가갸냠냠 
회의 전에 말차충전너무 달지도 않고 꾸덕한 찐 말차가또 그리고 무려! 곰돌이!! 커피얼음!!! 너모 ㄱㅇㅇ...
1
1
14",🌿 💚,1,1,14,['https://pbs.twimg.com/media/E8pTmXNVIAAuaU8?format=jpg&name=small'],https://twitter.com/Gagya_0305/status/1426044158062460934
케이채 (K. Chae),@kchae,2021-08-11T07:56:23.000Z,"케이채 (K. Chae)
@kchae
·
8월 11일","판교에 미팅 온 길에 들린 알레그리아 커피바. 엘파라이소 원두가 새로 있길래 마셔보았다. 나는 커피 전문가는 아니지만 새로운 커피를 시도하는 것을 좋아한다. 나처럼 맛을 잘 모르는 사람도 좋은 커피를 ‘맛있다’고 느낄 수는 있다. 자세하게 설명하긴 어려울지 몰라도..ㅎ
2
4
20",,2,4,20,"['https://pbs.twimg.com/media/E8fqU9SVUAQhxy7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8fqU9SUYAY7KMk?format=jpg&name=360x360']",https://twitter.com/kchae/status/1425365466424307717
Jeong Chang Lee,@wajangchang,2021-08-12T11:40:55.000Z,"Jeong Chang Lee
@wajangchang
·
8월 12일","식물인간된 사람 병문안 갔는데

식물인간이란 단어가

생각이 안나서....

""아드님이 야채인간이 되셨으니

얼마나 마음이 아프시겠어요...""

했다는 ...ㅋㅋ

아프리카 얘기를 하다가 커피전문점엘

들어가서 커피를 시킵니다

""아프리카노 한잔이요""....ㅋ.ㅋ.ㅋ.
2",,,,2,[],https://twitter.com/wajangchang/status/1425784358133125120
올랑,@0llang_j0llang,2021-08-21T13:57:00.000Z,"올랑
@0llang_j0llang
·
8월 21일","@@탐라탐라, 드림주는 요리 잘 하나요? 그렇다면 가장 자신 있어하는 요리는 뭔가요??  

에르샤 : 꽝임... 손재주가 없지는 않는데 능력 조절을 못 해서 불을 잘 냄...
엘리야 : 자취경력 n년 자신있어하는 요리는 커피(?
뷔엘 : 로시 뒷바라지 nn년 자신있어하는 요리는 로시가 제일 좋아하는거
1
2",,1,,2,[],https://twitter.com/0llang_j0llang/status/1429080097743532034
대왕라면더|헌,@R45P83RRY__,2021-08-25T05:04:19.000Z,"대왕라면더|헌
@R45P83RRY__
·
8월 25일","커피한테 미엘이 전두엽 똑똑 하고 들어올 때가 이런 기분이었나 싶고
2",🌻,,,2,[],https://twitter.com/R45P83RRY__/status/1430395593340248075
yaeng 옝,@yaengyy,2021-08-02T00:13:18.000Z,"yaeng 옝
@yaengyy
·
8월 2일","진영아커피광고가자아ㅏㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

아진짜그피피엘너무웃겼음감독님ㅋㅋ큐ㅠㅠㅋㅋ",🎨 🍋,,,,[],https://twitter.com/yaengyy/status/1421987436071198726
농,@fatenonni,2021-08-13T10:26:11.000Z,"농
@fatenonni
·
8월 13일","맘 찍 워 주 세 요()
제가...지금 약 40연치에 호부 3장이 남아있는데
길가제랑 엘키두 시토나이 픽업 전까지 단차 함만 더.....하면...맘찍어주신 트친 한분한테.....
맛있는거 사드릴게요.....스타벅스...그 커피 못드심 다른거 드릴게요...살려줘
그리고 서번트 명함컷항때마다 추첨할게요......囧
6",,,,6,[],https://twitter.com/fatenonni/status/1426127940341813255
,@DlBl771,2021-08-12T18:50:32.000Z,"@DlBl771
·
8월 13일","엘월 서로를 관찰하는 게 습관이라 어느 날 새로운 사람들이랑 회의할 때 엘한테 쓴 커피 주는 거 보고 “엘은 단 걸 좋아해.” 하고 무의식 중에 말했다가 “...저를 그렇게나 보고 계실줄이야.” 하는 엘 때문에 겨우겨우 포커페이스 잡는 라이토랑 라이토가 지금 엄청 짜증나 있다는 걸 알고 있는 엘
1",,,,1,[],https://twitter.com/DlBl771/status/1425892474996674560
