UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Glasgow Night Photo,@GlasNightPhoto,2021-08-21T14:07:13.000Z,"Glasgow Night Photo
@GlasNightPhoto
·
8월 21일","3 shots of the colourful University Café on Byres Road taken in April 2017
14
123",,,14,123,"['https://pbs.twimg.com/media/E9UfCouX0AIZsNZ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9UfETwXoAIKXw3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UfFiRXIAQcspr?format=jpg&name=360x360']",https://twitter.com/GlasNightPhoto/status/1429082664804491267
Katie Mettner #GingerbreadFalls,@KatieMettner,2021-08-10T12:42:18.000Z,"Katie Mettner #GingerbreadFalls
@KatieMettner
·
8월 10일","April is #deaf & hides a painful past from the world. Can Crow teach her to trust him? http://myBook.to/Aprilmelody #KU #hairstylist #cafe #Music #Romancenovel #Romancebooks #Amreadingromance
6
4",,,6,4,['https://pbs.twimg.com/media/E8biLFbUcAMDsYe?format=jpg&name=small'],https://twitter.com/KatieMettner/status/1425075029776076801
wheredabawnpats,@bawnpat,2021-08-22T17:30:22.000Z,"wheredabawnpats
@bawnpat
·
8월 23일","Doggo café, Taiwan. April 16, 2020",,,,,['https://pbs.twimg.com/media/E9aXAf9XEAI61lL?format=jpg&name=small'],https://twitter.com/bawnpat/status/1429496180308914185
Nika | Ryusei is love,@nikattunnn,2021-08-20T10:58:21.000Z,"Nika | Ryusei is love
@nikattunnn
·
8월 20일","A baby who went to Kirby cafe~ 
This was from Ryuryu Jiteki April 2021 when he visited Kirby cafe :3 he really loves Kirby. He has a big Kirby plushie on his bed 
#YokohamaRyusei #横浜流星
2
8",☄ 🌠 ✨ 💜 ❤ 😄 ❤,,2,8,"['https://pbs.twimg.com/media/E9OqGYNUUAULHsW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9OqH5uVkAMf3dR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9OqH5tVIAcv7mZ?format=jpg&name=360x360']",https://twitter.com/nikattunnn/status/1428672750814523399
Gigs You Missed,@gigsyoumissed,2021-08-06T09:06:28.000Z,"Gigs You Missed
@gigsyoumissed
·
8월 6일","28 April 1995
Supergroove /w Presto
@ Underground Cafe
1",,,,1,['https://pbs.twimg.com/media/E8GKbe-VkAAdYsb?format=jpg&name=small'],https://twitter.com/gigsyoumissed/status/1423571164043964418
Koolie.tech,@koolietech,2021-08-20T04:29:47.000Z,"Koolie.tech
@koolietech
·
8월 20일","Maruti Suzuki backs postponement of CAFE II emission norms

There is growing opposition to the introduction of CAFE (Corporate Average Fuel Efficiency) emission II norms in India from April 2022. The latest salvo has come from RC Bhargava, chairman of Maruti Suzuki India, th…",,,,,['https://pbs.twimg.com/media/E9NRW_yX0AMEVp5?format=jpg&name=small'],https://twitter.com/koolietech/status/1428574963615903745
˚ ༘♡ hana ♡ stream sticker !! hello my sayang,@7wwwinncity,2021-08-20T06:40:13.000Z,"˚ ༘♡ hana ♡ stream sticker !! hello my sayang
@7wwwinncity
·
8월 20일","31st March : 7DREAM Cafe Revealed
11th April : Hot Sauce Teaser D-1

today, 20th August, they revealed Ncit. So what if we get Nct 127 Comeback Teaser on 31st August or 1st Sept??
2",😩 ❤ 😳 😳,,,2,[],https://twitter.com/7wwwinncity/status/1428607788549173253
LittleFlockBaptistChurch,@LittleFlock1810,2021-08-19T16:01:08.000Z,"LittleFlockBaptistChurch
@LittleFlock1810
·
8월 20일","Take a tour of Israel with your church family. This tour will take place on March 31-April 9, 2022. Join us for one of our informational meetings coming up soon:
August 22, 2021 - 4:30 pm in the Cafe
September 12, 2021 - 4:30 pm in the Cafe",,,,,['https://pbs.twimg.com/media/E9KmADOWEAIn1rB?format=jpg&name=small'],https://twitter.com/LittleFlock1810/status/1428386557413711873
MyRockShowsEn,@MyRockShowsEn,2021-08-17T15:55:46.000Z,"MyRockShowsEn
@MyRockShowsEn
·
8월 18일","Gig of Ringo Deathstarr in Twilight Cafe & Bar, Portland, OR, April 22, 2022, buy tickets at MyRockShows
https://myrockshows.com/event/569822-ringo-deathstarr-twilight-cafe-bar/…
MRS
Gig of Ringo Deathstarr in Twilight Cafe & Bar, Portland, OR, April 22, 2022, buy tickets at...
Ringo Deathstarr @ Twilight Cafe & Bar, Portland, OR April 22, 2022 – all the venue information, dates & tickets prices on MyRockShows.
myrockshows.com",,,,,[],https://twitter.com/MyRockShowsEn/status/1427660433100615681
Becca | 쟈니 STICKER,@trouvailleJsuh,2021-08-20T01:51:34.000Z,"Becca | 쟈니 STICKER
@trouvailleJsuh
·
8월 20일","March 31 nagchange layout Dream IG for Cafe 7Dream then April 11 sa Twitter for comeback teasers. So mga next week pa Twitter layout change ng 127.
1",💻,,,1,[],https://twitter.com/trouvailleJsuh/status/1428535147100467202
