UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
찜,@zzim_00,2021-08-10T05:35:10.000Z,"찜
@zzim_00
·
8월 10일","나도 석촌호수에서 찍은 오리궁둥이 공개
1
3
18",💙 💙,1,3,18,['https://pbs.twimg.com/media/E8aAbF1VUAEPbKe?format=jpg&name=medium'],https://twitter.com/zzim_00/status/1424967538409050115
먀뱌,@RGK__AKJ,2021-08-05T06:24:50.000Z,"먀뱌
@RGK__AKJ
·
8월 5일","울애기 오리궁둥이
1",,,,1,"['https://pbs.twimg.com/media/E8Ab1ylVIAMP3Mn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ab1x0VgAMjjda?format=jpg&name=360x360']",https://twitter.com/RGK__AKJ/status/1423168098375331849
bomnal _tak2,@TakTak61655357,2021-08-12T01:35:27.000Z,"bomnal _tak2
@TakTak61655357
·
8월 12일","귀여운 오리궁둥이

#영탁 #youngtak #영탁이불
#니가왜거기서나와 #찐이야
#오케이 #영탁작사작곡 #영탁ost #영탁펩시 #영탁핫트로트가이
#영탁춤신춤왕
GIF",😄,,,,['https://pbs.twimg.com/tweet_video_thumb/E8jcnpWUcA4YqzI.jpg'],https://twitter.com/TakTak61655357/status/1425631985989419013
나릠✧narium,@gogoremong,2021-08-10T03:31:45.000Z,"나릠✧narium
@gogoremong
·
8월 10일",오리 궁둥이,😷,,,,[],https://twitter.com/gogoremong/status/1424936481232101376
전문사기꾼,@fire_eye_lee,2021-08-06T04:14:59.000Z,"전문사기꾼
@fire_eye_lee
·
8월 6일","겸이 진짜 오리궁둥이구나
멤바들이 자꾸 부담스럽다고 하는 이유를 조금은 알아버렷음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ시바 불편한 진실..
6",,,,6,[],https://twitter.com/fire_eye_lee/status/1423497806988283904
연골어류,@SALOMFISH,2021-08-03T15:15:14.000Z,"연골어류
@SALOMFISH
·
8월 4일","앚ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
오타라고요
오타예요 오타라고요
오리궁둥이ㄹ르물어버리는상상
꽉슨
@GWACKSON_
 · 8월 4일
아니반말을막하시네..저벅저벅 twitter.com/SALOMFISH/stat…",,,,,['https://pbs.twimg.com/profile_images/1422388903382700032/njXOjWNY_mini.jpg'],https://twitter.com/SALOMFISH/status/1422576803672051717
제로,@real000kun,2021-08-10T11:37:02.000Z,"제로
@real000kun
·
8월 10일",쇼와 헤이세이 레이와의 모임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 치다 오리궁둥이 쫍쫍쫍,,,,,[],https://twitter.com/real000kun/status/1425058603812093955
와제,@bballepigeon,2021-08-09T13:37:49.000Z,"와제
@bballepigeon
·
8월 9일","무슨 노란 티셔츠 입었는데 오리궁둥이가 부각되게 나온 사진이 있었음.... 다시 찾고 싶은데 쉽지 않음
1",🤨,1,,,[],https://twitter.com/bballepigeon/status/1424726614269599744
곽오리ӫ,@Ori_9ame,2021-08-09T04:24:20.000Z,"곽오리ӫ
@Ori_9ame
·
8월 9일","오리궁둥이
1",,,,1,[],https://twitter.com/Ori_9ame/status/1424587323275038725
쩡공주,@jjung_loveya_,2021-08-23T07:19:39.000Z,"쩡공주
@jjung_loveya_
·
8월 23일","오리궁둥이..? ㅋㅋㅋㅋㅋ
#섹트 #야외노출 #야노
20
5
331",,20,5,331,"['https://pbs.twimg.com/media/E9dU_a4VgAMaBc0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9dU_3wVoAkR2lE?format=jpg&name=360x360']",https://twitter.com/jjung_loveya_/status/1429704874912927744
