UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"(슴부, 眉泉江",@micheangang,2021-08-02T05:19:31.000Z,"(슴부, 眉泉江
@micheangang
·
8월 2일","넓고 넓은 바닷가에 오막살이 집 한 채.
고기 잡는 아버지와 철 모르는 딸이라.
내 사랑아 내 사랑아 나의 사랑 크레멘타인.
늙은 아비 혼자 두고 영영 어디 갔느냐.
1
2",,,1,2,['https://pbs.twimg.com/media/E7wwGy2UYAIActc?format=jpg&name=small'],https://twitter.com/micheangang/status/1422064497909387265
요모,@feIixyomo,2021-08-10T15:20:38.000Z,"요모
@feIixyomo
·
8월 11일","용복이 최고의 사랑표현 : 비싼 고기 사줄게♡
298
382",,,298,382,"['https://pbs.twimg.com/media/E8cGbJOVEAIsinn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8cGbREVoAI8pRV?format=jpg&name=small']",https://twitter.com/feIixyomo/status/1425114874921635842
조자두 •_•,@tw_uram,2021-08-22T02:03:09.000Z,"조자두 •_•
@tw_uram
·
8월 22일","지난주 시사인 727호 읽는데 CRS와 ESG의 차이를 짚어주는 전혜원 기자의 커버스토리가 너무 좋다!! 그리고 언리미트 사장님 인터뷰도 무척 좋다. 왠지 ESG 기사랑도 이어지는 느낌. 고기 vs. 대체육의 이분법적인 접근을 지양하고 하나의 대안적인 선택지로 존재하고 싶다는 지향점이 넘나 이상적임.
18
32",,,18,32,"['https://pbs.twimg.com/media/E9XC9fyVUAILOhj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XC9f0UUAQVfTk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XC9fzVUAMsjl9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XC9h-UUAIw7af?format=jpg&name=360x360']",https://twitter.com/tw_uram/status/1429262835385651202
오지꼬지푸딩파이,@heaventomorrow,2021-08-23T15:43:43.000Z,"오지꼬지푸딩파이
@heaventomorrow
·
8월 24일","엄마 에피소드 웃긴거 몇개 있어요 미역국 끓이면 고기 건져서 다 나 주길래 아 이게 엄마의 사랑이구나 하고 오래 생각했는데 물에 젖은 고기를 진심 싫어하는 사람이란걸 알게 됐을 때
1
822
844",🌿,1,822,844,[],https://twitter.com/heaventomorrow/status/1429831727040516109
보바,@boba_init,2021-08-18T08:06:38.000Z,"보바
@boba_init
·
8월 18일","펜션알바생지군 사장님의 사랑을 듬뿍 받을 것 같다 남녀노소 좋아하는 마스크에 상큼미소까지 창작해서 게스트응대1등이라 사장님이 지군 좋아하는 간식 잔뜩 챙겨줄것같다 힘도 좋아서 손님들 무거운 짐 대신 들어주고 바베큐파티에서 목장갑 끼고 고기까지 잘 구워서 인기최고일 것 같다
4
8",,,4,8,['https://pbs.twimg.com/media/E9Dvz1-VcAEICGr?format=jpg&name=small'],https://twitter.com/boba_init/status/1427904760657547264
단,@eric_12S2,2021-08-18T10:40:24.000Z,"단
@eric_12S2
·
8월 18일"," 강남 스테이터  (신논현)

 서울 강남구 봉은사로4길 29 1층 

고기 굽기 조절 가능 .ᐟ 
기본사이드 3개 나오고 선택 1개 가능 .ᐟ 
난 나의 사랑 육회비빔밥으로 (୨୧ ❛ᴗ❛)✧ 
스테이크 치고 저렴한 가격에 푸짐하게 먹기 좋아요 우리 아기도 오늘 고기 머거

#손영재_콧구멍커지겠지
#ㄷㅂㅇㅈ
3
10",🌈,,3,10,"['https://pbs.twimg.com/media/E9ES-BNVgAUMCol?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ES_CfUYA0s4e0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ES_5iVUAAh_Im?format=jpg&name=360x360']",https://twitter.com/eric_12S2/status/1427943455704043520
민,@ghd8363,2021-08-02T08:43:17.000Z,"민
@ghd8363
·
8월 2일","테스타.. 왜 7명이지..
그럼.. ..
작중속 팬의 팬픽 안에서 한명은... 
모두의 사랑을 응원하며 고기를 굽는 ㄴㅍㅈㄴㅇ의 ㅅㄷ같은 역할을 해야하잖아..
1
108
104",🌟,1,108,104,[],https://twitter.com/ghd8363/status/1422115776903798786
,@alienlovehuman,2021-08-21T10:05:45.000Z,"@alienlovehuman
·
8월 21일","이와중에 상금으로 고기 사준다고..
비싼 고기가 뢰알 사랑의 징표엿군요
1
4",👽,,1,4,[],https://twitter.com/alienlovehuman/status/1429021900768825353
스포츠드링크의역할을다하고있는게토,@getoray0112,2021-08-30T15:47:37.000Z,"스포츠드링크의역할을다하고있는게토
@getoray0112
·
8월 31일","고기 100kg 들고 오는 제비
사장님의 환호와 사랑을 받을 수 잇음
1",,,1,,[],https://twitter.com/getoray0112/status/1432369426045628420
장장,@kkandorijoa,2021-08-01T11:31:31.000Z,"장장
@kkandorijoa
·
8월 1일","중간중간 갈매기고기 껴있어도 그것또한 사랑임 yh의 사랑방식임
1",,,1,,[],https://twitter.com/kkandorijoa/status/1421795726594506759
