UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Justice Korea 촛불혁명에 이어 한반도평화,@kzaanfever,2021-08-26T14:09:31.000Z,"Justice Korea 촛불혁명에 이어 한반도평화
@kzaanfever
·
Aug 26","홍준표가 바라보는 윤석열의 박근혜 수사

""윤석열은 보수우파를 궤멸시킨 주범이다. 윤석열이 서울중앙지검장 재직 시절 이끌었던 적폐청산 수사로 다섯 명이 스스로 목숨을 끊었다. (이 대목에서 그는 목이 멘 듯 했다)""
[단독] 홍준표 ""윤석열의 '조국 수사'는 여권 내부 권력투쟁..공정으로 포장""
홍준표 의원, 전화 인터뷰“윤석열과 조국, 1차로는 검찰 개혁 갈등”“본질은 여권 차기 권력 놓고 헤게모니 싸움”“윤석열, 보수 우파 궤멸시킨 주범”“尹, 검증없이 나갈 경우 100% 필패 후보” 국민의힘 대권주자인 홍준표 의원은 윤석열 전 검찰총장을 겨냥해 “조국 수사는 문재인정권 내부의 권력투쟁이었다”면서 “윤 전 총장이 이것(조국 수사)을 공정과 상식
news.v.daum.net
8
5",😷 🎗 🤝,,8,5,['https://pbs.twimg.com/card_img/1440087906471743491/Ox97MPuJ?format=jpg&name=small'],https://twitter.com/kzaanfever/status/1430895186687643652
Wonderful KOREA,@sbm94power,2021-08-15T09:07:12.000Z,"Wonderful KOREA
@sbm94power
·
Aug 15","히틀러에 의해 600만명이 희생된 유대인 학살과 폴포트가 저지른 캄보디아 킬링필드 200만명 학살과 이승만과 친일파들이 저지른 6.25 전쟁중 독립군 출신을 포함 200만 양민학살 사건은 세계3대 학살사건으로 규정한다. 청산되지 않은 친일파의 잔악한 범죄를 한국 국민과 세계인 앞에 고발한다.
4
257
237",,4,257,237,[],https://twitter.com/sbm94power/status/1426832836837855232
leonine77,@leoninebless,2021-08-02T10:27:24.000Z,"leonine77
@leoninebless
·
Aug 2","매국친일한새끼들이 만주에서 이땅에서 죄없이죽인 사람이 몇십만명이라니
당시 전국민 70%가 사회주의 지지한다했으니
무슨 이념을 알았겠어
대부분 토지분배 매국노청산을보니 좋아서 그런걸
빨갱이라 죽였으니
인간백정짓한 매국노들이 지금도 토착해서 날뛰고있으니
천막 들추자 유골밭.. 모습 드러낸 40m 학살구덩이
[심규상 대전충청 기자] ▲  주말에 비가 내렸지만, 다행히 유해 발굴지는 비 피해가 전혀 없었다. 비 피해에 대비해 유해발굴지 위에 천막과 비닐을 덮었다. ⓒ 심규상  2일 오전 7시. 일찌감치 골령골(대전 동구 낭월동)로 향했다. 유해발굴 현장을 둘러보기 위해서다. 발굴 현장 부근에 임시 사무실을 마련한 대전산내사건희생자유족회의 전
news.v.daum.net
4
4",,,4,4,['https://pbs.twimg.com/card_img/1440569607916449801/iUeDNn2q?format=jpg&name=small'],https://twitter.com/leoninebless/status/1422141980306513921
거머리떼 퇴치 연대,@HZSPTifiRegHQ5g,2021-08-01T06:26:54.000Z,"거머리떼 퇴치 연대
@HZSPTifiRegHQ5g
·
Jul 31","다른 것 보다는....

재명이가 시원하게 적폐를 처리하고, 적폐를 청산해 줄 것 같아서 재명이를 지지한다는데.....

적폐가 따로 있지 않아요. 바로 재명이가 적폐예요.
2
3",,,2,3,[],https://twitter.com/HZSPTifiRegHQ5g/status/1421719066377478149
한국역사&친일파봇 #역사바로세우기,@traitor_bot,2021-08-11T19:55:05.000Z,"한국역사&친일파봇 #역사바로세우기
@traitor_bot
·
Aug 11","프랑스의 과거사 청산은 엄격하고 단호했다. 샤를 드골 임시정부는 나치독일 부역자 200만명을 조사했다. 약 35만명이 재판에 회부, 10만명 이상이 유죄. 6763명 사형. 하지만 여론은 과거사 청산 작업이 미진하고 속도가 느리다고 비판했다.
12
11",,,12,11,[],https://twitter.com/traitor_bot/status/1425546330995249154
쟈스민,@withmoonpa,2021-08-22T05:55:23.000Z,"쟈스민
@withmoonpa
·
Aug 21","어느 찢빠가 재명이를 지지하는 이유로 
재명이가 적폐를 단번에 쓸어버릴 적임자
이기 때문이라 주장 이 말은 독재를 통해 
인위적으로 적폐를 청산하라는 것에 다름 
없는 것 즉 민주적 절차에 따른 제도개혁을 
통해 적폐청산은 이뤄져야 하는 것이란 
생각이 찢빠들에겐 존재하지 않음
1
38
45",,1,38,45,[],https://twitter.com/withmoonpa/status/1429321278863798274
고재성,@goboow,2021-08-28T04:31:55.000Z,"고재성
@goboow
·
Aug 27","[놀~부 교수의 뒤죽박죽 사회학]
광복76년, 친일청산 10, 

일제가 남겨놓은 보이지 않는 큰 똥덩어리 : 
잔혹성 / 오야붕꼬붕 맹종문화

* 새 칼이 잘드는지 무고한 사람을 베어 시험해보는 사무라이의 잔혹성
* 까라면 까라? 부당한 명령도 무조건 복종?

https://youtube.com/watch?v=GiOBLV416l8…

 재명 = 승만..??
[뒤죽박죽 사회학] 광복76년, 친일청산 10: 잔혹성/오야붕꼬붕 맹종문화
* 새 칼이 잘드는지 무고한 사람을 베어 시험해보는 사마라이의 잔혹성츠지기리시험삼아 베어보는 시참 (試斬: 타메시기리)지나가는 사람을 베어보는 츠지기리(辻斬り, つじぎり）능지처참형, 압슬형 등은 잔인했지만 사회유지를 위한 절제된 법의 집행일본군, 일본경찰 출신들을 통해 남겨진 일제...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1441720056975486983/0K2tKjE4?format=jpg&name=240x240'],https://twitter.com/goboow/status/1431474601838534656
과제하다 말라버린 슾,@SOUPossibly_,2021-08-29T11:44:07.000Z,"과제하다 말라버린 슾
@SOUPossibly_
·
Aug 29","Chapter. 02: 추락하는 검사 (3)

들어보세요
제가분명 펜드랄로키는 다정공지랄수로 묶으려고 햇거든요??
근데 생각해보니까 펜드랄요놈 청산해야할 업보가 산더미라
제 안의 도덕성이 도저히 용납할 수 없는,

-그래서 또 후회공이라고요?

.. 그렇게 됏습니다

https://posty.pe/rzw0uf #postype
Chapter. 02: 추락하는 검사 (3)
로키는 기둥 뒤로 빠르게 몸을 숨겼다. 멀지 않은 거리에서 그의 어머니가 분주하게 어디론가 향하고 있었다. 방향과 표정을 보니… 친아들이 추방당한 건에 대해 오딘과 이야기라도 하려는 모양새다. 로키는 프리가가 완전히 지나갈 때까지 잠자코 숨을 죽이고 있었다. 그의 어머니를 사랑하고 또 지독히 그리워한 건 맞지만, 별개로 그녀는 지금 시점에서 가장 대면하기...
god-of-mischief.postype.com
3",,,,3,['https://pbs.twimg.com/card_img/1438847014511460359/6Nhyb7r6?format=jpg&name=small'],https://twitter.com/SOUPossibly_/status/1431945757922193408
Kimsangin,@elenic1,2021-08-13T03:33:17.000Z,"Kimsangin
@elenic1
·
Aug 12","문제가 된 포인트 애매하게 48% 환불얘기 보이던데 이거로 부채청산 & 캐쉬플로우 정상화시켜 은근슬쩍 합병하고 회사명바꿔 복귀하려는건 아니겠지? 차라리 그렇게라도 되면 일단 가맹점주들에게 입금은 될텐데..
1",,,,1,[],https://twitter.com/elenic1/status/1426024029228474372
채루,@what_DIDIsay,2021-08-05T16:25:43.000Z,"채루
@what_DIDIsay
·
Aug 5",남주가 둘인데 한명은 학교와서 처음 만났ヱ... 다른 한명은 과거에 지독하게 얽혔으면 보통 후자가 마지막에 업보청산하ヱ 서브남됨,,,,,[],https://twitter.com/what_DIDIsay/status/1423319314090717189
