UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
미오,@rumious,2021-08-18T09:28:34.000Z,"미오
@rumious
·
8월 18일","인왕산 초소책방. 서촌 나올 때 운동화에 편한 옷 입고 나오면, 마을버스 9번 종점 수성동 계곡에서 15분 걸어 갈 수 있는 곳. 테이블도 넓고, 실내/실외석이 다양하고, 이런 뷰를 보며 책을 볼 수 있어서 실제로 평일 낮엔 공부하시는 분들도 많다. 가게들 없는 산길에 있다보니 뷰가 참 좋고.
2.1천
3.4천",,,2.1천,3.4천,"['https://pbs.twimg.com/media/E9ECiu_VEAEVcQ5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ECivDVEAE6MqQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ECiu-VkAAPgZq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ECivDVUAM5wfx?format=jpg&name=360x360']",https://twitter.com/rumious/status/1427925377167491077
쩝쩝대인,@kimsmith_m,2021-08-27T14:50:02.000Z,"쩝쩝대인
@kimsmith_m
·
8월 27일","진짜 휘황찬란하다
내가 막 천관사복에서 삼베옷입고 농사일 하는 창생1이야.
주변에 촌아낙이나 촌머슴밖에 없는데 꿈에서 이런 옷 이런장신구 쓴 사람들이 나타나서 나의 신도여...이러면 
아..내가 상상도 못 하는 디자인이다.. 신은 진짜 있구나....당연히 생각했을듯
381
379",,,381,379,['https://pbs.twimg.com/media/E9zic1xVUAY6kXT?format=jpg&name=small'],https://twitter.com/kimsmith_m/status/1431267768792326148
두시,@h_o_n0,2021-08-24T11:12:22.000Z,"두시
@h_o_n0
·
8월 24일","하여간 이놈의 촌구석에는 씨씨티비를 안 달어 아니 이 농촌에서 살인사건이 일어나면 80%가 다 논두렁인데 이거 다 여기도 다 달았어야지 이 ㅆ..
2
29
137",,2,29,137,"['https://pbs.twimg.com/media/E9jT26zVkAADJJg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jT26zVoAUEGMv?format=jpg&name=360x360']",https://twitter.com/h_o_n0/status/1430125828189265926
슈뢰딩거의 마법소녀,@MMM_900ml,2021-08-25T07:47:49.000Z,"슈뢰딩거의 마법소녀
@MMM_900ml
·
8월 25일","안녕하세요 BL러 여러분들
시골촌동네 백합마을 동네주민 으로서
부탁 드릴 게 있습니다
남캐를 뇨타 시켜서 GL로 먹든 말든
상관 안 하겠지만
백합, GL 이라고 쓰시면
안그래도 먹을게 없는 저희가 서치 하면서 피눈물이 납니다
뇨타라고만 적어주실 수 있으실까요?
안되겠지시발그래알겠습니다
1
3.4천
978",,1,3.4천,978,[],https://twitter.com/MMM_900ml/status/1430436740615970816
펭귄대왕@그게임,펭귄대왕@그게임,2021-08-30T07:51:19.000Z,"펭귄대왕@그게임
@icegeo
·
8월 30일","경기도에 많이 생기는 타운하우스촌 지나가다 보면 진입로 외에는 접근할 방법이 없던데, 이게 일반 아파트단지 담장처럼 차만 못 들어가는 정도가 아니라 대지를 높여놔서 빙 둘러 성벽(?)을 쌓아놓은 것처럼 되어있는 경우가 많더라.
좀비사태 터져도 입구만 틀어막으면 버틸 수 있을 듯
2
8
14",,2,8,14,['https://pbs.twimg.com/media/E-BebTQVQAIXG6O?format=png&name=small'],https://twitter.com/icegeo/status/1432249558449352709
구르카,@jnjfilm,2021-08-11T14:17:50.000Z,"구르카
@jnjfilm
·
8월 11일","국민들의 구렁이알 같은 건보료를 23억원이나 훔쳐먹은것보다 증거도 불분명한 그깟 촌구석에 있는 대학교 표창장 위조죄가 형량이 더 무거운건 개그 아닌가? 썩어빠진 사법부 갈아 엎어야 한다.
3
129
130",,3,129,130,[],https://twitter.com/jnjfilm/status/1425461460180758540
쩌구,@wazazazak,2021-08-14T17:16:54.000Z,"쩌구
@wazazazak
·
8월 15일","#병곤아_이거_곤나맛있어
젤라또 집인데 분위기 개작살… 그냥 가성비이태리여행을 가게됨
가격도 별로 안비싸서 걍 인당 2개씩먹어버림 비건젤라또도 있고 커피도 맥주도 다 있고 나는 복숭아랑 얼그레이랑 망고랑 백향과 먹었는데 진짜 빠짐없이 다 맛있었다.. 서촌 가면 꼭 다시가야지
15
18",🥲,,15,18,"['https://pbs.twimg.com/media/E8xHY_JVUAUKPwD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xHY_JVUAQpCi3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xHY_JVoAA_2dU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xHY_HVoAAWZDF?format=jpg&name=360x360']",https://twitter.com/wazazazak/status/1426593686289195008
츄종자,@Ikchuuza,2021-08-23T09:39:40.000Z,"츄종자
@Ikchuuza
·
8월 23일","#지우야_맛집은여기

[서촌/얼스어스] 지우한테 익숙할 얼스어스 지우가 만들었었던 요거트 케잌은 시즌 메뉴로 딸기 대신 복숭아로 바뀌었던데 이것도 진짜 맛있어 맨날 먹고싶어•• 가는 길에도, 얼스어스에서도 지우생일버스가 다녀서 괜히 좋았던거 있지
4
9",🌍 🍑 🚌 💨,,4,9,"['https://pbs.twimg.com/media/E9d1Cy3VEAQSHta?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9d1Cy5VIAQrpik?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9d1Cy5VkAQMzpQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9d1Cy7VUAU8Qrc?format=jpg&name=360x360']",https://twitter.com/Ikchuuza/status/1429740110648549379
이로아,@savior_roa,2021-08-10T05:31:29.000Z,"이로아
@savior_roa
·
8월 10일","할머니집 닭이 허얘 ㅋㅋㅋヲ𐨛𐌅𐌅𐨛큰아빠가 달걀 직접 낳은거 먹겠다고 집짓고 밥사고 닭사와서 매일 시내에서 촌으로 밥주러 오는거 귀찮다고 걍 사먹고 말걸 돈이 ㅋㅋ엄청들어가서 이러지도 저러지도 못하고 키움 참고로 지금은 어려서 알도 못 낳는다고 ㅋㅋㅋヲ𐨛𐌅𐌅𐨛
2
11",,2,,11,['https://pbs.twimg.com/media/E8Z_kbZVEAYuJSp?format=jpg&name=small'],https://twitter.com/savior_roa/status/1424966610360487941
앙리,@dhlovereal,2021-08-13T13:24:18.000Z,"앙리
@dhlovereal
·
8월 13일","임녁 돈 없어서
어디 촌구석 나이트클럽에서
아줌마아저씨들 앞에서 공연하고 있는거
유실장이 발견하는 거 보고십다 ..
슬쩍 봤는데도 이렇게 촌구석에서
공연하고 있을게 아님..
끼가 흘러넘침 얼굴도 잘생기고.. 
쟤는 뭐야? 물었더니 돈 없어서 여기 묶여있대..
1
32",,1,,32,"['https://pbs.twimg.com/media/E8rIkYEUYAQE-5S?format=jpg&name=small', 'https://pbs.twimg.com/media/E8rIkYDVoA4muo_?format=jpg&name=small']",https://twitter.com/dhlovereal/status/1426172764600246275
