UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BoANOSS 보아,@BoANOSS,2021-08-30T03:19:41.000Z,"BoANOSS 보아
@BoANOSS
·
Aug 29"," ON THIS DAY 
@BoAkwon
 Oricon blog by 
@N3GADOLA
 :

 30 August 2007 - Always been curious about this

Does this hurt?

[하늘 칠기] that means “to pierce the sky” in Korean

Whenever I go to the airport, I notice that there are lots of these near Odaiba. Always been curious.
1
18
22",🕊 💛 📇 ✨ 🗓,1,18,22,['https://pbs.twimg.com/media/E-AgPy8VkAMaS_G?format=jpg&name=small'],https://twitter.com/BoANOSS/status/1432181199238168576
욱♡ㅣ,@wishyouwereg_ay,2021-08-13T15:33:01.000Z,"욱♡ㅣ
@wishyouwereg_ay
·
Aug 13","인생주같은쥬큐사진털어보는시간가질게요
성영대 불꽃 연영 오십칠기 강동won 
심연 스크립터 ㅈㅊㅁ
1
45
62",,1,45,62,"['https://pbs.twimg.com/media/E8rmBwlVEAM5X0J?format=jpg&name=small', 'https://pbs.twimg.com/media/E8rmBwlUcAQQ3DU?format=jpg&name=small']",https://twitter.com/wishyouwereg_ay/status/1426205155267989511
NEK,@iluvmilqiss,2021-08-11T13:34:24.000Z,"NEK
@iluvmilqiss
·
Aug 11","q 화내면 냅다 춤출거같애
저장난칠기분아니에요 하면 바로 넵할거면서 꼭한번찔러봄
From 
클로바
3",,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1425433033373458432/pu/img/WcGFCIYHxIv2UJ67.jpg'],https://twitter.com/iluvmilqiss/status/1425450528222244867
칠..,@1o2x5,2021-08-24T14:53:13.000Z,"칠..
@1o2x5
·
Aug 24","하..ㅜ
지퍼를대체어디까지내린건지..
모르겟네요...
너무괴로워..
도저히풀영상은못보겟습니다..
풀영상뜨기전에
저는그냥칠기할게요.....
여러분행복하세요..
GIF
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/E9kGZlPXoAQvaA3.jpg'],https://twitter.com/1o2x5/status/1430181405414334466
재껴,@meavwo,2021-08-22T04:53:04.000Z,"재껴
@meavwo
·
Aug 21","존나 놀려놓고 형 삐칠기미보이니깐 바로 사랑한다고갈겨버리네 이게바로연하의참맛
재껴
@meavwo
 · Aug 21
""재로 시작해서 현으로 끝나""
26
43",,,26,43,"['https://pbs.twimg.com/profile_images/1437021131882438657/M2o9uxHn_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1429305328059895821/pu/img/SRjCa3SNVGC96s_M.jpg']",https://twitter.com/meavwo/status/1429305598143721475
이르,@Irr__oo,2021-08-11T08:27:02.000Z,"이르
@Irr__oo
·
Aug 11","ㅆㅂ 강제로 육기인이 되어버린 칠기인
빅사랑
@rabui_0408
 · Aug 11
시발 틸기인 리더 오늘 이 칠기인을 떠나려고 합니다 twitter.com/chfhdddl5/stat…
1
1
1",💗 ⬅,1,1,1,['https://pbs.twimg.com/profile_images/1441742062592815114/cO2lwjDX_mini.jpg'],https://twitter.com/Irr__oo/status/1425373177241210881
거래합니다 :),@chfhdddl5,2021-08-11T08:14:11.000Z,"거래합니다 :)
@chfhdddl5
·
Aug 11","시발 칠기인에서 육기인으로 퇴화하는 과정
빅사랑
@rabui_0408
 · Aug 11
시발 틸기인 리더 오늘 이 칠기인을 떠나려고 합니다 twitter.com/chfhdddl5/stat…
1
1",💗 ⬅,1,,1,['https://pbs.twimg.com/profile_images/1441742062592815114/cO2lwjDX_mini.jpg'],https://twitter.com/chfhdddl5/status/1425369943722188808
도트없는낚시꾼,@ff_neverfish,2021-08-28T04:31:12.000Z,"도트없는낚시꾼
@ff_neverfish
·
Aug 27","3층공략 보는중
지천칠기-좋아! 완벽하게 이해못했어! 우선 넘어가!
타옥절기-좋아! 완벽하게 이해못했어! 우선 넘어가!
전륜소2-좋아! 완벽하게 이해못했어! 

망했군
1
3",🎣,,1,3,[],https://twitter.com/ff_neverfish/status/1431474423739994117
도진,@Doj_in_mu,2021-08-25T15:15:15.000Z,"도진
@Doj_in_mu
·
Aug 25","미슽악보는왔는데 피아노칠기력은 없고 바이올린켜줄사람도 없고 듣고싶어서 만들었는데 기계음이지만 그래도 진짜너무좋다ㅠㅜㅜㅜㅜㅠㅠㅠㅠㅁ
0:51
28 views
1
1",,1,,1,[],https://twitter.com/Doj_in_mu/status/1430549339017908235
롱,@GRon_owo,2021-08-02T13:11:16.000Z,"롱
@GRon_owo
·
Aug 2","#비오는_날_우산이_없다면_자캐는
그칠때까지기다리다 그칠기미안보이면 편의점까지 뛰어갈듯 ㅋ
1",,1,,,[],https://twitter.com/GRon_owo/status/1422183215347892224
껌리 부끄러우.,@X_U_17G,2021-08-22T06:35:51.000Z,"껌리 부끄러우.
@X_U_17G
·
Aug 21","칠기를 인상하라(인상하라!)
십오만원
@MalangGoyangE
 · Aug 21
에에에에에에엥
저 오천원이에요?",,,,,['https://pbs.twimg.com/profile_images/1442457615359873024/HKwEAeXC_mini.png'],https://twitter.com/X_U_17G/status/1429331463657295880
,@plz1dollar,2021-08-22T23:32:49.000Z,"@plz1dollar
·
Aug 22","나 여태 3층 스킬이름 지전칠기인줄
지천절기였음
1
2",💸 😷,1,,2,[],https://twitter.com/plz1dollar/status/1429587393800118273
로그아웃/ 메인트확인해주세요 김□□,@bb_33578,2021-08-24T15:41:48.000Z,"로그아웃/ 메인트확인해주세요 김□□
@bb_33578
·
Aug 24","난진짜...ㄹㅇ..타자칠기력밖에없다
2",,,,2,[],https://twitter.com/bb_33578/status/1430193632812830722
진짜임,@Xcrlua,2021-08-28T14:59:38.000Z,"진짜임
@Xcrlua
·
Aug 28","전에는괜차노으ㅏㅆ는데 지금은 받아칠기력도없음 경세상이꼬와보이늗스
청기
@good_mnl
 · Aug 27
와친구한테방금들엇는데
t는 친구니까 믿어서 툭툭 내뱉는거고 
f는 친구인데 왜 그런 말을 해? 라는데 
진짜냐?
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1440563481938313220/ovwmhoNR_mini.jpg'],https://twitter.com/Xcrlua/status/1431632573730492418
