UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Saas (Sander as a Service),@Hertog6,2021-08-06T19:53:52.000Z,"Saas (Sander as a Service)
@Hertog6
·
8월 7일","Hello 
@AKGaudio
, would it be possible to order spare parts for vintage headphones? I'm currently trying to restore a K401 to its former glory 
1",👉 👈 🥺,1,,,[],https://twitter.com/Hertog6/status/1423734087911710722
ときわ路回送＠とっかい,@Tokiwaji_oos531,2021-08-01T06:46:04.000Z,"ときわ路回送＠とっかい
@Tokiwaji_oos531
·
8월 1일","#フォロワーで全編成揃えよう
じゃあE531系で、
S式ダメにしてみて様子見る
K401〜K426/K451〜K483/K551〜557
(↓これも割とS式なんかなぁ)
9
3
25",,9,3,25,['https://pbs.twimg.com/media/E7r6ElYVcAAp9IF?format=jpg&name=small'],https://twitter.com/Tokiwaji_oos531/status/1421723892096278529
ひゅうたん,@hyutan0319,2021-08-12T23:15:05.000Z,"ひゅうたん
@hyutan0319
·
8월 13일","1150M 上野東京ライン品川行
K401　#トプナン
7",,,,7,['https://pbs.twimg.com/media/E8oGLwcUYAAfO06?format=jpg&name=small'],https://twitter.com/hyutan0319/status/1425959052559802368
フレッシュマリオ@新型コロナ感染拡大で遠征一時停止中,フレッシュマリオ@新型コロナ感染拡大で遠征一時停止中,2021-08-28T04:37:31.000Z,"フレッシュマリオ@新型コロナ感染拡大で遠征一時停止中
@jamizono5126
·
8월 28일","323M:K401
725M:K459
325M:K403
1M:K13
8/26撮影
#E531系  #E657系  #常磐線  #常磐線運用  #水戸線  #水戸線運用
1
2",,1,,2,"['https://pbs.twimg.com/media/E92f0ejUYAYGlXd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92f1jRUYAYKs1L?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92f03VVQAIB5pL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92f2KrVUAQZvkp?format=jpg&name=360x360']",https://twitter.com/jamizono5126/status/1431476013825880065
病み愚痴bot,@qy6_uqcqk,2021-08-02T04:10:46.000Z,"病み愚痴bot
@qy6_uqcqk
·
8월 2일","さっきK401来たので二回目 は？
1",,,,1,['https://pbs.twimg.com/media/E7wgYoZVgAEGKzO?format=jpg&name=small'],https://twitter.com/qy6_uqcqk/status/1422047195897860097
わたたくと青いハチミツ,@aoi_hachimitsu,2021-08-05T01:36:09.000Z,"わたたくと青いハチミツ
@aoi_hachimitsu
·
8월 5일","2021-08-05 
常磐線 1159M 快速勝田行 
[カツK401+K472/サハE531-1]
品川(SGW/JT03) => 北千住(JJ05)
さりげトプナンに当たるという
#wttk_ride 
#乗りメモ
【乗車録アプリ】乗りメモ
鉄道などの乗車歴を記録し、Twitterに投稿します。データは蓄積されいつでも振り返ることができます。
norimemo.nir87.com",,,,,['https://pbs.twimg.com/card_img/1438896997340114946/52njoLFR?format=png&name=small'],https://twitter.com/aoi_hachimitsu/status/1423095449011953665
つちうら,@TcE531_4003,2021-08-20T21:24:15.000Z,"つちうら
@TcE531_4003
·
8월 21일",2322M K401+K457,,,,,[],https://twitter.com/TcE531_4003/status/1428830263111389184
わたたくと青いハチミツ,@aoi_hachimitsu,2021-08-05T05:53:28.000Z,"わたたくと青いハチミツ
@aoi_hachimitsu
·
8월 5일","2021-08-05 
常磐快速線 2396M 快速上野行 
[カツK401/モハE530-2001]
我孫子(JJ08) => 上野(UEN/JJ01)
緩行線でドア誤開扉があったようで遅れに巻き込まれないよう撤収
#wttk_ride 
#乗りメモ
【乗車録アプリ】乗りメモ
鉄道などの乗車歴を記録し、Twitterに投稿します。データは蓄積されいつでも振り返ることができます。
norimemo.nir87.com",,,,,['https://pbs.twimg.com/card_img/1438896997340114946/52njoLFR?format=png&name=small'],https://twitter.com/aoi_hachimitsu/status/1423160204129042432
つっちー,@tsuchy_nh131,2021-08-20T22:04:08.000Z,"つっちー
@tsuchy_nh131
·
8월 21일",快速|水戸 K457(モハE531-7)+K401 #tsuchy_train,🍓 🍓,,,,[],https://twitter.com/tsuchy_nh131/status/1428840298776457219
み く に も と,@NGMT0714,2021-08-15T05:04:00.000Z,"み く に も と
@NGMT0714
·
8월 15일","東京14:03→松戸14:26
東北本線•常磐線 特別快速/土浦
サハE530-2001(K401)
#NGMT0714_乗車記録",,,,,[],https://twitter.com/NGMT0714/status/1426771635097333763
まっかす,@9takigashira,2021-08-30T00:35:27.000Z,"まっかす
@9takigashira
·
8월 30일","1151M普通水戸行 品川→水戸
K463+K401 ｻﾛE531-1
#まっちゃなう
1",,,1,,[],https://twitter.com/9takigashira/status/1432139871632519169
ときわ路回送＠とっかい,@Tokiwaji_oos531,2021-08-04T03:57:20.000Z,"ときわ路回送＠とっかい
@Tokiwaji_oos531
·
8월 4일","凄いマイトップファン #mytopfans via http://dixapp.com/mytopfanstwa 自分の姿が見えますか？ @ST_metlife209 
@serisE531_K401
 @higanofunasobu
 @Chibano_Tom
 @sara_13000_dmp 
@furu_hara
 @higanofunasabu 
@1khvMmYdcIafX8k
 @takenowakka
 @AtYaciyEBllMSqM
変動がバカほど激しい。あと巻き込むな。
17
18",,17,,18,['https://pbs.twimg.com/media/E76wfp4UYAslauh?format=jpg&name=small'],https://twitter.com/Tokiwaji_oos531/status/1422768592953643008
