UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Limjane,@_lim_jane,2021-08-01T13:35:49.000Z,"Limjane
@_lim_jane
·
8월 1일","부림제지의 우유팩 재생 휴지 추천해요. 트위터서 보고 이걸로 바꿨는데 좋아요! 생각보다 부드럽고, 한 장이 도톰하고 흡수력 좋아 낭비도 심하지 않아 더 좋더라고요. 무형광/표백이고 먼지도 확실히 덜해요. 한 달 내돈내산 후 남기는 후기입니다 
3
2.1천
2.3천",☺,3,2.1천,2.3천,"['https://pbs.twimg.com/media/E7tYH8KVoAAE-UR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7tYH8LUUAQVMqA?format=jpg&name=360x360']",https://twitter.com/_lim_jane/status/1421827005432033294
핑크둘리,@Pink12141,2021-08-03T22:57:40.000Z,"핑크둘리
@Pink12141
·
8월 4일","김찬식님,

“경기도는 도청 뿐만 아니라 경기도 산하 기관에서도 막대한 세금을 들여 톱스타를 동원 해 광고비를 쓰고 있다.
 
즉 경기도민인 내가 낸 시금으로 이재명 후보가 선거운동을 하는 것이다.

이게 가당키나 한 행위냐?”

세상의 모든 돈이 다 자기꺼인냥 착각하는 욕심덩어리 이재명!
2
358
245",😡 🤬,2,358,245,"['https://pbs.twimg.com/media/E75r5uWVIAAXyNs?format=jpg&name=small', 'https://pbs.twimg.com/media/E75r5uXVUAMJzZr?format=jpg&name=360x360']",https://twitter.com/Pink12141/status/1422693178797264898
Luna,@lalapesto,2021-08-03T16:21:17.000Z,"Luna
@lalapesto
·
8월 4일","딱 보믄 알잖아 저게 돈 없어 월세로
시작한 집임? 연애때 변호사 개업에
승용차에 벽돌폰 들고 다니고 
저 집이 선풍기 못 샀을 집으로 보임?
반지도 돈 없어 못산게 아니라 현금으로
준단 소리였고 지가 말하면서도 앞뒤가
맞아야지 왤케 가난팔이를 해
동상이몽 에어컨 쇼나
7
183
127",🌕,7,183,127,"['https://pbs.twimg.com/media/E74RKe4VoAAnrPh?format=jpg&name=medium', 'https://pbs.twimg.com/media/E74RKe9VEAcZd1R?format=jpg&name=900x900']",https://twitter.com/lalapesto/status/1422593423979139076
수능끝나고무조건해동•재산⎝⍢⎠,@zzaaaaee__22,2021-08-05T10:54:36.000Z,"수능끝나고무조건해동•재산⎝⍢⎠
@zzaaaaee__22
·
8월 5일","어짜피 이 판은 아직 굿즈도 없는거,, 저 바디필로우 산민수 해버릴까,,, 돌판에만 있다가 갑자기 국대 파려니까 돈을 어떻게 써야할지 와리가리
1
6
14",🧊,1,6,14,['https://pbs.twimg.com/media/E8BZllfVkAc5CQd?format=jpg&name=small'],https://twitter.com/zzaaaaee__22/status/1423235988977905665
감귤,@GamPiczzang,2021-08-11T13:05:56.000Z,"감귤
@GamPiczzang
·
8월 11일","슼페에 과금 안 하겠다고 한 사람 누구지 
그치만~~
아니 근데 이벤카드는 선택항목에 없다...게임을 쭉 해도...이벤트를 안 해 돈주고 산대도...항목에 없어 이 똥겜...에리 내놔 니들이 이벤트만 똑바로 하고 넘어갔어도 이미 얻었을 에리 내놔.......
1
1",,,1,1,"['https://pbs.twimg.com/media/E8gxLJXUYAER3NF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8gxLo5UcAkU5W3?format=jpg&name=360x360']",https://twitter.com/GamPiczzang/status/1425443364602736650
ｓａｓｈａ,@divein___,2021-08-18T07:52:01.000Z,"ｓａｓｈａ
@divein___
·
8월 18일",".
                         선반이랑 커튼봉 주문햇고..
커튼?그 보자기같은거?
                             응 
그거 내가 버렸는데
어디서 주워온 줄 알고
어딜봐도 돈주고 산 것처럼
안보이던데
                           미안하면미안하다고해
                           말할수록짜증나니까
11
30",,,11,30,"['https://pbs.twimg.com/media/E9DsdJIVcAcDlYF?format=jpg&name=small', 'https://pbs.twimg.com/media/E9DsdJHVgAMvJMk?format=jpg&name=360x360']",https://twitter.com/divein___/status/1427901082525569026
(잠깐! 샘! 자기소개 확인하고 와주세요!)D4DJ반도리프세카거래계(쿠루미라고 불러주세요),,2021-08-16T13:38:11.000Z,"(잠깐! 샘! 자기소개 확인하고 와주세요!)D4DJ반도리프세카거래계(쿠루미라고 불러주세요)
·
8월 16일","뱅드림 반도리 계정 나눔 판매 교환
쿨젤 올한정+110리사 클스사요 조합+4만돌 계 문상으로 5.0이상 제시가에 팝니다 6이상 산건데 돈이 너무 급전이라 문상 5.0이상 쿨거해요 ㅠ  멘션이나 디엠으로 문의주세요 ㅠㅠ 진행도는 100곡 이하했고 스토리 미열람 입니다ㅠ 멘션이나 디엠으로 문의주세요.
4
6",,4,6,,"['https://pbs.twimg.com/media/E86ogirVcAUFXYg?format=jpg&name=small', 'https://pbs.twimg.com/media/E86ohB8VEAItgIk?format=jpg&name=small']",https://twitter.com/xQsNMbRRzcgbDfR/status/1427263419959287812
브람스,@Brahms_6666,2021-08-26T10:04:59.000Z,"브람스
@Brahms_6666
·
8월 26일",슈퍼주니어 1집 앨범 팔아요!! 지금은 구할 수 없고 예전 제품 치고는 상태 정말 좋아요!! 인증 가능하고 단 돈 3.0 제가 산 가격보다 낮추어 판매해요~ 슈주 늦덕 앨프 분들 문의 주세요!!,,,,,['https://pbs.twimg.com/media/E9tXm55VEAMPU5S?format=jpg&name=small'],https://twitter.com/Brahms_6666/status/1430833646122921987
Skoll,@noxwhale,2021-08-27T00:06:55.000Z,"Skoll
@noxwhale
·
8월 27일","당분간 허리띠 졸라매구 살겠습니다ㅜㅜ... 그래두 예전이었음 간식(음료수, 아이스크림, 과자)사먹을 돈으로 산거니 괜찮지않을까...합리화 엄첨 해대구 있음.
1",,,,1,['https://pbs.twimg.com/media/E9wYUhEVgAEyH-R?format=jpg&name=small'],https://twitter.com/noxwhale/status/1431045524631613441
404,@siosi_404,2021-08-10T19:11:23.000Z,"404
@siosi_404
·
8월 11일","돈쓸일또생겨서 굿즈팔기(,,)

하층 환상체 아크릴 원가에 양도합니다
전부 보호필름 붙어있고 다수구매 우대해요

마탄의 사수
웃는 시체의 산(1, 2/3)
검열삭제
파고드는 천국
종말새

비나 보틀도 원가에 양도합니다
@LobotomyHongbo
 3
3
2",,3,3,2,['https://pbs.twimg.com/media/E8c7PdbVoAI_L6c?format=jpg&name=small'],https://twitter.com/siosi_404/status/1425172946738245635
나리링,@Naryring_ToT,2021-08-30T09:04:45.000Z,"나리링
@Naryring_ToT
·
8월 30일","게임에 돈을 한 푼도 쥐여줘 본 적이 없는 사람인데요
구글 깊카 산 다음 어떻게 해요
1",,,1,,[],https://twitter.com/Naryring_ToT/status/1432268041283248128
랑하는NY별 (B.star아니고 저 별은 NㅏYㅢ별),@I_the_love_live,2021-08-26T04:40:37.000Z,"랑하는NY별 (B.star아니고 저 별은 NㅏYㅢ별)
@I_the_love_live
·
8월 26일","리..내돈내산 의원 
내돈내산은 좀 저렴해 보이나
내돈내~~~~님도 아니고 ㅋㅋㅋㅋㅋㅋㅋㅋ",,,,,[],https://twitter.com/I_the_love_live/status/1430752017253765123
레스타,@YA143235,2021-08-05T08:51:36.000Z,"레스타
@YA143235
·
8월 5일"," 최애에게 만 원만 빌려달라고 했을 때
──────────────────
산크레드: 누구세요?
https://gaeyou.com/t/?259980

아 ㅠㅜ  너무해 줄 돈도 없냐고 젠장
2",🌱 🐤,,,2,[],https://twitter.com/YA143235/status/1423205032980226054
