UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"마레, 코스모스 뒤 Not found Save!",@Kitatsu_Save,2021-08-15T13:26:27.000Z,"마레, 코스모스 뒤 Not found Save!
@Kitatsu_Save
·
8월 15일","여우밤?
여우밤?
여우밤?
3",,,,3,[],https://twitter.com/Kitatsu_Save/status/1426898080629100546
이류 (),@ilu_03190303,2021-08-15T13:27:17.000Z,"이류 ()
@ilu_03190303
·
8월 15일","모인다 여우밤 가좍분들!!!!!!!!!!!!
2",💕,,,2,[],https://twitter.com/ilu_03190303/status/1426898289576726530
이류 (),@ilu_03190303,2021-08-15T13:26:07.000Z,"이류 ()
@ilu_03190303
·
8월 15일","탐라 여우밤 가좍분들은 빨리 뉴짤 주세요
2",💕,,,2,[],https://twitter.com/ilu_03190303/status/1426897996411666436
제인이 내 앤캐...신화영 공식 팬계정 탠져린 로드갱/로드겡,,2021-08-15T05:32:13.000Z,"제인이 내 앤캐...신화영 공식 팬계정 탠져린 로드갱/로드겡
·
8월 15일","내 여름은 여우밤이야...
1",🍊,,,1,[],https://twitter.com/ropiz_P/status/1426778736368570369
이류 (),@ilu_03190303,2021-08-15T13:26:38.000Z,"이류 ()
@ilu_03190303
·
8월 15일","여우밤 벌써 1년이나.... 됐네요..... 진짜 말도 안돼
3",💕,,,3,[],https://twitter.com/ilu_03190303/status/1426898124908294146
한모нαɴмo,@onewhitedubu,2021-08-05T17:06:58.000Z,"한모нαɴмo
@onewhitedubu
·
8월 6일","나다나다 하아아악ㅠㅠㅠ오즈야ㅠㅠ 진짜 노래취향 너무 비슷해서 더 확 친해진 기분이야!!! 좋아해줘서 너무 고맙고 감사하다(눈물훔치기,,) 글고 댕댕이 진짜 짱 귀여워ㅠㅠ...뽀둥하니ㅠㅠ 나도 흑백처돌이야 언젠간 햄찌나 여우밤이로 털어줄게에!!!
ᴮᴬᴰ ᴸᴼⱽᴱOZ뼈
@O1122223
 · 8월 6일
25. 반모보다 인스타 맞팔을 먼저 한 언니..!! 언니도 벽반 많이 달렸지! 요즘 다들 교수님이라고 하시던데 저도 조만간 수강하겠습니다.. 노래취향 진짜 완전 비슷하고 뭔가 길게 써줘서 사소한것도 감동받게하는 언니
이 스레드 보기
1
1",🥲 🖤 🤍 🔥 💖 🤍,1,,1,['https://pbs.twimg.com/profile_images/1441819945524862986/RYLKe4Ak_mini.jpg'],https://twitter.com/onewhitedubu/status/1423329696159191040
agi,@3agizz,2021-08-18T13:19:08.000Z,"agi
@3agizz
·
8월 18일","낮에는따사로운인간적인여우..
커피한잔의여유를아는품격있는여우..
밤이오면심장이뜨거워지는펭귄..
그런반전있는펭귄…………
7",,,,7,"['https://pbs.twimg.com/media/E9E3P65VoAsuCgQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9E3P67UUAoWNs_?format=jpg&name=360x360']",https://twitter.com/3agizz/status/1427983403383545858
리타,@sksgudtkfkdgo,2021-08-22T17:29:04.000Z,"리타
@sksgudtkfkdgo
·
8월 23일","가끔씩 이렇게 제가 고민했던 부분 공감해 주시는 분들 애스크가 오면 되게 뿌듯한 것 같아요
저도 설정할 때 Hㅏ 아무래도 엱쥬니가 여우를 하는 게 맞나? 생각하긴 했거든요
그런데 여우 밤그도 잘 어울린다고 생각해서(내밀메) 밀고 나갔는데 좋다고 생각해 주신 분이 계셔서 기분 좋았어요",🥰 ❤ ❤,,,,['https://pbs.twimg.com/media/E9aW5eXUYAMZHFl?format=jpg&name=small'],https://twitter.com/sksgudtkfkdgo/status/1429495852704296963
492,@cjswnsgurr,2021-08-18T13:15:45.000Z,"492
@cjswnsgurr
·
8월 18일","어떤 심경의 변화가 있었길래 낮엔 아기여우 밤엔 아기펭귄이 하고 싶으셨는지 저 진짜 궁금합니다
1
21",,,1,21,[],https://twitter.com/cjswnsgurr/status/1427982553097543683
양냐우,@ff_yox543,2021-08-29T14:09:58.000Z,"양냐우
@ff_yox543
·
8월 29일",여우...밤에 갑자기 마하 스파이께 낼름낼름 당한 편....,🦊,,,,[],https://twitter.com/ff_yox543/status/1431982460225474563
