UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
스윗콘,@corn_so_sweet,2021-08-01T05:08:09.000Z,"스윗콘
@corn_so_sweet
·
8월 1일","이거 브금이 언행일치인 게 쌉웃겨
0:08
20.4만 조회수
ᴍᴏᴠɴ
 님의
618
853",,,618,853,[],https://twitter.com/corn_so_sweet/status/1421699249830387714
용마,@biu_ty_ful,2021-08-03T15:12:16.000Z,"용마
@biu_ty_ful
·
8월 4일","언행일치
𝟗 ♡̆̈
@lavendergray123
 · 8월 4일
9
10",😮,,9,10,"['https://pbs.twimg.com/media/E74BYZOUYAIUtMX?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1437026303782256645/EutEKfJm_mini.jpg', 'https://pbs.twimg.com/media/E73_WkiVcAMM1QB?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E73_cjBVUAMFb8h?format=jpg&name=120x120']",https://twitter.com/biu_ty_ful/status/1422576054355464192
짱돌(Vinson),@Vinson61397083,2021-08-03T02:16:00.000Z,"짱돌(Vinson)
@Vinson61397083
·
8월 3일","한거 많은 이재명 
한거 없는 이낙연
언행일치 이재명
언행불일치 이낙연
믿음가는 이재명
의심가는 이낙연
억강부약 이재명
억약부강 이낙연
#이재명은_합니다 
#이낙연은_안합니다
#이재명은_당선
#이낙연은_낙선
3
42
39",,3,42,39,['https://pbs.twimg.com/media/E71OR2tVoAIwT1r?format=jpg&name=small'],https://twitter.com/Vinson61397083/status/1422380701031174145
좌파루파,@rubyruby1230,2021-08-03T02:40:54.000Z,"좌파루파
@rubyruby1230
·
8월 3일","인장언행일치
타모
@taamo__
 · 8월 2일
빡치게굴지마
이 스레드 보기
2",,,,2,"['https://pbs.twimg.com/profile_images/1343136670263070720/w7eAy3BE_mini.jpg', 'https://pbs.twimg.com/media/E7w3iwVUUAMcMTI?format=jpg&name=medium']",https://twitter.com/rubyruby1230/status/1422386968084631556
LAHONG,@LA_HONG_,2021-08-03T13:04:58.000Z,"LAHONG
@LA_HONG_
·
8월 3일","이 달의 언행일치장인
냠냥
@siasid_siasid
 · 8월 3일
탐라에 보고싶다고적으며 몸으로는 연성하는... 자급자족연성러가된거야....
1",🍒 🍒 😷 🐺 🐻 🐆 🐗 💎 🐘,,1,,['https://pbs.twimg.com/profile_images/1336255241944137730/3mlou8tM_mini.jpg'],https://twitter.com/LA_HONG_/status/1422544021251969032
쩨쩨,@cscherry808,2021-08-01T16:14:39.000Z,"쩨쩨
@cscherry808
·
8월 2일","힙합팀
언행일치 로또 MMO 등등 안해주면
완전 삐질거임
1
4",,1,,4,[],https://twitter.com/cscherry808/status/1421866980110258177
What_happen,@Whathappen888,2021-08-02T09:39:56.000Z,"What_happen
@Whathappen888
·
8월 2일","1  #이재명은합니다 
#대한민국 에 이재명이 있어서고맙다
#DMZ #LH #기본소득 #기본주택 #basic_incom #언행일치 
#불법사채업 #공공버스 #기본정책 #배달특급 #수술실CCTV #어린이집CCTV 
#일본 #후쿠시마 #오염수방류 #독도 적극대응  #이재명 #李在明 #イジェミョン  #Lee_jaemyung  #민주당
6
8",👑,,6,8,['https://pbs.twimg.com/media/E7xrusIVEAA-w47?format=jpg&name=900x900'],https://twitter.com/Whathappen888/status/1422130034781745152
납복,@seonabbok,2021-08-02T23:13:28.000Z,"납복
@seonabbok
·
8월 3일","짱컬팀의언행일치
히포치의포옹",,,,,[],https://twitter.com/seonabbok/status/1422334764560773123
원,@shothegun,2021-08-03T12:50:12.000Z,"원
@shothegun
·
8월 3일","언행일치 지린다
OMEGA X
@OmegaX_members
 · 8월 3일
[#OX]

귀여운 멤버 보이면 우선 찍어본 편

#OMEGA_X #오메가엑스 
#혁 #세빈 #휘찬 #재한
#예찬 #KEVIN",,,,,"['https://pbs.twimg.com/profile_images/1430546528200839172/4-RCX7ka_mini.jpg', 'https://pbs.twimg.com/media/E73go2jVUAcA90b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73go2iVkAkqhhZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73go2lVUAQAAht?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73go2mVIAAPTBk?format=jpg&name=360x360']",https://twitter.com/shothegun/status/1422540302594699268
밤이,@racoups,2021-08-01T16:12:47.000Z,"밤이
@racoups
·
8월 2일","언행일치랑 로또 해주면 안될까요
너무 욕심인가요ㅠ
2
1",💭 🥺,2,,1,[],https://twitter.com/racoups/status/1421866511359115267
노잼 잉여,@laziali8,2021-08-03T03:53:42.000Z,"노잼 잉여
@laziali8
·
8월 3일",윤석열의 언행일치.jpg 부정식품 체험하는 듯한 표정 ㄹㅇ,,,,,"['https://pbs.twimg.com/media/E71mEZOUYAE1whO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E71mEmPUUAIF4xL?format=jpg&name=360x360']",https://twitter.com/laziali8/status/1422405289412755461
김 신,@KimSinQuote,2021-08-03T07:38:26.000Z,"김 신
@KimSinQuote
·
8월 3일","아니, 언행일치를 좀 해주면 안 될까?",,,,,[],https://twitter.com/KimSinQuote/status/1422461844065685507
นอ,@neongings,2021-08-03T16:52:16.000Z,"นอ
@neongings
·
8월 4일",เพลงแบบ 언행일치 กับ 숙여 จะมาอีกมั้ย,🥲,,,,[],https://twitter.com/neongings/status/1422601220003274754
권태훈,@572jasmin,2021-08-02T10:14:50.000Z,"권태훈
@572jasmin
·
8월 2일",부정식품?~언행일치~먼저 솔선수범 한달 정도 먹어보고,,,,,[],https://twitter.com/572jasmin/status/1422138817591398402
미묘,@miyao_svt,2021-08-01T03:47:03.000Z,"미묘
@miyao_svt
·
8월 1일",나 오랜만에 보컬팀 언행일치 땡긴다,,,,,[],https://twitter.com/miyao_svt/status/1421678839227240448
뱝때,@M9_isgood,2021-08-01T07:39:03.000Z,"뱝때
@M9_isgood
·
8월 1일",나또언행일치뽕..,,,,,[],https://twitter.com/M9_isgood/status/1421737224652079108
밍,@__05261004,2021-08-02T17:56:13.000Z,"밍
@__05261004
·
8월 3일","이 새벽에 언행일치 소리내기
1
3",,1,,3,[],https://twitter.com/__05261004/status/1422254928261632007
𓂃,@haniscence,2021-08-01T18:56:49.000Z,"𓂃
@haniscence
·
8월 2일","바삐 움직여 Like Monday 즐기고 즐겨 Like Sunday
Make my work a masterpiece yo (masterpiecé)
Just as I say
바삐 움직여 Like Monday 즐기고 즐겨 Like Sunday
Make my work a masterpiece yo
우리 언행일치 일치
1",,,,1,[],https://twitter.com/haniscence/status/1421907789421682692
슈카,@Mari_PitAPat,2021-08-02T16:10:41.000Z,"슈카
@Mari_PitAPat
·
8월 3일","컴션러프안뜨면 빡빢ㄹ이라고햇엇는데..... 의도치안은 언행일치
내일은기필코
1",,,,1,[],https://twitter.com/Mari_PitAPat/status/1422228370461323264
