UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
현재쨈,@tbzzzam,2021-08-13T01:13:54.000Z,"현재쨈
@tbzzzam
·
Aug 12","송도즈 민트초코로 싸우는 상황극
1:22
16.3K views
882
555",,,882,555,['https://pbs.twimg.com/ext_tw_video_thumb/1425988892449116166/pu/img/WONqfrg0MLui51gE.jpg'],https://twitter.com/tbzzzam/status/1425988953807605768
구름,@MYSKYYH,2021-08-13T01:53:44.000Z,"구름
@MYSKYYH
·
Aug 12","민트초코로 싸우는 김초딩과 이초딩  ㅋㅋㅋ
1
454
246",😳,1,454,246,['https://pbs.twimg.com/ext_tw_video_thumb/1425998829426335747/pu/img/u3V-uMRiCDjyGFgm.jpg'],https://twitter.com/MYSKYYH/status/1425998978173210625
ᴺᴬᴺᴬ,@NANA_rabbit2S,2021-08-01T14:46:29.000Z,"ᴺᴬᴺᴬ
@NANA_rabbit2S
·
Aug 1","요즘 수강중인 라탄가구반에서 만든 의자!
하나 온전히 만들고 나니 뿌듯해(❁´◡`❁) 
색깔도 원하는 걸로 지정해서 만들어서
딸기초코로! 

#밀리그라피
6
2
80",🍓 🍫,6,2,80,['https://pbs.twimg.com/media/E7toSvwVEAg4nub?format=jpg&name=900x900'],https://twitter.com/NANA_rabbit2S/status/1421844791239725061
동결 람차,@ramcha_whatda,2021-08-21T10:30:37.000Z,"동결 람차
@ramcha_whatda
·
Aug 21","저주하는게 아님
사랑을 담아 글씨쓴거임
다이제+얼초 초코로 글씨썻어요:3
1
4",,1,,4,['https://pbs.twimg.com/media/E9TtiNLVcAo_lq9?format=jpg&name=small'],https://twitter.com/ramcha_whatda/status/1429028156581703686
얌체,@yam_yam_GUD,2021-08-03T08:41:58.000Z,"얌체
@yam_yam_GUD
·
Aug 3","모양은 이상해도 남들한테 추천할 만큼 맛났던거

1. 캬라멜 마들렌
캬라멜 만들기가 뭐같지만 진자 맛있음

2. 깨쿠키
진짜 대박임. 모양은 저래도 깨 싫어하는 친구도 잘 먹었던 것🖒 (참깨, 검은깨 다 됨)

3. 비스코티
가볍게 하나두개 집어먹다보면 사라짐. 초코로 해도 맛남!
2
6",,,2,6,"['https://pbs.twimg.com/media/E72oCGCVgAUxHcJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E72oCwaVcAIbrmO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E72oDUtUcAQQIFe?format=jpg&name=360x360']",https://twitter.com/yam_yam_GUD/status/1422477835420147713
래연,@Raeyeon___,2021-08-02T07:34:02.000Z,"래연
@Raeyeon___
·
Aug 2","둘 다 마실까 하다가 그냥 동생 하나 주려고 초코로 샀어
1
11",💜 💜,1,,11,['https://pbs.twimg.com/media/E7xO6AaVEAMXwhq?format=jpg&name=small'],https://twitter.com/Raeyeon___/status/1422098347884564482
두유,@_For_D,2021-08-16T11:02:25.000Z,"두유
@_For_D
·
Aug 16","뭐 살까
크래커는 사면 초코로 사야 대
1
3",🌻,1,,3,"['https://pbs.twimg.com/media/E86E3Q9VoAAQ0Zp?format=jpg&name=small', 'https://pbs.twimg.com/media/E86E3e1VEAIlinc?format=jpg&name=small']",https://twitter.com/_For_D/status/1427224222690996228
헤른,@escape_sepo,2021-08-28T05:03:56.000Z,"헤른
@escape_sepo
·
Aug 27","바닐라 아이스크림은 없고 초코로돌아왓다
4",,,,4,['https://pbs.twimg.com/media/E92l1EwVkAUblQk?format=png&name=small'],https://twitter.com/escape_sepo/status/1431482660921114631
토리,@723tori,2021-08-15T10:16:38.000Z,"토리
@723tori
·
Aug 15",": 그냥 초코로 다 퍼와
: 초코를 다 퍼오라고요 ...?
1
2",🐱 🐰,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1426850273226412032/pu/img/Ny9ODJQnfzlZAtbV.jpg'],https://twitter.com/723tori/status/1426850312237711367
졍이,@JEONG_E_CPR,2021-08-22T06:32:02.000Z,"졍이
@JEONG_E_CPR
·
Aug 21","5어클락 최석원 생일카페
카페내부 정말 예뻤어요 생일이벤트 초코로 초코라떼랑 탄이 마카롱 먹었는데 둘다 맛있고 특히 마카롱 너무 귀여워요ㅜㅜ SOFTAN님 이쁜사진들 너무 진짜 잘보고 가요
#최미남_천국에서_인간세상_내려온_날 
#썸머보이_석원아_생일_축하해
1
10
26",💖 🌟 🧡 💛 🧡 💛,1,10,26,"['https://pbs.twimg.com/media/E9YAdGZUYAE9BJv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9YAfrPVoAMjFfB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9YAehpUUAEO612?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9YAgj-UcAQQsqo?format=jpg&name=360x360']",https://twitter.com/JEONG_E_CPR/status/1429330505594400770
