UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
윈터,@wintershobby,2021-08-01T07:25:38.000Z,"윈터
@wintershobby
·
8월 1일","#트인덕장터 
언타이틀드일레븐 피넛버터님 반바지 트레이닝복 17세용 미개봉
각 3만원 (운비별도)
1
4
1",❄ ☃,1,4,1,['https://pbs.twimg.com/media/E7sDYvkVcAA3NoX?format=jpg&name=small'],https://twitter.com/wintershobby/status/1421733846320435200
반동결 둔두,@nun_nu_sisi,2021-08-01T01:37:26.000Z,"반동결 둔두
@nun_nu_sisi
·
8월 1일","#트인덕장터

* 언타이틀드
- Corduroy Pants 아이보리 운미 30,000
- Check Jacket 화이트 운미 50,000
( + 택배비 3,000 )

디엠주세요!
4
3",🍁,,4,3,['https://pbs.twimg.com/media/E7qzsV4VoAIdGDj?format=jpg&name=small'],https://twitter.com/nun_nu_sisi/status/1421646221249187846
가돌리늄,@Gadolinium_8,2021-08-01T14:48:26.000Z,"가돌리늄
@Gadolinium_8
·
8월 1일","내가 그린 짭마원ㅋㅋ … 군대가기 전전날에 언타이틀 카페 개장행사에서 주고 싶었는데 그 날 사람 생각보다 너무 많아서 실패하고 그냥 집에잇음
1
19",,1,,19,['https://pbs.twimg.com/media/E7tovdjVkAsSp2y?format=jpg&name=small'],https://twitter.com/Gadolinium_8/status/1421845280366874630
Daljin.com,@ArtGuide_kr,2021-08-03T05:39:32.000Z,"Daljin.com
@ArtGuide_kr
·
8월 3일","《캐스퍼 강 : 속 속 속 속 세 세 세 세》, 디 언타이틀드 보이드
http://daljin.com/column/19086
작가는 한국계 캐나다인 2세라는 소개 타이틀 속에서 자신의 존재 의미를 계속 탐구해왔다. 그가 자기 생각을 드러내는 작업을 시작했을 무렵, 한국 문화에 대한 애정 어린 관심은 작품으로 표출되었다.
5
5",,,5,5,"['https://pbs.twimg.com/media/E71-SpRUcAEFend?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E71-SpEVkAcBWJE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E71-SpFVIAAL_zv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E71-SpEVEAAYrfG?format=jpg&name=360x360']",https://twitter.com/ArtGuide_kr/status/1422431923838754817
something4u,@something4u3,2021-08-02T09:57:03.000Z,"something4u
@something4u3
·
8월 2일",발렌티노 21FW ROCKSTUD 언타이틀 칼프레더 스니커즈 WT https://something4u.kr/goods/goods_view.php?goodsNo=1000002473…,,,,,['https://pbs.twimg.com/media/E7xvpGNUcAgpZbp?format=jpg&name=small'],https://twitter.com/something4u3/status/1422134340943683585
Seo Rock,@Haejackdream,2021-08-03T01:37:55.000Z,"Seo Rock
@Haejackdream
·
8월 3일","[추천]  발렌티노 락스터드 언타이틀 RY2S0931LTU PRF 남자 스니커즈 할인!!
[추천] 발렌티노 락스터드 언타이틀 RY2S0931LTU PRF 남자 스니커즈 할인!! - 자비스맨
오늘 추천해 드리는 제품은, 발렌티노 중에서 발렌티노 락스터드 언타이틀 RY2S0931LTU PRF 남자 스니커즈 입니다.~~~ 제 블로그는 가성비와 리뷰가 좋은 상품들 중, 최저가 구매가 가능한 상품들만 찾아 추천해드립니다. 즐겨찾기 해놓으시고 자주 찾아 오시면 좋은 상품들 싸게 구매할 수 있어요.^^* 에어팟프로 주변소음 없애주는 노이즈캔슬링 마법...
javisman.com",,,,,[],https://twitter.com/Haejackdream/status/1422371118279630849
NB,@K_envy02,2021-08-02T10:43:23.000Z,"NB
@K_envy02
·
8월 2일",언노운 마더구스 들으면서 언타이틀드 구스 게임 하기(관련없음),,,,,[],https://twitter.com/K_envy02/status/1422146002148945921
토마스 찾는 쿠로,@MS_STEVENS0N,2021-08-01T03:30:03.000Z,"토마스 찾는 쿠로
@MS_STEVENS0N
·
8월 1일","요즘의 솜님은 언타이틀구즈게임
1",💙,,,1,[],https://twitter.com/MS_STEVENS0N/status/1421674562844979205
하이비,@HiB_SR_3,2021-08-03T10:07:03.000Z,"하이비
@HiB_SR_3
·
8월 3일",언타이틀 거위겜 샀는데 노트북으로 안돌아가..,🍑 🎮,,,,[],https://twitter.com/HiB_SR_3/status/1422499244959625216
something4u,@something4u3,2021-08-02T10:14:57.000Z,"something4u
@something4u3
·
8월 2일",발렌티노 21SS ROCKSTUD 언타이틀 칼프레더 스니커즈 WG https://something4u.kr/goods/goods_view.php?goodsNo=1000002475…,,,,,['https://pbs.twimg.com/media/E7xzva9VoAMmTuT?format=jpg&name=small'],https://twitter.com/something4u3/status/1422138845638787075
