UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
믕,@amdgur,2021-08-23T13:24:20.000Z,"믕
@amdgur
·
8월 23일","삼시세끼 산촌 남주혁
51
73",,,51,73,['https://pbs.twimg.com/media/E9eoeRBUYAQKO-l?format=jpg&name=small'],https://twitter.com/amdgur/status/1429796652391419910
홈즉(mickle),@mkjjs864,2021-08-27T13:10:03.000Z,"홈즉(mickle)
@mkjjs864
·
8월 27일","삼시세끼 어촌편5 #공효진
6
31",,,6,31,"['https://pbs.twimg.com/media/E9zLjs4VEA0o9-1?format=jpg&name=small', 'https://pbs.twimg.com/media/E9zLkKWVEAABoqe?format=jpg&name=small']",https://twitter.com/mkjjs864/status/1431242606390878222
순대,@asdfghjkl07191,2021-08-21T21:02:04.000Z,"순대
@asdfghjkl07191
·
8월 22일","차승원 아자씨 삼시세끼에서 왜 cf찍으세요 .. ? 너무 갓벽해
GIF
1
24
38",,1,24,38,['https://pbs.twimg.com/tweet_video_thumb/E9V-CIOVkAIIVe2.jpg'],https://twitter.com/asdfghjkl07191/status/1429187066269634570
명머,@kim1eerum,2021-08-16T04:56:19.000Z,"명머
@kim1eerum
·
8월 16일","난 템롯님이 담비태이 줄 때 까지 삼시세끼 먹으며 숨쉬며 살거에욧
4
17",,,4,17,"['https://pbs.twimg.com/media/E84xEgFVUAclXGC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E84xEgEUYAIuUUr?format=jpg&name=360x360']",https://twitter.com/kim1eerum/status/1427132090621911043
만듀,@Whatislove_0326,2021-08-22T03:33:40.000Z,"만듀
@Whatislove_0326
·
8월 22일","언제나 우리가 걱정했을까 그게 가장 먼저인 시우민,, 너어는 진짜 내가 평생 사랑할거야 각오 단단히혀,,ㅇ3ㅇ
언제나 네 건강이 먼저라는거 잊지말고 밥은 삼시세끼 영양가 높은걸로 잘 챙겨먹어,, (약간 할미마음,,내새꾸ㅠㅠㅠㅠㅠ
#시우민버블 #슈밍버블
GIF
120
211",🥟,,120,211,['https://pbs.twimg.com/tweet_video_thumb/E9XXqmSVoAQrUjj.jpg'],https://twitter.com/Whatislove_0326/status/1429285614822641665
남오,@30_is_my_life,2021-08-17T15:47:42.000Z,"남오
@30_is_my_life
·
8월 18일","너무무해하고소중해 매일얘닮은 예쁘고좋은것만 보여주고 삼시세끼에디저트까지 꼬박꼬박챙겨주고 이부자리톡톡털어 고롱고롱편하게잠들때까지 곁에서지켜줘야해
4
28",,,4,28,['https://pbs.twimg.com/media/E9APwCsVgAgPHUv?format=jpg&name=900x900'],https://twitter.com/30_is_my_life/status/1427658401887133698
권은 최고다 / 직한 ²¹,@kwonju_lov,2021-08-21T04:46:09.000Z,"권은 최고다 / 직한 ²¹
@kwonju_lov
·
8월 21일","요즘 입맛없어서+돈없어서 바나나만 삼시세끼 먹고있는데 ㅋㅋㄱㅋㄱ
기영이 된거같아
5",,,,5,['https://pbs.twimg.com/media/E9SesNcVEAEBG25?format=jpg&name=360x360'],https://twitter.com/kwonju_lov/status/1428941467989397504
누기,@whozdi,2021-08-29T16:57:34.000Z,"누기
@whozdi
·
8월 30일","내가미쳐... 이러면 이제 더이상 해양생물부가 아니잖아 ㅅㅂㅋㅋㅋㅋㅋㅋㅋ 해양생물로 회쳐먹고 매운탕끓여먹는데 더이상 '생물'이 아니자나 걍 삼시세끼 어촌편이잖아
13
10",,,13,10,"['https://pbs.twimg.com/media/E9-S0HgVQAE6Jmm?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-S0HhVUAAVtSK?format=jpg&name=small']",https://twitter.com/whozdi/status/1432024639727755270
일라,@LifetimeofIlla,2021-08-29T14:07:30.000Z,"일라
@LifetimeofIlla
·
8월 29일","인더숲... 제작진들이 감성st 휴식캠핑예능 만들고싶어서 아기자기 잘 꾸며놓은거 보이는데 하필 밥에 진심인 녀석 13명이라 그냥 하루종일 밥만 만드는 삼시세끼됨
3.1천
2.1천",,,3.1천,2.1천,[],https://twitter.com/LifetimeofIlla/status/1431981839741161476
찬또늪,@chanschanmi,2021-08-28T13:39:21.000Z,"찬또늪
@chanschanmi
·
8월 28일","#이찬원_편의점_개사 ver. 엄마
온클한다 큰일났다 하루종일 고되구나
아침점심 저녁까지 삼시세끼 힘들구나
밤낮 청소빨래 티나지 않는 날 반기는
집안일
캔커피 한잔 하고 자야지 오늘도 고생 많았다
삼각김밥 라면하나 오늘한끼 이렇게 먹자
즉석밥에 간편식 너무좋아  우리동네
편의점
#이찬원
1
20
42",,1,20,42,['https://pbs.twimg.com/media/E94b28qVQAMinqy?format=jpg&name=small'],https://twitter.com/chanschanmi/status/1431612369654800386
