UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
조랭이떡,@malang_swc,2021-08-16T16:40:55.000Z,"조랭이떡
@malang_swc
·
8월 17일","불바다에도 한그루 조드윅 후기를 남기는 나는야 사과나무맨..
242
493",⭐,,242,493,['https://pbs.twimg.com/media/E87SVaSVIAwCejD?format=jpg&name=large'],https://twitter.com/malang_swc/status/1427309407143038977
(알)로하,@R_loha_r,2021-08-28T05:58:02.000Z,"(알)로하
@R_loha_r
·
8월 28일","#이야기의_페이지가_잠시_쉬어가는_곳_
방문! 깨알 사과나무 귀여워요><♡
1
14
16",,1,14,16,"['https://pbs.twimg.com/media/E92yMThUUAMByLp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92yPb8UUAMpc4y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92yNzqUcAAWZr5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92yQltVgAERAyn?format=jpg&name=360x360']",https://twitter.com/R_loha_r/status/1431496272981086210
호피,@Hopi_BU,2021-08-21T15:53:53.000Z,"호피
@Hopi_BU
·
8월 22일","사과나무꽃
9",,,,9,['https://pbs.twimg.com/media/E9U3ffkVgAEzFOW?format=png&name=small'],https://twitter.com/Hopi_BU/status/1429109508492587011
"4.pe.ri.re with MOON, NY",@aperire_ceo,2021-08-21T08:39:54.000Z,"4.pe.ri.re with MOON, NY
@aperire_ceo
·
8월 21일","엄청 투박한 사과.
텃밭에 있는 사과나무에서 수확한
100%유기농 사과.
따복이 이유식용으로.. 할부지가 보내심.
보내시면서 맛은 보장 못한다. ㅋㅋ
맛나게 묵자.
12
30
182",,12,30,182,['https://pbs.twimg.com/media/E9TUMbZVgAA9v8y?format=jpg&name=small'],https://twitter.com/aperire_ceo/status/1429000295024005120
,@DASEDEURI,2021-08-25T09:16:46.000Z,"@DASEDEURI
·
8월 25일","와와와와와 맨아래랑 사과나무 탐낫는데 이벤트템인가봐 와아아악악ㅠㅠㅠ 왼쪽 위 저거는 최종보상일려나 하...
1
11",🦊,1,,11,"['https://pbs.twimg.com/media/E9oC-xhUUAMWSkh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oC_S-VIAMfJ3H?format=png&name=small']",https://twitter.com/DASEDEURI/status/1430459125448675330
NeB,@Y2kS2,2021-08-21T15:47:15.000Z,"NeB
@Y2kS2
·
8월 22일","이태요 약간 매개자 혹은 선구자야..?

- 한 개의 사과가 지구 맞은편 사람들을 직접 연결해준다.

- 사과나무는 처음과 유년기, 에덴동산을 의미하지만 계몽과 경험, 미래를 뜻하기도 한다.

<길고 긴 나무의 삶> 피오나 스태퍼드
1
39
28",,1,39,28,"['https://pbs.twimg.com/media/E9U2AOpVoAMWfkU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9U2AOmVgAEQVI8?format=jpg&name=360x360']",https://twitter.com/Y2kS2/status/1429107841109921793
Vante곰돌이태형이칭구,@gomdolV_BTS,2021-08-07T06:05:57.000Z,"Vante곰돌이태형이칭구
@gomdolV_BTS
·
8월 7일","<여름 숲의 겨울곰>
한여름의 매미가 힘차게 울어대는
사과나무길 한쪽에 조용히자리잡은 겨울곰 벤치 
바람이 살짝 흔들리는 보랏빛 꽃 사이 귀엽게 앉아있네
너의노래로 해마다 8월이면 더행복할거야
윈터베어 2주년 
고마워축하해
#윈터베어2주년축하해
@theVench_garden
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3
14
38",💜 🧸 🐯 😘 🧸 🐻 💜 💚,3,14,38,[],https://twitter.com/gomdolV_BTS/status/1423888120152424448
자몽,@UTQkTltl1n2i0nB,2021-08-13T02:31:09.000Z,"자몽
@UTQkTltl1n2i0nB
·
8월 13일","1년전 아파트  뜰에 
     심은 사과나무
1년된  과실수에  열매가 
      달리기도 하나요?
그런데  2개가 달렸어요.
     신기해서 트윗님과 공유합니다

#사과나무 #과실수
6
11",🌾 🌴 🌱,,6,11,"['https://pbs.twimg.com/media/E8ozEbdUYAA6CFs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ozEr9VIAECPjB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ozE3vVoAEo06E?format=jpg&name=360x360']",https://twitter.com/UTQkTltl1n2i0nB/status/1426008393483907074
다함께,@lLYWKm6a4iD1Gvh,2021-08-07T05:39:09.000Z,"다함께
@lLYWKm6a4iD1Gvh
·
8월 7일","연일 폭염에 
사과나무 잎파리가
다 말라버렸다 ㅠㅠ

가을에 주인님께
꼭 진상하고 싶었는데
눈물이 나려고 합니다.
5",,,,5,"['https://pbs.twimg.com/media/E8KkgriVkAAKmuL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Kkih_VcAEJk96?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8KkkNmVcAA6aDk?format=jpg&name=360x360']",https://twitter.com/lLYWKm6a4iD1Gvh/status/1423881377196302339
과학봇,@sci_bot,2021-08-23T01:05:37.000Z,"과학봇
@sci_bot
·
8월 23일","뉴턴은 사과나무에서 사과가 떨어지는 걸 보고 중력의 존재를 깨달았을까? http://scibot.me/11
1
1",,,1,1,[],https://twitter.com/sci_bot/status/1429610747445735425
Acronid,@acronid88,2021-08-08T07:44:07.000Z,"Acronid
@acronid88
·
8월 8일","힘든 여름이지만 봄에 핀 사과꽃을 보며 기운냅니다 아 물로 지금 사과나무들 전부 다 응애가 창궐하고 있지만요  응애약도 쓰긴 하지만 역시 응애를 조지는 가장 확실한 방법은 알콜솜으로 닦는 게 최고인듯 죽이겠다
4",,,,4,['https://pbs.twimg.com/media/E8QKkpYVkAcMiaH?format=jpg&name=small'],https://twitter.com/acronid88/status/1424275212267257864
before sunriseᴮᴱ ᴴᴬᴾᴾᵞ 세상엔 예쁜 것들이 많다,@before_sunrise7,2021-08-10T12:23:21.000Z,"before sunriseᴮᴱ ᴴᴬᴾᴾᵞ 세상엔 예쁜 것들이 많다
@before_sunrise7
·
8월 10일","준비하던 수업후기나 마저 올려야지.
사과나무를 심는 심정으로.

#내맘은이미멸망직전
3",🎗,,,3,[],https://twitter.com/before_sunrise7/status/1425070262232305667
뿅아리,@Y_pp_nya,2021-08-26T05:16:08.000Z,"뿅아리
@Y_pp_nya
·
8월 26일","아마도 170도 안될 쪼끄마난 사과나무 바르카중령...
뿅아리
@Y_pp_nya
 · 7월 18일
나 2년된 사과나무보다 작은게~ 이게 너무너무 궁금해서 찾아봤는데
사과나무는 1년차에 70~100cm, 3년차에는 2.5m정도 된다는거같음.
그럼 2년차에는 170cm?정도 된다는건데 바르카 중령 응…. 작구나.
1
5",🐣 🐣,1,,5,['https://pbs.twimg.com/profile_images/1438174233188732931/1ncnLfxA_mini.jpg'],https://twitter.com/Y_pp_nya/status/1430760952752787460
𝕒𝕣𝗠𝗬𝗴𝗼 ̆̈⋆ ♥︎,@ARMYgo_bts,2021-08-02T10:42:45.000Z,"𝕒𝕣𝗠𝗬𝗴𝗼 ̆̈⋆ ♥︎
@ARMYgo_bts
·
8월 2일","우리집 올해 첫 사과!!!
쪼꼬미~ 올해도 반가워~
인알 속 아이가 자라서 이렇게 된 거~
(https://twitter.com/ARMYgo_bts/status/1392389837110407168?s=19…)
너도 열심히 자라주었구나~
기특해 기특해~~

올해는 엄마사과나무에 사과가 많이 열려서 매우 기대 중~
𝕒𝕣𝗠𝗬𝗴𝗼 ̆̈⋆ ♥︎
@ARMYgo_bts
 · 5월 12일
애기사과는 커지는 중~
올해도 잘 부탁해~~~ 힘내라!!
이 스레드 보기
1
6",💜 🐳 🪐 🐙 🍎 😘 🍎 😚 💜 🍎 💜 🐳 🪐 🐙 🤭 💜 🥰,1,,6,"['https://pbs.twimg.com/media/E7x6GqVVUAkSCd4?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1437727806482386944/QDHNCwB9_mini.jpg', 'https://pbs.twimg.com/media/E1LDLXgUUAEPeSp?format=jpg&name=240x240']",https://twitter.com/ARMYgo_bts/status/1422145840588541953
()Garden Fairy,@GARDEN_FAIRY_CK,2021-08-16T03:28:36.000Z,"()Garden Fairy
@GARDEN_FAIRY_CK
·
8월 16일","(사과나무에서 사과를 따고 있다. 품에 한 아름 사과를 담고 가는 도중 하나가 굴러 떨어져 당신 앞에 멈춘다.) 그거! 사과 좀 주워줘! (사과를 한 아름 담은 봉지를 들고 뛰어오며)
3
8",❄ 🌻 🌻 ❤ 💬 ➡ 💬,3,,8,[],https://twitter.com/GARDEN_FAIRY_CK/status/1427110013479231491
