UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
래믹,@raemmic,2021-08-10T15:20:54.000Z,"래믹
@raemmic
·
8월 11일","https://youtu.be/4fe30_8KfEQ

트친들아 트친비로 10분짜리 단편영화 하나만 봐조...
이유하 배우 나오고 더쿠도 한 명 나오고 현실반영도 쫌 오지지만 암튼.... 
유하 배우 넘 오랜만에 나왔으니까 한 번 씩 봐조랑..
2",,,,2,[],https://twitter.com/raemmic/status/1425114944312254465
𝕛𝕖𝕣𝕣𝕪,@j2_rry,2021-08-12T09:42:53.000Z,"𝕛𝕖𝕣𝕣𝕪
@j2_rry
·
8월 12일","쌰발 3분짜리무대에 인생이이렇게행복해져도되나..... 내인생 가성비 개지림
13
10",,,13,10,[],https://twitter.com/j2_rry/status/1425754655888338945
(REST 中) LATTA 라타,@pink_darl,2021-08-22T17:02:56.000Z,"(REST 中) LATTA 라타
@pink_darl
·
8월 23일","요즘 매일 아침은 빅씨스님 모닝 스트레칭으로 시작하는 중 오늘 비가 너무 많이 와서 뛰러 못나간 대신 45분짜리 홈트를 하는데  때문에 집중을 못해 중간에 계속 끊은 나 자신을 반성ㅜ 담주 더 파이팅 해봅니다

#방탄업기단_오늘의운동
#갓댓라잇바디앤댓라잇마인드
@BTS_twt
 #BTSARMY
1
2
19",🪐 🐙 💜 😶 🥒,1,2,19,"['https://pbs.twimg.com/media/E9aQ55kUcAQsDxR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9aQ6eDVgAELR3e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9aQ6KvVIA0ruVR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9aQ6tuVcAAnvbG?format=jpg&name=360x360']",https://twitter.com/pink_darl/status/1429489273372176395
믕됴ᴾᵀᴰ,@jigoopencils,2021-08-07T08:21:48.000Z,"믕됴ᴾᵀᴰ
@jigoopencils
·
8월 7일","이상하다,, 분명 비하인드가 18분짜린데 왜 3분만에 끗나징,.
8",,,,8,[],https://twitter.com/jigoopencils/status/1423922310759677955
Y,@Y_aeri_Y,2021-08-17T12:03:53.000Z,"Y
@Y_aeri_Y
·
8월 17일","아니 시발 인간적으로 월 9.99달러 받아먹고 40분짜리 영상에 광고 3개 끼워넣는 건 너무 비양심적인 거 아님?
1
1",🦇 🦇,1,,1,[],https://twitter.com/Y_aeri_Y/status/1427602077916680194
푸웅10/4밤11낮17낮이제,@_now_jj,2021-08-20T13:57:52.000Z,"푸웅10/4밤11낮17낮이제
@_now_jj
·
8월 20일",런데이 조지러 가려고 스트레칭까지 끝냈는데 비 와 세상에 8분짜리 끝내자마자,🌕 😐,,,,[],https://twitter.com/_now_jj/status/1428717927646171142
아무,@amootalk,2021-08-05T13:38:11.000Z,"아무
@amootalk
·
8월 5일",ㅋㅋ2분짜리 영상 하나에 정치인 남자들 죄다 말귀 못 알아쳐먹는 멍청이랑ㅋㅋ쓸데없이 자원낭비 쩌는 무능력비효율인거만 입증해주는ㅋㅋ,,,,,[],https://twitter.com/amootalk/status/1423277153479585800
런프,@oo9933oo,2021-08-30T13:21:24.000Z,"런프
@oo9933oo
·
8월 30일","엔시티 드림 FCMM 포카 세트 분철
총대 경험 분철 경험 많아요!

9/1 11 시에 같이 도전 가능하신 분 우대해용

59000원짜리 옷 구매 예정
구매 성공률 늘리려고 두 세트 구매해요!

 런쥔 제노 재민 천러 지성 

일괄 우대해요! 제노는 천러, 재민 일괄만 받아요
1.1 + 준등기비
3
1",⭕ ⭕,3,,1,['https://pbs.twimg.com/media/E-Cq7gzVUAoueNI?format=jpg&name=900x900'],https://twitter.com/oo9933oo/status/1432332625381715970
새끼줄,@verytwistedmj,2021-08-19T13:47:52.000Z,"새끼줄
@verytwistedmj
·
8월 19일","아 짜증나 회의하는데 사람들이 일을 너무 비효율적으로 해... 아놔 5분짜리 영상을 일 주일에 한 번씩 만들겠다고? 누가 우리한테 돈 주냐?
2",,,,2,[],https://twitter.com/verytwistedmj/status/1428353020195082253
(tarot커미션)해인,@haein_0214_,2021-08-12T14:00:02.000Z,"(tarot커미션)해인
@haein_0214_
·
8월 12일","하…케틀벨 코어 운동 유투브 15분짜리 했는데 땀이 비오듯…..더위먹은 영향땜에 기껏 키운 코어 다 죽었다….다시 키워서 허리 꼿꼿하게 걸을거다
2",,,,2,[],https://twitter.com/haein_0214_/status/1425819366197661704
