UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rina,@Iroiro_15,2021-08-16T19:12:36.000Z,"Rina
@Iroiro_15
·
8월 17일","미해결사건부(미정사건부) 중판은 이렇게 니름 부분 커버도 준다… 덕분에 내 친창 화려해졌어.. 한판도 꾸준히 하면 업데이트 되겠지?? 생각해보니 내 것도 다른유저들이 보면 은후 커버 보이겠구나(ㅋㅋㅋㅋㅌㅋㅋㅋㅋ
1",🍒,,,1,"['https://pbs.twimg.com/media/E871DufVUBgN8sp?format=jpg&name=small', 'https://pbs.twimg.com/media/E871DudVUBksxjX?format=jpg&name=small']",https://twitter.com/Iroiro_15/status/1427347581420523520
솔냐SOLNYA,@loven4862,2021-08-01T05:15:46.000Z,"솔냐SOLNYA
@loven4862
·
8월 1일","2021년 8월 1일 일요일 오늘응 캠
[방송시간 오후2~3시]

1부 세상모든 민트맛음식 먹방리뷰 ..(참고로 민혐)...꾸엑
2부 미정
3부 토크으

안녕하세요 민혐단입니다
오늘은 민초를 먹어보겠습니다
1
29",🐱,,1,29,['https://pbs.twimg.com/media/E7rlooTUYAUf02D?format=jpg&name=small'],https://twitter.com/loven4862/status/1421701164727377921
서새봄,@saddummy,2021-08-27T14:03:58.000Z,"서새봄
@saddummy
·
8월 27일","2021. 08. 27(금) ,
[오후 10시-12시 사이 방송!] 
 
새봄TV] 게임전문방송
 
■오늘의 게임 : 

○ 1부  : 코노스바! 모바일 판타스틱 데이즈(광고)

○ 2부  : Townscaper 텅 빈 바다에서 쉽게 마을을 만드는 도구를 누려보자!

○ 쿠키방송(3부)  : 미정
4
60",,,4,60,['https://pbs.twimg.com/media/E9zX3_GVIA482S6?format=png&name=small'],https://twitter.com/saddummy/status/1431256176012840961
서새봄,@saddummy,2021-08-26T14:42:11.000Z,"서새봄
@saddummy
·
8월 26일","■오늘의 게임 :
 
○ 1부  : 신작//그림그리는 듯 아름다운 게임 Behind the Frame 가장 아름다운 경치

○ 2부  : 신작//수사관이 되어 사건을 해결해보자! - 머더 미스터리 머신

○ 3부  : 게임스컴 퓨처 게임쇼 

○ 쿠키방송(4부)  : 미정
3
51",,,3,51,['https://pbs.twimg.com/media/E9uXBXdVIA4O2ym?format=png&name=small'],https://twitter.com/saddummy/status/1430903403954114561
이칠,@twentyseven227,2021-08-01T05:44:48.000Z,"이칠
@twentyseven227
·
8월 1일",이겜 미사부 미정부 뭐라고불러야ㅏ,,,,,[],https://twitter.com/twentyseven227/status/1421708472911941633
리나(Lina) 거래계,@_Lina_trade,2021-08-08T10:28:43.000Z,"리나(Lina) 거래계
@_Lina_trade
·
8월 8일","미해결사건부(미정사건부) 공식 굿즈 공구합니다. (11월 하순 발매)

- 8/9 오후 8시 선점 완료 
- 입금 기한 짧음(8/10 주문 예정)
- 타래 확인 후 선점 희망 굿즈의 '번호'로 문의

*아래 안내된 상품 이외 아래 링크에서 확인 가능한 상품도 가능합니다.
https://mihoyo.tmall.com/p/wd.htm?spm=a1z10.1-b-s.w5003-23051063422.1.1020115cKTwtod&scene=taobao_shop…
2
5",,2,5,,[],https://twitter.com/_Lina_trade/status/1424316638749335561
리나(Lina) 거래계,@_Lina_trade,2021-08-25T09:28:04.000Z,"리나(Lina) 거래계
@_Lina_trade
·
8월 25일","미해결사건부(미정사건부) 공식 굿즈 공구 추가 안내
(12월 상순 발매 예정)

- 인용한 공구 안내 타래를 참조하여 추가 선점 가능
- 사은품 선택 불가
-  DM 또는 멘션으로 문의 주세요:-)
리나(Lina) 거래계
@_Lina_trade
 · 8월 24일
미해결사건부(미정사건부) 공식 굿즈 공구 안내 (12월 상순 발매 예정)

- 동시에 발매되는 예약상품(타래 참조)에 한해서만 진행합니다.
- 아래 트윗에서 태그된 분들 먼저 선점받고 그 이후 가능하면 추가로 선점 받습니다.
- 80위안 이상 선점하시는 분은 사은품 캐릭터 지정(최대 3명)
이 스레드 보기
1
1",,,1,1,"['https://pbs.twimg.com/profile_images/1295615102163365888/hLdlAVfP_mini.jpg', 'https://pbs.twimg.com/media/E9j0__IXsBYKhdO?format=png&name=small']",https://twitter.com/_Lina_trade/status/1430461966724648966
《믄콩》MeunKong,@gpdnjsdlqj17,2021-08-30T01:19:54.000Z,"《믄콩》MeunKong
@gpdnjsdlqj17
·
8월 30일","좋은 아침이에요!!
푹 자고 일어나니까 엄청 개운하네요!

8월 30일(월) 오늘 방송 시간은
PM 4:00시 입니다!!
1부 수다
2부 미정(자유) 구성되있습니다 :3

오늘도 좋은 하루 보내세요!
1
2
7",💛 💛 ☺ 😳 😉 💛,1,2,7,[],https://twitter.com/gpdnjsdlqj17/status/1432151055089815554
거래계,@iltta12_y,2021-08-24T06:19:19.000Z,"거래계
@iltta12_y
·
8월 24일","미해결사건부 미정사건부 미사부 >강혁< 위주의 굿즈 구해요ㅜㅜ! 진짜 뭐든... 혁이랑 관련된 굿즈면 다 멘션, 디엠으로 문의 주세요! 공구도",⭕,,,,[],https://twitter.com/iltta12_y/status/1430052078706036738
정보까마귀,@theinforaven,2021-08-24T06:48:56.000Z,"정보까마귀
@theinforaven
·
8월 24일","미해결사건부(미정사건부) 유신우의 중국 일러스트 모음입니다. 계속 업데이트 됩니다.
[미해결사건부] 유신우 중국 일러스트 모음
중국 미해결사건부(미정사건부) 웨이보에 올라온 유신우 일러스트를 모았습니다. 번역기를 돌린 탓에 이미지별 설명은 틀릴 수도 있습니다. Lay's 콜라보 '함께 흐르는 풍경을 그리며' 공익 이벤트 최고의 오작..
theinforaven.tistory.com
5",,,5,,['https://pbs.twimg.com/card_img/1440499558081916931/WlGYGwK7?format=jpg&name=900x900'],https://twitter.com/theinforaven/status/1430059532948963329
