UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
아방수,@Kahee_els,2021-08-19T02:00:01.000Z,"아방수
@Kahee_els
·
8월 19일","내가화가안나게생겻어???????????
일러는 솜사탕왕자인데 인겜은 홀유2 잖아
309
119",,,309,119,"['https://pbs.twimg.com/media/E9Hle9GVgAY5xF6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9HlfGOVIAM3lrt?format=jpg&name=240x240', 'https://pbs.twimg.com/media/E9HlfPxVIAMsDBf?format=jpg&name=240x240']",https://twitter.com/Kahee_els/status/1428174883981193220
점,@reds0o,2021-08-28T06:08:50.000Z,"점
@reds0o
·
8월 28일","가화고 교복 개좋아
13
53",,,13,53,['https://pbs.twimg.com/media/E920vwnVgAUr2GN?format=jpg&name=small'],https://twitter.com/reds0o/status/1431498993301811201
기다려,@vaselinead,2021-08-27T15:16:41.000Z,"기다려
@vaselinead
·
8월 28일","이거진짜존나빡친거같아서
너무좋음…
이언니가화내는게좋은걸어떡함
나한테쌍욕해줫으면 좋겟어…
GIF
2
17",,,2,17,['https://pbs.twimg.com/tweet_video_thumb/E9zohgkVQAUendy.jpg'],https://twitter.com/vaselinead/status/1431274474444234752
스커룬 언급/재자,@jja_LoH,2021-08-01T07:53:01.000Z,"스커룬 언급/재자
@jja_LoH
·
8월 1일","내가화내봤자뭐하겠니
14",🌊 🌊,,,14,['https://pbs.twimg.com/media/E7sJqsWVgAIchn1?format=jpg&name=small'],https://twitter.com/jja_LoH/status/1421740739638173698
엘러리,@shevek0106,2021-08-26T03:34:42.000Z,"엘러리
@shevek0106
·
8월 26일","2015 <십년>  vs  2019 <가화만사경>

주관위 감독의 분신자에 나온, 홍콩 독립파의 리더가 저 전망좋은 집의 대책없는 아들내미인 거 오늘에야 알았어.
앳되고 단호한 얼굴을 한 93년생 배우
9
9",,,9,9,"['https://pbs.twimg.com/media/E9r4jb-UYAYbklU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9r6OqJVoAIHOEV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9r6HQYVcAMvsUh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9r7x6VUcAAJDBH?format=jpg&name=360x360']",https://twitter.com/shevek0106/status/1430735427594448897
졈: 미내,@t92322,2021-08-17T11:31:36.000Z,"졈: 미내
@t92322
·
8월 17일","곧... 화담으로 CoC 달의 비명 가요 네네 알뇌플이에요......
나의 말랑말랑 귀염둥이 늑대인간 천가화 보러 가요
KP 레논님 / KPC 천가화
PL 미내 / PC 백소담
현대 배경으로 키퍼님이 개변해주셨다네요~! 세카는 휴지님이 만들어주셨어요 ^0^99
1
1
6",,1,1,6,['https://pbs.twimg.com/media/E8_UbYwVcAcSqa1?format=png&name=900x900'],https://twitter.com/t92322/status/1427593952778067968
곽상팔,@tyranno_cm,2021-08-13T19:49:50.000Z,"곽상팔
@tyranno_cm
·
8월 14일","흐헹ㅋㅋ 가화랑 이메부볐어요
배경귀찮아서안함 김가화사랑해
1
3
8",❤ ❤ 👀 👀,1,3,8,['https://pbs.twimg.com/media/E8sgz27VEAEBRXv?format=jpg&name=900x900'],https://twitter.com/tyranno_cm/status/1426269784920911875
띠또쿵,@DDIDDOKUNG,2021-08-08T04:14:06.000Z,"띠또쿵
@DDIDDOKUNG
·
8월 8일","오랑이가화난이유는뭘가
1
3
3",,1,3,3,[],https://twitter.com/DDIDDOKUNG/status/1424222361239261187
츠티도,@worldofnothing,2021-08-15T06:12:51.000Z,"츠티도
@worldofnothing
·
8월 15일","왜 저를 하드코어망가화 시키세요
무부제박사
@MianSasilGuraim
 · 8월 15일
@ctunaworks 님에게 보내는 답글
덕분에 알티도(알있는 티도 아님 ㅋㅋ) 탔어요 ㅋㅋ 아 이맛이구나
1
5",,,1,5,['https://pbs.twimg.com/profile_images/1438637510221910018/SPagIj-9_mini.jpg'],https://twitter.com/worldofnothing/status/1426788959514894343
해류,@current8855_,2021-08-05T06:08:17.000Z,"해류
@current8855_
·
8월 5일","다케온밀다가화딱지나서종료
1",,,,1,[],https://twitter.com/current8855_/status/1423163934261923840
