UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
맛,@ecmac_,2021-08-22T05:52:45.000Z,"맛
@ecmac_
·
Aug 21","옆태는존나그럴듯 ?햇는데
전체샷잡히자마자양궁카페잼민s됨
39
31",,,39,31,"['https://pbs.twimg.com/media/E9X3hnVVcAUI4SS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9X3hnWUYAgNzHE?format=jpg&name=360x360']",https://twitter.com/ecmac_/status/1429320618046988296
늉과나,@nug98765,2021-08-09T10:04:54.000Z,"늉과나
@nug98765
·
Aug 9","오늘 날씨도 엄청 좋아서 파란 하늘에
우리 민현이가 딱 보이는데 눈이 너무 부셨다 카페 내부에서 민현이 사진으로 한 가득 정말 그 곳이 바로 천국이였음 뉴황팀 이벤트 열어주셔서 감사합니다
#2021_HBD_MINHYUNING 
#27번째_해피벌쓰데이_민현잉
3
7",☺,,3,7,"['https://pbs.twimg.com/media/E8V0ka1VgAcUlR7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8V0ka2VkAE46YI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8V0ka2VEAIpE8i?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8V0ka1VUAYM0Zs?format=jpg&name=360x360']",https://twitter.com/nug98765/status/1424673031725617154
13,@SRJkiss,2021-08-18T11:23:05.000Z,"13
@SRJkiss
·
Aug 18","슈랩 진랩 짐랩 알오물.. 김형은 김남이 일하는 곳 카페사장 알파.. 민형은 김남이 오메가 인거 유일하게 아는 친한 사람으로 베타.. 짐은 김남이랑 1나잇한 알파.. 민형은 김남 좋아한지 오래됏고.. 김형은 김남 좋아하는 감정보다 집착 먼저 시작하게된 케이스.. 짐은 그냥 김남 좋아서 따라다니는..
1
6
47",,1,6,47,['https://pbs.twimg.com/media/E9EcxFGVoAo3KyK?format=jpg&name=small'],https://twitter.com/SRJkiss/status/1427954199107489792
미지,@myoptimusboy,2021-08-07T10:54:12.000Z,"미지
@myoptimusboy
·
Aug 7","분홍분홍 아기자기한 인테리어 사이에 민현이가 뽀짝뽀짝♡(˃͈ દ ˂͈ ༶ ) 카페도 귀엽고 민현이도 예쁘고 어? 진짜 천국이다ʚ˘◡˘ɞ
#어_황민현_예쁘다
#민현이와_함께라서_특별한_여름
27
29",🍒,,27,29,"['https://pbs.twimg.com/media/E8LsmqiVkAIngkh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Lso6PVEAA1p34?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LsndDVoAUS85e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LsqaQVkAUD0GE?format=jpg&name=360x360']",https://twitter.com/myoptimusboy/status/1423960660623298560
화난사람들 공식트위터,@angrypeople_co,2021-08-20T06:15:39.000Z,"화난사람들 공식트위터
@angrypeople_co
·
Aug 19","포털사이트에 '성폭력'을 검색하면 ""기소유예 성공 사례""라는 변호사 광고 페이지가 넘쳐나고, 모 법무법인은 '성범죄 전문 카페'를 운영하기도 합니다.

하지만 민고은 변호사님은 ""성범죄 가해자는 변호하지 않겠다""는 원칙으로 일합니다. 민 변호사님과의 일문일답입니다.
""성폭력 가해자 변호하지 않겠다""는 변호사가 직접 알려주는 성폭력 피해 대처법
경찰청 통계에 따르면 한국에서 성범죄 사건은 연간 3만 건 정도 발생합니다.(2019경찰통계연보)
content.v.daum.net
1.2K
636",,,1.2K,636,['https://pbs.twimg.com/card_img/1441289494066450436/8Ad8roIq?format=jpg&name=small'],https://twitter.com/angrypeople_co/status/1428601606413590539
문도현,@meltmoonlight,2021-08-09T10:11:51.000Z,"문도현
@meltmoonlight
·
Aug 9","2021_08_09
처음 맞는 민현이 생일_01
카페써드(
@ttabongaeong
)

들어가자마자 벽에 민현이가 잔뜩 있어서 너무 좋았다ㅠㅠ 노래도 계속 민현이가 부른 노래가 나와서 카페에 있는 것만으로도 행복했다ㅠㅠ

타래로
#나의여름을_너의바다에서 
#찬란한_여름_황민현
1
3
6",,1,3,6,['https://pbs.twimg.com/ext_tw_video_thumb/1424674733698654215/pu/img/MF21vq1tHCpgyg8S.jpg'],https://twitter.com/meltmoonlight/status/1424674781723385856
)밍호,@526_hoshiwoozi,2021-08-21T16:21:32.000Z,")밍호
@526_hoshiwoozi
·
Aug 21","세븐틴 민규 오드투유43번/일본카페 입장특전(20년상반기) 양도

각 준포 2.3/1.7

디엠으로 문의 주세요~!
약간의 스크레치 (일본에서 건너온거라 그런지 처음 받을 때부터 있었어요ㅎㅎ)
1
26",⭕,1,26,,['https://pbs.twimg.com/media/E9U92hOVUAEEB6U?format=jpg&name=small'],https://twitter.com/526_hoshiwoozi/status/1429116467576901634
우주,@universe_950809,2021-08-08T11:26:06.000Z,"우주
@universe_950809
·
Aug 8","𝙷𝙰𝙿𝙿𝚈 𝙼𝙸𝙽𝙷𝚈𝚄𝙽 𝙳𝙰𝚈 
@nuesthmhevent
 

드디어 어제 하이브를 눈부시게 밝힌다는 뉴황이팀 카페에 다녀왔어요  이중컵도, 카페 공간들도 민현이의 성장하는 순간들을 볼 수 있어서 괜히 마음이 벅찼던것 같아요!  곳곳마다 민현이와 맞는 우리 노래 가사들도 
1
3
9",♥ ♥ ✨ 😭 💦 💛,1,3,9,"['https://pbs.twimg.com/media/E8Q9fleUYAcLDQJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Q9hoQUUAcBQOE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Q9ghOVEAIsXqe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Q9jbuVEAImhhY?format=jpg&name=360x360']",https://twitter.com/universe_950809/status/1424331077397618695
황막여우,@hmhfox5,2021-08-06T03:24:55.000Z,"황막여우
@hmhfox5
·
Aug 5","택시타고 하이브 앞에 내리자마자
민현이 광고가 너무 빛나서 깜놀!
특전들도 하나하나 너무 예쁨ㅜㅜ
출근 시간에 쫒겨서 미녀니에게 편지를
못쓰고왔네 주말에 가서 써야징!!
그리고 카페에서 주워들은 정보!
하이브 안에서 너무 잘보인대여
#2021_HBD_MINHYUNING
#27번째_해피벌쓰데이_민현잉
1
25
48",🐾 👍,1,25,48,"['https://pbs.twimg.com/media/E8E8ODoUUAAFtPQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8E8PHEVEAEU-M4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8E8OiQVgAoaXth?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8E8Pz8VkAATcY_?format=jpg&name=360x360']",https://twitter.com/hmhfox5/status/1423485207059910662
백거리,@distance_20609,2021-08-26T07:27:04.000Z,"백거리
@distance_20609
·
Aug 26","국 사장님 퇴근 시간만 되면 미리 마감하고 카톡 앱 켜는 카페사장 민연하. 토독...토독.... 형...제가 ..데리러 갈게요.
3",,,,3,['https://pbs.twimg.com/media/E9szeT5UUAM62uZ?format=jpg&name=small'],https://twitter.com/distance_20609/status/1430793904421367811
