UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
휘영편.zip,@hwi0edit,2021-08-30T06:06:26.000Z,"휘영편.zip
@hwi0edit
·
8월 30일","SF9 2nd Photo Book [COMMA] 포토북 속 #휘영 이
26
16",💙,,26,16,"['https://pbs.twimg.com/media/E-BHYIUUYAAYaxB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BHYJQVIAMWUNi?format=jpg&name=small', 'https://pbs.twimg.com/media/E-BHYIXUcAAbasI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BHYIUUYAQGzns?format=jpg&name=small']",https://twitter.com/hwi0edit/status/1432223165434916864
로운𝘈𝘸𝘦𝘴𝘰𝘮𝘦 𝘙𝘰𝘸𝘰𝘰𝘯,@k_ro_woon,2021-08-30T10:34:23.000Z,"로운𝘈𝘸𝘦𝘴𝘰𝘮𝘦 𝘙𝘰𝘸𝘰𝘰𝘯
@k_ro_woon
·
8월 30일","SF9 COMMA 포토북 
X
로운 포카 프리뷰 

브이로운 & 따봉서구

#SF9 #로운 #ROWOON #COMMA
17
35",💙 ✌ 👍,,17,35,"['https://pbs.twimg.com/media/E-CD_ynVgAMh_Hx?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CEB67VcAEwk-D?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CEB67VQAET5rf?format=jpg&name=small']",https://twitter.com/k_ro_woon/status/1432290598266949632
쉼표,@____comma,2021-08-30T13:55:34.000Z,"쉼표
@____comma
·
8월 30일","전 아무말도 하지 않았습니다
망뭉 망뭉
@unknown_1479
 · 8월 29일
인용한 트윗에 공감하는데 나도 포함해서 트위터는 대도심+중산층+고학력자들 기준으로 교양이 부족한 사람들에게 너무 가혹한 면이 있다. 트위터인들은 자신보다 좀 모자란 사람들에게 관대해지는 법을 배울 필요가 있다. twitter.com/yl_piment/stat…
이 스레드 보기
50
24",,,50,24,"['https://pbs.twimg.com/media/E-CywKKVgAMgX3T?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1317347994052620289/1qfABwsD_mini.jpg']",https://twitter.com/____comma/status/1432341224006979594
밀키,@_alfzl,2021-08-30T15:54:51.000Z,"밀키
@_alfzl
·
8월 31일","SF9 COMMA 포토북 MD 분철

콜북 포카 + 포카세트 A/B MD 분철합니다
운포 0.8

영빈 인성 다원 로운 주호 태양 휘영 찬희

멤버이름으로 들어와주세용.ᐟ.ᐟ
https://open.kakao.com/o/s6CPzfxd
1
9
1",⭕ ⭕,1,9,1,"['https://pbs.twimg.com/media/E-DODeDUUAAJGt5?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DODeDUUAUj4Bx?format=jpg&name=small']",https://twitter.com/_alfzl/status/1432371244989440003
봄의재윤,@S_F_9_,2021-08-30T07:09:30.000Z,"봄의재윤
@S_F_9_
·
8월 30일","sf9 포토북 COMMA MD 포카 분철
봄의재윤
@S_F_9_
 · 8월 30일
영빈 로운 주호 태양 휘영 찬희 가능
이 스레드 보기
2",,,2,,"['https://pbs.twimg.com/profile_images/1432120070667321347/cqJmwP0S_mini.jpg', 'https://pbs.twimg.com/media/E-BRylAVkAMLHrY?format=jpg&name=small']",https://twitter.com/S_F_9_/status/1432239035959808009
신부님,@MY_93O712,2021-08-30T12:10:49.000Z,"신부님
@MY_93O712
·
8월 30일","fnc SF9 개봉 포토북 양도

포토북 개봉후
미공포 + 스크레치 티켓 + 폴라로이드 포토카드
최애로 맞춰드려요 
배송비 포함 4.5
전 멤버 가능합니당 
SF9 2nd Photobook COMMA 양도 분철
https://open.kakao.com/o/sdjABcxd
1
3
1",🧡 🧡 ❤,1,3,1,"['https://pbs.twimg.com/media/E-CawR4VEAM8EBS?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CawR9VEAYhqbU?format=jpg&name=360x360']",https://twitter.com/MY_93O712/status/1432314864274313221
",(コンマ)",@comma_tnlavy_,2021-08-30T16:13:22.000Z,",(コンマ)
@comma_tnlavy_
·
8월 31일","방금 에듀스 콤비랑 플러시 마이농이 같이 포카포카하는 글 읽었는데 넘 좋았음....
둘다 장난치기 좋아하지만 플러시가 활발하고 들이대는 성격 마이농이 상대적으로 소심하고 조금 겁이 많다는것까지 완벽
자기전에 일단 슥슥 그려지는대로 전기쥐들 낙서 너무 귀여워ㅠ 크오 최고...
2
5",🐧,,2,5,['https://pbs.twimg.com/media/E-DSSxjVEAIVaM6?format=jpg&name=small'],https://twitter.com/comma_tnlavy_/status/1432375904206929923
네노,@n0name712,2021-08-30T06:53:03.000Z,"네노
@n0name712
·
8월 30일","SF9 포토북 COMMA 포토카드 분철

포토카드 앨범 포카
포토카드 SET A ver. / B ver. 

 영빈 로운 주호 

* 멤버 이름으로 입장해주세요
https://open.kakao.com/o/smyne9wd
1
3
2",⭕ ⭕,1,3,2,"['https://pbs.twimg.com/media/E-BSCy8VkAAy334?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BSC9SVUAMF6un?format=jpg&name=medium']",https://twitter.com/n0name712/status/1432234894004916224
양도,@sellandbuy008,2021-08-30T15:44:50.000Z,"양도
@sellandbuy008
·
8월 31일","SF9 포토북 COMMA 분철 합니다

앨범포카 +A버전+B버전 (멤버당 5장)

 로운 
 영빈 인성 재윤 다원 주호 태양 휘영 찬희

결제 완료/ 인증 가능

준포 0.7

http://open.kakao.com/o/s3x9DGCc
1",⭕ ❌,,1,,"['https://pbs.twimg.com/media/E-DLueNVUAAAqIj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DLueMVIAMwt2q?format=jpg&name=360x360']",https://twitter.com/sellandbuy008/status/1432368725320105986
완두,@57350D,2021-08-30T14:51:30.000Z,"완두
@57350D
·
8월 30일","SF9 포토북 COMMA 콤마 MD 분철해요

포토카드 SET A + B ver
포토카드 앨범 포카

일괄 0.85

인원이 다 차지 않을시 n/1 진행

디엠주세요

로운 영빈 주호 유태양 찬희 
인성 재윤 다원 휘영
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2
1",🍼 ✅ ⭕ ❌,,2,1,[],https://twitter.com/57350D/status/1432355302775554053
,@leeodnnd,2021-08-30T07:35:39.000Z,"@leeodnnd
·
8월 30일","sf9 포토북 COMMA MD분철합니다

콜북 포카
포토카드 a세트+b세트
총 5장 일괄!

영빈 주호 > 준등포 0.7
로운 태양 휘영 찬희 > 준등포 0.8
재윤 다원 > 준등포 0.9

안모이면 1/n
준등기로만 진행합니다
거파•환불•분실책임 
멤버 이름으로 들어와주세요

https://open.kakao.com/o/sHQ5x9wd
2
1",🐱 ❌,2,1,,[],https://twitter.com/leeodnnd/status/1432245618538283014
양도,@sellandbuy008,2021-08-30T11:21:47.000Z,"양도
@sellandbuy008
·
8월 30일","SF9 콤마 분철 영빈 인성 재윤 다원 로운 주호 태양 휘영 찬희 COMMA 포카 

결제 완료 했어요 인증가능합니다 연락주세요!!!
양도
@sellandbuy008
 · 8월 30일
SF9 포토북 COMMA 분철 합니다

앨범포카 +A버전+B버전 (멤버당 5장)

 휘영 로운 
 영빈 인성 재윤 다원 주호 태양 찬희
모두 모이면 진행해요

결제 인증 가능

각각 준포 0.7

http://open.kakao.com/o/s3x9DGCc
이 스레드 보기",⭕ ❌,,,,"['https://pbs.twimg.com/profile_images/1281224233906044930/pi9F7Kmk_mini.jpg', 'https://pbs.twimg.com/media/E-CCfgmUcAkNKMG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CCfgRVIAU8zOM?format=jpg&name=360x360']",https://twitter.com/sellandbuy008/status/1432302524468322304
포돌,@comma_dot_com,2021-08-30T12:21:18.000Z,"포돌
@comma_dot_com
·
8월 30일","귀엽죠
2",,,,2,[],https://twitter.com/comma_dot_com/status/1432317501304492038
거래계,@fMVSZRA4pdykfyU,2021-08-30T12:13:42.000Z,"거래계
@fMVSZRA4pdykfyU
·
8월 30일","sf9 comma 포토북 MD 분철해요!

A+B+포토앨범포카 총 5장

영빈 주호 태양 찬희 0.7 

즉입 우대ㅜ 가격 조정가능",⭕,,,,[],https://twitter.com/fMVSZRA4pdykfyU/status/1432315589402365954
거래계,@terry199993,2021-08-30T09:27:11.000Z,"거래계
@terry199993
·
8월 30일","SF9 포토북 COMMA 분철 

포토북 개인 구성품(폴라+미니포스터) 분철 -> 0.4 (준등기 0.18 추가)

인성 제외 모든 멤버 가능!! 디엠 주세요",❤,,,,[],https://twitter.com/terry199993/status/1432273683599351808
svws,@ruel707,2021-08-30T08:37:38.000Z,"svws
@ruel707
·
8월 30일","SF9 COMMA 포토북 애플뮤직 분철 합니다

포토북 (미개봉) + 미공포 = 3.25 + 재배비

 영빈 
 인성 재윤 다원 로운 주호 태양 휘영 찬희

연락 주세요 반택 가능합니당

에스에프나인 콤마 포카 양도",‼ ⭕ ❌ 🥺,,,,['https://pbs.twimg.com/media/E-Bp-w0VUAAl1U7?format=jpg&name=small'],https://twitter.com/ruel707/status/1432261215464554501
˛ε론팡з¸,@RW_pang9,2021-08-30T17:45:03.000Z,"˛ε론팡з¸
@RW_pang9
·
8월 31일","SF9 포토북 COMMA 엠디 분철구해요
 
 포토카드세트 A B
 포토카드앨범
 포토엽서세트
=> 일괄 1.1

영빈, 주호

* 유닛포카 제외
* 엽서세트는 분철 맴버포함 5개씩
* 일괄 우대

#영빈 #인성 #다원 #로운 #주호 #태양 #휘영 #찬희 #sf9  #포카양도 #분철 #포토북 #미공포
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3",✨ ✨ ✅ ✅ ✅ ⭕ ⭕,,3,,[],https://twitter.com/RW_pang9/status/1432398975840055299
유니콘 (づ｡◕‿‿◕｡)づ,@yy_www_yy,2021-08-30T13:00:57.000Z,"유니콘 (づ｡◕‿‿◕｡)づ
@yy_www_yy
·
8월 30일","SF9 포토북 COMMA 콤마 분철합니다 

포토북+개인미공포2종(에펜씨+애플뮤직) (유닛 포카×) 

4.9+재배비 (일반택배, 반택 둘 다 가능) 

영빈 주호 찬희
2",⭕ ⭕,,2,,[],https://twitter.com/yy_www_yy/status/1432327483076976640
알콩,@kongR_SF9,2021-08-30T12:03:41.000Z,"알콩
@kongR_SF9
·
8월 30일","SF9 에스에프나인 포토북 COMMA 콤마 분철 

포토북2개 +미공포4종(에펜씨2+애플뮤직2)
최애맞춰드리고 나머지는 랜덤으로 진행됩니다.
*6명 모이면 진행*

9.8+재배비 (일반택배, 반택 둘 다 가능) 

영빈 주호 태양 휘영 찬희
인성 다원 재윤 로운

https://open.kakao.com/o/sx6a9bxd
1
3",🧡 ⭕ ⭕ ❌ ❌,1,3,,[],https://twitter.com/kongR_SF9/status/1432313069397581824
