UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
유아,@UTOP1A4M3,2021-08-10T12:56:55.000Z,"유아
@UTOP1A4M3
·
8월 10일","찰나에 피어난 찬란한 연홍빛 꽃
날뛰다 미쳐버린 칠흑의 미아

ⓒ바단물님
1
7
15",🌸 🐝,1,7,15,['https://pbs.twimg.com/media/E8bk-3pVgAAz_2g?format=jpg&name=small'],https://twitter.com/UTOP1A4M3/status/1425078710210752512
ＲａｏｎＮｕｒｉ,@moolpang,2021-08-04T12:30:54.000Z,"ＲａｏｎＮｕｒｉ
@moolpang
·
8월 4일","카카오다음 너무하네 C바~

오늘 하루에만 경고3회.
그 중 하나는 7일 활중.
겨우 이렇게 쓴거에 활중 7일이면 꼴통들은 왜 안사라지냐?
2
8
9",,2,8,9,"['https://pbs.twimg.com/media/E78l6U1UYAAh5Mh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E78mBHZVkBEBhJ4?format=png&name=900x900']",https://twitter.com/moolpang/status/1422897835784110086
이구로 기다려요 MTRT 먕오,@guroguro_iguro,2021-08-08T12:27:02.000Z,"이구로 기다려요 MTRT 먕오
@guroguro_iguro
·
8월 8일","# 탐라에_계신_분들_님_햇살다정선성향자캐보여주세요 

이구로의 유일한 태양이자 구원.

ⓒ 바단물님,오울리님.
1
22",🤍 🤍 ✨,,1,22,"['https://pbs.twimg.com/media/E8RKVaCXsAYGMy4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RKsRlXoAclQmd?format=jpg&name=360x360']",https://twitter.com/guroguro_iguro/status/1424346411181694981
티아 | 10.08까지 동결,@Joker_kanojo,2021-08-10T12:39:02.000Z,"티아 | 10.08까지 동결
@Joker_kanojo
·
8월 10일","#드친소

*:。𖤐 https://joker-kanojo.carrd.co

ꕤ:* 세계제일 미라클 메이커님과 가슴 설레는 연애를 하고 있습니다ꯁ 여러분들의 예쁜 드림을 보고 싶어 드친소를 열게 되었어요  링크 정독후 흔적 남겨주시면 무멘팔로 찾아가겠습니다 (´▽`ʃƪ)ᰔᩚ

ⓒ 바단물 님
13
18
37",✨ 💨 💗,13,18,37,['https://pbs.twimg.com/media/E8bhcP8VcAU5t9d?format=jpg&name=small'],https://twitter.com/Joker_kanojo/status/1425074210259365890
공일,@hy05_7,2021-08-05T09:35:29.000Z,"공일
@hy05_7
·
8월 5일","C바
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
6",,,,6,[],https://twitter.com/hy05_7/status/1423216077723496448
기레기폭파(번추미애 찍자),@rewq05021938,2021-08-20T12:20:09.000Z,"기레기폭파(번추미애 찍자)
@rewq05021938
·
8월 20일","이낙연 똥볼 ...C바~
ＲａｏｎＮｕｒｉ
@moolpang
 · 8월 20일
요즘 국짐당 보면 팝콘 먹으며 즐겨야 되는데 이낙연 캠프 똥볼 땜에... C바~
1",♥,,,1,['https://pbs.twimg.com/profile_images/1256638280596025345/OgwVoex1_mini.jpg'],https://twitter.com/rewq05021938/status/1428693336534118407
tAMRIN,@tamrin_mk2,2021-08-19T05:03:29.000Z,"tAMRIN
@tamrin_mk2
·
8월 19일","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

아 C바
연합뉴스
@yonhaptweet
 · 8월 19일
서울시, 한강변 아파트 15층·35층 규제 폐지 방침
https://yna.co.kr/view/AKR20210819032600004?input=tw…

서울시가 그동안 주요 재건축 아파트단지에 적용돼 온 층고 제한을 폐지한다는 방침을 세웠습니다.
2
2",,2,,2,"['https://pbs.twimg.com/profile_images/557097098739343360/20O5papR_mini.jpeg', 'https://pbs.twimg.com/media/E9HUv6dVcAEq8dd?format=jpg&name=small']",https://twitter.com/tamrin_mk2/status/1428221057878552579
ＲａｏｎＮｕｒｉ,@moolpang,2021-08-10T13:46:23.000Z,"ＲａｏｎＮｕｒｉ
@moolpang
·
8월 10일","일본은 일본의 이익을 위하여 돈을 풀고...
한국의 국정원도 일본의 이익을 위하여 돈과 정보를 풀고...
C바~
12
20",,,12,20,[],https://twitter.com/moolpang/status/1425091158640889874
짘힐교 교주시험 동결 ~11/6,@le_reza_7,2021-08-16T13:14:35.000Z,"짘힐교 교주시험 동결 ~11/6
@le_reza_7
·
8월 16일","C바 아이디 안지웠다
2",💀,,,2,[],https://twitter.com/le_reza_7/status/1427257483525902339
마풍강,@___EZZ__S2,2021-08-17T05:24:45.000Z,"마풍강
@___EZZ__S2
·
8월 17일"," 당신은 공일까요 수일까요? 
──────────────────
마풍강님은 쾅쾅 박는 공입니다.
https://gaeyou.com/t/?258861
C바
6",🐫 🔞,,,6,[],https://twitter.com/___EZZ__S2/status/1427501630849576964
55._.тв(Slow),@55_aurora_,2021-08-09T09:08:36.000Z,"55._.тв(Slow)
@55_aurora_
·
8월 9일",....c바..,,,,,[],https://twitter.com/55_aurora_/status/1424658864318795780
