UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
델,@dell_0808,2021-08-04T03:37:29.000Z,"델
@dell_0808
·
8월 4일","#영훈이가_그리는_여름 

서울의 오랑주리 미술관인 투덜님 생카+전시 다녀왔어요
어디에도 영훈이가 한가득인 전시에서 애정이 듬뿍 느껴져서 행복했습니다! (선착키링 얻었으니 여한이 없다....)
생일 주간을 예쁘게 열어주셔서 감사합니다아 이번주 내내 행복할 거 같아요
1
23
35",💕 😭 💙,1,23,35,"['https://pbs.twimg.com/media/E76r7t6VgA46mos?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E76r8YsUcAAwQX0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E76r8IKVEAww6bq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E76r8s8VoAcm-em?format=jpg&name=360x360']",https://twitter.com/dell_0808/status/1422763594022674437
뭇국,@notpuppybutcat,2021-08-04T14:49:53.000Z,"뭇국
@notpuppybutcat
·
8월 4일","#강다니엘_염염긋
양주 오랑주리 카페 
좀 멀긴 하지만은 방학과 휴가철이니까 올려봄미다 좋드라고여 차는 좀 비싸지만 갑자기 열대우림 온 기분이 되니까 용서됨
2
6
19",,2,6,19,"['https://pbs.twimg.com/media/E79FnWZVEAQsBYL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E79FnWVVcAI1Rzr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E79FnWWVUAAHlSO?format=jpg&name=360x360']",https://twitter.com/notpuppybutcat/status/1422932812387127298
딤,@szqth,2021-08-08T05:10:07.000Z,"딤
@szqth
·
8월 8일","히익… 너무 아름다워요….. 당신은 마스터피스 당신은 수선화 당신은 오랑주리의 수련
GIF
2
6",,,2,6,['https://pbs.twimg.com/tweet_video_thumb/E8PnJCEUYAAD3wz.jpg'],https://twitter.com/szqth/status/1424236458538246149
별을 담는 방법 ᴾᵀᴰ,@byuldamda,2021-08-13T11:47:12.000Z,"별을 담는 방법 ᴾᵀᴰ
@byuldamda
·
8월 13일","여기 파주
오랑주리 가고 싶다",✨,,,,"['https://pbs.twimg.com/media/E8qySr5VoAc_7dx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qyUI0VEAMAxWA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qyVQuVgAcaiyZ?format=jpg&name=360x360']",https://twitter.com/byuldamda/status/1426148327205134343
넨다,@whatthe_fox_br,2021-08-07T08:51:40.000Z,"넨다
@whatthe_fox_br
·
8월 7일","샘들 저 오랑주리 옴 ^!^
#연랑",,,,,['https://pbs.twimg.com/media/E8LQoAnVEAAYEeP?format=jpg&name=small'],https://twitter.com/whatthe_fox_br/status/1423929827053117442
葵坦,@aigo_azaaza,2021-08-03T07:52:39.000Z,"葵坦
@aigo_azaaza
·
8월 3일","오랑주리 다녀왔다~.~
1",,,,1,[],https://twitter.com/aigo_azaaza/status/1422465420716437508
파랑,@wave__e,2021-08-12T03:52:58.000Z,"파랑
@wave__e
·
8월 12일","양주 오랑주리 !ㅁ!
1",,1,,,[],https://twitter.com/wave__e/status/1425666595913752578
홍조,@hongjo_ev,2021-08-02T17:17:18.000Z,"홍조
@hongjo_ev
·
8월 3일","남준아....오랑주리 미술관 같이 가자 ㅠㅠㅠ....ㅠ
1",,,,1,[],https://twitter.com/hongjo_ev/status/1422245132535963648
공복,@notenoughtosati,2021-08-11T18:45:23.000Z,"공복
@notenoughtosati
·
8월 12일","말이 되나?
오랑주리 왜 가
탄수님이 나의 모네마네달리반피카손데",,,,,[],https://twitter.com/notenoughtosati/status/1425528791510683651
야옹멍야옹,@limlove9604,2021-08-02T05:33:34.000Z,"야옹멍야옹
@limlove9604
·
8월 2일","지금까지 뮤지엄패스로 간 곳 (순서대로)

루브르 박물관
오랑주리 미술관
오르세 미술관
베르사유 궁전 + 정원
그랑 트리아농 + 정원
생트샤펠
콩시에르주리
판테온
조르주 퐁피두 센터
로댕 미술관
피카소 미술관

오늘 갈 곳
앵발리드
나폴레옹 무덤 있는 성당
트로카데로 광장쪽 건축박물관
4",🐈,,,4,[],https://twitter.com/limlove9604/status/1422068031719710722
,@catcakecat,2021-08-08T14:07:05.000Z,"@catcakecat
·
8월 8일","마카롱도 라뒤레로 처음 입문하고 ㅜㅜ
넘 그립다… 일주일 너무 짧았는데 유로스타 타고 런덙 넘어가니까 파리가 더 그리웠음ㅜ 여행가기전엔 런덙을 더 기대했었는데ㅋㅋㅋ 진짜 낮에도 밤에도 파리 넘 예뿌…크리스마스 마켓에서 뱅쇼 사먹은 것도 아직까지 생각나 그리고 오랑주리 ㅠㅠㅠ모네 최고",🍬,,,,[],https://twitter.com/catcakecat/status/1424371589244604420
Korean food,@mxl257321,2021-08-02T08:57:43.000Z,"Korean food
@mxl257321
·
8월 2일","新奇cafe  韩国植物园咖啡厅 #오랑주리#
1",,1,,,"['https://pbs.twimg.com/media/E7xiBVEVoAUZ_Xz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7xiBVAVEAYU3Ze?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7xiBVBVUAc1VJ0?format=jpg&name=360x360']",https://twitter.com/mxl257321/status/1422119407900184580
葵坦,@aigo_azaaza,2021-08-16T10:57:22.000Z,"葵坦
@aigo_azaaza
·
8월 16일","오랑주리
: 경기 양주시 백석읍 기산로423-19

내부 넓고 주차공간 넓다
잔 반납시 주차권 준다
사람들 많고 식물들도 많다
커피맛은 음..그냥 커피구나..싶었다
가격대는 있는 편
그래도 내부,외부 볼거리가 있어서 좋음!
근처에 마장호수가 있으니 산책하면 좋을듯!
재방문 의사 
5
12",🌿 🌿 👌,,5,12,"['https://pbs.twimg.com/media/E86Do7MUUAEe_Fm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E86DrdCVEAQYmsf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E86Dp3kVgAAEYjl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E86DtSiVUAAePEk?format=jpg&name=360x360']",https://twitter.com/aigo_azaaza/status/1427222950290231301
Lia,@lime_lia,2021-08-16T05:47:18.000Z,"Lia
@lime_lia
·
8월 16일","머나먼 경기북부 오랑주리. 식물이 많은 까페라기보단 온실이나 식물원에서 커피 마시는 느낌
사람 엄청 많은데 또 엄청 넓다
3",🪴 🐈,,,3,"['https://pbs.twimg.com/media/E848ugUVgAEeoFn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E848ugTVEAYeig8?format=jpg&name=360x360']",https://twitter.com/lime_lia/status/1427144918816878592
신효/라하(Latha),@Moch_thrath,2021-08-16T08:53:50.000Z,"신효/라하(Latha)
@Moch_thrath
·
8월 16일","제가 그 말씀 들으니까...
언니랑 프랑스 가서 4일동안 사용할 수 있는 뮤지엄패스 뽕 뽑으려고 죽도록 뺑이쳐서 방전된 기억이 나네요.
언니는 디스크가 좀 있고 전 그냥 종잇장 체력이었는데 언니가 본전뽑기 앞에선 이성을 잃어버리는 캐릭터라...
루브르 오랑주리 오르세 도는 거 정돈 애교고
(몬덴킨트KR) 道寭 고양잇과 쉬흘라P
@hl970226
 · 8월 16일
국중박이 특별전시관은 돈 주고 표를 사는 거고 상설전시관은 무료다 보니, 예전에 여친하고 특별전시관의 모 전시를 보려고 갔다가 이왕 표 산 거 가성비 챙기자고 상설전시관을 폐관하기 전까지 1층부터 3층부터 다 도는 시도를 했었던 적이 있다...

당연히 실패했다.
이 스레드 보기
1
2
6",⚓ 😷 🎗 🌹 ☂,1,2,6,['https://pbs.twimg.com/profile_images/1436998453851164674/oZXFlIhj_mini.jpg'],https://twitter.com/Moch_thrath/status/1427191860833882115
葵坦,@aigo_azaaza,2021-08-16T16:33:48.000Z,"葵坦
@aigo_azaaza
·
8월 17일",오랑주리 또 가고 싶다 그냥 멍 때리면서 남이 가꿔놓은 식물 보는 재미로...,,,,,[],https://twitter.com/aigo_azaaza/status/1427307615667716103
